human_rights_03_eng_jkb_64kb_0001	#ni.vɛɹ.sl̩# #ik.lɚ.ˈei.ʃn̩# #əv# #ˈʌmn̩# ˌɑɪts#
human_rights_03_eng_jkb_64kb_0002	#ɹi.ˈæm.bl̩#
human_rights_03_eng_jkb_64kb_0003	#hiɹ.ˈæz# #ɹˌɛ.kəg.nˈɪ.ʃn̩# #əv# #ði# #ɪn.hˈi.ɹn̩t# #dˈɪg.nə.ti# #ˈænd# #əv# #ði# #ˈi.kwl̩# #ˈænd# #ɪn.ˈeil.jə.nə.bl̩# #ɹˈɑɪts# #əv# #ˈɔl# #mˈɛm.bɚz# #əv# #ði# #hjˈu.mn̩# #fˈæ.mə.li# #ɪz# #ði# #faʊn.dˈei.ʃn̩# #əv# #fɹˈi.dəm# #dʒˈʌs.tɪs# #ˈænd# #pis# #ˈɪn# #ði# #wɚɹld#
human_rights_03_eng_jkb_64kb_0004	#hiɹ.ˈæz# #dˌɪs.ɹɪ.gˈɑɹd# #ˈænd# #kn̩.tˈɛmpt# #fɚ# #hjˈu.mn̩# #ɹˈɑɪts# #hæv# #ɹi.zˈʌl.tɪd# #ˈɪn# #bˈɑɹ.bɚ.əs# #ˈæks# #ɪtʃ# #hæv# #ˈaʊt.ɹˌeidʒd# #ði# #kˈɑn.ʃn̩s# #əv# #mˈæn.kˈɑɪnd# #ˈænd# #ði# #ˈæd.vɛnt# #əv# # #wɚɹld# #ˈɪn# #ɪtʃ# #hjˈu.mn̩# #bˈi.ɪŋz# #ʃˈæl# #ɛn.dʒˈɔi# #fɹˈi.dəm# #əv# #spˈitʃ# #ˈænd# #bɪ.lˈif# #ˈænd# #fɹˈi.dəm# #fɚm# #fˈɪɹ# #ˈænd# #wˈɔnt# #hˈæz# #bˈin# #pɹoʊ.klˈeimd# #ˈæz# #ði# #hˈɑɪ.əst# #ˌæs.pɚ.ˈei.ʃn̩# #əv# #ði# #kˈɑ.mn̩# #pˈi.pl̩#
human_rights_03_eng_jkb_64kb_0005	#hiɹ.ˈæz# #ˈɪt# #ɪz# #ə.sˈɛn.ʃl̩# #ˈɪf# #mn̩# #ɪz# #nˈɑt# #tˈoʊ# #bi# #kəm.pˈɛld# #tˈoʊ# #hæv# #ɹˈi.koʊɹs# #ˈæz# # #lˈæst# #ɹɪ.zˈɑɹt# #tˈoʊ# #ɹɪ.bˈɛl.jn̩# #ə.gˈɛnst# #tˈɪ.ɹə.ni# #ˈænd# #ə.pɹˈɛ.ʃn̩# #ðˈæt# #hjˈu.mn̩# #ɹˈɑɪts# #ʃˈʊd# #bi# #pɹə.tˈɛk.tɪd# #bˈɑɪ# #ði# #ɹˈul# #əv# #lɑ#
human_rights_03_eng_jkb_64kb_0006	#hiɹ.ˈæz# #ˈɪt# #ɪz# #ə.sˈɛn.ʃl̩# #tˈoʊ# #pɹə.mˈoʊt# #ði# #dɪ.vˈɛ.ləp.mn̩t# #əv# #fɹˈɛnd.li# #ɹi.lˈei.ʃn̩z# #bɪ.twˈin# #nˈei.ʃn̩z#
human_rights_03_eng_jkb_64kb_0007	#hiɹ.ˈæz# #ði# #pˈi.pl̩z# #əv# #ði# #nˌɑɪ.tˌɪd# #ˈæ.ʃn̩z# #hæv# #ˈɪn# #ði# #hˈɑɹ.tɚ# #ɹˌi.ə.fˈɝmd# #ðˌeiɹ# #fˈeiɵ# #ˈɪn# #fˌʌn.də.mˈɛn.tl̩# #hjˈu.mn̩# #ɹˈɑɪts# #ˈɪn# #ði# #dˈɪg.nə.ti# #ˈænd# #wˈɝɵ# #əv# #ði# #hjˈu.mn̩# #pɚ.sn̩# #ˈænd# #ˈɪn# #ði# #ˈi.kwl̩# #ɹˈɑɪts# #əv# #mˈɛn# #ˈænd# #wˈɪ.mɪn# #ˈænd# #hæv# #dɪ.tˈɝ.mn̩d# #tˈoʊ# #pɹə.mˈoʊt# #sˈoʊ.ʃl̩# #pɹəg.ɹˈɛs# #ˈænd# #bˈɛ.ɾəɹ# #stˈæn.dɚdz# #əv# #lɑɪf# #ˈɪn# #lˈɑɹ.dʒɚ# #fɹˈi.dəm#
human_rights_03_eng_jkb_64kb_0008	#hiɹ.ˈæz# #ˈɛm.bɚ# #tˈeits# #hæv# #plˈɛdʒd# #ðɛm.sˈɛlvz# #tˈoʊ# #ə.tʃˈiv# #ˈɪn# #koʊ.ˌɑ.pə.ɹˈei.ʃn̩# #wɪɵ# #ði# #nˌɑɪ.tˌɪd# #ˈæ.ʃn̩z# #ði# #pɹə.mˈoʊ.ʃn̩# #əv# #jˌu.nə.vˈɝɹ.sl̩# #ɹɪs.pˈɛkt# #fɚ# #ˈænd# #əb.zˈɝɹ.vn̩s# #əv# #hjˈu.mn̩# #ɹˈɑɪts# #ˈænd# #fˌʌn.də.mˈɛn.tl̩# #fɹˈi.dəmz#
human_rights_03_eng_jkb_64kb_0009	#hiɹ.ˈæz# # #kˈɑ.mn̩# #ˌʌn.dəɹ.stˈæn.dɪŋ# #əv# #ðˈiz# #ɹˈɑɪts# #ˈænd# #fɹˈi.dəmz# #ɪz# #əv# #ði# #gɹˈei.ɾəst# #ɪm.pˈɑɹ.tn̩s# #fɚ# #ði# #fˈʊl# #ɹˈi.lə.zˈei.ʃn̩# #əv# #ðɪs# #plˈɛdʒ#
human_rights_03_eng_jkb_64kb_0010	#ˈaʊ# #ðˈɛɹ.fˌɔɹ#
human_rights_03_eng_jkb_64kb_0011	#h# #ˈɛ.nɚ.l̩# .sˈɛm.bli#
human_rights_03_eng_jkb_64kb_0012	#ɹə.klˈeimz# #ðɪs# #ni.vɛɹ.sl̩# #ik.lɚ.ˈei.ʃn̩# #əv# #ˈʌmn̩# ˌɑɪts# #ˈæz# # #kˈɑ.mn̩# #stˈæn.dɚd# #əv# #ə.tʃˈiv.mn̩t# #fɚ# #ˈɔl# #pˈi.pl̩z# #ˈænd# #ˈɔl# #nˈei.ʃn̩z# #tˈoʊ# #ði# #ɛnd# #ðˈæt# #ˈɛ.vɚ.i# #ˌɪn.də.vˈɪ.dʒu.l̩# #ˈænd# #ˈɛ.vɚ.i# #ˈɑɹ.gn̩# #əv# #sə.sˈɑɪ.ɪ.ti# #kˈi.pɪŋ# #ðɪs# #ik.lɚ.ˈei.ʃn̩# #kˈɑns.tn̩t.li# #ˈɪn# #mˈɑɪnd# #ʃˈæl# #stɹˈɑɪv# #bˈɑɪ# #tˈi.tʃɪŋ# #ˈænd# #ˌɛ.dʒʊ.kˈei.ʃn̩# #tˈoʊ# #pɹə.mˈoʊt# #ɹɪs.pˈɛkt# #fɚ# #ðˈiz# #ɹˈɑɪts# #ˈænd# #fɹˈi.dəmz# #ˈænd# #bˈɑɪ# #pɹəg.ɹˈɛ.sɪv# #mˈɛ.ʒɚz# #nˈæ.ʃə.nl̩# #ˈænd# #ˌɪn.təɹ.nˈæ.ʃə.nl̩# #tˈoʊ# #sɪ.kjˈʊɹ# #ðˌeiɹ# #jˌu.nə.vˈɝɹ.sl̩# #ˈænd# #ɪ.fˈɛk.tɪv# #ɹˌɛ.kəg.nˈɪ.ʃn̩# #ˈænd# #əb.zˈɝɹ.vn̩s# #bˈɑɵ# #ə.mˈʌŋ# #ði# #pˈi.pl̩z# #əv# #ˈɛm.bɚ# #tˈeits# #ðɛm.sˈɛlvz# #ˈænd# #ə.mˈʌŋ# #ði# #pˈi.pl̩z# #əv# #tˌɛ.ɹɪ.tˈoʊ.ɹiz# #ˈʌn.dəɹ# #ðˌeiɹ# #dʒˌʊ.ɹɪs.dˈɪk.ʃn̩#
human_rights_03_eng_jkb_64kb_0013	#ɹ.ɾɪ.kl̩# wˈʌn#
human_rights_03_eng_jkb_64kb_0014	#ll# #hjˈu.mn̩# #bˈi.ɪŋz# #ˈɑɹ# #bɑɹn# #fɹˈi# #ˈænd# #ˈi.kwl̩# #ˈɪn# #dˈɪg.nə.ti# #ˈænd# #ɹˈɑɪt.s#
human_rights_03_eng_jkb_64kb_0015	#hˈei# #ˈɑɹ# #ɛn.dˈaʊd# #wɪɵ# #ɹˈi.zn̩# #ˈænd# #kˈɑn.ʃn̩s# #ˈænd# #ʃˈʊd# #ˈækt# #tə.wˈoʊɹdz# #wn̩# #ə.nˈʌ.ðəɹ# #ˈɪn# # #spˈɪ.ɹɪt# #əv# #bɹˈʌ.ðəɹ.hˌʊd#
human_rights_03_eng_jkb_64kb_0016	#ɹ.ɾɪ.kl̩# ˈu#
human_rights_03_eng_jkb_64kb_0017	#vɚ.jˌoʊn# #ɪz# #ɛn.tˈɑɪ.ɾl̩d# #tˈoʊ# #ˈɔl# #ði# #ɹˈɑɪts# #ˈænd# #fɹˈi.dəmz# #sˈɛt# #fˈɔɹɵ# #ˈɪn# #ðɪs# #ik.lɚ.ˈei.ʃn̩# #wɪ.ɵˈaʊt# #dɪs.tˈɪŋk.ʃn̩# #əv# #ˈɛ.ni# #kˈɑɪnd# #sək# #ˈæz# #ɹeis# #kˈʌ.ləɹ# #sˈɛks# #lˈæŋ.gwɪdʒ# #ɹɪ.lˈɪ.dʒn̩# #pə.lˈɪ.ɾɪ.kl̩# #əɹ# #ˈʌ.ðəɹ# #ə.pˈɪn.jn̩# #nˈæ.ʃə.nl̩# #əɹ# #sˈoʊ.ʃl̩# #ˈɔ.ɹə.dʒn̩# #pɹˈɑ.pɚ.ti# #bˈɝɵ# #əɹ# #ˈʌ.ðəɹ# #stˈæ.tʃuz#
human_rights_03_eng_jkb_64kb_0018	ˈɝ.ðɚ.mˌɔɹ# #noʊ# #dɪs.tˈɪŋk.ʃn̩# #ʃˈæl# #bi# #mˈeid# #ˈɑn# #ði# #bˈei.sɪs# #əv# #ði# #pə.lˈɪ.ɾɪ.kl̩# #dʒˌʊ.ɹɪs.dˈɪk.ʃə.nl̩# #əɹ# #ˌɪn.təɹ.nˈæ.ʃə.nl̩# #stˈei.ɾəs# #əv# #ði# #kˈʌn.tɹi# #əɹ# #tˌɛ.ɹɪ.tˌoʊ.ɹi# #tˈoʊ# #ɪtʃ# # #pɚ.sn̩# #bɪ.lˈɔŋz# #ˈɛ.ðəɹ# #ˈɪt# #bi# #ˌɪn.dɪ.pˈɛn.dn̩t# #tɹˈʌst# #nˌɑn.sɛlf.gˈʌ.vəɹ.nɪŋ# #əɹ# #ˈʌn.dəɹ# #ˈɛ.ni# #ˈʌ.ðəɹ# #lˈɪ.mɪ.tˈei.ʃn̩# #əv# #sˈɑ.vɹɪn.t#wˈɑɪ#
human_rights_03_eng_jkb_64kb_0019	#ɹ.ɾɪ.kl̩# n#
human_rights_03_eng_jkb_64kb_0020	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #lɑɪf# #lˈɪ.bəɹ.ti# #ˈænd# #ði# #sɪ.kjˈʊ.ɹɪ.ti# #əv# #pˈɝɹ.sə.n#
human_rights_03_eng_jkb_64kb_0021	#ɹ.ɾɪ.kl̩# fˈɔɹ#
human_rights_03_eng_jkb_64kb_0022	# #wn̩# #ʃˈæl# #bi# #hɛld# #ˈɪn# #slˈei.vɚ.i# #əɹ# #sˈɝ.və.tˌud#
human_rights_03_eng_jkb_64kb_0023	#slˈei.vɚ.i# #ˈænd# #ði# #sleiv# #tɹˈeid# #ʃˈæl# #bi# #pɹoʊ.hˈɪ.bə.tɪd# #ˈɪn# #ˈɔl# #ðˌeiɹ# #fˈɑɹmz#
human_rights_03_eng_jkb_64kb_0024	#ɹ.ɾɪ.kl̩# fˌɑɪv#
human_rights_03_eng_jkb_64kb_0025	# #wn̩# #ʃˈæl# #bi# #səb.dʒˈɛk.tɪd# #tˈoʊ# #tˈɔɹ.tʃɚ# #əɹ# #tˈoʊ# #kɹˈu.l̩# #ɪn.hjˈu.mn̩# #əɹ# #dɪg.ɹˈei.dɪŋ# #tɹˈit.mn̩t# #əɹ# #pˈʌ.nɪʃ.mn̩.t#
human_rights_03_eng_jkb_64kb_0026	#ɹ.ɾɪ.kl̩# ks#
human_rights_03_eng_jkb_64kb_0027	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #ɹˌɛ.kəg.nˈɪ.ʃn̩# #ˈɛ.vɹi.ˌɛɹ# #ˈæz# # #pɚ.sn̩# #bɪ.fˈoʊɹ# #ði# #lˈɔ#
human_rights_03_eng_jkb_64kb_0028	#ɹ.ɾɪ.kl̩# .vˌɛn#
