eng-AU_0001	juːnɪvɜːsl̩ dˈɛkləreɪʃn̩ ɒv hjˈuːmən ɻaɪts
eng-AU_0002	pɻiːˈæmbl̩
eng-AU_0003	wˈɪəɻɪəz ɻˈiːkɒɡnˈɪʃn̩ ɒv θɪ ɪnhɪərənt dˈɪɡnətɪ ænd ɒv θɪ ɪkwəl ænd ɪneɪljənəbl̩ɻaɪts ɒv ɔːl mˈɛmbəz ɒv θɪ hjˈuːmən fˈæməlɪ ɪz θɪ faʊndˈeɪʃn̩ ɒv fɻˈiːdəm dʒˈʌstɪsənd pˈiːs ɪn θɪ wˈɜːld
eng-AU_0004	wˈɪəɻɪəz dˈɪsɻɪɡˈɑːd ænd kəntˈɛmpt fˈɔːɜ˞ hjˈuːmən ɻˈaɪts hˈæv ɻɪzˈʌltɪd ɪn bˈɑːbəɻˈaʊzˈækts wˈɪɲ hˈæv ˈaʊtɻˈeɪdʒd θɪ kˈɒnʃəns ɒv mænkaɪnd ænd θɪ ədvˈɛnt ɒv ə wˈɜːldɪn wˈɪɲ hjˈuːmən bˈiːɪŋz ʃˈæl ɪndʒˈɔɪ fɻˈiːdəm ɒv spˈiːɲ ænd bɪlˈiːf ænd fɻˈiːdəmfɻɒm fɛə* ænd wˈɒnt hˈæz bˈiːn pɻəklˈeɪmd əs θɪ hˈaɪɪst ˈæspəɻˈeɪʃn̩ ɒv θɪ kˈɒmənpˈiːpl̩
eng-AU_0005	wˈɪəɻɪəz ˈɪt ɪz ɪsˈɛnʃl̩ ɪf mæn ɪz nɒt təʊ b kəmpˈɛld təʊ hˈæv ɻɪkˈɔːs əs ə lˈæstɻɪzˈɔːt təʊ ɻɪbˈɛljən əɡˈɛnst tˈɪɻənɪ ænd əpɻˈɛʃən ðˈæt hjˈuːmən ɻˈaɪts ʃˈəʊld bɪpɻətˈɛktɪd bˈaɪ θɪ ɻˈuːl ɒv lˈɔː
eng-AU_0006	wˈɪəɻɪəz ˈɪt ɪz ɪsˈɛnʃl̩ təʊ pɻəmˈəʊt θɪ dɪvˈɛləpmənt ɒv fɻˈɛndlɪ ɻɪlˈeɪʃn̩z bɪtwˈiːnnˈeɪʃn̩z
eng-AU_0007	wˈɪəɻɪəz θɪ pˈiːpl̩z ɒv θɪ jˈuːnɪtɪd nˈæʃənz hˈæv ɪn θɪ ɲˈɑːtəɜ˞ ɻˈiːəfˈɜːmd ðˈɛəfˈeɪθ ɪn fˈʌndəmˈɛntl̩ hjˈuːmən ɻˈaɪts ɪn θɪ dˈɪɡnətɪ ænd wɜːθ ɒv θɪ hjˈuːmən pˈɜːsnənd ɪn θɪ ɪkwəl ɻˈaɪts ɒv mɛn ænd wˈɪmɪn ænd hˈæv dɪtˈɜːmɪnd təʊ pɻəmˈəʊtsˈəʊʃl̩ pɻˈəʊɡɻɛs ænd bˈɛtəɜ˞ stˈændədz ɒv lˈaɪf ɪn lˈɑːdʒəɜ˞ fɻˈiːdəm
eng-AU_0008	wˈɪəɻɪəz mˈɛmbəɜ˞ stˈeɪts hˈæv plˈɛdʒd θɪmsˈɛlvz təʊ əɲˈiːv ɪn kəʊˈɒpəɻˈeɪʃn̩wɪθ θɪ jˈuːnɪtɪd nˈæʃn̩z θɪ pɻəmˈəʊʃn̩ ɒv jˈuːnɪvɜːsl̩ ɻɪspɛkt fˈɔːɜ˞ ænd əbzˈɜːvn̩s əvhjˈuːmən ɻˈaɪts ænd fˈʌndəmˈɛntl̩ fɻˈiːdəmz
eng-AU_0009	wˈɪəɻɪəz ə kˈɒmən ˈʌndəstˈændɪŋ ɒv θˈiːz ɻˈaɪts ænd fɻˈiːdəmz ɪz ɒv θigɹitɪst ɪmpˈɔːtn̩s fˈɔːɜ˞ θɪ fˈʊl ɻˈɪəlaɪzˈeɪʃn̩ ɒv ðˈɪs plˈɛdʒ
eng-AU_0010	nˈaʊ ðˈɛəfɔːɜ˞
eng-AU_0011	tʃ dʒɛnərəl əsɛmbɫi
