human_rights_03_eng_rg_64kb_0001	juːnɪvɜːsl̩ dˈɛkləreɪʃn̩ ɒv hjˈuːmən ɻaɪts
human_rights_03_eng_rg_64kb_0002	pɻiːˈæmbl̩
human_rights_03_eng_rg_64kb_0003	wˈɪəɻɪəz ɻˈiːkɒɡnˈɪʃn̩ ɒv θɪ ɪnhɪərənt dˈɪɡnətɪ ænd ɒv θɪ ɪkwəl ænd ɪneɪljənəbl̩ ɻˈaɪts ɒv ɔːl mˈɛmbəz ɒv θɪ hjˈuːmən fˈæməlɪ ɪz θɪ faʊndˈeɪʃn̩ ɒv fɻˈiːdəm dʒˈʌstɪs ænd pˈiːs ɪn θɪ wˈɜːld
human_rights_03_eng_rg_64kb_0004	wˈɪəɻɪəz dˈɪsɻɪɡˈɑːd ænd kəntˈɛmpt fˈɔːɜ˞ hjˈuːmən ɻˈaɪts hˈæv ɻɪzˈʌltɪd ɪn bˈɑːbəɻəs ˈækts wˈɪɲ hˈæv ˈaʊtɻˈeɪdʒd θɪ kˈɒnʃəns ɒv mænkaɪnd ænd θɪ ədvˈɛnt ɒv ə wɜːld ɪn wˈɪɲ hjˈuːmən bˈiːɪŋz ʃˈæl ɪndʒˈɔɪ fɻˈiːdəm ɒv spˈiːɲ ænd bɪlˈiːf ænd fɻˈiːdəm fɻˈɒm fɛə* ænd wˈɒnt hˈæz bˈiːn pɻəklˈeɪmd əs θɪ hˈaɪɪst ˈæspəɻˈeɪʃn̩ ɒv θɪ kˈɒmən pˈiːpl̩
human_rights_03_eng_rg_64kb_0005	wˈɪəɻɪəz ˈɪt ɪz ɪsˈɛnʃl̩ ɪf mæn ɪz nɒt təʊ b kəmpˈɛld təʊ hˈæv ɻɪkˈɔːs əs ə lɑːst ɻɪzˈɔːt təʊ ɻɪbˈɛljən əɡˈɛnst tˈɪɻənɪ ænd əpɻˈɛʃən ðˈæt hjˈuːmən ɻˈaɪts ʃˈəʊld b pɻətˈɛktɪd bˈaɪ θɪ ɻˈuːl ɒv lˈɔː
human_rights_03_eng_rg_64kb_0006	wˈɪəɻɪəz ˈɪt ɪz ɪsˈɛnʃl̩ təʊ pɻəmˈəʊt θɪ dɪvˈɛləpmənt ɒv fɻˈɛndlɪ ɻɪlˈeɪʃn̩z bɪtwˈiːn nˈæʃn̩z
human_rights_03_eng_rg_64kb_0007	wˈɪəɻɪəz θɪ pˈiːpl̩z ɒv θɪ jˈuːnɪtɪd nˈæʃənz hˈæv ɪn θɪ ɲˈɑːtəɜ˞ ɻˈiːəfˈɜːmd ðˈɛə fˈeɪθ ɪn fˈʌndəmˈɛntl̩ hjˈuːmən ɻˈaɪts ɪn θɪ dˈɪɡnətɪ ænd wɜːθ ɒv θɪ hjˈuːmən pˈɜːsn̩ ænd ɪn θɪ ɪkwəl ɻˈaɪts ɒv mɛn ænd wˈɪmɪn ænd hˈæv dɪtˈɜːmɪnd təʊ pɻəmˈəʊt sˈəʊʃl̩ pɻˈəʊɡɻɛs ænd bˈɛtəɜ˞ stˈændədz ɒv lˈaɪf ɪn lˈɑːdʒəɜ˞ fɻˈiːdəm
human_rights_03_eng_rg_64kb_0008	wˈɪəɻɪəz mˈɛmbəɜ˞ stˈeɪts hˈæv plˈɛdʒd θɪmsˈɛlvz təʊ əɲˈiːv ɪn kəʊˈɒpəɻˈeɪʃn̩ wɪð θɪ jˈuːnɪtɪd nˈæʃn̩z θɪ pɻəmˈəʊʃn̩ ɒv jˈuːnɪvɜːsl̩ ɻɪspɛkt fˈɔːɜ˞ ænd əbzˈɜːvn̩s ɒv hjˈuːmən ɻˈaɪts ænd fˈʌndəmˈɛntl̩ fɻˈiːdəmz
human_rights_03_eng_rg_64kb_0009	wˈɪəɻɪəz ə kˈɒmən ˈʌndəstˈændɪŋ ɒv θˈiːz ɻˈaɪts ænd fɻˈiːdəmz ɪz ɒv θɪ ɡɻˈiːtɪst ɪmpˈɔːtn̩s fˈɔːɜ˞ θɪ fˈʊl ɻˈɪəlaɪzˈeɪʃn̩ ɒv ðˈɪs plˈɛdʒ
human_rights_03_eng_rg_64kb_0010	nˈaʊ ðˈɛəfɔːɜ˞
human_rights_03_eng_rg_64kb_0011	tʃ dʒɛnərəl əsˈɛmblɪ
