human_rights_un_afk_cdb_64kb_0001	ɑɑnhˈɛf
human_rights_un_afk_cdb_64kb_0002	ɑˈɑnɣzɪˈeːn ɛrkˈɛnɪŋ viːr dˈiː ɪnheːrˈɛntə ʋˈaːrdəxhɛɪt ˈɛn dˈiː xəlˈɪk ˈɛn ɔnvərvrˈeːmbaːrə rˈɛx vˈɑn ˈɑlə lˈeːdə vˈɑn dˈiː mɛnslɑjk rˈɑs dˈiː bˈaːzəs viːr vriːhɛɪt xərˈɛxtəxhɛɪt ˈɛn vrˈeːdə ˈɪn dˈiː ʋˈeːrəlt ˈɪs
human_rights_un_afk_cdb_64kb_0003	ɑˈɑnɣzɪˈeːn miːnədʒtɪŋ viːr mˈɛnsərˈɛxtə bɑrbˈaːrsə dˈaːdə ʋˈɑt dˈiː xəʋˈeːtə vˈɑn dˈiː mɛns ˈaːŋɣətɑs hɛt ˈɛn dˈiː ˈaːnvɑŋ vˈɑn n ʋˈeːrəlt ʋˈaːrɪn mˈɛnsə vriːhɛɪt vˈɑn sprˈaːk xəloːf vreːs ˈɛn bəhuːftə hɛt xəsˈiːn ʋˈɔrt ˈɑs dˈiː hˈoːxstə ɑspiːraːziː vˈɑn dˈiː xəmˈɪdəldə mɛns
human_rights_un_afk_cdb_64kb_0004	ɑˈɑnɣzɪˈeːn dɪt nˈoːtsaːklɪk ˈɪs dˈɑt mˈɛnsərˈɛxtə dˈøːr dˈiː ʋɛt bəskɛrm ʋˈɔrt tˈɛn ˈɛɪndə tə vˈoːrkɔm dˈɑt mˈɛnsə nˈiː xədʋˈɪŋ xˈaːn ʋˈɔrt ɔm ˈɪn ˈɔpstɑnt tˈeːn tiːrɑnˈiː ˈɛn ɔndərdrˈʉkɪŋ tə kɔm nˈiː
human_rights_un_afk_cdb_64kb_0005	ɑˈɑnɣzɪˈeːn dɪt nˈoːtsaːklɪk ˈɪs ɔm dˈiː ɔntʋɪkəlɪŋ vˈɑn vrˈiːndəlɑjk bˈɑndə tˈʉsə nˈaːsiːs ˈaːn tə mˈuːdəx
human_rights_un_afk_cdb_64kb_0006	ɑˈɑnɣzɪˈeːn dˈiː vˈɔlkə ʋˈɑt lˈɪt vˈɑn dˈiː vɛreːnəɣdə vˈɔlkə oːrɣaːniːsˈaːziː ˈɪs hˈʉl xəloːf ˈɪn fʉndaːmɛntˈeːlə mˈɛnsərˈɛxtə ˈɪn dˈiː hˈɑntfɛs bəklˈɛmtoːn ˈɪn dˈiː ʋˈaːrdəxhɛɪt ˈɛn ʋˈaːrdə vˈɑn dˈiː mɛnslɑjk pərsˈoːn ˈɪn dˈiː xəlˈɪk rˈɛxtə vˈɑn mˈɑns ˈɛn vrɯˈɛːs ˈɛn dɪt tˈɛn dˈuːl hɛt ɔm sˈoːziːjˈaːlə voːrˈœɪtxɑŋ ˈɛn n bˈeːtər leːʋəspɛɪl ˈɪn xrˈoːtər vriːhɛɪt tə bəvˈɔrdər
human_rights_un_afk_cdb_64kb_0007	ɑˈɑnɣzɪˈeːn ljtstˈaːtə hˈʉlə vˈoːrɣəneːm hɛt ɔm ˈɪn sˈaːməʋɛrkɪŋ mˈɛt dˈiː vɛreːnəɣdə vˈɔlkə yːniːvɛrzˈeːlə rɛspɛk ˈɛn aːɣtɪŋ viːr mˈɛnsərˈɛxtə ˈɛn fʉndaːmɛntˈeːlə vriːhɛɪt tə vərʋˈɛsəlɪk
human_rights_un_afk_cdb_64kb_0008	ˈɛn
human_rights_un_afk_cdb_64kb_0009	ɑˈɑnɣzɪˈeːn n ɑlɣəmˈeːnə bəɣrɪp vˈɑn hˈiːrdˈiː rˈɛxtə ˈɛn vriːheːdə vˈɑn xrˈoːt bəlˈɑŋ viːr dˈiː bərˈɛɪkɪŋ vˈɑn hˈiːrdˈiː vˈoːrneːmə ˈɪs
human_rights_un_afk_cdb_64kb_0010	vɛrklaːr dˈiː ɑlɣˈeːɛmˈeːnˈeː vˈeːrɣˈɑdˈeːrɪnɣ
human_rights_un_afk_cdb_64kb_0011	hˈiːrdˈiː ˈyːniːvɛrzˈeːlə vɛrklaːrɪŋ vˈɑn mˈɛnsərˈɛxtə ˈɑs n ɑlɣəmˈeːnə stˈɑndaːrt viːr dˈiː vərʋˈɛsəliːkɪŋ dˈøːr ˈɑlə mˈɛnsə ˈɛn nˈaːsiːs ɔm tə vərseːkər dˈɑt ˈɛlkə ɪndiːviːdˈyː ˈɛn ˈɛlkədeːl vˈɑn dˈiː xəmˈeːnskɑp hˈiːrdˈiː vɛrklaːrɪŋ ˈɪn ˈɑx sɑl nˈeːm ˈɛn dˈøːr ˈɔpfuːdɪŋ rɛspɛk viːr hˈiːrdˈiː rˈɛxtə ˈɛn vriːheːdə tə bəvˈɔrdər ˈɔp naːʃoːnˈaːlə ˈɛn ɪntərnaːʃoːnˈaːlə vlˈɑk daːrnaː sɑl strˈeːʋə ɔm dˈiː yːniːvɛrzˈeːlə ˈɛn ɛfˈɛksiːʋə ɛrkˈɛnɪŋ ˈɛn aːɣtɪŋ vˈɑn hˈiːrdˈiː rˈɛxtə tə vərseːkər nˈiː nˈɛt viːr dˈiː mˈɛnsə vˈɑn dˈiː ljtstˈaːtə nˈiː mˈaːr ˈoːk viːr dˈiː mˈɛnsə ˈɪn dˈiː xəbˈiːdə ˈɔndər hˈʉl jyːrəzdˈɪɡziː
human_rights_un_afk_cdb_64kb_0012	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0013	ɑlə mɛnslɑjk ʋˈeːsɛns ʋˈɔrt vriː mˈɛt xəlˈɪk ʋˈaːrdəxhɛɪt ˈɛn rˈɛxtə xəbˈoːrə
human_rights_un_afk_cdb_64kb_0014	hˈʉlə hɛt reːdə ˈɛn xəʋˈeːtə ˈɛn bəhˈoːrt ˈɪn dˈiː xˈeːs vˈɑn brˈuːdərskɑp tˈeːnoːr mˈɛkaːr ˈɔp tə trˈeː
human_rights_un_afk_cdb_64kb_0015	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0016	eːlkə pərsˈoːn hɛt dˈiː rˈɛx tɔt ɑl dˈiː rˈɛxtə ˈɛn vriːheːdə sˈoːs ˈɪn dˈiː vɛrklaːrɪŋ vərvˈɑt ˈɪs sɔndər ˈœɪtsɔndˈeːrɪŋ vˈɑn ˈeːnəɣə ˈaːrt sˈoːs ˈɔp xrˈɔnt vˈɑn rˈɑs xəslɑx klˈøːr tˈaːl xɔdzdˈiːns xəbˈoːrtə ˈɔf ˈeːnəɣə ˈɑndər stˈaːtʉs
human_rights_un_afk_cdb_64kb_0017	dˈaːrbeːnəʋɛns sɑl xˈeːn ˈɔndərskɛɪt ˈɔp xrˈɔnt vˈɑn poːliːtˈiːkə xərˈɛxteːlɑjk ˈɔf ɪntərnaːʃoːnˈaːlə stˈaːtʉs vˈɑn dˈiː lˈɑnt ˈɔf xəbˈiːt ʋaːrtˈuː n pərsˈoːn bəhˈoːrt xəmaːk ʋˈɔrt nˈiː hɛtsiː dɪt n ɔnɑfhˈɑŋklɑjk trˈʉst nˈiːsəlfrəɣeːrənt ˈɔf ˈɔndər ˈeːnəɣə ˈɑndər bəpˈɛrkɪŋ vˈɑn sˈuːʋərɛɪniːtˈɛɪt ˈɪs
human_rights_un_afk_cdb_64kb_0018	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0019	eːlkeːn hɛt dˈiː rˈɛx tɔt leːʋə vriːhɛɪt ˈɛn sˈɛkyːriːtˈɛɪt vˈɑn pərsˈoːn
human_rights_un_afk_cdb_64kb_0020	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0021	nˈiːmɑnt sɑl ˈɪn slˈaːʋˈʉrniː ˈɔf knˈɛxskɑp xəhɯ ʋˈɔrt nˈiː
human_rights_un_afk_cdb_64kb_0022	ˈɑlə vˈɔrms vˈɑn slˈaːʋˈʉrniː ˈɛn hˈɑndəl ˈɪn slˈaːʋə sɑl vərbˈiːt ʋˈɔrt
human_rights_un_afk_cdb_64kb_0023	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0024	nˈiːmɑnt sɑl xəmˈɑrtəl ʋˈɔrt ˈɔf ˈaːn ʋrˈeːdə ɔnmɛnslɑjk ˈɔf vərnˈeːdərəndə bəhɑndəlɪŋ ˈɔf strˈɑf blˈoːtxəstɛl ʋˈɔrt nˈiː
human_rights_un_afk_cdb_64kb_0025	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0026	eːlkeːn hɛt oːrˈɑl dˈiː rˈɛx tɔt ɛrkˈɛnɪŋ ˈɑs n pərsˈoːn vˈoːr dˈiː rˈɛx
human_rights_un_afk_cdb_64kb_0027	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0028	ɑlmɑl ˈɪs xəlˈɪk vˈoːr dˈiː rˈɛx ˈɛn hɛt dˈiː rˈɛx tɔt xəlˈɪk bəskɛrmɪŋ vˈɑn dˈiː ʋɛt
human_rights_un_afk_cdb_64kb_0029	ɑlmɑl hɛt dˈiː rˈɛx tɔt xəlˈɪk bəskɛrmɪŋ tˈeːn ˈeːnəɣə dɪskrˈiːmiːnaːzˈiː tˈɛr skˈɛndɪŋ vˈɑn hˈiːrdˈiː vɛrklaːrɪŋ ˈɛn tˈeːn ˈeːnəɣə ˈaːnmuːdəɣɪŋ tɔt sˈʉlkə dɪskrˈiːmiːnaːzˈiː
human_rights_un_afk_cdb_64kb_0030	aːrtˈiːkəl
human_rights_un_afk_cdb_64kb_0031	eːlkeːn hɛt dˈiː rˈɛx tɔt ɛfˈɛksiːʋə kɔmpɛnzˈaːziː dˈøːr bəvˈuːɣdə naːʃoːnˈaːlə triːbyːnˈaːlə viːr dˈaːdə ʋˈɑt hˈʉl fʉndaːmɛntˈeːlə rˈɛx skˈaːt ʋˈɑt dˈøːr dˈiː ʋɛt ˈɔf xrˈɔndʋɛt ˈaːn hˈʉlə xəɣˈeː ˈɪs
human_rights_un_afk_cdb_64kb_0032	aːrtˈiːkəl
