human_rights_un_arz_ef_64kb_0001	iliʕlˈæːn ilʕæːlæmˈiː lħuʔˈuːʔ ilinsˈæːn
human_rights_un_arz_ef_64kb_0002	iʕtˈæmæd bimiwˈæggib ʔaɾˈaːɾ ilgæmæʕˈijjæ ilʕˈæmmæ ˈælif dˈu ilmuʔɾɾæx fæj kænˈuːn ilˈuwil disˈimbiɾ
human_rights_un_arz_ef_64kb_0003	iddibˈæːgæ
human_rights_un_arz_ef_64kb_0004	lˈæmmæ kˈæːn iliʕtiɾˈæːf bilkiɾˈaːmit ilmitaʔsˤˈilit fæj gæmˈiːʕ æʕdˤˈaːʔ ilˈusɾa ilbæʃɾˈijjæ wˈæbæħuʔˈuːʔhum ilmutæsæwˈijjæ issæbtæ hˈiww æsˈæːs ilħuɾɾˈijjæ wælʕˈædæl wæssælˈæːm fæj ilʕæːlæm
human_rights_un_arz_ef_64kb_0005	wilˈæmmæ kˈæːn tænæsj ħuʔˈuːʔ ilinsˈæːn wˈæːzdaɾɾˈaːʔuhæ ʔæd afdˤjæ ili æʕmˈæːl hæmægˈijjæ ˈæːzit ildˤamˈiːɾ ilinsˈæːnj
human_rights_un_arz_ef_64kb_0006	wikˈæːn ɣˈæːjæ mæ jiɾnu ilˈeː ʕˈæmmæ ilbæʃæɾ inbˈæsˈæːʔ ʕˈæːlæm jitmˈættæʕ fˈiːh ilfˈæɾd bæħɾˈijjæ ilʔˈuːl wælʕæʔˈiːdit wˈeːtħˈaɾɾaɾ min ilfˈæzæʕ wælfˈæːʔæ
human_rights_un_arz_ef_64kb_0007	wilˈæmmæ kˈæːn min idˤdˤaɾuɾˈeː ˈæn jitˈuːli ilqanun ħæmˈæːjit ħuʔˈuːʔ ilinsˈæːn lˈækˈillæ jidˤtˤˈaɾɾ ilmˈæɾʔ ˈæːxiɾ ilˈummaɾ ili ittæmˈaɾɾud ʕˈælli ilistibdˈæːd wælðˤˈalam
human_rights_un_arz_ef_64kb_0008	wilˈæmmæ kˈæːnit ʃuʕˈuːb ilˈummim ilmuttˈæħidæ ʔæd ˈækkidt fæj ilmisˈæːʔ min gidˈiːd imˈænhæ bæħuʔˈuːʔ ilinsˈæːn ilusæsˈijjæ wˈæbkaɾˈaːma ilfˈæɾd wˈæʔdˈaɾu wˈæbˈimæ liɾɾiggˈæːl wælˈinsˈæːʔ min ħuʔˈuːʔ mitsˈæːwjit wæħzˈæmmit amɾˈaha ʕˈælli ˈæn tidfæʕ biɾɾˈaqajj iligtimæːʕijj ʔæddˈimæ wˈæʔn tˈiɾfæʕ mistˈæwæ ilħæjˈæː fæj gˈæww min ilħuɾɾˈijjæ ˈæfsæħ
human_rights_un_arz_ef_64kb_0009	wilˈæmmæ kˈæːnit iddˈuwæl ilaʕdˤˈaːʔ ʔæd tæʕˈæhhudit bittæʕˈæːwin mæʕ ilˈummim ilmuttˈæħidæ ʕˈælli dˤamˈaːn itˤaɾɾˈaːd muɾaʕæːt ħuʔˈuːʔ ilinsˈæːn wælħuɾɾijjˈæːt ilusæsˈijjæ wˈæːħtiɾæmhæ
human_rights_un_arz_ef_64kb_0010	wilˈæmmæ kˈæːn lilˈidɾˈæːk ilʕˈæːm læhˈizu ilħuʔˈuːʔ wælħuɾɾijjˈæːt ilæhæmmˈijjæ ilkæbɾi lilwæfˈæːʔ ittˈæmm bæhˈæːzæ ittæʕˈæhhid
human_rights_un_arz_ef_64kb_0011	fˈæin ilgæmæʕˈijjæ ilʕˈæmmæ
human_rights_un_arz_ef_64kb_0012	tinˈædj bæhˈæːzæ iliʕlˈæːn ilʕæːlæmˈiː lħuʔˈuːʔ ilinsˈæːn
human_rights_un_arz_ef_64kb_0013	ʕˈælli ˈænu ilmustˈæwæ ilmuʃtˈaɾak illæzˈiː jinbˈiɣajj ˈæn tistˈæhdfu kˈæːfit iʃʃˈæʕˈuːb wælˈummim ħæti jisʕæ kil fˈæɾd wˈæhæjʔæ fæj ilmugtˈæmæʕ wˈaːdˤaʕˈiːn ʕˈælli iddˈæwˈæːm hˈæːzæ iliʕlˈæːn nˈasˤsˤab æʕˈinhum ili tawtˤˈiːd iħtiɾˈæːm hˈæzzu ilħuʔˈuːʔ wælħuɾɾijjˈæːt ʕæn tˤaɾˈiːʔ ittæʕlˈiːm wæltæɾbˈijjæ wˈæːtxˈæːz ˈigɾæʔˈæːt mitˤˈaɾdit qawmˈijjit wiʕˈæːlmˈijjæ ladˤamˈaːn iliʕtˈiɾˈaːf bhæ wˈæmaɾɾˈaːʕˈæthæ bˈasˤawwˈaɾa ʕˈæːlæmˈijjæ fæʕˈæːlit bˈeːn iddˈuwæl ilaʕdˤˈaːʔ zˈæthæ wˈæʃʕˈuːb ilbæʔˈæːʕ ilxˈaːdˤʕa lsultˤˈaːnhæ
human_rights_un_arz_ef_64kb_0014	ilmˈæddæ
human_rights_un_arz_ef_64kb_0015	jiwˈællid gæmˈiːʕ innˈæːs ˈæħɾˈaːɾa mitsˈæːwˈiːn fæj ilkiɾˈaːmit wælħuʔˈuːʔ
