human_rights_un_bal_brc_64kb_0001	aŋawədər endek əkək zasi ənʊsea
human_rights_un_bal_brc_64kb_0002	ami mənʊsəne mɪdʒɪl mədʊlurən haxək səne pəteh lən pəsteka tur malarəpən kəbɪbasənkɛbebasan səne mabʊət pesan
human_rights_un_bal_brc_64kb_0003	ərsɪrikatan əŋsaəŋsə mədowə tətʊwək patʃaŋ ŋɪŋɡɪlaŋ ɲondʒʊŋ nəbdəbəŋ tur ŋajomɪn hək əsasɪ mənʊsɪə səkeŋ swəŋswaŋ mənʊsa
human_rights_un_bal_brc_64kb_0004	atʊwɪk poniki ŋəwit səkeŋ ɪəɡɛm ərsɪrikatan əŋsaəŋsə səne nɛɡəsen untəŋ pakəjʊn waŋsawaŋsə reŋ dʒəɡətpada ŋɛnɪnin hək əsasɪ mənʊsɪə səne mabʊət pesan tur reŋ mərtəbat lən kəmatmiən mənʊsa
human_rights_un_bal_brc_64kb_0005	eŋ sadʒərʊniŋ pəŋəwedar endek hək əsasɪ mənʊsɪə ərsɪrikatan əŋsaəŋsə məpetəɡɪs pəsteka pesan mewah sadarənə ŋɛnɪnin haxək səne pɪnaka drʊwən ɪ mənʊsa satʃəra adil
human_rights_un_bal_brc_64kb_0006	əxak punekə wantah drʊwən ɪdə dəne
human_rights_un_bal_brc_64kb_0007	uneka wantah hək ɪdə dəne
human_rights_un_bal_brc_64kb_0008	əxak ɪdə dəne punekə məŋda kauneŋen
human_rights_un_bal_brc_64kb_0009	atut sareŋsəreŋ ɲɔbiakaŋ tur ŋʊkuhaŋ kəwəntenanɪpun ɡomənti mabʊət reŋ ɪdə dəne mewah mantuk reŋ səsəmən dʒəna səne səɔsan
human_rights_un_bal_brc_64kb_0010	əratʃitə
human_rights_un_bal_brc_64kb_0011	ənembəŋ rɪantukən paŋaŋkən reŋ sobhəkərma lən haxək səne pəteh tur pəsteka səkeŋ pəɡʊjubən kulawarɡa mənʊsa samɪ eŋɡɪh punekə dəsar kɛmɛrdɪkaən kəədelan lən pərdamaian reŋ dʒəɡat
human_rights_un_bal_brc_64kb_0012	ənembəŋ rɪantukən ŋələmpasaŋ lən ŋəndapaŋ hək əsasɪ mənʊsɪə dʒantɛn ŋəwinaŋ pareləksənəpariləksənə səne kəon səne ŋəwinaŋ rəsa krɔdə sadʒərʊniŋ hɪrdəja untəŋ pɪkajunən manosapadə tur kaməŋɡəhəŋ dʒəɡat ɡenəh mənʊsa patʃaŋ mʊponin bebəs mawetʃəra lən məəɡəmə tur lʊpʊt səkeŋ rəsa adʒrih mewah kakɪrəŋan punekə sampun kədʒəntenəŋ pɪnaka tətʊdʒʊn pɪlɪh otamə səkeŋ pəra dʒəna
human_rights_un_bal_brc_64kb_0013	ənembəŋ rɪantukən haxək mənʊsa patut kəəjomɪn malarəpən pɪraturən hʊkʊm məŋda pəra dʒəna nɪntɛn kədʊlumok mɪlɪh pəmarɡe andəɡə utsaha pɛŋʊntat məka panoŋkəs kadorətməkən mewah pendʒədʒahən
human_rights_un_bal_brc_64kb_0014	ənembəŋ rɪantukən ŋopapirə paikɪtən pəsawɪtrən reŋ sadʒərʊniŋ nɛɡarəneɡarə patut kautsahəjaŋ
human_rights_un_bal_brc_64kb_0015	ənembəŋ rɪantukən waŋsawaŋsə səkeŋ ərsɪrikatan əŋsaəŋsə sadʒərʊniŋ ɪəɡɛm ərsɪrikatan əŋsaəŋsə sampun matɛɡəsaŋ malih kɛpertʃəjəanɲane ŋɛnɪnin haxək dəsar mənʊsa tur haxək səne pəteh reŋ saŋ lanaŋ mewah estre mewah sampun mʊtʊsaŋ patʃaŋ nowəkaŋ kasukətən dʒəɡat lən kəhʊrɪpane səne otamə sadʒərʊniŋ kɛmɛrdɪkaən səne ŋalimbək
