human_rights_un_bul_eu_64kb_0001	vsɛɔpʃtɐ dɛɡɫarɐtsɐ za pravada nɐ tʃɔvɛkɐ
human_rights_un_bul_eu_64kb_0002	prɛampol
human_rights_un_bul_eu_64kb_0003	kadɔ vzɛ prɛtvid tʃɛ priznɐfanɛto nɐ tozdɔjnztvodɔ prizɤʃto nɐ vzitʃki tʃlɛnɔvɛ nɐ tʃɔvɛʃɡijɐ rɔd nɐ tɛxnitɛ rɐvni i nɛɔdmɛnimi prɐva prɛdsdafljafɐ oznɔfa nɐ zvopodatɐ zprɐfɛdlivɔzttɐ i mirɐ v zfɛta
human_rights_un_bul_eu_64kb_0004	kadɔ vzɛ prɛtvid tʃɛ prɛnɛbrɛɡfanɛdo i nɛuvɐʒɐfanɛtɔ nɐ pravada nɐ tʃɔvɛkɐ dɔfɛdɔxa to varfɐrzki tɛanija ɡoito potrɛzɔxa zɤfɛztdɐ nɐ tʃɔvɛtʃɛstvɔto i tʃɛ zɤstafɐnɛdɔ nɐ ɛtin svɐt v ɡojto xɔrata ʃtɛ sɛ rɐtfad nɐ svɔbotɐ nɐ sɫɔfotɔ i opɛʃtɛniatɐ si i ʃtɛ bɐdat zvopɔdni ɔd strɐx i ɫiʃɛnia bɛ provɐsɡɫasɛnɔ za nɐjsɐkrofɛnija strɛmɛʃ nɐ tʃɔvɛkɐ
human_rights_un_bul_eu_64kb_0005	kadɔ vzɛ prɛtvid tʃɛ ɛ nɛobxotimɔ pravada nɐ tʃɔvɛkɐ ta bɐdat sɐɡrilɐni ɔd zakɔna dakɐ tʃɛ tʃofɛk ta nɛ bɐtɛ prinoʒtavɐn ta pribakvɐ ɡɤm pund zrɛʃto tirɐnijadɐ i podiznitʃɛsdvodɔ kadɔ pɔzɫɛtɛn isxɔt
human_rights_un_bul_eu_64kb_0006	kadɔ vzɛ prɛtvid tʃɛ ɛ nɛobxotimɔ ta sɛ natsɐrtʃɐvɐ rasfidiɛtɔ nɐ prijadɛɫzɡi ɔdnoʃɛnia mɛʃtu narotitɛ
human_rights_un_bul_eu_64kb_0007	kadɔ vzɛ prɛtvid tʃɛ narotitɛ nɐ ɔbɛtinɛnidɛ nɐtsii potfɐrdixɐ v uzdava sfɔɐdɐ vɐra v oznɔvnitɛ prɐva nɐ tʃɔvɛkɐ v tozdɔjnztvodɔ i zdɔjnɔsdta nɐ tʃovɛʃɡɐta ɫitʃnozd v rɐfnɔpraviɛdɔ nɐ mɤʃɛdɛ i ʒɛnitɛ i ɔbavixɐ sfɔɐdɐ rɛʃimosd ta nasɐrtʃɐvad ɔbʃtɛsdfɛnia nɐprɛdɤk i pɔdopro ʒiznɛnɔ rɐfniʃtɛ pri poɡoɫjɐmɐ svɔbotɐ
human_rights_un_bul_eu_64kb_0008	kadɔ vzɛ prɛtvid tʃɛ dɐrʃɐvidɛtʃɫɛnɡi sɛ zɐtɤlʃixa ta pɔzdiɡnad v zɐtrudnitʃɛsdvo z orkanisɐtsiɐdɐ nɐ ɔbɛtinɛnidɛ nɐtsii vsɛɔpʃtɔ ofɐʒɛniɛ i satʃidɐnɛ nɐ pravada nɐ tʃɔvɛkɐ i nɛɡɔvitɛ ɔznɔfni sfopodi
human_rights_un_bul_eu_64kb_0009	kadɔ vzɛ prɛtvid tʃɛ opʃtɔdo rɐzpirɐnɛ nɐ tɛzi prɐva i sfopodi ɛ ɔd nɐjkolɐmo znɐtʃɛniɛ za pɤlnodo ɔsɤʃtɛzdvɐvanɛ nɐ dozi ɔpɛt
human_rights_un_bul_eu_64kb_0010	opʃtɔdo zɤprɐnɛprofɐzɡlazava dazi vsɛɔpʃtɐ tɛklarɐtsia za pravada nɐ tʃɔvɛkɐ kadɔ ɔpʃtɐ mjɐrka ɡɤm poztikɐnɛto nɐ kojato drabvɐ ta sɛ strɛmɐt vzitʃki nɐrɔti i dɤrʒafi dakɐ tʃɛ fzɛɡi tʃofɛk i fzɛɡi orɡan nɐ ɔbʃtɛsdfoto imɐjki pɔsdoɐnno prɛtvid dazi tɛklarɐtsia ta sɛ strɛmɐt tʃrɛz prɔzvɛta i oprasɔvɐniɛ ta zɐtɛjzdfɐd za satʃidɐnɛ nɐ tɛzi prɐva i sfopodi i tʃrɛz pɔsɫɛtɔvatɛlni nɐtsionaɫni i mɛʒtunarɔtni mɛrɡi ta ɔzikorat daxnɔtɔ vsɛɔpʃtɔ i ɛfɛkdifnɔ priznɐfɐnɛ i zpazfɐnɛ kakdɔ srɛt narotitɛ i dɐrʃɐvidɛtʃɫɛnɡi nɐ orkanisɐtsiɐdɐ dakɐ i srɛt narotitɛ ɔd tɛritɔriitɛ nɐmiraʃti sɛ pɔd daxnɐ juristiktsiɐ
human_rights_un_bul_eu_64kb_0011	tʃɫɛn
human_rights_un_bul_eu_64kb_0012	vzitʃki xɔra sɛ rɐʒdad zvopɔdni i rɐvni pɔ tostɔjnzdfɔ i prɐva
human_rights_un_bul_eu_64kb_0013	dɛ za natɐrɛni z razom i sɐfɛzd i sɫɛtfa ta sɛ odnɐzjad pomɛʃdu si v tux nɐ pradztvɔ
human_rights_un_bul_eu_64kb_0014	tʃɫɛn
human_rights_un_bul_eu_64kb_0015	fzɛɡi tʃofɛk ima prɐvo nɐ vzitʃki prɐva i sfopodi prɔfɐzɡlɐsɛni v dazi tɛklarɐtsia pɛz niɡɐkfi razlitʃia osnɔfɐni nɐ rasɐ tsvat nɐ koʃɐda pɔl ɛzik rɛɫiɡija pɔɫiditʃɛzki iɫi droki vɤskɫɛdi nɐtsionaɫɛn iɫi sotsiaɫɛn prɔizxɔt matɛriɐlnɔ ɔpʃtɛzdvɛnɔ iɫi drokɔ pɔɫɔʒɛniɛ
