human_rights_un_chi_nf_64kb_0001	ʂɯ˥˩tɕjɛ˥˩ɻə˧˥ntɕʰɥa˧˥nɕɥa˥njɛ˧˥n
human_rights_un_chi_nf_64kb_0002	ljɛ˧˥nhə˧˥kwɔ˧˥tɑ˥˩hwe˥˩ji˥tɕjo˨˩˦wsɨ˥˩pɑ˥njɛ˧˥nʂɯ˧˥ɚ˥˩ɥɛ˥˩ʂɯ˧˥ɯ˥˩ti˥˩nɛ˥nhɑ˥˩wtɕɥɛ˧˥i˥˩tʰo˥ŋkwɔ˥˩pi˥˩ŋpa˥npu˥˩
human_rights_un_chi_nf_64kb_0003	ɛ˥nn njɛ˧˥n ɛ˥nn ɥɛ˥˩ ɛ˥n ɯ˥˩ljɛ˧˥nhə˧˥kwɔ˧˥tɑ˥˩hwe˥˩jtʰo˥ŋkwɔ˥˩pi˥˩ŋpa˥npu˥˩ʂɯ˥˩tɕjɛ˥˩ɻə˧˥ntɕʰɥa˧˥nɕɥa˥njɛ˧˥n
human_rights_un_chi_nf_64kb_0004	ʈʂə˥˩i˧˥tɕy˥˩jo˨˩˦wli˥˩ʂɯ˨˩˦i˥˩i˥˩təɕɥa˥njɛ˧˥npa˥npu˥˩ho˥˩wtɑ˥˩hwe˥˩jjɑ˥wtɕʰjo˧˥wswɔ˧˥jo˨˩˦whwe˥˩jy˧˥nkwɔ˧˥kwɑ˨˩˦ŋwe˧˥jɕɥa˥nʈʂʰwa˧˥npi˥˩ŋtɕʰjɛ˨˩˦pu˥˩fə˥nkwɔ˧˥tɕja˥hwɔ˥˩li˧˥ŋtʰu˨˩˦təʈʂə˥˩ŋʈʂɯ˥˩ti˥˩we˥˩jʈʂu˨˩˦jɑ˥˩wtsa˥˩jkə˥˩tɕi˧˥ɕɥɛ˧˥ɕjɑ˥˩whə˧˥tɕʰi˧˥tʰɑ˥tɕjɑ˥˩wy˥˩tɕi˥ko˥˩wtɕja˥i˧˥ʈʂʰwa˧˥npwo˥ʈʂa˨˩˦nʂɯ˥˩ɥɛ˥˩tu˧˥hə˧˥ʈʂʰa˨˩˦nʂu˥˩
human_rights_un_chi_nf_64kb_0005	ɕɥa˥njɛ˧˥ntɕʰɥa˧˥nwə˧˥nɻu˧˥ɕja˥˩
human_rights_un_chi_nf_64kb_0006	ɕy˥˩jɛ˧˥n
human_rights_un_chi_nf_64kb_0007	tɕjɛ˥˩ny˧˥twe˥˩jɻə˧˥nle˥˩jtɕja˥tʰi˧˥ŋswɔ˧˥jo˨˩˦wʈʂʰə˧˥ŋɥɛ˧˥ntəku˥˩jo˨˩˦wtswə˥njɛ˧˥ntɕi˧˥tɕʰi˧˥pʰi˧˥ŋtə˨˩˦ŋtəhə˧˥pu˥˩i˧˥tətɕʰɥa˧˥nli˥˩təʈʂʰə˧˥ŋɻə˥˩nna˨˩˦jʂɯ˥˩ʂɯ˥˩tɕjɛ˥˩tsɨ˥˩jo˧˥wʈʂə˥˩ŋi˥˩y˥˩hə˧˥pʰi˧˥ŋtətɕi˥ʈʂʰu˨˩˦
human_rights_un_chi_nf_64kb_0008	tɕjɛ˥˩ny˧˥twe˥˩jɻə˧˥ntɕʰɥa˧˥ntəwu˧˥ʂɯ˥˩hə˧˥wu˧˥mjɛ˥˩i˨˩˦fɑ˥ʈʂa˨˩˦nwe˧˥jjɛ˨˩˦ma˧˥npɑ˥˩wɕi˧˥ŋʈʂe˥˩jɕjɛ˥pɑ˥˩wɕi˧˥ŋtjɛ˥˩nwu˥ljɑ˨˩˦wɻə˧˥nle˥˩jtəljɑ˧˥ŋɕi˥nɚ˧˥i˧˥kə˥˩ɻə˧˥nɻə˧˥nɕjɑ˧˥ŋjo˨˩˦wjɛ˧˥nlwə˥˩nhə˧˥ɕi˥˩njɑ˨˩˦ŋtsɨ˥˩jo˧˥wpi˥˩ŋmjɛ˨˩˦ny˨˩˦kʰo˨˩˦ŋtɕy˥˩hə˧˥kʰwe˥˩jfɑ˧˥təʂɯ˥˩tɕjɛ˥˩təla˧˥jli˧˥ni˨˩˦pe˥˩jɕɥa˥npu˥˩we˧˥jpʰu˨˩˦tʰo˥ŋɻə˧˥nmi˧˥ntətswe˥˩jkɑ˥wɥɛ˥˩nwɑ˥˩ŋ
human_rights_un_chi_nf_64kb_0009	tɕjɛ˥˩ny˧˥we˧˥jʂɯ˨˩˦ɻə˧˥nle˥˩jpu˥˩ʈʂɯ˥˩pʰwo˥˩pu˥˩tə˧˥i˨˩˦ɚ˧˥tso˨˩˦wɕjɛ˨˩˦ntwe˥˩jpɑ˥˩wʈʂə˥˩ŋhə˧˥ja˥pʰwo˥˩tɕi˥˩nɕi˧˥ŋfa˨˩˦npʰa˥˩njo˨˩˦wpi˥˩jɑ˥˩wʂɯ˨˩˦ɻə˧˥ntɕʰɥa˧˥nʂo˥˩wfɑ˨˩˦ʈʂɯ˥˩təpɑ˨˩˦whu˥˩
human_rights_un_chi_nf_64kb_0010	tɕjɛ˥˩ny˧˥jo˨˩˦wpi˥˩jɑ˥˩wtsʰu˥˩tɕi˥˩nkə˥˩kwɔ˧˥tɕjɛ˥njo˧˥whɑ˨˩˦wkwa˥nɕi˥˩təfɑ˥ʈʂa˨˩˦n
human_rights_un_chi_nf_64kb_0011	tɕjɛ˥˩ny˧˥kə˥˩ljɛ˧˥nhə˧˥kwɔ˧˥kwɔ˧˥tɕja˥təɻə˧˥nmi˧˥ni˨˩˦tsa˥˩jljɛ˧˥nhə˧˥kwɔ˧˥ɕjɛ˥˩nʈʂɑ˥ŋʈʂo˥ŋʈʂʰo˧˥ŋʂə˥ntʰɑ˥məntwe˥˩jtɕi˥pə˨˩˦nɻə˧˥ntɕʰɥa˧˥nɻə˧˥nkə˧˥tswə˥njɛ˧˥nhə˧˥tɕja˥˩ʈʂɯ˧˥i˨˩˦tɕi˧˥na˧˥nny˨˩˦pʰi˧˥ŋtə˨˩˦ŋtɕʰɥa˧˥nli˥˩təɕi˥˩nnjɛ˥˩npi˥˩ŋtɕɥɛ˧˥ɕi˥ntsʰu˥˩ʈʂʰə˧˥ŋtɕjɑ˥˩wtɑ˥˩tsɨ˥˩jo˧˥wʈʂo˥ŋtəʂə˥˩hwe˥˩jtɕi˥˩npu˥˩hə˧˥ʂə˥ŋhwɔ˧˥ʂwe˨˩˦jpʰi˧˥ŋtəka˨˩˦jʂa˥˩n
