human_rights_un_cze_msed_64kb_0001	vʃɛobɛtsnaː dɛklaratsɛ ldskiːtsɦ praːv
human_rights_un_cze_msed_64kb_0002	uːvod
human_rights_un_cze_msed_64kb_0003	u vjɛdomiː coɦoʒɛ uzɲaːɲiː pr̝jɪrozɛnɛː duːscojɲoscɪ a rovniːx a nɛztsjɪzjɪtɛlɲiːx praːv tʃlɛnuː ljɪdskɛː roɟjɪnɪ jɛ zaːkladɛm svobodɪ spravɛɟlnoscɪ a mjiːru vɛ svjɛcjɛʒɛ znɛuzɲaːɲiː ljɪdskiːx praːv a poɦrdaːɲiː jjɪmɪ vɛdlo k barbarskiːm tʃjɪnuːm uraːʒɛjjiːtsjiːm svjɛdomiː ljɪdscva a ʒɛ vɪbuɟovaːɲiː svjɛca vɛ kcɛrɛːm ljɪdɛː zbavɛɲiː scraxu a nouzɛ sɛ budou cjɛʃjɪcɪ svoboɟɛ projɛvu a pr̝ɛsvjɛɟtʃɛɲiː bɪlo proɦlaːʃɛno za nɛjvɪʃʃiː tsjiːl ljɪduʒɛ jɛ nutnɛː abɪ ljɪdskaː praːva bɪla xraːɲjɛna zaːkonɛm nɛmaːlɪ biːc tʃlovjɛk donutsɛn uxɪlovac sɛ kdɪʒ vʃɛ oscacɲiː sɛlɦalo k odbojɪ procɪ tɪranjɪɪ a uːclakuʒɛ jɛ nutnɛː podporovat rozvoj pr̝aːcɛlskiːx vzcaɦu mɛzɪ naːrodɪʒɛ ljɪd spojɛniːx naːroduː zduːrazɲjɪl v xarcɛ znovu svou vjiːru v zaːkladɲiː ljɪdskaː praːva v duːstojɲosc a ɦodɲocu ljɪdskɛː osobnoscɪ v rovnaː praːva muʒuː ɪ ʒɛn a ʒɛ sɛ rozɦodl podporovat sotsjɪaːlɲiː pokrok a vɪtvor̝jɪc lɛpʃiː ʒjɪvocɲiː poɟmjiːnkɪ vɛ vjɛcʃiː svobodjɛʒɛ tʃlɛnskɛː staːcɪ pr̝ɛvzalɪ zaːvazɛk zajjɪscjɪt vɛ spolupraːtsɪ s orɡanjɪzatsiː spojɛniːx naːroduː vʃɛobɛtsnɛː uznaːvaːɲiː a zaxovaːvaːɲiː ljɪdskiːx praːv a zaːklaɟnjiːx svobod aʒɛ stɛjnɛː xaːpaːɲiː tjɛxco praːv a svobod maː nɛsmjiːrniː viːznam pro dokonalɛː splnjɛɲiː toɦoco zaːvazku
human_rights_un_cze_msed_64kb_0004	valnɛː sɦromaːʒdjɛnjiːvɪɦlaʃujɛ tuco
human_rights_un_cze_msed_64kb_0005	vʃɛobɛtsnou dɛklaratsɪ ljɪdskiːx praːvjakoʒco spolɛtʃniː tsjiːl pro vʃɛxnɪ naːrodɪ a vʃɛxnɪ staːcɪ za cjiːm uːtʃɛlɛm abɪ sɛ kaʒdiː jɛɟɲocljɪvɛts a kaʒdiː orɡaːn spolɛtʃnoscɪ majɛ tuco dɛklaratsɪ scaːlɛ na mɪslɪ snaʒjɪl vɪutʃovaːnjiːm a viːxovou rozʃjiːr̝jɪc uːtscu k tjɛmco praːvuːm a svobodaːm a zajjɪscjɪl poscupniːmɪ opatr̝ɛnjiːmɪ vnjɪcrostaːtnjiːmɪ ɪ mɛzjɪnaːroɟɲjiːmɪ jɛjjɪx vʃɛobɛtsnɛː a uːtʃjɪnnɛː uznaːvaːɲiː a zaxovaːvaːɲiː jak mɛzɪ ljɪdɛm tʃlɛnskiːx staːcuː samiːx cak ɪ mɛzɪ ljɪdɛm uːzɛmiː jɛʒ jsou pod jɛjjɪx pravomotsiː
human_rights_un_cze_msed_64kb_0006	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0007	vʃjɪxɲɪ ljɪdɛː roɟiː sɛ svobodɲiː a sobɛ rovɲiː tso do duːscojɲoscɪ a praːv
human_rights_un_cze_msed_64kb_0008	jsou naɟaːɲɪ rozumɛm a svjɛdomjiːm a majiː spolu jɛdɲac v duxu bracrscviː
human_rights_un_cze_msed_64kb_0009	tʃlaːnɛk
human_rights_un_cze_msed_64kb_0010	kaʒdiː maː vʃɛxna praːva a vʃɛxnɪ svobodɪ scaɲovɛnɛː touco dɛklaratsiː bɛz jakɛːɦokolɪ rozljɪʃovaːɲiː zɛjmɛːna podlɛ rasɪ barvɪ poɦlaviː jazɪka naːboʒɛɲscviː poljɪcjɪtskɛːɦo nɛbo jjɪnɛːɦo smiːʃlɛɲiː naːrodnoscnjiːɦo nɛbo sotsjɪaːlnjiːɦo puːvodu majɛcku rodu nɛbo jjɪnɛːɦo postavɛɲiː
human_rights_un_cze_msed_64kb_0011	ʒaːdɲiː rozdjiːl nɛbudɛ daːlɛ tʃjɪnjɛn z duːvodu poljɪcjɪtskɛːɦo praːvnjiːɦo nɛbo mɛzjɪnaːroɟɲjiːɦo postavɛɲiː zɛmɛ nɛbo uːzɛmiː k njɪmʒ urtʃjɪcaː osoba pr̝jiːsluʃiː ac jdɛ o zɛmɪ nɛbo uːzɛmiː nɛzaːvjɪslɛː nɛbo pod porutʃɛnscvjiːm nɛsamospraːvnɛː nɛbo poɟrobɛnɛː jakɛːmukolɪ jjɪnɛːmu omɛzɛɲiː suvɛrɛɲjɪcɪ
