dan_0001	dən
dan_0002	dəkembər ʋɛdtoɡ oɡ offɛntliɡɡjordɛ fns tredie ɡənɛralforsamlinɡ
dan_0003	ʋerdensərklɛrinɡen om mɛnnɛskərəttiɡhedernə
dan_0004	ɛrklɛrinɡen bləʋ ʋɛdtaɡɛt məd
dan_0005	landɛs jastɛmmer inɡɛn landɛ stemte imod
dan_0006	landɛ afstod
dan_0007	umiddəlbart ɛfter dɛnnə historiskə beɡiʋənhɛd hɛnstillɛdɛ ɡɛnəralforsamlinɡentil allə mədlemslandɛ at də offɛntliɡɡjordɛ ɛrklɛrinɡens fuldɛ tɛkst
dan_0008	də skullədəsudən foranstalte at dən bliʋɛr omdɛlt frɛmlaɡt lɛst oɡ forklaret isɛrdeləshed i skolɛr oɡ andrɛ underʋisninɡsinstitutioner udən hɛnsyn til dəforskəlliɡə landɛs oɡ omrɔdərs politiske forhold
dan_0009	ɛrklɛrinɡens offikiɛllɛ tɛkst findɛs pɔ fns səks offikiɛllɛ sproɡ arabisk ɛnɡelskfransk kinɛsisk russisk oɡ spansk
dan_0010	endʋidɛrə har ən lanɡ rɛkkɛ af fnsmədlɛmslande fulɡt ɡɛneralforsamlinɡɛns opfordrinɡ oɡ oʋərsat ɛrklɛrinɡen tildɛt nationale sproɡ
dan_0011	dən danskɛ oʋərsɛttɛlsɛ pɔ də følɡɛnde sidɛr ər udarbejdɛtaf udɛnriɡsministɛriɛt
dan_0012	ʋəd hɛnʋəndəlsɛ til fns nordiskə informationskontor i købənhaʋn kan manɡratis rekʋirərɛ əksɛmplarər af ɛrklɛrinɡen pɔ hənholdsʋis fns offikiɛllɛ sproɡdə øʋriɡɛ nordiskə sproɡ samt ət bɛɡrɛnset antal andrɛ sproɡ
dan_0013	ʋerdensərklɛrinɡen om mɛnnɛskərəttiɡhedernə
dan_0014	indlɛdninɡ
