human_rights_un_dut_aw_64kb_0001	ˈyːnɪveːˈeːrsˈeːlˈeː vˈeːrklˈɑrɪnɣ vˈɑn dˈeː rˈeːseːhteːˈeːn vˈɑn dˈeː ɛmˈeːns
human_rights_un_dut_aw_64kb_0002	preːjɑmbˈyːlə
human_rights_un_dut_aw_64kb_0003	oːvərʋeːɣəndə dˈɑt ɛrkˈɛnɪŋ vˈɑn də ɪnheːrˈɛntə ʋˈaːrdəxhɛɪt ˈɛn vˈɑn də xəlˈɛɪkə ˈɛn ɔnvərvrˈeːmdbaːrə rɛxtə vˈɑn ˈɑlə lˈeːdə vˈɑn də mˈɛnsəɣəmeːnsxɑp xrˈɔntslɑx ˈɪs vˈoːr də vrˈɛɪhɛɪt xərˈɛxtəxhɛɪt ˈɛn vrˈeːdə ˈɪn də ʋˈeːrəlt
human_rights_un_dut_aw_64kb_0004	oːvərʋeːɣəndə dˈɑt tɛrzˈɛɪdəstɛlɪŋ vˈɑn ˈɛn mˈɪnɑxtɪŋ vˈoːr də rɛxtə vˈɑn də mɛns xəlˈɛɪt hˈɛbə tɔt bɑrbˈaːrsə hˈɑndəlɪŋə dˈiː hɛt xəʋˈeːtə vˈɑn də mˈɛnshɛɪt xəʋɛlt hˈɛbə ˈaːŋɣədaːn ˈɛn dˈɑt də kɔmst vˈɑn ˈeːn ʋˈeːrəlt ʋˈaːrɪn də mˈɛnsə vrˈɛɪhɛɪt vˈɑn mˈeːnɪŋsœɪtɪŋ ˈɛn xəloːf zˈʉlə xənˈiːtə ˈɛn vrɛɪ zˈʉlə zˈɛɪn vˈɑn vreːs ˈɛn xəbrɛk ˈɪs vərkˈɔndəxt ɑls hɛt hˈoːxstə iːdeːjaːl vˈɑn ˈiːdərə mɛns
human_rights_un_dut_aw_64kb_0005	oːvərʋeːɣəndə dˈɑt hɛt vˈɑn hɛt xrˈoːtstə bəlˈɑŋ ˈɪs dˈɑt də rɛxtə vˈɑn də mɛns bəsxˈɛrmt ʋˈɔrdə dˈoːr də syːpreːmaːtsˈiː vˈɑn hɛt rɛxt ˈɔbdˈɑt də mɛns nˈiːt xədʋˈɔŋə ʋˈɔrdə ɔm ˈɪn lˈaːtstə ɪnstˈɑnsiː zˈɛɪn tˈuːvlʉxt tə nˈeːmə tɔt ˈɔpstɑnt tˈeːɣə tiːrɑnˈiː ˈɛn ɔndərdrˈʉkɪŋ
human_rights_un_dut_aw_64kb_0006	oːvərʋeːɣəndə dˈɑt hɛt vˈɑn hɛt xrˈoːtstə bəlˈɑŋ ˈɪs ɔm də ɔntʋɪkəlɪŋ vˈɑn vriːntsxˈɑpələkə bətrɛkɪŋə tˈʉsə də nˈaːtsiːs tə bəvˈɔrdərə
human_rights_un_dut_aw_64kb_0007	oːvərʋeːɣəndə dˈɑt də vɔlkərə vˈɑn də vɛreːnəɣdə naːtsiːs ˈɪn hɛt hˈɑntfɛst hˈʉn vərtrɯʋə ˈɪn də fʉndaːmɛntˈeːlə rɛxtə vˈɑn də mɛns ˈɪn də ʋˈaːrdəxhɛɪt ˈɛn də ʋˈaːrdə vˈɑn də mɛns ˈɛn ˈɪn də xəlˈɛɪkə rɛxtə vˈɑn mˈɑnə ˈɛn vrɯʋə ɔpnˈiːʋ hˈɛbə bəvˈɛstəxt ˈɛn bəslˈoːtə hˈɛbə ɔm soːʃˈaːlə voːrˈœɪtxɑŋ ˈɛn ˈeːn hoːɣərə lˈeːvəstɑndaːrt ˈɪn xrˈoːtər vrˈɛɪhɛɪt tə bəvˈɔrdərə
human_rights_un_dut_aw_64kb_0008	oːvərʋeːɣəndə dˈɑt də stˈaːtə ʋˈɛlkə lˈiːt zˈɛɪn vˈɑn də vɛreːnəɣdə naːtsiːs zˈɪx plˈɛxtəx vərbˈɔndə hˈɛbə ɔm ˈɪn sˈaːmənʋɛrkɪŋ mˈɛt də oːrɣaːniːzaːtsiː vˈɑn də vɛreːnəɣdə naːtsiːs oːvərɑl də ˈeːrbiːt vˈoːr ˈɛn ɪnˈɑxtneːmɪŋ vˈɑn də rɛxtə vˈɑn də mɛns ˈɛn də fʉndaːmɛntˈeːlə vrˈɛɪheːdə tə bəvˈɔrdərə
human_rights_un_dut_aw_64kb_0009	oːvərʋeːɣəndə dˈɑt hɛt vˈɑn hɛt xrˈoːtstə bəlˈɑŋ ˈɪs vˈoːr də vɔlˈeːdəɣə nˈaːkoːmɪŋ vˈɑn dˈeːzə vərbˈɪntənɪs dˈɑt ˈeːn ˈiːdər bəɣrɪp hˈɛbə vˈoːr dˈeːzə rɛxtə ˈɛn vrˈɛɪheːdə
human_rights_un_dut_aw_64kb_0010	ɔp xrˈɔnt daːrvˈɑn proːklaːmˈeːrt də ɑlɣəmeːnə vərɣaːdərɪŋ dˈeːzə ˈyːniːvɛrzˈeːlə vɛrklaːrɪŋ vˈɑn də rɛxtə vˈɑn də mˈɛns ɑls hɛt xəmeːnsxˈɑpələk dˈoːr ˈɑlə vɔlkərə ˈɛn ˈɑlə nˈaːtsiːs tə bərˈɛɪkə iːdeːjaːl ˈɔbdˈɑt ˈiːdər ɪndiːviːdˈyː ˈɛn ˈɛlk ɔrɣaːn vˈɑn də xəmˈeːnsxɑp mˈɛt dˈeːzə vərklaːrɪŋ vˈoːrdyːrənt vˈoːr oːɣə ˈɛr nˈaːr zˈɑl strˈeːvə dˈoːr ˈɔndərʋɛɪs ˈɛn ˈɔpfuːdɪŋ də ˈeːrbiːt vˈoːr dˈeːzə rɛxtə ˈɛn vrˈɛɪheːdə tə bəvˈɔrdərə ˈɛn dˈoːr voːrˈœɪtstreːvəndə maːtreːɣələ ˈɔp nɑtʃoːnˈaːl ˈɛn ɪntərnɑtʃoːnˈaːl tɛrɛɪn dˈeːzə rɛxtə ɑlɣəmˈeːn ˈɛn daːdʋˈɛrkələk tə dˈuːn ɛrkˈɛnə ˈɛn tˈuːpɑsə zoːʋˈɛl ˈɔndər də vɔlkərə vˈɑn stˈaːtə dˈiː lˈiːt vˈɑn də vɛreːnəɣdə naːtsiːs zˈɛɪn zˈɛlf ɑls ˈɔndər də vɔlkərə vˈɑn xəbˈiːdə dˈiː ˈɔndər hˈʉn jyːrəzdˈɪksiː stˈaːn
human_rights_un_dut_aw_64kb_0011	aːrtˈiːkəl
