human_rights_un_eo_ac_64kb_0001	niversala eklaratʃo r omaj aitoj
human_rights_un_eo_ac_64kb_0002	doptita kaj proklamita r edzolutʃo r la enerala sembleo an r rtʃembro
human_rights_un_eo_ac_64kb_0003	ntakonsirroj
human_rights_un_eo_ac_64kb_0004	ro tio ke aɲosko r la esenka dˈiːrɲo kaj r la euɲɲalai kaj nefordoneblaj rajtoj r ʃj membroj r la ∅omara familio estas la fundamento r libero justo kaj pako en la mondo
human_rights_un_eo_ac_64kb_0005	ro tio ke malaɲosko kaj malestimo r la ∅omaj rajtoj edzultidʒs barbarajn auɡoin kʃj forte ofˈɛndedˈiːrs la konʃenkon r la ∅omaro kaj ke la efˈɛndktivio r tia mondo en kʃ la ∅omoj wos libeekon r parolo kaj r kredo kaj liberion el timo kaj bˈeːrdzono estas proklamita kiel la plej alta aspiro r ordˈiːraraj ∅omoj
human_rights_un_eo_ac_64kb_0006	ro tio ke nepe netʃesas se la ∅omoj ne estu rvidʒtaj sen alia elektebla vojo ribeli kontra tiranismo kaj subpemo ke la ∅omaj rajtoj estu protektataj r la leo
human_rights_un_eo_ac_64kb_0007	ro tio ke nepe netʃesas evoluidʒ amikajn rilatojn inter la atʃoj
human_rights_un_eo_ac_64kb_0008	ro tio ke la popoloj r nwiintaj atʃoj en la arto easertis sian firman kredon je la fundamentaj ∅omaj rajtoj je la dˈiːrɲo kaj valoro r la ∅oma personeko kaj je la euɲɲalai rajtoj r viroj kaj virinoj kaj firme rtʃdˈiːrs antaenidʒ sotʃan prodʒeson kaj pli altnivelan vivon en pli ɡranda libeeko
human_rights_un_eo_ac_64kb_0009	ro tio ke la tatojembroi sin rvidʒs atindʒ en kunlaboro kun nwiintaj atʃoj la antaeniuɡon r universala espekto al kaj observado r la ∅omaj rajtoj kaj fundamentaj libeekoj
human_rights_un_eo_ac_64kb_0010	ro tio ke komua kompeno pri tʃj i rajtoj kaj libeekoj estas esentʃe ɡrava por plea ealidʒo r tʃ siervidʒo
human_rights_un_eo_ac_64kb_0011	ial nwn
human_rights_un_eo_ac_64kb_0012	a enerala sembleo
human_rights_un_eo_ac_64kb_0013	roklamas tʃn i niversalan eklaratʃon r omaj aitoj kiel komunan tʃelon r atinuɡo por ʃj popoloj kaj ʃj atʃoj por tio ke ʃ indˈiːrvidwo kaj ʃ orɡano r la sotʃo konstante atentante i tʃn eklaratʃon per instruado kaj edukado strebu al espektiɡo r tʃj i rajtoj kaj libeekoj kaj per laɡradaj paoj atʃaj kaj interatʃaj tʃertiuɲɲu ilian universalan kaj efˈɛndktivan aɲoskon kaj observadon same tiel inter la popoloj r la tatojembroi mem kiel inter la popoloj r teritorioj sub ilia jurisdˈiːrktʃo
human_rights_un_eo_ac_64kb_0014	rtikolo
human_rights_un_eo_ac_64kb_0015	ʃj ∅omoj estas raske liberaj kaj euɲɲalai la dˈiːrɲo kaj rajtoj
human_rights_un_eo_ac_64kb_0016	li posedas ratʃon kaj konʃenkon kaj rvus konduti unw al alia en spirito r frateko
human_rights_un_eo_ac_64kb_0017	rtikolo
human_rights_un_eo_ac_64kb_0018	ʃj rajtoj kaj libeekoj dˈiːrfinitaj en tʃ i eklaratʃo validas same por ʃj ∅omoj sen kia ajn dˈiːrfˈɛndentʃɡo u la raso ∅atkoloro sekso linuɲɲvo elidʒo politika a alia opinio atʃa a sotʃa rveno posedaoj askio a alia stato
human_rights_un_eo_ac_64kb_0019	lie nenia dˈiːrfˈɛndentʃɡo estu farata surbadze r la politika jurisdˈiːrktʃa a interatʃa podzitʃo r la lando a teritorio al kʃ aparteas la kontʃera persono senkonsidˈeːre u i estas sˈɛnderpenda sub kuratoeko nesineuɡanta a sub kia ajn alia limiuɡo r la suveeneko
human_rights_un_eo_ac_64kb_0020	rtikolo
human_rights_un_eo_ac_64kb_0021	ʃ ∅avas la rajtoin je vivo libeeko kaj persoa sekueko
human_rights_un_eo_ac_64kb_0022	rtikolo
human_rights_un_eo_ac_64kb_0023	enʃ estu teata en sklaveko a servuteko
