fil_0001	nɔːoŋ disjembe aŋ paŋkalahataŋ kapuluŋan ŋ mdʒa bansaŋ
fil_0002	nadʒkakaisa aj nadʒsadʒawa at nadʒpahajadʒ ŋ pandaidʒdidʒ na pahajadʒ ŋ mdʒa
fil_0003	kaapatan ŋ tao
fil_0004	aŋ buoŋ nilalaman nɔːon aj mababasa sa mdʒa susunod napahina
fil_0005	kasunod ŋ makasajsajaŋ dʒawaiŋ ito aŋ kapuluŋan ajnanawadʒan sa lahat ŋ mdʒa kadʒawad ŋ bansa upaŋ ilathala aŋ nilalaman ŋ
fil_0006	pahajadʒ at upaŋ itoj paladʒanapin itaŋhal basahin at talakajin laluŋlalona sa mdʒa paaalan at iba paŋ institusjoŋ edukasjonal naŋ walaŋpadʒtataŋi bataj sa kaladʒajaŋ pulitikal ŋ mdʒa bansa ɔː mdʒa teitɔːjo
fil_0007	
fil_0008	paŋwakas na tekstoŋ maj pahintulot na salin sa pilipino ŋ katipunan ŋ
fil_0009	badʒoŋ pilipina
fil_0010	ipinaabot ŋ punoŋ paŋkaalaman ŋ mdʒa bansaŋ
fil_0011	nadʒkakaisa paa sa pilipinas aŋ tauspusoŋ pasasalamat sa law kente ŋ
fil_0012	pamantasan ŋ pilipinas na unaŋ nadʒlimbadʒ ŋ pahajadʒ na ito na salin sa
fil_0013	pilipino
fil_0014	ipinalimbadʒ ŋ punoŋ paŋkaalaman ŋ mdʒa bansaŋ nadʒkakaisapaa sa pilipinas at ŋ kadʒawaan ŋ kabatiaŋ paŋmadla ŋ mdʒa bansaŋ
fil_0015	nadʒkakaisa
fil_0016	pandaidʒdiɡ na padʒpapahajaɡ nɡ mdʒa kaɾapatan nɡ tao
fil_0017	panimula
fil_0018	sapadʒkat aŋ padʒkilala sa katutuboŋ kaaŋalan at sa pantaj at dimaikakaitna mdʒa kaapatan ŋ lahat ŋ nabibilaŋ sa aŋkan ŋ tao aj sijaŋ salidʒan ŋkalajaan katauŋan at kapajapaan sa daidʒdidʒ
fil_0019	sapadʒkat aŋ padʒwawalaŋbahala at padʒlalapastaŋan sa mdʒa kaapatan ŋtao aj nadʒbuŋa ŋ mdʒa dʒawaŋ dimakatao na humamak sa budhi ŋsaŋkatauhan at aŋ padʒdatal ŋ isaŋ daidʒdidʒ na aŋ mdʒa tao ajmadʒtatamasa ŋ kalajaan sa padʒsasalita at ŋ kalidʒtasan sa paŋamba atpadʒdaalita aj ipinahajadʒ na pinakamataas na mithiin ŋ mdʒa kaaniwaŋ tao
fil_0020	sapadʒkat mahaladʒa kuŋ aŋ tao aj dipipilitiŋ maŋhawakan bilaŋ huliŋmadʒadʒawa sa padʒhihimadʒsik laban sa paniniil at paŋaapi na aŋ mdʒakaapatan ŋ taoj mapaŋaladʒaan sa pamamadʒitan ŋ padʒhahai ŋ batas
fil_0021	sapadʒkat mahaladʒaŋ itadʒujod aŋ padʒpapaunlad ŋ mabutiŋ padʒsasamahanŋ mdʒa bansa
fil_0022	sapadʒkat aŋ mdʒa mamamajan ŋ mdʒa bansaŋ nadʒkakaisa aj nadʒpatibaj sa
fil_0023	kata ŋ kanilaŋ pananalidʒ sa mdʒa salidʒaŋ kaapatan ŋ tao sa kaaŋalan atkahaladʒahan ŋ padʒkatao at sa pantaj na mdʒa kaapatan ŋ mdʒa lalaki at babaeat nadʒpapasijaŋ itadʒujod aŋ kaunlaaŋ panlipunan at laloŋ mabubutiŋpamantajan ŋ buhaj sa laloŋ malakiŋ kalajaan
fil_0024	sapadʒkat aŋ mdʒa kasapiŋ ɛstado aj naŋako sa kanilaŋ saili na tamuhin sapakikipadʒtuluŋan sa mdʒa bansaŋ nadʒkakaisa aŋ padʒtatadʒujod ŋpandaidʒdidʒ na padʒdʒalaŋ at padʒtalima sa mdʒa kaapatan ŋ tao at mdʒa salidʒaŋkalajaan
fil_0025	sapadʒkat lubhaŋ mahaladʒa aŋ padʒkakaunawa ŋ lahat sa mdʒa kaapatan atkalajaaŋ ito at lubhaŋ mahaladʒa sa dʒanap na padʒsasakatupaan ŋ mdʒapaŋakoŋ ito
fil_0026	ŋajon samakatuwid
fil_0027	aŋ paŋkalahataŋ kapuluŋanaj nadʒpapahajadʒ ŋ
fil_0028	pandaidʒdidʒ na padʒpapahajadʒ na itoŋ mdʒa kaapatan ŋ taobilaŋ paŋkalahataŋ pamantajaŋ maisasadʒawa paa sa lahat ŋ tao atbansa sa lajuniŋ aŋ bawat tao at bawat dʒalamaj ŋ lipunan na ladʒiŋ nasaisip aŋ pahajadʒ na ito aj madʒsikap sa pamamadʒitan ŋ padʒtutuo atedukasjon na maitadʒujod aŋ padʒdʒalaŋ sa mdʒa kaapatan at kalajaaŋ ito atsa pamamadʒitan ŋ mdʒa hakbaŋ na padʒsuloŋ na pambansa at pandaidʒdidʒ ajmakamtan aŋ paŋkalahatan at mabisaŋ padʒkilala at padʒtalima sa mdʒa itomadʒiŋ ŋ mdʒa mamamajan ŋ mdʒa kasapiŋ ɛstado at ŋ mdʒa mamamajanŋ mdʒa teitɔːjo na nasa ilalim ŋ kanilaŋ nasasakupan
fil_0029	atikulo
