human_rights_un_fri_sn_64kb_0001	ˈyːniːvɛrzˈeːlə fɛrkleːjˈɑrɪŋ fˈɛn də rjɔxtə fˈɛn də mˈɪnskə
human_rights_un_fri_sn_64kb_0002	ˈyːniːvɛrzˈeːlə fɛrkleːjˈɑrɪŋ fˈɛn də rjɔxtə fˈɛn də mˈɪnskə prˈoːklˈaːməɑrə ˈɔp dɛsɪmbər trˈɔx də ɑlɣəmˈiːnə xəɑrkɔmstə fˈɛn ˈeːjə feːrˈiːnə naːsjəs
human_rights_un_fri_sn_64kb_0003	prˈeː#ɑmbˈyːlə
human_rights_un_fri_sn_64kb_0004	ˈɛɪn bətˈɪŋkə nˈɔmə dˈɑt ɪt ɛrkˈɛnə fˈɛn də jnhɛrˈɪntə ʋˈeːɑrdɪxhɛɪt ˈɛn fˈɛn də xəlˈɪkəsə ˈɛn nfərfrjɛmdbərə rjɔxtə fˈɛn ˈɑlə lˈeːdə fˈɛn də mˈɪnskeːmjˈɛːskɪp xrnslɑx ˈɪs foːɑr də frɛɪhɛɪt rjɔxtfˈiːrdəɣəns ˈɛn freːdə jn ˈeːjə ʋrlt
human_rights_un_fri_sn_64kb_0005	ˈɛɪn bətˈɪŋkə nˈɔmə dˈɑt ɪt oːʋˈaːn ˈeːjə kˈɑnt skˈoːʋə ˈɛn lˈiːtsɑxtʃə fˈɛn ˈeːjə rjɔxtə fˈɛn ˈeːjə mˈɪnskə lˈaːt hɒːʋə taː bɑrbˈaːrskə diːdə diːt ɪt xəʋˈɪsə fˈɛn ɪt mɪnzɡdɔrn fɑkseːjˈɑrə hɒːʋə ˈɛn dˈɑt də kɔmst fˈɛn ˈɪn ʋrlt drt mˈɪnskə frɛɪhɛɪt fˈɛn mˈiːnɪŋsyːtˈeːrɪŋ ˈɛn lˈɛɯʋˈə bˈɑrə mˈɛɪ ˈɛn hjaː frɛɪ ʋzə sˈɪlə fˈɛn əˈɑŋst ˈɛn fɛrlˈɛt fɛrkˈʉndəɣə ˈɪs ˈɑs ɪt hˈeːxstə iːdeːjaːl fˈɛn ˈɛlk mˈɪnskə
human_rights_un_fri_sn_64kb_0006	ˈɛɪn bətˈɪŋkə nˈɔmə dˈɑt ɪt fˈɛn ɪt xrˈʉtstə bəlˈɑŋ ˈɪs dˈɑt də rjɔxtə fˈɛn də mˈɪnskə bəskɛrmə ʋˈʉrdə trˈɔx də sʉprˈɛmˈaːsjə fˈɛn ɪt rjɔxt dˈɑt də mˈɪnskə nˈɛt tʋɔŋə ʋˈʉrdə mˈɛɪ ɔm jn lstə jnstnsjə siːn tˈaːflɛxt tə nˈɪmə taː ˈɔpstn tʃˈɪn tiːrɑniː ˈɛn ndərdrˈʉkɪŋ
human_rights_un_fri_sn_64kb_0007	ˈɛɪn bətˈɪŋkə nˈɔmə dˈɑt ɪt fˈɛn ɪt xrˈʉtstə bəlˈɑŋ ˈɪs də ntjɯʋɪŋ fˈɛn freːjˈɔnskiːplɑjk bətrˈɛkɪŋs tˈʉskə də nˈaːsjəs fyːɒːr tə stˈɛrkjə
human_rights_un_fri_sn_64kb_0008	ˈɛɪn bətˈɪŋkə nˈɔmə dˈɑt də fɔlkə fˈɛn ˈeːjə feːrˈiːnə naːsjəs jn ɪt hnfɛst hˈɑr bətrɯʋə jn ˈeːjə fneːmɪntˈeːlə rjɔxtə fˈɛn ˈeːjə mˈɪnskə jn də ʋˈeːɑrdɪxhɛɪt ˈɛn də ʋˈeːɑrdə fˈɛn ˈeːjə mˈɪnskə ˈɛn jn də xəlˈɪkəsə rjɔxtə fˈɛn mˈɑnljˈyː ˈɛn fruːljˈyː ˈɔp ˈeːjə nˈɛɪ bəfɛstəɣə hɒːʋə ˈɛn bəslˈɛtə hɒːʋə sˈɔʃaːlə foːɑrtxɔŋ ˈɛn ˈɪn hˈeːɣərə lˈɪbəstɑndərt jn xrˈʉtər frɛɪhɛɪt tə bəfɒːrdərjə
human_rights_un_fri_sn_64kb_0009	ˈɛɪn bətˈɪŋkə nˈɔmə dˈɑt də steːjˈaːtə diːt lˈɪt bˈɪnə fˈɛn ˈeːjə feːrˈiːnə naːsjəs plˈɛxtɪx tˈɑsɛɪn hɒːʋə ɔm jn xəɑrʋʉrkɪŋ mˈɛɪ də ɔrɣaːniːzaːɑsjəs fˈɛn ˈeːjə feːrˈiːnə naːsjəs rnɔm də ˈiːrbiːt foːɑr ˈɛn ɪt jnˈɑxtnˈɪmə fˈɛn ˈeːjə rjɔxtə fˈɛn ˈeːjə mˈɪnskə ˈɛn də fneːmɪntˈeːlə frɛɪhɛɪt tə bəfɒːrdərjə
human_rights_un_fri_sn_64kb_0010	ˈɛɪn bətˈɪŋkə nˈɔmə dˈɑt ɪt fˈɛn ɪt xrˈʉtstə bəlˈɑŋ ˈɪs foːɑr ɪt fˈɔlslɛɪn tfiːjˈeːrə fˈɛn diː ˈuːriːjəkɔmst dˈɑt ˈɛlkənˈiːn ˈɪn xuːt bəɣriːp hɑt fˈɛn diː rjɔxtə ˈɛn frˈɛɪheːdə
human_rights_un_fri_sn_64kb_0011	drɔm prˈoːklˈaːməɑrɛt də ɑlɣəmˈiːnə xəɑrkɔmstə dˈɪzə ˈyːniːvɛrzˈeːlə fˈeːəlˈɑrɪŋ fˈɛn də rjɔxtə fˈɛn də mˈɪnskə ˈɑs ɪt mˈiːnskiːplɪk trˈɔx ˈɑlə fɔlkə ˈɛn nˈaːsjəs tə bərˈɪkə iːdeːjaːl mˈɛɪ ɪt dˈuːl dˈɑt ˈɛlk ˈɪndiːviːdˈyː ˈɛn ˈɛlk ɔrɣaːn fˈɛn ˈeːjə mˈiːnskɪp mˈɛɪ dˈɪzə fˈeːəlˈɑrɪŋ hˈiːltiːt foːɑr eːjˈaːɣə dˈɛr nˈɛɪ strˈɪpjə sˈɪl ɔm trˈɔx ndərʋˈɪˈiː ˈɛn ˈɔpfiːdɪŋ də ˈiːrbiːt foːɑr diː rjɔxtə ˈɛn frˈɛɪheːdə tə bəfɒːrdərjə ˈɛn trˈɔx foːɑrtstrˈɪpjəndə mˈaːtreːɣəls nˈaːsjoːnˈaːl ˈɛn jntɛrnˈaːsjoːnˈaːl diː rjɔxtə ɑlɣəmˈiːn ˈɛn ˈɛxt ɛrkˈɛnə ˈɛn tˈɑpɑsə tə lˈɪtə lˈɪkəɣuːt ndər də fɔlkə fˈɛn steːjˈaːtə diːt lˈɪt fˈɛn ˈeːjə feːrˈiːnə naːsjəs bˈɪnə ˈɑs ndər də fɔlkə fˈɛn xəbˈiːtə ndər hˈɑr jyːrəzdˈɪksjə
