human_rights_un_frn_ezwa_64kb_0001	deklaʁatjɔn ynivesɛl d dʁwat d l’ɔm
human_rights_un_frn_ezwa_64kb_0002	pʁeambyl
human_rights_un_frn_ezwa_64kb_0003	kɔnsideʁan k la ʁɛkɔnesans d la diɲite ineRɑ̃t a tu l mɛmbʁ d la famil ymen ɛ d lœʁ dʁwat ego ɛ inaljenabl kɔ̃stitu l fɔ̃dəmɑ̃ d la libete d la ʒystis ɛ d la pɛ dan l mɔ̃d
human_rights_un_frn_ezwa_64kb_0004	kɔnsideʁan k la mekonɛsɑ̃s ɛ l mepRi d dʁwat d l’ɔm ɔn kɔndɥi a d akt d baʁbaʁj ki Revɔltɛn la kɔnsjɛns d l’ymanite ɛ k l’avɛnəmɑ̃ d’yn mɔnd ɔù l ɛtR umɛ̃ səRɔ̃ libʁ d paʁle ɛ d kRwaR libeRe d la teʁœʁ ɛ d la misk a ete pRoklame kɔm la ply ot aspiRasjɔ̃ d l’ɔm
human_rights_un_frn_ezwa_64kb_0005	kɔnsideʁan k’il t sɛntjɛl k l dʁwat d l’ɔm swa pRoteʒe paʁ yn ʁegm d dʁwa puʁ k l’ɔm n swa pa kɔ̃tRɛ̃ ɛn sypʁɛm RəkyRs a la Revɔlt kɔ̃tR la tiRani ɛ l’ɔpʁsl
human_rights_un_frn_ezwa_64kb_0006	kɔnsideʁan k’il t sɛntjɛl d’ɛnkuʁagʁ l devɛlɔpɛmɛn d ʁɛlatjɔn amikal ɑ̃tR nasjons
human_rights_un_frn_ezwa_64kb_0007	kɔnsideʁan k dan la ʃaʁt l pœpl d natjɔn ynj ɔn pRoklame a nuvo lœR fwa dan l dʁwat fɔndamɛnto d l’ɔm dan la diɲite ɛ la valœʁ d la pesɔn ymenɛ dan l’eglite d dʁwat d ɔm ɛ d fɛmɛs ɛ k’il s sɔn deklaRe Rezolu a favoRize l pʁɔgɛ sɔsjal ɛ a ɛ̃stoRe d mɛlœʁ kɔnditjɔn d vj dan yn libete ply gandɛ
human_rights_un_frn_ezwa_64kb_0008	kɔnsideʁan k l etat mɛmbʁ s sɔn ɑ̃gaʒe a asuRe ɛn kɔpeʁatjɔn avɛk l’ɔʁgnizatjɔn d natjɔn ynʁ l ʁpɛkt ynivesɛl ɛ ɛfɛktif d dʁwat d l’ɔm ɛ d libete fɔ̃damɑ̃tam
human_rights_un_frn_ezwa_64kb_0009	kɔnsideʁan k’yn kɔnsɛptjɔn komun d s dʁwat ɛ libete t d la ply ot impɔʁtans puʁ ʁɛmpliʁ plɛnəmɑ̃ sɛ ɛŋagmɛnt
human_rights_un_frn_ezwa_64kb_0010	l’asɛmble gneʁal
human_rights_un_frn_ezwa_64kb_0011	pʁɔklam la pRezɑ̃t deklaʁatjɔn ynivesɛl d dʁwat d l’ɔm kɔm l’ideal kɔmyn a atɛndʁ paʁ tu l pœpl ɛ tut l nasjɔ̃ afin k tu l ɛ̃dividy ɛ tu l ɔʁgn d la zɔsjete ɛjɑ̃ sɛt deklaʁatjɔn kɔ̃stamɑ̃ a l’pʁit s’ɛfɔʁsɛnt paʁ l’ɛnsɛɲɛmɛn ɛ l’edykatl d devɛlɔpe l ʁpɛkt d s dʁwat ɛ libete ɛ d’ɛn asuRe paʁ d myʁ pRogResiv d’ɔʁdʁ natjɔnal ɛ intenatjɔnal la ʁɛkɔnesans ɛ l’aplikatjɔn univɛRsɛl ɛ efɛktje tɑ̃ paRmi l pɔpylatjɔn d etat mɛmbʁ ømɛm k paRmi sɛl d teʁitwaʁ plase sy lœR ʒyʁidiktjɔn.
human_rights_un_frn_ezwa_64kb_0012	aʁtikl pʁɛmje
human_rights_un_frn_ezwa_64kb_0013	tu l ɛtR umɛ̃ nɛs libʁ ɛ ego ɛn diɲite ɛ ɛn dʁwats.
human_rights_un_frn_ezwa_64kb_0014	il sɔn dwe d ʁezɔn ɛ d kɔnsjɛns ɛ dwav aʒiR l œ̃ ɛnve l otʁ dan yn ɛspRi d fRatɛRnite.
human_rights_un_frn_ezwa_64kb_0015	aʁtikl 2
human_rights_un_frn_ezwa_64kb_0016	ʃakyn pœ s pʁevalwaʁ d tu l dʁwat ɛ d tut l libete pRoklame dan la pRezɑ̃t deklaʁatl sɑ̃ distɛ̃ksjɔ̃ okynɛ notamɑ̃ d ʁasɛ d kulœʁ d zɛksɛ d laŋœ d Rəliʒjo d’ɔpinjɔn pɔlitik u d tut otʁ ɔpinl d’ɔʁign natjɔnal u sosjn d fɔʁtynɛ d nesans u d tut otʁ zitɥatjɔn.
human_rights_un_frn_ezwa_64kb_0017	dɛ plus il n zea fɛ okyn distɛ̃ksjɔ̃ fɔ̃de syʁ l staty pɔlitikɛ ʒyʁidik u intenatjɔnal dy pɛj u dy teʁitwaʁ dɔn yn pesɔn t ʁsɔʁtisantɛ k s pɛj u teʁitwaʁ swa ɛ̃depɑ̃dy sy tytɛt nɔn otɔnɔm u sumi a yn limitatjɔn kɛlkɔ̃k d zuvenɛte.
human_rights_un_frn_ezwa_64kb_0018	aʁtikl 3
human_rights_un_frn_ezwa_64kb_0019	tu individy a dʁwa a la vje a la libete ɛ a la syʁɛte d sa pesɔnɛ.
human_rights_un_frn_ezwa_64kb_0020	aʁtikl 4
human_rights_un_frn_ezwa_64kb_0021	nyl n zea tənu ɛn klavaʒ ni ɛn zevityd
human_rights_un_frn_ezwa_64kb_0022	l’klavaʒ ɛ la tʁet d klav sɔn intedit sy tut lœʁ fɔʁm.
human_rights_un_frn_ezwa_64kb_0023	aʁtikl 5
human_rights_un_frn_ezwa_64kb_0024	nyl n zea sumi a la tɔRtuR ni a d pɛn u tʁetɛmɛnt œs inumɛ̃ u degadants.
human_rights_un_frn_ezwa_64kb_0025	aʁtikl 6
human_rights_un_frn_ezwa_64kb_0026	ʃakyn a l dʁwa a la ʁɛkɔnesans ɛn tu ljœ d sa pesɔnalite ʒyʁidikɛ.
human_rights_un_frn_ezwa_64kb_0027	aʁtikl 7
human_rights_un_frn_ezwa_64kb_0028	tu sɔn ego dɛvan la lwa ɛ ɔn dʁwa sɑ̃ distɛ̃ksjɔ̃ a yn egal pʁɔtɛktjɔn d la lwa.
human_rights_un_frn_ezwa_64kb_0029	tu ɔn dʁwa a yn pʁɔtɛktjɔn egal kɔ̃tR tut diskʁiminatjɔn ki vjolaʁe la pRezɑ̃t deklaʁatjɔn ɛ kɔ̃tR tut pRovokasjɔ̃ a yn tɛl diskʁiminatjɔn.
human_rights_un_frn_ezwa_64kb_0030	aʁtikl 8
human_rights_un_frn_ezwa_64kb_0031	tut pesɔn a dʁwa a yn RəkyR ɛfɛktif dɛvan l ʒuRidiksjɔ̃ nasjonal kɔmpetɛnt kɔ̃tR l akt vjolɑ̃ l dʁwat fɔndamɛnto ki lɥi sɔn Rəkonu paʁ la kɔnstitytjɔn u paʁ la lwa.
human_rights_un_frn_ezwa_64kb_0032	aʁtikl 9
human_rights_un_frn_ezwa_64kb_0033	nyl n pœ ɛtʁ aʁbitʁeʁɛmɛn aʁɛte detɛny ni ɛgzile.
human_rights_un_frn_ezwa_64kb_0034	aʁtikl 10
human_rights_un_frn_ezwa_64kb_0035	tut pesɔn a dʁwat ɛn plɛn egls a s k sa koz swa ɑ̃tɑ̃du ekitablɛmɛn ɛ publikəmɑ̃ paʁ yn tʁibynal indepɛndan ɛ ɛ̃paRsjal ki desidea swa d z dʁwat ɛ ɔbligtjɔns swa dy bjɛn fɔnde d tut akyzatjɔn ɛn matjɛʁ penal diʁig kɔ̃tR ɛlɛ.
human_rights_un_frn_ezwa_64kb_0036	aʁtikl 1
human_rights_un_frn_ezwa_64kb_0037	tut pesɔn akuze d’yn akt deliktɥɛy t pRezume inosɑ̃t ʒysk’a s k sa kulpabilite ɛ ete legaləmɑ̃ etabli o kyR d’yn pRosɛ pyblik ɔù tut l gʁantj nesesɛR a sa defɛns lɥi oʁɔn ete asuRes.
