human_rights_un_frn_grd_64kb_0001	deklaʁatjɔn ynivesɛl d dʁwat d lˈɔm
human_rights_un_frn_grd_64kb_0002	pʁeambyl
human_rights_un_frn_grd_64kb_0003	kɔnsideʁan k la ʁɛkɔnesans d la diɲite ineRɑ̃t a tu l mɛmbʁ d lafamil ymen ɛ d lœʁ dʁwat ego ɛ inaljenabl kɔ̃stitu l fɔ̃dəmɑ̃ d lalibete d la ʒystis ɛ d la pɛ dan l mɔ̃d
human_rights_un_frn_grd_64kb_0004	kɔnsideʁan k la mekonɛsɑ̃s ɛ l mepRi d dʁwat d lˈɔm ɔn kɔndɥita d akt d baRbaRi ki Revɔltɛn la kɔnsjɛns d symanite ɛ k lˈavɛnɛmɛntdˈyn mɔ̃d ɔù l ɛtR umɛ̃ səRɔ̃ libʁ d paʁle ɛ d kRwaR libeRe d lateʁœʁ ɛ d la misk a ete pRoklame kɔm la ply ot aspiRasjɔ̃ d lˈɔm
human_rights_un_frn_grd_64kb_0005	kɔnsideʁan kˈil t esɑ̃sjɛl k l dʁwat d lˈɔm swa pRoteʒe paʁ ynʁegm d dʁwa puʁ k lˈɔm n swa pa kɔ̃tRɛ̃ ɛn supRɛm RəkyRs a laRevɔlt kɔ̃tR la tiRani ɛ lˈɔpʁsl
human_rights_un_frn_grd_64kb_0006	kɔnsideʁan kˈil t esɑ̃sjɛl dˈɛnkuʁagʁ l devɛlɔpɛmɛn d ʁɛlatjɔn amikalɛntʁ nasjons
human_rights_un_frn_grd_64kb_0007	kɔnsideʁan k dan la ʃaʁt l pœpl d natjɔn ynj ɔn pRoklame anuvo lœR fwa dan l dʁwat fɔndamɛnto d lˈɔm dan la diɲite ɛ lavalœR d la pesɔn umɛn dan lˈeglite d dʁwat d ɔm ɛ dfams ɛ kˈil z sɔn deklaRe Rezolu a favoRize l pʁɔgɛ sosjal ɛ a ɛ̃stoRed mɛjœʁ kɔnditjɔn d vj dan yn libete ply gandɛ
human_rights_un_frn_grd_64kb_0008	kɔnsideʁan k l ɛtat mɛmbʁ z sɔn ɑ̃gaʒe a asuRe ɛn kɔpeʁatjɔn avɛklˈɔʁgnizatjɔn d natjɔn ynʁ l ʁpɛkt ynivesɛl ɛ ɛfɛktif d dʁwat dɛlˈɔm ɛ d libete fɔ̃damɑ̃tam
human_rights_un_frn_grd_64kb_0009	kɔnsideʁan kun kɔnsɛptjɔn komun d s dʁwat ɛ libete t d la plysot impɔʁtans puʁ ʁɛmpliʁ plɛnəmɑ̃ sɛt ɛŋagmɛnt
human_rights_un_frn_grd_64kb_0010	lˈasɛmble ʒeneRal
human_rights_un_frn_grd_64kb_0011	pʁɔklam la pRezɑ̃t deklaʁatjɔn ynivesɛl d dʁwat d lˈɔm kɔm lˈidealkɔmyn a atɛ̃dR paʁ tu l pœpl ɛ tyt l natjɔn afɛ̃ k tu lindividy ɛ tu l ɔʁgn d la zɔsjete ɛjan sɛt deklaʁatjɔn kɔ̃stamɑ̃ alpʁˈi sˈɛfɔʁsɑ̃ paʁ lˈɛnsɛɲɛmɛn ɛ lˈedykatl d devɛlɔpe l ʁpɛkt dɛs dʁwat ɛ libete ɛ dˈɛn asuRe paʁ d myʁ pRogResiv dˈɔʁdʁ nasjonalɛ intenatjɔnal la ʁɛkɔnesans ɛ lˈaplikatjɔn univɛRsɛl ɛ efɛktje tantpaʁmi l pɔpylatjɔn d ɛtat mɛmbʁ œksmɛm k paʁmi sɛl dteʁitwaʁ plase sy lœR ʒyʁidiktjɔn.
human_rights_un_frn_grd_64kb_0012	aʁtikl pʁɛmje
human_rights_un_frn_grd_64kb_0013	tu l ɛtR umɛ̃ nɛs libʁ ɛ ego ɛn diɲite ɛ ɛn dʁwats.
human_rights_un_frn_grd_64kb_0014	il sɔntdwe d Rɛzɔ̃ ɛ d kɔnsjɛns ɛ dwav aʒiR l œ̃ ɛnve l otʁ dan ynɛspRi d fRatɛRnite.
human_rights_un_frn_grd_64kb_0015	aʁtikl 2
