human_rights_un_ger_robu_64kb_0001	di algemaɪnɛ ɛʁklɛʁʊŋ dɛʁ mɛnʃɛnʁɛktɛ
human_rights_un_ger_robu_64kb_0002	ʁezolutsɪɔn 217 a ɪi vɔm 10
human_rights_un_ger_robu_64kb_0003	12
human_rights_un_ger_robu_64kb_0004	1948
human_rights_un_ger_robu_64kb_0005	pʁɛambɛl
human_rights_un_ger_robu_64kb_0006	da di anɛʁkɛnʊŋ dɛʁ aŋeboʁenɛn wʏʁdɛ ˈʊnt dɛʁ glaɪkɛn ˈʊnt ʊnveʁɔʏsɛʁlɪkɛn ʁɛktɛ ˈalər mɪtglidɛʁ dɛʁ gemaɪnʃaft dɛʁ mˈɛnʃən di gʁʊndlagɛ vɔn fʁaɪaɪt geʁɛktigkaɪt ˈʊnt fʁidɛn ɪn dɛʁ wɛlt bɪldətda di nˈɪxtanɛrkɛnʊŋ ˈʊnt fɛraxtʊŋ dɛʁ mɛnʃɛnʁɛktɛ tsˈuː ˈaktən dɛʁ baʁbaʁaɪ gefyʁt hˈaːbən di das ɡəvˈɪsən dɛʁ mˈɛnʃhait mɪt ɛmpøʁʊŋ ɛʁfʏlɛn ˈʊnt daː vɛʁkʏndɛt vˈɔrdən ɪst das aɪnɛʁ vˈɛlt ɪn dɛʁ di mˈɛnʃən ʁedɛ ˈʊnt ɡlˈaubənsfraihait ˈʊnt frˈaihait vɔn fˈʊrxt ˈʊnt noːt genisɛn das hœkstɛ ʃtrˈeːbən dɛs mˈɛnʃən ɡˈɪltda ɛs nˈoːtvɛndɪx ɪst di mɛnʃɛnʁɛktɛ dˈʊrx di hɛʁʃaft dɛs rˈɛxtəs tsˈuː ʃʏtsɛn daːmˈɪt dɛʁ mɛnʃ nɪkt ɡətsvʊŋən wɪʁd als lɛtstɛs mˈɪtəl tsʊm aʊfstant gegɛn tyːranˈai ˈʊnt ʊntɛʁdʁʏkʊŋ tsˈuː ɡrˈaifənda ɛs nˈoːtvɛndɪx ɪst di ɛntwɪklʊŋ frˈɔyntʃaftlɪxər betsiʊŋɛn tsvˈɪʃən dɛn natsɪonɛn tsˈuː fœʁdɛʁnda di vœlkɛʁ dɛʁ veʁaɪntɛn natsɪonɛn ɪn dɛʁ çaʁta ˈiːrən glaʊbɛn an di ɡrˈʊntleːɡəndən mɛnʃɛnʁɛktɛ an di wʏʁdɛ ˈʊnt dɛn wɛʁt dɛʁ mˈɛnʃlɪxən pɛʁzɔn ˈʊnt an di ɡlˈaixbərɛxtɪɡʊŋ vɔn man ˈʊnt fʁaʊ ɛʁnɔʏt bɛkʁɛftigt ˈʊnt bəʃlɔsən hˈaːbən dɛn zoːtsiːˈaːlən fɔʁtʃhʁɪt ˈʊnt bˈɛsərə lˈeːbənsbədɪŋʊŋən ɪn gʁøseʁɛʁ frˈaihait tsˈuː fœʁdɛʁnda di mɪtglidstatɛn zɪk vɛʁpflɪktɛt hˈaːbən ɪn tsuzamenaʁbaɪt mɪt dɛn veʁaɪntɛn natsɪonɛn aʊf di algemaɪnɛ aktʊŋ ˈʊnt ˈainhaltʊŋ dɛʁ mɛnʃɛnʁɛktɛ ˈʊnt gʁʊndfʁaɪaɪtɛn hˈɪntsuːvɪrkənda aɪn gemaɪnzamɛs vɛʁstɛndnɪs dizɛʁ ʁɛktɛ ˈʊnt frˈaihaitən vɔn gʁœstɛʁ vˈɪxtɪxkait fʏʁ di fˈɔlə ɛʁfʏlʊŋ dizɛʁ vɛʁpflɪktʊŋ ɪstvɛʁkʏndɛt di geneʁalvɛʁzamlʊŋdizɛ algemaɪnɛ ɛʁklɛʁʊŋ dɛʁ mɛnʃɛnʁɛktɛ als das vɔn alɛn vœlkɛʁn ˈʊnt natsɪonɛn tsˈuː ɛʁaɪkɛndɛ gemaɪnzamɛ iːdeːˈaːl daːmˈɪt jedɛʁ aɪntsɛlnɛ ˈʊnt alɛ ɔrɡˈaːnə dɛʁ gezɛlʃaft zɪk dizɛ ɛʁklɛʁʊŋ ʃtˈeːts gegɛnwɛʁtik hˈaltən ˈʊnt zɪk bemyɛn dˈʊrx ʊntɛʁɪkt ˈʊnt ɛʁtsiʊŋ di aktʊŋ fˈoːr dizɛn rˈɛxtən ˈʊnt frˈaihaitən tsˈuː fœʁdɛʁn ˈʊnt dˈʊrx fˈɔrtʃraitəndə natsiːoːnˈaːlə ˈʊnt ɪntɛʁnatsɪonalɛ masnamɛn ˈiːrə algemaɪnɛ ˈʊnt tatzɛklɪkɛ anɛʁkɛnʊŋ ˈʊnt ˈainhaltʊŋ dˈʊrx di bevœlkeʁʊŋ dɛʁ mɪtglidstatɛn zˈɛlpst vˈiː aux dˈʊrx di bevœlkeʁʊŋ dɛʁ iʁɛʁ hˈoːhaitsɡəvalt ˈʊntərʃteːəndən gebitɛ tsˈuː gewɛʁlaɪstɛn
human_rights_un_ger_robu_64kb_0007	aʁtikɛl 1
human_rights_un_ger_robu_64kb_0008	alɛ mˈɛnʃən zɪnt fʁaɪ ˈʊnt glaɪk an wʏʁdɛ ˈʊnt rˈɛxtən ɡəbˈoːrən
human_rights_un_ger_robu_64kb_0009	zˈiː zɪnt mɪt vɛʁnʊnft ˈʊnt ɡəvˈɪsən bəɡˈaːpt ˈʊnt zɔlən aɪnandɛʁ ɪm ɡˈaist dɛʁ bʁydɛʁlɪkaɪt bəɡˈeːɡnən
human_rights_un_ger_robu_64kb_0010	aʁtikɛl 2
human_rights_un_ger_robu_64kb_0011	jedɛʁ hat ˈanʃprʊx aʊf di ɪn dizɛʁ ɛʁklɛʁʊŋ vɛʁkʏndetɛn ʁɛktɛ ˈʊnt frˈaihaitən onɛ ˈɪrɡəntainən ʊntɛʁʃid ˈɛtvaː nax ʁasɛ haʊtfaʁbɛ gɛʃlɛkt ʃpʁaxɛ reːliːɡiːˈoːn poːlˈiːtɪʃər ˈoːdər zˈɔnstɪɡər ybɛʁtsɔʏgʊŋ natsiːoːnˈaːlər ˈoːdər zoːtsiːˈaːlər hˈeːrkʊnft vɛʁmøgɛn gebʊʁt ˈoːdər zˈɔnstɪɡəm ʃtand
