human_rights_un_grc_pi_64kb_0001	ikumenikli ðiaklirfksi ŋiaː taː anθropinaː ðikaomaːtaː
human_rights_un_grc_pi_64kb_0002	ðeklemvriu
human_rights_un_grc_pi_64kb_0003	proimio
human_rights_un_grc_pi_64kb_0004	epið i anaɣnˈorisi tis aksioprˈepias pu eˈie smfvti se la ta mˈeli tis anθrˈopinis icŋˈenias kaθˈos ke ton ˈezsnon ke anapallotrˈiznoton ðikenomˈaton tus apoteleˈez to θemˈelio tis elefθerˈizas tis ðikeosˈiis ke tis irnis ston ksmo
human_rights_un_grc_pi_64kb_0005	epið i praɣnˈorisi ke i perifrnisi ton ðikenomˈaton tu anθrˈopu oðŋɡisan se prˈaksis varvartitas pu ekseʝˈezrun tin anθrˈopini svneˈezðisi ke i prˈiooptik ens ksmu pu i ˈanθropi θa eˈie eleθeri na miloˈi ke na pisteun limtromˈeni ap ton trmo ke tin aθlitita ˈexi ðiakirvxθeˈez nos i pio ipsil epiðˈeznoksi tu anθrˈopu
human_rights_un_grc_pi_64kb_0006	epið ˈexi usiastik simsˈeza na prˈiostateode ta anθrˈopina ðikeˈomta ap ˈena kaθestˈos ðikaˈezu ˈoste o ˈanθropos na min anaŋɡˈazete na prˈiosfeʝi nos ˈesxato katafŋio stin eksˈeʝrsi katˈa tis tvrannˈezas ke tis katapˈizesis
human_rights_un_grc_pi_64kb_0007	epið ˈexi usiastik simsˈeza na enθarrˈiete i anˈaptvksi filikˈon sxˈesenon anˈamesa sta ˈeθni
human_rights_un_grc_pi_64kb_0008	epið me ton katastatik xˈarti i laoˈez ton inomˈenon eθnˈon ðiakrvksan ke pˈali tin pˈizsti tus sta θemeliakˈa ðikeˈomta tu anθrˈopu stin aksioprˈepia ke tin aksˈeza tis anθrˈopinis prˈiosnopiktitas stin istita ðikenomˈaton anðrˈon ke ŋvnekˈon ke ðiakrvksan pnos eˈie apofasismˈeni na svdelˈesun stin cinonik prˈioðo ke na ðimiurŋɡsun kalteres svnθkes os sta plaˈezsia mias efrteris elefθerˈizas
human_rights_un_grc_pi_64kb_0009	epið ta krˈati mˈeli anˈelavan tin ipoxrˈeosi na eksasfaisun se svnerɣasˈeza me ton orŋɡanism ton inomˈenon eθnˈon ton apotelesmtik sevasm ton ðikenomˈaton tu anθrˈopu ke ton θemeliakˈon elefθeriˈon se lo ton ksmo
human_rights_un_grc_pi_64kb_0010	epið i tafttita adilpsenon nos prˈios ta ðikeˈomta ke tis elefθerˈizes aftˈes ˈexi ekseretik simsˈeza ŋia na ekpliroθeˈez pˈera nos pˈera aft i ipoxrˈeosi
human_rights_un_grc_pi_64kb_0011	i ŋenikli sfnelefsi
