human_rights_un_hin_brc_64kb_0001	maːn̪av ad̪ʱikaːron̪ kiː saːrvabʱɔːm gʱoʂɳa:
human_rights_un_hin_brc_64kb_0002	d̪ismbar ko juːn̪aːiʈeɖ n̪eɕn̪s kiː dʒan̪ral asembaliː n̪e maːn̪av ad̪ʱikaːron̪ kiː saːrvabʱɔːm gʱoʂɳa: ko svaiːkrit̪ ɔr gʱoʂit̪ kijaː iskaː puːrɳ paːʈʰ aːge ke pariʂʈʰon̪ men̪ d̪ijaː gajaː hæe̯ is æe̯t̪ihaːsik kaːrja ke baːd̪ hiː asembaliː n̪e sbʱiː sad̪sja d̪eɕon̪ se apiːl kiː ki ve is gʱoʂɳa: kaː prtʃaːr karen̪ ɔr d̪eɕon̪ at̪ʰvaː prad̪eɕon̪ kiː raːdʒan̪ɛt̪ik st̪ʰit̪i par aːd̪ʱaːrit̪ bʱed̪bʱaːv kaː vitʃaːr kie bin̪aː viɕeʂt̪ɦ skauːon̪ ɔr an̪ja ɕikɕaː samst̪ʰaːon̪ men̪ isake prtʃaːr prad̪rɕan̪ paʈʰan̪ ɔr vjaːkʰjaː kaː prbn̪d̪ʱ karen̪
human_rights_un_hin_brc_64kb_0003	isiː gʱoʂɳa: kaː sarakaːriː paːʈʰ samjukt̪ raːʂʈron̪ kiː in̪ pan̪tʃ bʱaːʂaːon̪ men̪ praːpj hɛɦaŋgredʒiː tʃiːn̪iː pʰraːn̪siːsiː ruːsiː ɔr spaen̪iɕ an̪uvaːd̪ kaː dʒo paːʈʰ jhaːn̪ d̪ijaː gajaː hæe̯ vh bʱaːrat̪ sarakaːr d̪vaːraː svaiːkrit̪ hæe̯
human_rights_un_hin_brc_64kb_0004	prast̪aːvan̪aː
human_rights_un_hin_brc_64kb_0005	tʃuːŋki maːn̪av paraivaːr ke sbʱiː sad̪sjoːn̪ ke dʒan̪mdʒaːt̪ gaɔrv ɔr samaːn̪ t̪t̪ʰaː aviatʃtʃʰin̪n̪ ad̪ʱikaːr kiː svaiːkrit̪i hiː viɕvaɕːn̪t̪i n̪ja:j ɔr svat̪n̪t̪rat̪aː kiː bun̪ijaːd̪ hæe̯
human_rights_un_hin_brc_64kb_0006	tʃuːŋki maːn̪av ad̪ʱikaːron̪ ke prat̪i upaekɕaː ɔr gʱriɳa: ke pʰalsvaruːp hiː æe̯se barbar kaːrja hue dʒin̪se man̪uʂj kiː aːt̪maː par at̪jaːtʃaːr kijaː gajaː tʃuːŋki eka æe̯siː viɕvavjvst̪ʰaː kiː us st̪ʰaːpan̪aː ko dʒisamen̪ logon̪ ko bʱaːʂɳ ɔr d̪ʱaram kiː aːaːd̪iː t̪t̪ʰaː bʱaj ɔr abʱaːv se mukt̪i milegiː saravasaːd̪ʱaːraɳ ke alie saravaoatʃtʃ aːkaːn̪kɕaː gʱoʂit̪ kijaː gajaː hæe̯
human_rights_un_hin_brc_64kb_0007	tʃuːŋki agar an̪ja:jjukt̪ ɕaːsan̪ ɔr dʒulm ke virud̪gʱ logon̪ ko vid̪raoh karan̪e ke alieuse hiː an̪t̪im upaa:j samdʒʱ karamdʒbuːr n̪ahiːn̪ ho dʒaːn̪aː hæe̯ t̪o kaːn̪uːn̪ d̪vaːraː n̪ijam ban̪aːkar maːn̪av ad̪ʱikaːron̪ kiː rakɕaː karan̪aː an̪ivaːrja hæe̯
human_rights_un_hin_brc_64kb_0008	tʃuːŋki raːʂʈron̪ ke biːtʃ mɛːt̪riːpuraɳ smbn̪d̪ʱon̪ ko baɽʱaːn̪aː ruːariː hæe̯
human_rights_un_hin_brc_64kb_0009	tʃuːŋki samjukt̪ raːʂʈron̪ ke sad̪sja d̪eɕon̪ kiː dʒan̪t̪aːon̪ n̪e bun̪ijaːd̪iː maːn̪av ad̪ʱikaːron̪ men̪ maːn̪av vjkt̪it̪v ke gaɔrv ɔr jogjt̪aː men̪ ɔr n̪arn̪aːriːjon̪ ke samaːn̪ ad̪ʱikaːron̪ men̪ apan̪e viɕvaːs ko ad̪ʱikaːrpt̪ra men̪ d̪uharaːjaː hæe̯ ɔr jh n̪iɕtʃja kijaː hæe̯ ki ad̪ʱik vjaːpak svat̪n̪t̪rat̪aː ke aan̪t̪rgt̪ saːmaːdʒik prgt̪i evan̪ dʒiːvan̪ ke beht̪ar st̪ar ko uːn̪tʃaː kijaː dʒaːjaː
human_rights_un_hin_brc_64kb_0010	tʃuːŋki sad̪sja d̪eɕon̪ n̪e jh prat̪idʒaɲaː ko hæe̯ ki ve samjukt̪ raːʂʈron̪ ke sahjog se maːn̪av ad̪ʱikaːron̪ ɔr bun̪ijaːd̪iː aːaːd̪iːjon̪ ke prat̪i saːrvabʱɔːm samamaːn̪ kiː vrid̪gʱi kareŋge
human_rights_un_hin_brc_64kb_0011	tʃuːŋki is prat̪idʒaɲaː ko puriː t̪arah se n̪ibʱaːn̪e ke alie in̪ ad̪ʱikaːron̪ ɔr aːaːd̪iːjon̪ kaː svaruːp ʈʰiːkaʈʰiːk samdʒʱan̪aː sabse ad̪ʱik ruːariː hæe̯ isalie ab
