human_rights_un_ind_rd_64kb_0001	ɛrɲətəən mum tentaŋ əkək sasɪ ənʊsea
human_rights_un_ind_rd_64kb_0002	ukədimah
human_rights_un_ind_rd_64kb_0003	ɪnimbaŋ bəhwa peŋakʊan ətəs mərtəbat ələmiəh dən haxək jaŋ səma dən motlak darɪ sɪmoa əŋɡota kɪloarɡə mənʊsɪə ədələh dəsar kɛmɛrdɪkaən kəədelan dən pərdamaian di dunɪa
human_rights_un_ind_rd_64kb_0004	ɪnimbaŋ bəhwa mɛŋabaikən dən məmandaŋ rɛndəh haxək asəse mənʊsɪə teləh meŋəkebətkan pɛrbuətənperbuatan bəŋɪs jaŋ mənɪmbulkan rəsa kəmərəhan hatɪ nurane ʊmət mənʊsɪə dən tɛrbɛntʊkɲa soatu dunɪa tɛmpət mənʊsɪə əkən mɛŋɛtʃəp kɛnekmatən kebɪbasan bɛrbitʃara dən bɛraɡama sərtə kebɪbasan darɪ kɪtakutən dən kɪkurəŋən teləh diɲətakən sɪbəɡai tʃɪtətʃɪtə tərteŋɡi darɪ rakjat beasə
human_rights_un_ind_rd_64kb_0005	ɪnimbaŋ bəhwa haxək asəse mənʊsɪə pɪrlʊ dilɪndʊŋe oləh pɪraturən hʊkʊm sʊpaja ʊraŋ tedak əkən tɪrpəksə mɪmelɪh pɛmbɛrʊntakan sɪbəɡai osahə teraxɪr ɡona mənɪntaŋ kɪlalimən dən pɛnendasən
human_rights_un_ind_rd_64kb_0006	ɪnimbaŋ bəhwa pəmbəŋonan hʊbʊŋan pɛrsahəbətan antərə nɛɡarəneɡarə pɪrlʊ deɡələkkan
human_rights_un_ind_rd_64kb_0007	ɪnimbaŋ bəhwa baŋsabaŋsə darɪ ərsɪrikatan əŋsaəŋsə sɛkale laɡɪ teləh mɛɲətakən di dəlam ɪaɡam ərsɪrikatan əŋsaəŋsə kɪpərtʃajaan mɛrəkə əkən haxək dəsar darɪ mənʊsɪə əkən mərtəbat dən nelai sɪsɛɔrəŋ mənʊsɪə dən əkən haxək jaŋ səma darɪ priə maupun wənɪta dən teləh bɪrtəkəd ontok məŋɡaləkkan kɪmədʒʊən sʊseəl dən təraf hɪdʊp jaŋ lebɪh baik di dəlam kɛmɛrdɪkaən jaŋ lebɪh loas
human_rights_un_ind_rd_64kb_0008	ɪnimbaŋ bəhwa ɪɡaraɪɡəra ŋɡʊtə teləh bɛrdʒandʒi ontok mɪntʃəpai kɪmədʒʊən dəlam peŋhərɡaan dən pɪnxɔrmatən omom terhadəp haxək asəse mənʊsɪə dən kəbɪbasənkɛbebasan asəse dɪŋən bɪkərdʒasama dɪŋən ərsɪrikatan əŋsaəŋsə
human_rights_un_ind_rd_64kb_0009	ɪnimbaŋ bəhwa pəŋɛrtɪan omom tentaŋ haxək dən kəbɪbasənkɛbebasan tɛrsɪbut saŋət pɛntiŋ ontok pɛlaksənəan jaŋ soŋɡohsoŋɡuh darɪ dʒandʒɪ ene məka
human_rights_un_ind_rd_64kb_0010	ədʒelis mum dɪŋən ene memprɔklaməsekan
human_rights_un_ind_rd_64kb_0011	ɛrɲətəən mum tentaŋ əkək sasɪ anʊsiasebaɡai satʊ standər omom kɛbɛrhaselan ontok sɪmoa bəŋsa dən sɪmoa nɪɡərə dɪŋən tʊdʒoən əɡər sətiəp ʊraŋ dən sətiəp bədan dəlam maʃarəkət dɪŋən senanteəsa məŋeŋat ɛrɲətəən ene əkən berosaha dɪŋən dʒəlan meŋadʒar dən mɛndɪdek ontok məŋɡaləkkan peŋhərɡaan terhadəp haxək dən kəbɪbasənkɛbebasan tɛrsɪbut dən dɪŋən dʒəlan tendakantendakan prɔɡrɪsif jaŋ bɪrsifat nəsɪonəl maupun entərnəsɪʊnal məndʒəmɪn peŋakʊan dən pɛŋhʊrmatanɲə sɪtʃərə ʊnɪvɪrsal dən ɪfektif baik oləh baŋsabaŋsə darɪ ɪɡaraɪɡəra ŋɡʊtə sɛndere maupun oləh baŋsabaŋsə darɪ dəerahdəərah jaŋ bɪrədə di bəwah kəkoəsəən hʊkʊm mɛrəkə
human_rights_un_ind_rd_64kb_0012	əsəl
human_rights_un_ind_rd_64kb_0013	əmʊə ʊraŋ dɪlahɪrkən merdɛka dən mɛmpʊɲai mərtəbat dən haxək jaŋ səma
human_rights_un_ind_rd_64kb_0014	erəkə dekaroneai əkəl dən hatɪ nurane dən hɛndəkɲə bərɡaul satʊ səma lain dəlam seməŋət pərsaudarəən
human_rights_un_ind_rd_64kb_0015	əsəl
human_rights_un_ind_rd_64kb_0016	ətɪəp ʊraŋ bɛrhək ətəs sɪmoa hək dən kəbɪbasənkɛbebasan jaŋ tɛrtʃantom di dəlam ɛrɲətəən ene tənpa pərketʃʊalɪan əpapʊn səpɛrti rəs wərna kʊlɪt dʒenɪs kɪlamen bahəsa əɡama pʊletik atau pendapət jaŋ bərlainan əsəl mola kəbaŋsəən atau kɛmaʃərakətən hək mɪlɪk kɪlahirən ataupun kɪdudʊkən lain
human_rights_un_ind_rd_64kb_0017	ɪ səmpeŋ eto tedak dipɪrbolehkən mɪlakukən perbɪdaan ətəs dəsar kɪdudʊkən pʊletik hʊkʊm atau kɪdudʊkən entərnəsɪʊnal darɪ nɪɡərə atau daɪrəh darɪ məna sɪsɛɔrəŋ berəsal baik darɪ nɪɡərə jaŋ merdɛka jaŋ bərbəntʊk wɪləjahwɪlajah pərwalɪan dʒədʒəhən atau jaŋ bɪrədə di bəwah bətəsən kədaulatən jaŋ lain
human_rights_un_ind_rd_64kb_0018	əsəl
human_rights_un_ind_rd_64kb_0019	ətɪəp ʊraŋ bɛrhək ətəs pɪŋhɪdupən kebɪbasan dən kɪsəlamatan indɪvɪdo
human_rights_un_ind_rd_64kb_0020	əsəl
human_rights_un_ind_rd_64kb_0021	ɪdək sɪɔrəŋ pun bʊləh dɪpərbʊdək atau depərhəmbəkan pɛrbudəkan dən pɛrdaɡəŋən bodak dəlam bəntʊk əpapʊn mɪstɪ dɪlaraŋ
human_rights_un_ind_rd_64kb_0022	əsəl
human_rights_un_ind_rd_64kb_0023	ɪdək sɪɔrəŋ pun bʊləh dɪsɪksə atau deperləkokan sɪtʃərə kedʒəm mɛmpərʊleh pərlakʊan atau dɪhokum sɪtʃərə tedak mənusiəwɪ atau dɪrendahkan mərtabatɲə
human_rights_un_ind_rd_64kb_0024	əsəl
human_rights_un_ind_rd_64kb_0025	ətɪəp ʊraŋ bɛrhək ətəs peŋakʊan di depən hʊkʊm sɪbəɡai pribəde di məna sədʒa ia bɪrədə
human_rights_un_ind_rd_64kb_0026	əsəl
human_rights_un_ind_rd_64kb_0027	əmʊə ʊraŋ səma di depən hʊkʊm dən bɛrhək ətəs perlɪndoŋan hʊkʊm jaŋ səma tənpa diskreminase
human_rights_un_ind_rd_64kb_0028	əmʊə bɛrhək ətəs perlɪndoŋan jaŋ səma terhadəp sətiəp bəntʊk diskreminase jaŋ bərtɛntəŋan dɪŋən ɛrɲətəən ene dən terhadəp sɪɡələ hasʊtən jaŋ meŋarah pəda diskreminase semətʃam eto
human_rights_un_ind_rd_64kb_0029	əsəl
human_rights_un_ind_rd_64kb_0030	ətɪəp ʊraŋ bɛrhək ətəs bantʊən jaŋ ɪfektif darɪ pəŋədilan nəsɪonəl jaŋ kɔmpətɪn ontok tɪndakən pɛləŋɡəran haxək dəsar jaŋ debɪrikən kɪpədəɲa oləh ondaŋundəŋ dəsar atau hʊkʊm
human_rights_un_ind_rd_64kb_0031	əsəl
human_rights_un_ind_rd_64kb_0032	ək sɪɔrəŋ pun bʊləh dɪtaŋkap detahən atau dɪbuəŋ dɪŋən səwenaŋwenəŋ
human_rights_un_ind_rd_64kb_0033	əsəl
human_rights_un_ind_rd_64kb_0034	ətɪəp ʊraŋ dəlam persəməən jaŋ penʊh bɛrhək ətəs pəŋədilan jaŋ adil dən tɛrbʊka oləh pəŋədilan jaŋ bebəs dən tedak məmihak dəlam mɛnɛtəpkan hək dən kɪwədʒɪbankɛwədʒebənɲə sərtə dəlam sətiəp tʊntutən pɪdana jaŋ dɪdʒatʊhkən kɪpədəɲa
human_rights_un_ind_rd_64kb_0035	əsəl
human_rights_un_ind_rd_64kb_0036	ətɪəp ʊraŋ jaŋ ditʊntʊt kərənə disəŋka mɪlakukən soatu pɛləŋɡəran hʊkʊm dɪaŋɡap tedak bersaləh sampai debuktikən kɛsalahənɲa mɪnorʊt hʊkʊm dəlam soatu pəŋədilan jaŋ tɛrbʊka di məna dea mɛmpərʊleh sɪmoa dʒamɪnən jaŋ dɪpərlʊkən ontok pɛmbɪlaənɲa
human_rights_un_ind_rd_64kb_0037	ɪdək sɪɔrəŋ pun bʊləh depərsələhkan mɪlakukən pɛləŋɡəran hʊkʊm kərənə pɪrboətən atau kɛlalaiən jaŋ tedak mɛropəkan soatu pɛləŋɡəran hʊkʊm mɪnorʊt ondaŋundəŋ nəsɪonəl atau entərnəsɪʊnal ketekə pɪrboətən tɛrsɪbut dɪlakʊkən
human_rights_un_ind_rd_64kb_0038	ʊɡə tedak dipɪrkɪnankən mɛndʒatʊhkən hʊkʊman lebɪh berət darepəda hʊkʊman jaŋ sehərusɲə dekenəkan ketekə pɛləŋɡəran hʊkʊm eto dɪlakʊkən
human_rights_un_ind_rd_64kb_0039	əsəl
human_rights_un_ind_rd_64kb_0040	ɪdək sɪɔrəŋ pun dəpat dɪɡəŋɡu dɪŋən səwenaŋwenəŋ ʊrosən prɪbədɪɲə kelʊərɡaɲə ruməhtaŋɡəɲə atau hʊbʊŋan surətməɲʊratɲə dʒoɡa tək dipɪrkɪnankən pɛləŋɡəran ətəs kəhormatanɲa dən nəma baikɲə
human_rights_un_ind_rd_64kb_0041	ətɪəp ʊraŋ bɛrhək mendapət perlɪndoŋan hʊkʊm terhadəp ɡəŋɡuan atau pɛləŋɡəran səpɛrti eto
human_rights_un_ind_rd_64kb_0042	əsəl
