human_rights_un_javs_vu_64kb_0001	pɛrandʒatan u.mʊɛm ndʒaenani haka#haaka a.sasi u.mat
human_rights_un_javs_vu_64kb_0002	manʊnɡsa
human_rights_un_javs_vu_64kb_0003	sa.bən u.mat ma.nʊŋ.sɔ la.ɪr kan.ʈi haʔ#haʔ kaŋ po.ɖo lan pi.nas.ʈi lan kan.ʈi.ka.bə.ba.san#ka.bə.ba.san ɪŋ ba.ku.nɪŋ ŋɡɛr#ŋɡɛr wə.wa.tɔn un.daŋ#ʊn.daŋ
human_rights_un_javs_vu_64kb_0004	pər.səri.ka.tan bɔŋ.so#beɔŋ.sɔ da.rpe kɔ.mi.t.men tə.kat ŋlak.sa.naʔ.ke.ma.u.dʒu.te dʒan.dʒi lan ka.sa.ɡu.a.ne ŋɡo dʒʊn.dʒʊŋ lu.hʊr ŋɡrəŋ.səŋ.ke lan.ŋa.jɔ.mi haʔ#haʔ a.sa.si u.mat ma.nʊŋ.sɔ ma.raŋ sa.bən pri.ba.di ɪn.di.fɪdu
human_rights_un_javs_vu_64kb_0005	ko.mɪt.men ka.sə.bʊt i.ŋa.ja.tan sə.kɔ pi.a.ɡam pər.səri.ka.tan bɔŋ.so#beɔŋ.sɔ kaŋ.nu.kʊl.ke ka.man.tə.pa.nɪŋ ka.ja.ki.nan pa.ra bɔŋ.sɔ sa#do.ɲɔ tʊm.rap haʔ#haʔ a.sa.si.ʊmat ma.nʊŋ.sɔ ɪŋ ba.ku.nɪŋ pa.u.ɡə.ran sar.ta tʊm.rap mar.ta.bat lan a.dʒi.niŋ.ka.ma.nʊŋ.san
human_rights_un_javs_vu_64kb_0006	ɪŋ pra.ɲa.tan u.mʊm ŋe.na.ni haʔ#haaʔ u.mat ma.nʊŋ.sɔ
human_rights_un_javs_vu_64kb_0007	pər.səri.ka.tan bɔŋ.so#beɔŋ.sɔ nan.ɖɛ.s.ke kan.ʈi tər.wɔ.tʃo lan pra.so.dʒa haʔ#haʔ.kaŋ da.di da.r.bɛ.ʔe sa.bən u.wɔŋ kan.ʈi a.dɪl
human_rights_un_javs_vu_64kb_0008	haʔ#haʔ ka.sə.bʊt ɲa.ta da.di.da.r.bɛʔ.mu ka.bɛh
human_rights_un_javs_vu_64kb_0009	ka.bɛh ma.u i.jo haʔ.mu
human_rights_un_javs_vu_64kb_0010	kə.na.li lan pa.ha.ma.na haʔ#haʔ.kasə.bʊt
human_rights_un_javs_vu_64kb_0011	su.pɔ.jɔ ka.səŋ.ku.jʊŋ mbi.wa.ra.ʔa.ke lan ŋləs.ta.rɛ.ʔa.ke ŋɡotʃu.ɡə.ran ɖi.ri pri.ba.ɖi sar.tɔ ŋɡo sə.pə.pa.ɖa.ne u.mat ma.nʊŋ.sɔ li.ja.ne
human_rights_un_javs_vu_64kb_0012	pɛrandʒatan u.mʊɛm ndʒaenani haka#haaka a.sasi u.mat manʊnɡsa
human_rights_un_javs_vu_64kb_0013	pammbu.ka mu.kaɖeɪmaha
human_rights_un_javs_vu_64kb_0014	manɪmmbanɡe ma.nɔ.wo ŋa.kɔ.ni ma.raŋ mar.ta.bat a.la.mi.ah sar.ta haʔ#haʔ ka.kaŋpɔ.ɖɔ lan pi.nas.ʈi ɪŋ sa.bən war.ɡa.nɪŋ ku.la.war.ɡɔ u.mat ma.nʊŋ.sɔ mu.dʒʊ.ta.kə.lan.ɖɛ.sa.nɪŋ ka.mar.di.kan ka.a.dɪ.lan sar.ta bə.ɖa.mə.nɪŋ do.ɲɔ
human_rights_un_javs_vu_64kb_0015	manɪmmbanɡe mə.nɔ.wɔ ɲɪŋ.kʊr lan ŋaŋ.ɡəp rə.mɛh haʔ#haʔ u.mat ma.nʊŋ.sa.bi.sɔ ndʒa.la.ri tan.daŋ tan.dʊʔ ka.sar lan wə.ŋis kaŋ nu.wʊh.ke rɔ.sɔ run.tɪʔ a.ti.nə.u.mat ma.nʊŋ.sɔ lan ka.ba.ŋu.ne do.ɲɔ da.di pa.pa.nɪŋ u.mat ma.nʊŋ.sɔ bi.saŋ.ra.sa.ʔa.ke lan ŋa.la.mi nɪk.ma.tɪŋ bə.bas mə.ɖar pa.nɛ.mu lan bə.bas ŋra.su.ka.ɡɔ.mɔ sar.ta ka.lɪs sə.kɔ rɔ.sɔ wə.di lan was#su.mə.laŋ sar.ta u.rɪp ka.tʃɪŋ.kra.ŋan.ka.pra.tə.laʔ.ke da.di pra.ɲa.tan mi.nɔŋ.kɔ da.di ɡə.ɡa.ju.an lu.hʊr sa.ka.bɛ.hɪŋ u.mat.ma.nʊŋ.sɔ lʊm.rah ka.wu.lɔ a.lɪt
human_rights_un_javs_vu_64kb_0016	manɪmmbanɡe ma.na.wa haʔ#haʔ u.mat ma.nʊŋ.sɔ pər.lu an.tʊʔ pa.ŋa.jo.man kan.ʈɪpra.na.tan lan ta.ta.nan ŋɡɛr#ŋɡɛr un.daŋ#ʊn.daŋ am.rɪh sa.bən u.wɔŋ o.ra.kə.pək.sa mi.lɪh ŋla.wan mbrɔn.taʔ mi.nɔŋ.kɔ ku.pi.jo kaŋ pʊŋ.ka.san aŋ.ɡɔ.nəŋrə.kɔ.dɔ.jɔ ŋɡo ŋla.wan ma.raŋ tɪn.daʔ dak.si.jɔ lan pan.dʒa.dʒa.han
human_rights_un_javs_vu_64kb_0017	manɪmmbanɡe ma.na.wa mə.ka.rɪŋ pa.mər.di paŋ.ɡʊlɔ.wən.ʈa.hɪŋ sam.bʊŋ.pa.mi.tran ɪŋ an.ta.ra.nɪŋ pa.ra bɔŋ.sɔ sa.bən nə.ɡɔ.rɔ pər.lu lan wi.ɡa.ti.di.rəm.ba.ka.ʔa.ke
