human_rights_un_lat_vu_64kb_0001	kuae rketo a ommuni onventu probata et edˈiːrkta est nno omini a
human_rights_un_lat_vu_64kb_0002	d
human_rights_un_lat_vu_64kb_0003	dus etʃembes
human_rights_un_lat_vu_64kb_0004	raefatio
human_rights_un_lat_vu_64kb_0005	um dˈiːrɲitatis infjksae omnibus ∅umanae familiae partibus et eorum jurum aekualʃm kuae abalieari non possunt aɲitio konstituat et in orbe terrarum libertatis et justitiae et patʃs fundamentum
human_rights_un_lat_vu_64kb_0006	um ∅ominis jurum mala koɲitio kontemptiokue barbariae fatʃta kuae ∅umanitatis konʃentiam ad ebellionem intʃtant addukserint kumkue mundi initʃm in kwo ∅omines liberati a terroe et miseria lokuendi kerndˈiːrkue libertatem ∅abebunt enwntiatum sit ut ∅ominis altissima affˈɛndktatio
human_rights_un_lat_vu_64kb_0007	um praetʃpum sit ∅ominwm jura tʃvitatis forma kuae justa est tedʒ ne ∅omo kouɡatur ultimo perfudʒo ut ebellionem fatʃat in tiranniam oppessionemkue
human_rights_un_lat_vu_64kb_0008	um praetʃpum sit proɡessionem amitʃtiarum inter ationes intʃtari
human_rights_un_lat_vu_64kb_0009	um in arta dʒentes onjunktarum ationwm rursus pronwntiaverint suam fjrm in juribus praetʃpis ∅ominwm in dˈiːrɲitate et virtute ∅ominis in aekuabilitate jurum virorum et fˈɛndminˈaːrrum et se dˈiːrkserint prompti ad favendum proɡessui tʃvili et ad dʒɲendum melioes konditiones vitae in majoe libertate
human_rights_un_lat_vu_64kb_0010	um sotʃae tʃvitates pollitʃtae sint se affjrmaturas esse veekundˈiːram universam veramkue jurum ∅ominis et libertatum praetʃparum temperatione ationwm onjunktarum adjuvante
human_rights_un_lat_vu_64kb_0011	um kuaedam kommunis kontʃeptio ∅orum jurum et libertatum ɡravissima sit ut obliɡatio ∅aek plane ekspleatur
human_rights_un_lat_vu_64kb_0012	ommunis onventus jurum ∅ominis praesentem universalem eklarationem pronwntiat ut kommunis perfˈɛndktus kui petatur ab omnibus poplis et omnibus ationibus ut sotʃetatis sinuɡuli ∅omines et omnes partes ∅abentes ∅ank rklarationem konstanter in mente institutione et edukatione konantur ut ∅orum jurum libertatumkue espektus evolvatur et firmentur ordinis atioalis et interatioalis konsiliorum intʃessu ɡratia et universalis verakue admotio tam in ipsarum sotʃarum tʃvitatum poplationibus kuam in finʃm poplationibus kuae eorum jurisdˈiːrktioni subatʃtae sunt
human_rights_un_lat_vu_64kb_0013	niversalis r ∅ominis juribus rklaratio
human_rights_un_lat_vu_64kb_0014	
human_rights_un_lat_vu_64kb_0015	mnes ∅omines liberi aekuikue dˈiːrɲitate atkue juribus naʃuntur
human_rights_un_lat_vu_64kb_0016	atione konʃentiakue praediti sunt et alii eruɡa alios kum fraternitate se dʒerˈeːre rbent
human_rights_un_lat_vu_64kb_0017	
human_rights_un_lat_vu_64kb_0018	uiskue potest sibi assumˈeːre libertates omnes omneskue jues in ∅atʃ rklaratione pronwntiatos sine ulla dˈiːrstinktione dʒentis koloris seksus linuɡuae elidʒonis politikae sententiae aut omnis dʒeneris sententiae ationis oridʒnis aut tʃvitatis dˈiːrvitiarum aut ortus aut omnis dʒeneris situs
human_rights_un_lat_vu_64kb_0019	raeteea fjetur nwlla dˈiːrstinktio kondita in tʃvili rketo juridˈiːrko aut interatioali dʒentis aut finʃm kujus est alikuis sive dʒens aut fines liberi sunt sive sub tutella sive non suae potestatis sive subatʃti termino alikwo sui imperii
human_rights_un_lat_vu_64kb_0020	
human_rights_un_lat_vu_64kb_0021	uiskue jus ∅abet vivˈeːre liber esse et in tuto vivˈeːre
human_rights_un_lat_vu_64kb_0022	
human_rights_un_lat_vu_64kb_0023	emo servitudine tenebitur
human_rights_un_lat_vu_64kb_0024	mnes servitudines omnibus modˈiːrs pro∅ibentur
human_rights_un_lat_vu_64kb_0025	
human_rights_un_lat_vu_64kb_0026	ullus krutʃˈaːrbitur nekue poenis nek tratʃtationibus kuae ∅umanae sunt objitʃetur
human_rights_un_lat_vu_64kb_0027	
human_rights_un_lat_vu_64kb_0028	uiskue jus ∅abet suam juridˈiːrkam persoam in omnibus lotʃs atʃtʃpi
human_rights_un_lat_vu_64kb_0029	
human_rights_un_lat_vu_64kb_0030	mnes ante ledʒem aekui sunt et sine ulla dˈiːrstinktione jus ∅abent aekuum praesidʃm ledʒs ∅abˈeːre
human_rights_un_lat_vu_64kb_0031	mnes jus ∅abent praesidˈiːro aekwo kontra omnem dˈiːrʃrimen kui ∅ank eklarationem violet et kontra omnem intʃtationem ad talem dˈiːrʃrimen
human_rights_un_lat_vu_64kb_0032	
human_rights_un_lat_vu_64kb_0033	mnis jus ∅abet ekurrˈeːre pro idoneo judˈiːrtʃe dʒentis kontra fatʃta violantia jues suffundatos kuae sibi ekoɲeʃuntur a konstitutione aut ledʒe
human_rights_un_lat_vu_64kb_0034	
human_rights_un_lat_vu_64kb_0035	ullus eks libidine appe∅endi in vinkulis esse ekssulari potest
human_rights_un_lat_vu_64kb_0036	
human_rights_un_lat_vu_64kb_0037	mnes jus ∅abent in tota aekuitate suam kausam ekte et pblitʃe a judˈiːrtʃbus liberis aekuabilibuskue audˈiːrri kui statuunt vel r juribus obliuɲɲationibuskue vel r veritate omnis kriminis kontra se
human_rights_un_lat_vu_64kb_0038	
human_rights_un_lat_vu_64kb_0039	uiskuis atʃkusatus rlikto innokens est dum noksa sua jue statuata est pbliko judˈiːrtʃo ubi obsirs omnes netʃessariae ad se rfˈɛnderndum affjrmatae erunt
human_rights_un_lat_vu_64kb_0040	emo damabitur propter atʃta vel praetermissiones kuae kum kommitata sunt non konstituebant rliktum eks jue suae dʒentis vel universarum dʒentʃm
human_rights_un_lat_vu_64kb_0041	tem nwlla ɡravior kulpa irrodʒabitur kuam illa kuae applikari potuit kum rliktum fatʃtum est
human_rights_un_lat_vu_64kb_0042	
human_rights_un_lat_vu_64kb_0043	emo patibitur intertʃessiones ab arbitrio in ebus privatis in familia domo aut in epistularum konsuetudine nek iktus kontra ∅onoem famamkue
human_rights_un_lat_vu_64kb_0044	mnis jus ∅abet ledʒe protedʒ kontra tales intertʃessiones aut talia vulnera
human_rights_un_lat_vu_64kb_0045	
human_rights_un_lat_vu_64kb_0046	uiskue jus ∅abet libenter iter fatʃˈeːre et in tʃvitate suam domum eliɡˈeːre
human_rights_un_lat_vu_64kb_0047	mnis jus ∅abet eks omni et sua patria abˈiːre et in suam patriam redˈiːre
human_rights_un_lat_vu_64kb_0048	
human_rights_un_lat_vu_64kb_0049	n veksatione omnis jus ∅abet perfudʒum kuaerˈeːre et perfudʒum ab aliis edʒonibus impetrˈaːre
human_rights_un_lat_vu_64kb_0050	ok jus non invokari potest in kasu atʃtionwm vˈeːre konstitutarum in kommunis juris ʃɛlˈeːre aut in fatʃtis adversus metas printʃpiakue onjunktarum ationwm
human_rights_un_lat_vu_64kb_0051	
human_rights_un_lat_vu_64kb_0052	mnis jus ∅abet ationis esse
human_rights_un_lat_vu_64kb_0053	emo eks libidine a sua dʒente privari potest nekue dʒentis mutandae a jue privari
human_rights_un_lat_vu_64kb_0054	
human_rights_un_lat_vu_64kb_0055	ks matrimonio se judʒendi aetate vir mulierkue jus ∅abent nwllo dʒenˈeːre nwlla dʒente aut elidʒone id nekuakuam impedˈiːrente matrimonio se junɡˈeːre et familiam konstituˈeːre
human_rights_un_lat_vu_64kb_0056	ura ekualia ∅abent pro matrimonio per matrimonʃm et per dˈiːrvortʃm
human_rights_un_lat_vu_64kb_0057	atrimonʃm konfjtʃ non potest sine koniuuɡum pleno liberokue konsensu
human_rights_un_lat_vu_64kb_0058	amilia sotʃetatis aturale praetʃpumkue elementum est et jus ∅abet a sotʃetate et ei pblika muniri
human_rights_un_lat_vu_64kb_0059	
human_rights_un_lat_vu_64kb_0060	mnis vel solus vel konjukte mantʃpii jus ∅abet
human_rights_un_lat_vu_64kb_0061	emo potest ab arbitrio a mantʃpio privatus esse
human_rights_un_lat_vu_64kb_0062	
human_rights_un_lat_vu_64kb_0063	mnis jus sentientae konʃentiae elidʒoniskue libertati ∅abet
