human_rights_un_lav_kb_64kb_0001	is̪pɑːreːjɑː t̪s̪ilvæːkt̪ies̪iːbu d̪æklɑrɑːt̪s̪ijɑ
human_rights_un_lav_kb_64kb_0002	rʲeɑmbulɑ
human_rights_un_lav_kb_64kb_0003	ævæːrod̪ɑmɑ kɑ vis̪iem t̪s̪ilvæːku s̪ɑbiæd̪riːbɑs̪ loːt̪s̪ekʎiem piemiːt̪uaʃɑːs̪ pɑʃt̪s̪ieɲɑs̪ uŋ viɲuvieŋliːd̪z̪iːɡu uŋ ŋæɑt̪ɲemɑmu t̪ies̪iːbu ɑt̪z̪iːʃɑn̪ɑ irʲ briːviːbɑs̪ t̪ɑis̪n̪iːɡumɑ uŋ vis̪pɑːreːjɑ miærɑpɑmɑt̪s̪ uŋiæveːrʲoːd̪ɑmɑ kɑ t̪s̪ilvæːkt̪ies̪iːbu ŋæt̪s̪ien̪iːʃɑn̪ɑ uŋ ŋit̪s̪iŋɑːʃɑŋɑ ŋoːved̪ pie bɑrʲbɑrʲis̪kiemɑkt̪iem kɑs̪ iz̪rɑis̪ɑ s̪ɑʃut̪umu t̪s̪ilveːt̪s̪æs̪ ɑpz̪iɲɑː uŋ kɑ t̪ɑːd̪ɑs̪ pɑs̪ɑules̪ rɑd̪iːʃɑŋɑ kurʲɑːt̪s̪ilvæːkiæm buːs̪ vɑːrd̪ɑ uŋ pɑːrʲliet̪s̪iːbɑs̪ briːviːbɑ uŋ t̪ie buːs̪ brʲiːvi ŋua bɑileːm uŋ t̪ruːkumɑ irʲpɑs̪lud̪in̪ɑːt̪ɑ kɑː t̪s̪ilvæːku ɑuɡs̪t̪ɑːkie t̪s̪en̪t̪ien̪i uŋiæveːrʲoːd̪ɑmɑ kɑ ŋæpiæt̪s̪iæʃɑms̪ lɑi t̪s̪ilvæːkt̪ies̪iːbɑs̪ ɑiz̪s̪ɑrɡɑːt̪u likumɑ s̪peːks̪ ŋualuːkɑːn̪uad̪rʲuaʃin̪ɑːt̪ t̪ɑːd̪u s̪t̪ɑːvuakli lɑi t̪s̪ilvæːks̪ ŋebuːt̪u s̪pies̪t̪s̪ iz̪mɑn̪t̪oːt̪ kɑː pæːd̪eːjoː liːd̪z̪eklis̪ɑt̪s̪elʃɑŋoːs̪ prʲet̪ t̪irʲɑːn̪iju uŋ ɑps̪pies̪t̪iːbu uŋiæveːrʲoːd̪ɑmɑ kɑ ŋæpiæt̪s̪iæʃɑms̪ væit̪s̪iŋɑːt̪ d̪rʲɑud̪z̪iːɡu ɑt̪t̪iet̪s̪iːbu ɑt̪t̪iːs̪t̪iːbu s̪t̪ɑrʲp t̪ɑut̪ɑːm uŋiæveːrʲoːd̪ɑmɑ kɑ pvieŋuat̪o ɑːt̪s̪iju t̪ɑut̪ɑs̪ t̪ɑt̪uːt̪oːs̪ ɑpliæt̪s̪in̪ɑːjɑ s̪ɑvu t̪it̪s̪iːbu t̪s̪ilvæːkɑpɑmɑt̪t̪iæs̪iːbɑːm t̪s̪ilvæːkɑ perʲs̪oːŋiːbɑs̪ pɑʃt̪s̪ieɲɑi uŋ væːrt̪iːbɑi uŋ viːrʲiæʃu uŋ s̪iæviæʃuliːd̪z̪t̪iæs̪iːbɑi uŋ ɑpɲeːmɑːs̪ s̪ekmæːt̪ s̪ot̪s̪iɑːlua prʲuaɡrʲæs̪u uŋ d̪z̪iːvæs̪ ɑps̪t̪ɑːkʎu uz̪lɑboːʃɑŋuvis̪lielɑːkɑːs̪ briːviːbɑs̪ ɑps̪t̪ɑːkʎoːs̪ uŋiæveːrʲoːd̪ɑmɑ kɑ d̪ɑliːbvɑls̪t̪is̪ ɑpɲeːmɑːs̪ s̪ɑd̪ɑrʲboːjot̪ies̪ ɑrʲ pvieŋuat̪o ɑːt̪s̪iju rɡɑn̪iz̪ɑːt̪s̪ijuveit̪s̪iŋɑːt̪ t̪s̪ilvæːkt̪ies̪iːbu uŋ pɑmɑt̪briːviːbu vis̪pɑːreːju t̪s̪ien̪iːʃɑn̪u uŋ ievæːroʃɑn̪u uŋiæveːrʲoːd̪ɑmɑ kɑ ʃoː t̪ies̪iːbu uŋ briːviːbu rɑks̪t̪urʲɑ vis̪pɑːrʲeːjɑi iz̪prɑt̪ŋei irʲ milz̪iːɡɑ n̪uaz̪iːmæ ʃiːs̪s̪ɑis̪t̪iːbɑs̪ piln̪iːɡɑi iz̪pild̪ei
human_rights_un_lav_kb_64kb_0004	æn̪ærɑːlɑː s̪ɑmblæjɑ pɑs̪lud̪iŋɑʃua is̪pɑːreːjoː t̪s̪ilvæːkt̪ies̪iːbu d̪æklɑrɑːt̪s̪iju pɑr uz̪d̪evumu kuru pild̪iːt̪ jɑːt̪iet̪s̪ɑs̪ vis̪ɑːm t̪ɑut̪ɑːmuŋ vis̪ɑːm vɑls̪t̪iːm lɑi kɑt̪rʲs̪ t̪s̪ilvæːks̪ uŋ kɑt̪rʲs̪ s̪ɑbiæd̪riːbɑs̪ in̪s̪t̪it̪uːt̪s̪ pɑs̪t̪ɑːviːɡi iævæːroːjoːt̪ ʃoː
human_rights_un_lav_kb_64kb_0005	æklɑrɑːt̪s̪iju ɑrʲ iz̪s̪kɑid̪roʃɑn̪u uŋ iz̪ɡliːt̪oʃɑŋu t̪s̪æn̪s̪t̪oːs̪ væit̪s̪iŋɑːt̪ ʃoː t̪ies̪iːbu uŋ brʲiːviːburʲes̪pækt̪æːʃɑn̪u uŋ rʲæɑliz̪æːjot̪ n̪ɑt̪s̪ioːŋɑːlos̪ uŋ s̪t̪ɑrpt̪ɑut̪is̪kus̪ prʲoɡres̪iːvus̪ pɑs̪ɑːkumus̪n̪od̪rʲoʃin̪ɑːt̪u t̪oː vis̪pɑːreːju uŋ æfekt̪iːvu ɑt̪z̪iːʃɑn̪u uŋ iːs̪t̪en̪uaʃɑn̪u kɑː rɡɑŋiz̪ɑːt̪s̪ijɑs̪d̪ɑliːbvɑls̪t̪u t̪ɑː ɑrʲiː t̪oː juris̪d̪ikt̪s̪ijɑː es̪oʃo t̪erʲit̪oːrʲiju t̪ɑut̪ɑːs̪
human_rights_un_lav_kb_64kb_0006	
human_rights_un_lav_kb_64kb_0007	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0008	is̪i t̪s̪ilvæːki piæd̪z̪ims̪t̪ brʲiːvi uŋ vieŋliːd̪z̪iːɡi s̪ɑvɑː t̪s̪ieɲɑː uŋ t̪ies̪iːbɑːs̪
human_rights_un_lav_kb_64kb_0009	iɲiæm irʲ s̪ɑprɑːt̪s̪ uŋs̪ird̪s̪ɑpz̪iɲɑ uŋ viɲiem t̪s̪it̪ɑm prʲet̪ t̪s̪it̪u jɑːiz̪t̪urʲɑs̪ brɑːliːbɑs̪ ɡɑrɑː
human_rights_un_lav_kb_64kb_0010	
human_rights_un_lav_kb_64kb_0011	pɑn̪t̪s̪
