human_rights_un_lb_ll_64kb_0001	univɛʁzal # dɛklaʁatiɔʊn vʊn dɛ mnskheʁɛktɛʁ
human_rights_un_lb_ll_64kb_0002	pʁɛambɛl
human_rights_un_lb_ll_64kb_0003	vˈɛl dʊnɛrkɛnɔŋ vʊn dɛʁ dɪgnɪtɛɪt dei al membər vʊn dɛʁ mɛnʃefamɪl ɡəbyːr as a vu sɛŋə glɛɪxən an ˈoːnɛrzɛtslɛkɛ ʁɛktɛʁ dɛ fɛləmˈɑ̃ː vʊn dɛʁ fʁɛɪet dɛʁ geʁɛktɛgket an dˈeːm fʁɪdɛn an dɛʁ wɛlt as
human_rights_un_lb_ll_64kb_0004	vˈɛl ɛt dˈɔ wɔu dmɛnʃeʁɛktɛʁ nɛt ˈʊnɛrkant an nɛt reːspɛktɛˈiːrt ɡˈɪn tsˈuː baʁbaʁɛʃɛn aktɛ kɔʊm dei dgewɛsə vʊn dɛʁ gantsɛʁ mɛnʃhet reːvɔltɛiːrən a wɛl dʃafɛ vʊn ɛŋɛʁ vˈɛlt an deʁ dmɛnʃən dfʁɪet vʊm vˈʏrt a vʊm glaf hˈʊn an deʁ zɛ fʁɛi zi vu fuːʊrxt an nuːt als dˈeːm mɛnʃ zɛin hɛkʃt ʃtʁiwɛ proːklamɛˈiːrt ɡuːf
human_rights_un_lb_ll_64kb_0005	vˈɛl ɛt haptzɛklɛk dʁɛm get fɪʁ dˈʏrx ɛ ʁɛktsʏstɛm hant ɪwwɛʁ dmɛnʃeʁɛktɛʁ tsɛ halɛn an dˈat dɛ mɛnʃ doːdˈʏrx nɛt fɔrtsɛˈiːrt gɛt fɪʁ zɛi lɛʃtən aʊswe an dɛʁ reːvɔlt ɡaɪnt dtyːranˈai an dnɛʁdʁɛktgɪn tsɛ zɪkɛn
human_rights_un_lb_ll_64kb_0006	vˈɛl ɛt haptzɛklɛk dʁɛm get fɪʁ dɛntwɛklɔŋ vʊn dɛ fʁɛndʒhaftlɛkɛ ʁelatiɔunɛn tɛʃt dɛn natiɔunɛn tsɛnkuːraːʒɛiʁɛn
human_rights_un_lb_ll_64kb_0007	vˈɛl an dɛʁ çaʁta dvɛlekɛʁ vʊn dɛ veʁentən natiɔunɛn ɔp ɛn nˈaits hiːrə glaf an dgʁɔndʁɛktɛʁ vʊm mɛnʃ an ddɪgnɪtɛˈiːt an an dɛ wɛərt vʊn dɛʁ mɛnʃlɛkɛʁ pɛrzˈoːʊn an dglɛikhet vʊn dɛ ʁɛktɛʁ vu man a fʁa proːklamɛˈiːrt a zɛk dofɪʁ ɛntʃet huː fɪʁ dˈeːm tsoːtsiːˈaːlə fɔʁtʃhʁɛt dɛ vɪʁtsɔk tsɛ ɡɪn a bˈɛsər liwɛskɔnditiɔunɛn a maɪ ɛŋɛʁ gʁɔʊsɛʁ fʁɛɪet tsɛ ʃafɛn
human_rights_un_lb_ll_64kb_0008	vˈɛl dmɛmbɛʁstatɛ zɛk fɛrflˈɪxt huː fɪʁ an tsˈeːzʊmənaːrpɛxt mat dɛʁ ɔʁganizatsɪɔʊn vʊn dɛ veʁentən natiɔunɛn dofɪʁ tsɛ zˈʏrɡən dˈat dmɛnʃeʁɛktɛʁ an dgʁɔndfʁɛietɛn ˈalɡəmɛŋ reːspɛktɛˈiːrt a reːalɪsɛˈiːrt ɡˈɪn
human_rights_un_lb_ll_64kb_0009	vˈɛl ɛŋ an dei zɛlwɛkt ˈɔpfaszɔŋ ɪwwɛʁ dɛs ʁɛktɛʁ a fʁɛietɛn ˈaus dɛʁ mos vˈɪxtɛk as fɪʁ dɛst ɛŋagemɛnt fɔl a gants kɛnɛn dˈʏrxtsɛfeiʁɛn
human_rights_un_lb_ll_64kb_0010	pʁoklamɛiɛʁt dgenɛʁɔlvɛʁzamloŋ
human_rights_un_lb_ll_64kb_0011	dɛs univɛʁzaldɛklaʁatiɔʊn vʊn dɛ mnskheʁɛktɛʁ dei als ɛn ˈalɡəmɛŋt iːdeːˈaːl vʊn al vɔlɛk an al natiɔʊn zɔl uːɡɛstrˈiːft ɡɪn ˈaus deːəm gʁɔnd dˈat al ˈeːəntsələ mɛnʃ an al ɔʁgan vʊn dɛʁ gezɛlʃaft ɛmər am geʃt vʊn dezər dɛklaʁatiɔʊn zɛk uːʃtrɛŋə fɪʁ dˈʏrx dɛn ʊntɛʁɛkt an dɛʁtsaɪɔŋ dɛ reːspɛkt vʊn dɛsə ʁɛktɛʁ a fʁɛietɛn tsˈɑ̃ːvɛklɛn an noː an noː dˈʏrx mezyʁɛn ʊm natsiːoːnˈaːlən an ɪntɛʁnatsɪonalɛ plˈaŋ hɪʁ ʊnɛrkɛnɔŋ tsɛ sɛkeʁɛn dˈat dpopulatiɔunɛn ˈaus dɛ membɛʁstatɛ zɛlwɛʁ an dei ˈaus ɡəbˈɪtər dei ɛnɛʁ hiʁɛʁ ɡərˈɪɪktsbaʁket ʃtiŋ ɛn ˈalɡəmɛŋən a ɡˈʊdə gɛbʁaʊx dɛʁvu kɛnɛn maxɛn
