human_rights_un_oc_am_64kb_0001	dɛklaʁasjun ynivesalɔ di dʁ d lˈɔm
human_rights_un_oc_am_64kb_0002	aʁtikl 1
human_rights_un_oc_am_64kb_0003	tóyti li yman nesɔn libʁɛ.
human_rights_un_oc_am_64kb_0004	sun ɛgy pɛʁla diɲɛta ɛ li dʁɛ.
human_rights_un_oc_am_64kb_0005	an tóyti ynɔ ʁun ɛ ynɔ kynsjɛnsi.
human_rights_un_oc_am_64kb_0006	zɛ dɛvɔn tɛnifʁɛʁɛno li yn wˈame li otʁɛ.
human_rights_un_oc_am_64kb_0007	aʁtikl 2
human_rights_un_oc_am_64kb_0008	tu ɛs yman a tóyti li libeta ɛ tóyti lidʁ pRyklama din akɛsto dɛklaʁasjun sɛnsɔ g li dtʁja pɛʁ d Rasɔ dɛkuluʁ d sɛi d lɛŋɔ d ʁɛligun dˈidɛjɔ pylitikɔ ɔ dˈotʁɔ mɛnɔdóyʁignɔ nasjunalɔ ɔ sysjalɔ d ʁiʃsɔ d nɛsɛnsɔ ɔ daytʁikundisjun.
human_rights_un_oc_am_64kb_0009	ɛn me s faʁa g d dtʁjamɛn fundazybʁ lˈɛstaty pyliti amənisjey ɔ intenasjuno dóy pai ɔ d lˈɛndʁed la pesunɔ fug akɛl ɑ̃dRe indɛpɛndɛn ɔ sa sybɛʁanɛta kuntuʁuladɔ limitadɔ dˈyn bjɛ ɔ dˈyn otʁɛ.
human_rights_un_oc_am_64kb_0010	aʁtikl 3
human_rights_un_oc_am_64kb_0011	kadɔ pesunɔ a dʁ a la vidɔ a la libetaɛ a la sɛgʁɛta.
human_rights_un_oc_am_64kb_0012	aʁtikl 4
human_rights_un_oc_am_64kb_0013	dɛgn saʁa syme a lklavitydɔ ɔ a lazevitydɔ.
human_rights_un_oc_am_64kb_0014	ɛs ɛnɛbi ɛn plɛn d tɛni dklo ɔ d nˈɛn feʁ kumɛʁsi.
human_rights_un_oc_am_64kb_0015	aʁtikl 5
human_rights_un_oc_am_64kb_0016	dɛgn saʁa syme a la tuʁtyʁɔ nime a dɛpɛnɔ ɔ d tʁatamɛn kRudɛy inyman ɔ desgadant.
human_rights_un_oc_am_64kb_0017	aʁtikl 6
human_rights_un_oc_am_64kb_0018	kadyn a dʁ a la Rəkynɛsɛnsɔ d zapesunalita ʒyʁidikɔ d petut.
human_rights_un_oc_am_64kb_0019	aʁtikl 7
human_rights_un_oc_am_64kb_0020	tóyti li gn zun ɛgy davan la lɛi.
human_rights_un_oc_am_64kb_0021	mɛmamɛn an tóyti dʁ dɛstʁ apaʁa pɛʁ la lɛi sɛnsɔ g d dtʁjamɛn.
human_rights_un_oc_am_64kb_0022	an tóytidʁ dɛstʁ apaʁa paʁje kɔntʁɔ ty sɔ k vjóylaʁje akɛsto dɛklaʁasjun ɔ kɛbytaʁje a la vjóyla.
human_rights_un_oc_am_64kb_0023	aʁtikl 8
human_rights_un_oc_am_64kb_0024	tutɔ pesunɔ a lu dʁ d sˈapɛla pRɔʃ litʁibyno nasjuno kumpɛtɛnt.
