human_rights_un_pl_km_64kb_0001	w
human_rights_un_pl_km_64kb_0002	ʐɛtɕa ɛsja ɡulnɛɡɔ ɡrɔmadzɛɲa ɔbradujɔ̃ɲtsa v arɨʐu uxˈɨvaliwa ɡruɲa rɔku jˈɛn̪ɔmˈɨɕlɲɛ̝ ɔˈɨvʂɛxn̪ɔ̃ɲ ɛklˈat̪ratsjɛ̃ rav zwɔvʲjˈɛ̝ka
human_rights_un_pl_km_64kb_0003	ɔkumɛn̪t tɛn saɲɔvʲ ɲɛ̝ˈɨvɔ̃ɲtplivʲjˈɛ̝ jˈɛn̪ɔ z najvʲɛ̃kʂɨx i najtʂˈɨvalʂɨx ɔɕʲˈɔ̃ŋɡɲɛ̃tɕ
human_rights_un_pl_km_64kb_0004	ʐɛtwumatʂɔn̪a na vʲˈɛ̃nkʂɔɕtɕ jˈɛ̃nʂɛɨkˈu ɕvʲˈat̪a ɔvʂɛxɲa ɛklˈat̪ratsja rav zwɔvʲjˈɛ̝ka zbɛ̝ra ɔraz pɔʐɔ̃ɲˈidʑkujɛ ɔɕʲˈɔ̃ŋɡɲɛ̃tɕa i pɔstulˈat̪tɨ tʂwɔvʲjˈɛ̝ka kturɨ ɔd vʲjˈɛ̝lu sɛtɛk lˈat̪t tɔtʂɨ ɲɛ̝ skɲtʂɔn̪ɔ̃ɲ jɛʂtʂɛ ˈɨvalkɛ̃ ɔ svɔjɔ̃ɲ vɔlˈɨ̃n̪ɔɕtɕ i svɔjɔ̃ɲ ɡɔpxn̪n̪ɔˈɨɕtɕ
human_rights_un_pl_km_64kb_0005	rɛambuwa
human_rights_un_pl_km_64kb_0006	ʐ ˈɛʐɛ uznaɲɛ̝ pʐɨrɔdʑɔn̪ɛj ɡɔˈidʑnɔɕtɕ ɔraz rˈun̪ɨx i ɲɛ̝ʂɨ̃ˈabʲɨˈɨvalnɨx prav vʂɨstkʲx tʂwɔn̪kˈu vs̪ːpulɲɔtɨ ludzkʲɛj jɛst pɔpxn̪savɔ̃ɲ vɔlnɔɕtɕ spravʲˈɛlivɔɕtɕ i pɔkju ɕvʲˈat̪a
human_rights_un_pl_km_64kb_0007	ʐ ˈɛʐɛ ɲɛ̝pɔʂan̪ɔˈɨvaɲɛ̝ i ɲɛ̝pʐɛstʐɛɲtɕn̪ˈɔʐɲɛ̝ prav tʂwɔvʲjˈɛ̝ka dɔprɔˈɨvadʑwɔ dɔ aktˈu barbaʐɨɲstˈɨva kturɛ vstʐɔ̃ɲsnɛ̃w sumɛ̝ɲɛ̝m ludzkɕtɕ i ˈɛʐɛ ɔɡwɔʂɔˈɨ̃n̪ɔ urɔtʂɨɕtɕɛ jak najˈɨvʂɨ̃ɲɔˈɨɕlɛjʂɨ tsɛl ludzkɕtɕ dɔ̃ɲˈɛʐɛɲɛ̝ dɔ zbuɔˈɨvaɲa akʲɛɡɔ ɕvʲˈat̪a v kturm ludʑɛ̝ kʐɨstatɕ bˈɛ̃ndɔ̃ɲ z vɔlnɔɕtɕ swɔˈɨva i pʐɛkn̪aɲ ɔraz z vɔlnɔɕtɕ ɔd stʂaxu i nˈɛ̃ndzɨ
human_rights_un_pl_km_64kb_0008	ʐ ˈɛʐɛ kɲɛ̝tʂɲɛ jɛst z̪ˈɨvarɔˈɨvaɲɛ̝ prav tʂwɔvʲjˈɛ̝ka pʐɛpʲami praˈɨva abɨ ɲɛ̝ muɕʲaw pxn̪ɔprɔˈɨvadzɔˈɨ̃n̪ɨ dɔ ɔsatɛtʂɲɔɕtɕ utɕɛkatɕ ɕɛ̃ dɔ buɲtu pʐɛtɕv tɨraɲi i utɕis̪kvʲ
human_rights_un_pl_km_64kb_0009	ʐ ˈɛʐɛ kɲɛ̝tʂɲɛ jɛst pɔpʲɛraɲɛ̝ rɔzvɔju pʐɨjazn̪ɨx stɔs̪ːun̪kˈu mvʲiˈɛ̃ndʑɨ narɔdami
human_rights_un_pl_km_64kb_0010	ʐ ˈɛʐɛ arɔdɨ jˈɛɲɔtʂɔnɛ pʐɨvrutɕw svɔ̃ɲ vʲarɛ̃ v pɔˈidʑsavɔˈɨvɛ praˈɨva tʂwɔvʲjˈɛ̝ka ɡɔpxn̪n̪ɔˈɨɕtɕ i ˈɨvartɔɕtɕ jˈɛnɔstkʲ ɔraz v rˈunɔupraˈɨvɲɛ̝ɲɛ̝ mˈɛ̃nˈɛʐtʂɨʂɛn i kbɛ̝t ɔraz vɨradʑw svɛ zdɛtsɨdɔˈɨvaɲɛ̝ pɔpʲɛraɲa pɔstɛ̃pu spɔwɛtʂɲɛɡɔ i pɔpravɨ ˈɨvarunkˈu ʐɨtɕa v vʲɛ̃kʂɛj vɔlnɔɕtɕ
human_rights_un_pl_km_64kb_0011	ʐ ˈɛʐɛ aɲstˈɨva zwɔnkvis̪kɛ̝ pɔˈidʑjɛ̃w ɕɛ̃ vɛ vspuwpratsɨ z rɲtɕn̪ˈɔʐɲz̪tsjɔ̃ɲ arɔdˈu jˈɛn̪ɔtʂɔn̪ɨx z̪pɛvɲtɕ pɔˈɨvʂɛxnɛ pɔʂaɲɔˈɨvaɲɛ̝ i pʐɛstʐɛɲtɕn̪ˈɔʐɲɛ̝ prav tʂwɔvʲjˈɛ̝ka i pɔdsaˈɨvɔvɨx vɔlnɔɕtɕ
human_rights_un_pl_km_64kb_0012	ʐ ˈɛʐɛ jˈɛˈɨ̃n̪akvɛ rɔʂɛumɛ̝ɲɛ̝ tɨx prav i vɔlnɔɕtɕ ma ɔlbʐmɛ̝ zɲatʂɛɲɛ̝ dlˈat̪ ix pɛwɲɛj rɛaliz̪tsji
human_rights_un_pl_km_64kb_0013	u
human_rights_un_pl_km_64kb_0014	ɡwaʂa rɔtʂɨɕtɕɛ ɲɲɛ̝jʂɔ̃ɲ ɔˈɨvʂɛxn̪ɔ̃ɲ ɛklˈat̪ratsjɛ̃ rav zwɔvʲjˈɛ̝ka jak vs̪ːpulɲɨ najˈɨvɨˈɛʐʂɨ tsɛl vʂɨstkʲx luˈu i vʂɨstkʲx narɔpxn̪ˈu abɨ vʂɨstsɨ ludʑɛ̝ i vʂɨstkʲɛ ɔrɲtɕn̪ˈɔʐnɨ spɔwɛtʂɛɲstˈɨva majɔ̃ɲts sal v pamiɛ̃tɕ ɲɲɛ̝jʂɔ̃ɲ ɛklˈat̪ratsjɛ̃ dɔ̃ɲʐɨw v d̪ɔdzɛ nautʂaɲa i vɨxɔvɨˈɨvaɲa dɔ rɔw̃z̪vʲjaɲa pɔʂaɲɔˈɨvaɲa tɨx prav i vɔlnɔɕtɕ i abɨ z̪pɛvɲw z̪ pɔmɔtsɔ̃ɲ pɔstɛ̃pɔvɨx ɕrɔdkˈu ɔ z̪ɕʲɛ̃ɡu krajɔvm i miɛ̃dzɨˈɨ̃n̪arɔdɔvm pɔˈɨvʂɛxnɛ i is̪kutɛtʂɲɛ uznaɲɛ̝ i stɔis̪ɔˈɨvaɲɛ̝ tɛj ɛklˈat̪ratsji z̪rˈun̪ɔ vɕrud narɔpxn̪ˈu aɲstv zwɔɲkˈɨvis̪kʲx jak i vɕrud narɔpxn̪ˈu z̪mɛ̝ʂkujɔ̃ɲtsɨx ɔbʂarɨ pɔdlɡwɛ ix vwadzɨ
human_rights_un_pl_km_64kb_0015	rtɨkuw
human_rights_un_pl_km_64kb_0016	ʂɨstsɨ ludʑɛ̝ rɔdzɔ̃ɲ ɕɛ̃ vɔlɲ i rˈuɲ pɔd vʂɨ̃ɡlɛ̃ˈidʑɛm svɛj ɡɔˈidʑnɔɕtɕ i svɨx prav
