human_rights_un_pmp_dm_64kb_0001	diŋ paŋ univesuŋ kaapataŋ pantau a mipoklama paa ipakilala
human_rights_un_pmp_dm_64kb_0002	jaŋ laluŋ simple
human_rights_un_pmp_dm_64kb_0003	uliŋ iŋ pamaŋilala kiŋ likas a kaaŋalan at kiŋ pante at diŋ e aliŋad a kaapatan diŋ sablaŋ lahi diŋ tau ijaŋ pundasjun na niŋ kalajaan hustisija at kapajapan kiŋ jatu
human_rights_un_pmp_dm_64kb_0004	dapat aintiŋdian diŋ sablaŋ bibiludʒ kaiŋ sablaŋ pamilja kiŋ atin la naman kaapatan kalupa a diŋ aliwaŋ tau
human_rights_un_pmp_dm_64kb_0005	aŋdʒaŋ iti e tamu aintindian e mial iŋ kalajan hustisija at kapajapan
human_rights_un_pmp_dm_64kb_0006	uliŋ e tamu pa maie uladʒa at pamanamak kaiŋ kaapataŋ pantau mamuŋaŋ pamadʒlapastaŋan labadʒ kiŋ konsensija da iŋ sablaŋ tau at dasan mu in kiŋ jatu kiŋ atamasa iŋ tau iŋ kalajan kiŋ pamadʒsalita at pamaniwala at kalajan kiŋ pamadʒnasa pamikakunu at kasakitan a ijaŋ papakilala naŋ pekamatas a kapadʒnasan niŋ kaaniwaŋ tau
human_rights_un_pmp_dm_64kb_0007	lebadʒan do iŋ kaapataŋ pantau diŋ dakal a tau
human_rights_un_pmp_dm_64kb_0008	diŋ dʒea at aliwa paŋ kaaaptanan ilaŋ bibie pasakit kaiŋ tau adʒpaŋ kiŋ istoja at kiŋ mabiludʒ a jatu
human_rights_un_pmp_dm_64kb_0009	iŋ jatu a nuŋ nokaiŋ diŋ tau atamasa a iŋ kaapataŋ madʒsalita nanu man iŋ a isip da mamili kiŋ saili aŋ kapaniwalan at maŋabijajaŋ alaŋ takut at alaŋ pamikakunu kiŋ nanu maŋ kabuian jaŋ dapat madʒiŋ peka mauladʒa kiŋ keka tamuŋ kapadʒnasan
human_rights_un_pmp_dm_64kb_0010	uliŋ tune mauladʒa baŋ iŋ tau e mapilitaŋ dʒumeaŋ lumaban kiŋ kalupitan at pamanapi a diŋ kaapataŋ pantau dapat poteksjunan la kapamilatan niŋ batas
human_rights_un_pmp_dm_64kb_0011	diŋ kaapataŋ pantau dapat poteksjunan no niŋ batas
