human_rights_un_por_as_64kb_0001	dekɫaʁasɐ̃o univeʁsaɫ dos diʁeitos umanos
human_rights_un_por_as_64kb_0002	pʁeãmbuɫo
human_rights_un_por_as_64kb_0003	konsideʁando ke o ʁekoɲekimento da dignidade ineʁente a todos os membʁos da famiɫia umana e dos seus diʁeitos igais e inaɫienaveis konstitui o fundamento da ɫibeʁdad da ʒustisa e da paz no mundo
human_rights_un_por_as_64kb_0004	konsideʁando ke o deskoɲekimento e o despʁezo dos diʁeitos umanos konduziʁam a aktos de baʁbaʁie ke ʁevoɫtam a konskiẽnkia da umanidade e ke o advento de um mundo em ke os seʁes umanos seʒam ɫivʁes de faɫaʁ e de kʁeʁ ɫibeʁtos do teʁoʁ e da misɛʁia foi pʁokɫamado komo a mais aɫta inspiʁasɐ̃o do seʁ umano
human_rights_un_por_as_64kb_0005	konsideʁando ke ɛ esenkiaɫ a pʁoteksɐ̃o dos diʁeitos umanos atʁavɛs de um ʁegime de diʁeito paʁa ke os seʁes umanos nɐ̃o seʒam kompeɫidos em supʁemo ʁekuʁso a ʁevoɫta kontʁa a tiʁania e a opʁesɐ̃o
human_rights_un_por_as_64kb_0006	konsideʁando ke ɛ esenkiaɫ enkoʁaʒaʁ o desenvoɫvimento de ʁeɫasões amistosas entʁe as nasões
human_rights_un_por_as_64kb_0007	konsideʁando ke na kaʁta os povos das nasões unidas pʁokɫamam de novo a sua fɛ nos diʁeitos fundamentais dos seʁes umanos na dignidade e no vaɫoʁ da pesoa umana na igaɫdade de diʁeitos dos omens e das muʎeʁes e se dekɫaʁaʁam ʁesoɫvidos a favoʁekeʁ o pʁogʁeso sokiaɫ e a instauʁaʁ meʎoʁes kondisões de vida dentʁo de uma ɫibeʁdade mais ampɫa
human_rights_un_por_as_64kb_0008	konsideʁando ke os estados membʁos se kompʁometeʁam a pʁomoveʁ em kopeʁasɐ̃o kom a oʁganizasɐ̃o das nasões unidas o ʁespeito univeʁsaɫ e efektivo dos diʁeitos umanos e das ɫibeʁdades fundamentais
human_rights_un_por_as_64kb_0009	konsideʁando ke uma konkepsɐ̃o komum destes diʁeitos e ɫibeʁdades ɛ da mais aɫta impoʁtãnkia paʁa daʁ pɫena satisfasɐ̃o a taɫ kompʁomiso
human_rights_un_por_as_64kb_0010	a asembɫeia geʁaɫ pʁokɫama a pʁesente dekɫaʁasɐ̃o univeʁsaɫ dos diʁeitos umanos komo ideaɫ komum a atingiʁ poʁ todos os povos e todas as nasões a fim de ke todos os individuos e todos os ɔʁgɐ̃os da sokiedad tendoa konstantemente no espiʁito se esfoʁkem peɫo ensino e peɫa edukasɐ̃o poʁ desenvoɫveʁ o ʁespeito deses diʁeitos e ɫibeʁdades e poʁ pʁomoveʁ poʁ medidas pʁogʁesivas de oʁdem nakionaɫ e inteʁnakionaɫ o seu ʁekoɲekimento e a sua apɫikasɐ̃o univeʁsais e efektivos tanto entʁe as popuɫasões dos pʁɔpʁios estados membʁos komo entʁe as dos teʁitɔʁios koɫokados sob a sua ʒuʁisdisɐ̃o
human_rights_un_por_as_64kb_0011	aʁtigo na
human_rights_un_por_as_64kb_0012	
human_rights_un_por_as_64kb_0013	todos os seʁes umanos naskem ɫivʁes e igais em dignidade e em diʁeitos
human_rights_un_por_as_64kb_0014	dotados de ʁazɐ̃o e de konskiẽnkia devem agiʁ uns paʁa kom os outʁos em espiʁito de fʁateʁnidade
human_rights_un_por_as_64kb_0015	aʁtigo na
human_rights_un_por_as_64kb_0016	
human_rights_un_por_as_64kb_0017	todos os seʁes umanos podem invokaʁ os diʁeitos e as ɫibeʁdades pʁokɫamados na pʁesente dekɫaʁasɐ̃o sem distinsɐ̃o aɫgma nomeadamente de ʁasa de koʁ de sekso de ɫinga de ʁeɫigiɐ̃o de opiniɐ̃o poɫitika ou outʁa de oʁigem nakionaɫ ou sokiaɫ de foʁtuna de naskimento ou de kaɫkeʁ outʁa situasɐ̃o
human_rights_un_por_as_64kb_0018	aɫɛm diso nɐ̃o seʁa feita neɲuma distinsɐ̃o fundada no estatuto poɫitiko ʒuʁidiko ou inteʁnakionaɫ do pais ou do teʁitɔʁio da natuʁaɫidade da pesoa seʒa ese pais ou teʁitɔʁio independent sob tuteɫa autɔnomo ou suʒeito a aɫgma ɫimitasɐ̃o de sobeʁania
human_rights_un_por_as_64kb_0019	aʁtigo sna
human_rights_un_por_as_64kb_0020	
human_rights_un_por_as_64kb_0021	todo o individuo tem diʁeito a vida a ɫibeʁdade e a segʁansa pesoaɫ
human_rights_un_por_as_64kb_0022	aʁtigo na
human_rights_un_por_as_64kb_0023	
human_rights_un_por_as_64kb_0024	ningɛm seʁa mantido em eskʁavatuʁa ou em seʁvidɐ̃o
human_rights_un_por_as_64kb_0025	a eskʁavatuʁa e o tʁato dos eskʁavos sob todas as foʁmas sɐ̃o pʁoibidos
human_rights_un_por_as_64kb_0026	aʁtigo na
human_rights_un_por_as_64kb_0027	
human_rights_un_por_as_64kb_0028	ningɛm seʁa submetido a toʁtuʁa nem a penas ou tʁatamentos kʁuɛis desumanos ou degʁadantes
human_rights_un_por_as_64kb_0029	aʁtigo na
human_rights_un_por_as_64kb_0030	
human_rights_un_por_as_64kb_0031	todos os individuos tem diʁeito ao ʁekoɲekimento em todos os ɫugaʁes da sua peʁsonaɫidade ʒuʁidika
human_rights_un_por_as_64kb_0032	aʁtigo na
human_rights_un_por_as_64kb_0033	
human_rights_un_por_as_64kb_0034	todos sɐ̃o igais peʁante a ɫei e sem distinsɐ̃o tem diʁeito a igaɫ pʁoteksɐ̃o da ɫei
human_rights_un_por_as_64kb_0035	todos tem diʁeito a pʁoteksɐ̃o igaɫ kontʁa kaɫkeʁ diskʁiminasɐ̃o ke vioɫe a pʁesente dekɫaʁasɐ̃o e kontʁa kaɫkeʁ inkitamento a taɫ diskʁiminasɐ̃o
human_rights_un_por_as_64kb_0036	aʁtigo na
human_rights_un_por_as_64kb_0037	
human_rights_un_por_as_64kb_0038	toda a pesoa tem diʁeito a ʁekuʁso efektivo paʁa as ʒuʁisdisões nakionais kompetentes kontʁa os aktos ke vioɫem os diʁeitos fundamentais ʁekoɲekidos peɫa konstituisɐ̃o ou peɫa ɫei
human_rights_un_por_as_64kb_0039	aʁtigo na
human_rights_un_por_as_64kb_0040	
human_rights_un_por_as_64kb_0041	ningɛm pode seʁ aʁbitʁaʁiamente pʁeso detido ou eksiɫado
human_rights_un_por_as_64kb_0042	aʁtigo na
human_rights_un_por_as_64kb_0043	
human_rights_un_por_as_64kb_0044	toda a pesoa tem diʁeito em pɫena igaɫdad a ke a sua kausa seʒa ekitativa e pubɫikamente ʒuɫgada poʁ um tʁibunaɫ independente e impaʁkiaɫ ke dekida dos seus diʁeitos e obʁigasões ou das ʁazões de kaɫkeʁ akusasɐ̃o em matɛʁia penaɫ ke kontʁa eɫa seʒa deduzida
human_rights_un_por_as_64kb_0045	aʁtigo na
human_rights_un_por_as_64kb_0046	
human_rights_un_por_as_64kb_0047	toda a pesoa akusada de um akto deɫituoso pʁesumese inokente atɛ ke a sua kuɫpabiɫidade fike ɫegaɫmente pʁovada no dekuʁso de um pʁokeso pubɫiko em ke todas as gaʁantias nekesaʁias de defesa ʎe seʒam asegʁadas
human_rights_un_por_as_64kb_0048	ningɛm seʁa kondenado poʁ aksões ou omisões ke no momento da sua pʁatika nɐ̃o konstituiam akto deɫituoso a fake do diʁeito inteʁno ou inteʁnakionaɫna
human_rights_un_por_as_64kb_0049	do mesmo modo nɐ̃o seʁa infɫigida pena mais gʁave do ke a ke eʁa apɫikaveɫ no momento em ke o akto deɫituoso foi kometido
human_rights_un_por_as_64kb_0050	aʁtigo na
human_rights_un_por_as_64kb_0051	
human_rights_un_por_as_64kb_0052	ningɛm sofʁeʁa intʁomisões aʁbitʁaʁias na sua vida pʁivada na sua famiɫia no seu domikiɫio ou na sua koʁespondẽnkia nem atakes a sua onʁa e ʁeputasɐ̃o
human_rights_un_por_as_64kb_0053	kontʁa tais intʁomisões ou atakes toda a pesoa tem diʁeito a pʁoteksɐ̃o da ɫei
human_rights_un_por_as_64kb_0054	aʁtigo sna
human_rights_un_por_as_64kb_0055	
human_rights_un_por_as_64kb_0056	toda a pesoa tem o diʁeito de ɫivʁemente kiʁkuɫaʁ e eskoʎeʁ a sua ʁesidẽnkia no inteʁioʁ de um estado
human_rights_un_por_as_64kb_0057	toda a pesoa tem o diʁeito de abandonaʁ o pais em ke se enkontʁa inkɫuindo o seu e o diʁeito de ʁegʁesaʁ ao seu pais
human_rights_un_por_as_64kb_0058	aʁtigo na
human_rights_un_por_as_64kb_0059	
human_rights_un_por_as_64kb_0060	toda a pesoa suʒeita a peʁsegisɐ̃o tem o diʁeito de pʁokuʁaʁ e de benefikiaʁ de asiɫo em outʁos paises
human_rights_un_por_as_64kb_0061	este diʁeito nɐ̃o pod poʁɛm seʁ invokado no kaso de pʁokeso ʁeaɫmente eksistente poʁ kʁime de diʁeito komum ou poʁ aktividades kontʁaʁias aos fins e aos pʁinkipios das nasões unidas
human_rights_un_por_as_64kb_0062	aʁtigo na
human_rights_un_por_as_64kb_0063	
human_rights_un_por_as_64kb_0064	todo o individuo tem diʁeito a teʁ uma nakionaɫidadena
human_rights_un_por_as_64kb_0065	ningɛm pode seʁ aʁbitʁaʁiamente pʁivado da sua nakionaɫidade nem do diʁeito de mudaʁ de nakionaɫidadena
human_rights_un_por_as_64kb_0066	aʁtigo na
human_rights_un_por_as_64kb_0067	
human_rights_un_por_as_64kb_0068	a paʁtiʁ da idade nubiɫ o omem e a muʎeʁ tem o diʁeito de kasaʁ e de konstituiʁ famiɫia sem ʁestʁisɐ̃o aɫgma de ʁasa nakionaɫidade ou ʁeɫigiɐ̃o
human_rights_un_por_as_64kb_0069	duʁante o kasamento e na aɫtuʁa da sua disoɫusɐ̃o ambos tem diʁeitos igais
