human_rights_un_rum_xip_64kb_0001	deklaratsia universalə a drepturilor omului
human_rights_un_rum_xip_64kb_0002	preambul
human_rights_un_rum_xip_64kb_0003	konsiderɨnd kə rekunoaʃterea demnitətsi inerente tuturor membrilor familiei umane ʃi a drepturilor lor egale ʃi inalienabile konstituie fundamentul libertətsi dreptətsi ʃi pətʃi ɨn lume
human_rights_un_rum_xip_64kb_0004	konsiderɨnd kə ignorarea ʃi dispretsuirea drepturilor omului au dus la akte de barbarie kare revoltə konʃtintsa omeniri ʃi kə fəurirea unei lumi ɨn kare fintsele umane se vor bukura de libertatea kuvɨntului ʃi a konvindʒerilor ʃi vor fi eliberate de teamə ʃi mizerie a fost proklamatə drept kea mai ɨnaltə aspiratsie a oamenilor
human_rights_un_rum_xip_64kb_0005	konsiderɨnd kə este esentsial ka drepturile omului sə fie okrotite de autoritatea ledʒi pentru ka omul sə nu fie silit sə rekurgə ka solutsie ekstremə la revoltə ɨmpotriva tiraniei ʃi asupriri
human_rights_un_rum_xip_64kb_0006	konsiderɨnd kə este esentsial a se ɨnkuraʒa dezvoltarea relatsilor prieteneʃti ɨntre natsiuni
human_rights_un_rum_xip_64kb_0007	konsiderɨnd kə ɨn kartə popoarele organizatsiei natsiunilor unite au proklamat din nou kredintsa lor ɨn drepturile fundamentale ale omului ɨn demnitatea ʃi ɨn valoarea persoanei umane drepturi egale pentru bərbatsi ʃi femei ʃi kə au hotərɨt sə favorizeze progresul sotʃial ʃi ɨmbunətətsirea konditsilor de viatsə ɨn kadrul unei libertətsi mai mari
human_rights_un_rum_xip_64kb_0008	konsiderɨnd kə statele membre sau angaʒat sə promoveze ɨn kolaborare ku organizatsia natsiunilor unite respektul universal ʃi efektiv fatsə de drepturile omului ʃi libertətsile fundamentale prekum ʃi respektarea lor universalə ʃi efektivə
human_rights_un_rum_xip_64kb_0009	konsiderɨnd kə o konkeptsie komunə despre akeste drepturi ʃi libertətsi este de kea mai mare importantsə pentru realizarea deplinə a akestui angaʒament
human_rights_un_rum_xip_64kb_0010	adunarea generalə proklaməprezenta deklaratsie universalə a drepturilor omului ka ideal komun spre kare trebuie sə tində toate popoarele ʃi toate natsiunile pentru ka toate persoanele ʃi toate organele sotʃietətsi sə se strəduiaskə avɨnd akeastə deklaratsie permanent ɨn minte ka prin ɨnvətsəturə ʃi edukatsie sə dezvolte respektul pentru akeste drepturi ʃi libertətsi ʃi sə asigure prin məsuri progresive de ordin natsional ʃi internatsional rekunoaʃterea ʃi aplikarea lor universalə ʃi efektivə atɨt ɨn sɨnul popoarelor statelor membre kɨt ʃi al kelor din teritorile aflate sub ʒurisdiktsia lor
human_rights_un_rum_xip_64kb_0011	artikolul
human_rights_un_rum_xip_64kb_0012	toate fintsele umane se nask libere ʃi egale ɨn demnitate ʃi ɨn drepturi
human_rights_un_rum_xip_64kb_0013	ele sunt ɨnzestrate ku ratsiune ʃi konʃtintsə ʃi trebuie sə se komporte unele fatsə de altele ɨn spiritul fraternitətsi
human_rights_un_rum_xip_64kb_0014	artikolul
human_rights_un_rum_xip_64kb_0015	fiekare om se poate prevala de toate drepturile ʃi libertətsile proklamate ɨn prezenta deklaratsie fərə nitʃiun fel de deosebire ka de pildə deosebirea de rasə kuloare seks limbə relidʒie opinie politikə sau orike altə opinie de oridʒine natsionalə sau sotʃialə avere naʃtere sau orike alte ɨmpreʒurəri
human_rights_un_rum_xip_64kb_0016	ɨn afarə de akeasta nu se va fake nitʃio deosebire dupə statutul politik ʒuridik sau internatsional al tsəri sau al teritoriului de kare tsine o persoanə fie kə akeastə tsarə sau teritoriu sunt independente sub tutelə neautonome sau supuse vreunei alte limitəri a suveranitətsi
human_rights_un_rum_xip_64kb_0017	artikolul
human_rights_un_rum_xip_64kb_0018	orike fintsə umanə are dreptul la viatsə la libertate ʃi la sekuritatea persoanei sale
human_rights_un_rum_xip_64kb_0019	artikolul
human_rights_un_rum_xip_64kb_0020	nimeni nu va fi tsinut ɨn sklavie nitʃi ɨn servitute
human_rights_un_rum_xip_64kb_0021	sklavaʒul ʃi komertsul ku sklavi sunt interzise sub toate formele lor
human_rights_un_rum_xip_64kb_0022	artikolul
human_rights_un_rum_xip_64kb_0023	nimeni nu va fi supus la torturi nitʃi la pedepse sau tratamente krude inumane sau degradante
human_rights_un_rum_xip_64kb_0024	artikolul
