human_rights_un_rus_sd_64kb_0001	vsʲeobɕaja dʲeklaratsija prav tɕʲelovʲeka
human_rights_un_rus_sd_64kb_0002	prinʲæta i provozɡlaʂʲena rʲezolʲʉtsiʲej 217 a II ɡʲenʲeralʲnoj asamblʲei ot 10 dʲekabrʲæ 1948 ɡodas.
human_rights_un_rus_sd_64kb_0003	prʲeambyla
human_rights_un_rus_sd_64kb_0004	prinimaja vo vnimaniʲe tɕto priznaniʲe dostoinstva prisyɕʲeɡo vsʲem tɕlʲenam tɕʲelovʲetɕʲeskoj sʲemʲi i ravnɨx i nʲeotʲemlʲemɨx prav ix javlʲæʲetsʲæ osnovoj svobodɨ spravʲedlivosti i vsʲeobɕʲeɡo mira
human_rights_un_rus_sd_64kb_0005	iprinimaja vo vnimaniʲe tɕto prʲenʲebrʲeʐʲeniʲe i prʲezrʲeniʲe k pravam tɕʲelovʲeka privʲeli k varvarskim aktam kotorɨʲe vozmyɕajut sovʲestʲ tɕʲelovʲetɕʲestva i tɕto sozdaniʲe takoɡo mira v kotorom lʲʉdi bydyt imʲetʲ svobody slova i ybʲeʐdʲenij i bydyt svobodnɨ ot straxa i nyʐdɨ provozɡlaʂʲeno kak vɨsokoʲe strʲemlʲeniʲe lʲʉdʲej
human_rights_un_rus_sd_64kb_0006	iprinimaja vo vnimaniʲe tɕto nʲeobxodimo tɕtobɨ prava tɕʲelovʲeka oxranʲælisʲ vlastʲʉ zakona v tsʲelʲæx obʲespʲetɕʲenija toɡo tɕtobɨ tɕʲelovʲek nʲe bɨl vɨnyʐdʲen pribʲeɡatʲ v katɕʲestvʲe poslʲednʲeɡo srʲedstva k vostaniju protiv tirani i yɡnʲetʲenija
human_rights_un_rus_sd_64kb_0007	iprinimaja vo vnimaniʲe tɕto nʲeobxodimo sodʲejstvovatʲ razvitiju dryʐʲestvʲenɨx otnoʂʲenij mʲeʐdy narodami
human_rights_un_rus_sd_64kb_0008	iprinimaja vo vnimaniʲe tɕto narodɨ obʲedinʲenɨx natsij podtvʲerdili v ystavʲe svoju vʲery v osnovnɨʲe prava tɕʲelovʲeka v dostoinstvo i tsʲenostʲ tɕʲelovʲetɕʲeskoj litɕnosti i v ravnopraviʲe myʐtɕin i ʐʲenɕin i rʲeʂili sodʲejstvovatʲ sotsialʲnomy proɡrʲesy i ylytɕʂʲeniju yslovij ʐizni pri bolʲʂʲej svobodʲe
human_rights_un_rus_sd_64kb_0009	iprinimaja vo vnimaniʲe tɕto ɡosydarstvatɕlʲenɨ obʲæzalisʲ sodʲejstvovatʲ v sotrydnitɕʲestvʲe s orɡanizatsiʲej obʲedinʲenɨx natsij vsʲeobɕʲemy yvaʐʲeniju i soblʲʉdʲeniju prav tɕʲelovʲeka i osnovnɨx svobod
human_rights_un_rus_sd_64kb_0010	iprinimaja vo vnimaniʲe tɕto vsʲeobɕʲeʲe ponimaniʲe xaraktʲera ɛtix prav i svobod imʲeʲet oɡromnoʲe znatɕʲeniʲe dlʲæ polnoɡo vɨpolnʲenija ɛtoɡo obʲæzatʲelʲstva
human_rights_un_rus_sd_64kb_0011	ɡʲenʲeralʲnaja asamblʲejaprovozɡlaʂaʲet nastojaɕyju vsʲeobɕyju dʲeklaratsiju prav tɕʲelovʲeka v katɕʲestvʲe zadatɕi k vɨpolnʲeniju kotoroj dolʐnɨ strʲemitʲsʲæ vsʲe narodɨ i ɡosydarstva s tʲem tɕtobɨ kaʐdɨj tɕʲelovʲek i kaʐdɨj orɡan obɕʲestva postojano imʲeja v vidy nastojaɕyju dʲeklaratsiju strʲemilisʲ pytʲem prosvʲeɕʲenija i obrazovanija sodʲejstvovatʲ yvaʐʲeniju ɛtix prav i svobod i obʲespʲetɕʲeniju pytʲem natsionalʲnɨx i mʲeʐdynarodnɨx proɡrʲesivnɨx mʲeroprijatij vsʲeobɕʲeɡo i ɛfʲektivnoɡo priznanija i osyɕʲestvlʲenija ix kak srʲedi narodov ɡosydarstvtɕlʲenov orɡanizatsi tak i srʲedi narodov tʲeritorij naxodʲæɕixsʲæ pod ix jurisdiktsiʲejs.
human_rights_un_rus_sd_64kb_0012	statʲæ 1
human_rights_un_rus_sd_64kb_0013	vsʲe lʲʉdi roʐdajutsʲæ svobodnɨmi i ravnɨmi v svoʲem dostoinstvʲe i pravaxs.
human_rights_un_rus_sd_64kb_0014	oni nadʲelʲenɨ razymom i sovʲestʲʉ i dolʐnɨ postypatʲ v otnoʂʲeni dryɡ dryɡa v dyxʲe bratstvas.
human_rights_un_rus_sd_64kb_0015	statʲæ 2
human_rights_un_rus_sd_64kb_0016	kaʐdɨj tɕʲelovʲek dolʐʲen obladatʲ vsʲemi pravami i vsʲemi svobodami provozɡlaʂʲenɨmi nastojaɕʲej dʲeklaratsiʲej bʲez kakoɡo bɨ to ni bɨlo razlitɕija kakto v otnoʂʲeni rasɨ tsvʲeta koʐi pola jazɨka rʲeliɡi polititɕʲeskix ili inɨx ybʲeʐdʲenij natsionalʲnoɡo ili sotsialʲnoɡo proisxoʐdʲenija imyɕʲestvʲenoɡo soslovnoɡo ili inoɡo poloʐʲenijas.
human_rights_un_rus_sd_64kb_0017	kromʲe toɡo nʲe dolʐno provoditʲsʲæ nikakoɡo razlitɕija na osnovʲe polititɕʲeskoɡo pravovoɡo ili mʲeʐdynarodnoɡo statysa stranɨ ili tʲeritori k kotoroj tɕʲelovʲek prinadlʲeʐit nʲezavisimo ot toɡo javlʲæʲetsʲæ li ɛta tʲeritorija nʲezavisimoj podopʲetɕnoj nʲesamoypravlʲæjuɕʲejsʲæ ili kaklibo inatɕʲe oɡranitɕʲenoj v svoʲem syvʲerʲenitʲetes.
human_rights_un_rus_sd_64kb_0018	statʲæ 3
human_rights_un_rus_sd_64kb_0019	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na ʐiznʲ na svobody i na litɕnyju nʲeprikosnovʲenostʲs.
human_rights_un_rus_sd_64kb_0020	statʲæ 4
human_rights_un_rus_sd_64kb_0021	nikto nʲe dolʐʲen sodʲerʐatʲsʲæ v rabstvʲe ili v podnʲevolʲnom sostojani
human_rights_un_rus_sd_64kb_0022	rabstvo i rabotorɡovlʲæ zaprʲeɕajutsʲæ vo vsʲex ix vidaxs.
human_rights_un_rus_sd_64kb_0023	statʲæ 5
human_rights_un_rus_sd_64kb_0024	nikto nʲe dolʐʲen podvʲerɡatʲsʲæ pɨtkam ili ʐʲestokim bʲestɕʲelovʲetɕnɨm ili yniʐajuɕim ʲeɡo dostoinstvo obraɕʲeniju i nakazanijus.
human_rights_un_rus_sd_64kb_0025	statʲæ 6
human_rights_un_rus_sd_64kb_0026	kaʐdɨj tɕʲelovʲek ɡdʲe bɨ on ni naxodilsʲæ imʲeʲet pravo na priznaniʲe ʲeɡo pravosybʲektnostis.
human_rights_un_rus_sd_64kb_0027	statʲæ 7
human_rights_un_rus_sd_64kb_0028	vsʲe lʲʉdi ravnɨ pʲerʲed zakonom i imʲejut pravo bʲez vsʲækoɡo razlitɕija na ravnyju zaɕity zakonas.
human_rights_un_rus_sd_64kb_0029	vsʲe lʲʉdi imʲejut pravo na ravnyju zaɕity ot kakoj bɨ to ni bɨlo diskriminatsi naryʂajuɕʲej nastojaɕyju dʲeklaratsiju i ot kakoɡo bɨ to ni bɨlo podstrʲekatʲelʲstva k takoj diskriminatsis.
human_rights_un_rus_sd_64kb_0030	statʲæ 8
human_rights_un_rus_sd_64kb_0031	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na ɛfʲektivnoʲe vostanovlʲeniʲe v pravax kompʲetʲentnɨmi natsionalʲnɨmi sydami v slytɕajax naryʂʲenija ʲeɡo osnovnɨx prav prʲedostavlʲenɨx ʲemy konstitytsiʲej ili zakonoms.
human_rights_un_rus_sd_64kb_0032	statʲæ 9
human_rights_un_rus_sd_64kb_0033	nikto nʲe moʐʲet bɨtʲ podvʲerɡnyt proizvolʲnomy arʲesty zadʲerʐaniju ili izɡnanijus.
human_rights_un_rus_sd_64kb_0034	statʲæ 10
human_rights_un_rus_sd_64kb_0035	kaʐdɨj tɕʲelovʲek dlʲæ oprʲedʲelʲenija ʲeɡo prav i obʲæzanostʲej i dlʲæ ystanovlʲenija obosnovanosti prʲedʲævlʲenoɡo ʲemy yɡolovnoɡo obvinʲenija imʲeʲet pravo na osnovʲe polnoɡo ravʲenstva na to tɕtobɨ ʲeɡo dʲelo bɨlo rasmotrʲeno ɡlasno i s soblʲʉdʲeniʲem vsʲex trʲebovanij spravʲedlivosti nʲezavisimɨm i bʲespristrastnɨm sydoms.
human_rights_un_rus_sd_64kb_0036	statʲæ 1
human_rights_un_rus_sd_64kb_0037	kaʐdɨj tɕʲelovʲek obvinʲæʲemɨj v sovʲerʂʲeni prʲestyplʲenija imʲeʲet pravo stɕitatʲsʲæ nʲevinovnɨm do tʲex por poka ʲeɡo vinovnostʲ nʲe bydʲet ystanovlʲena zakonɨm porʲædkom pytʲem ɡlasnoɡo sydʲebnoɡo razbiratʲelʲstva pri kotorom ʲemy obʲespʲetɕivajutsʲæ vsʲe vozmoʐnosti dlʲæ zaɕitɨs.
human_rights_un_rus_sd_64kb_0038	nikto nʲe moʐʲet bɨtʲ osyʐdʲen za prʲestyplʲeniʲe na osnovani sovʲerʂʲenija kakoɡolibo dʲejanija ili za bʲezdʲejstviʲe kotorɨʲe vo vrʲemʲæ ix sovʲerʂʲenija nʲe sostavlʲæli prʲestyplʲenija po natsionalʲnɨm zakonam ili po mʲeʐdynarodnomy pravys.
human_rights_un_rus_sd_64kb_0039	nʲe moʐʲet takʐʲe nalaɡatʲsʲæ nakazaniʲe bolʲeʲe tʲæʐkoʲe nʲeʐʲeli to kotoroʲe moɡlo bɨtʲ primʲenʲeno v to vrʲemʲæ koɡda prʲestyplʲeniʲe bɨlo sovʲerʂʲenos.
human_rights_un_rus_sd_64kb_0040	statʲæ 12
human_rights_un_rus_sd_64kb_0041	nikto nʲe moʐʲet podvʲerɡatʲsʲæ proizvolʲnomy vmʲeʂatʲelʲstvy v ʲeɡo litɕnyju i sʲemʲejnyju ʐiznʲ proizvolʲnɨm posʲæɡatʲelʲstvam na nʲeprikosnovʲenostʲ ʲeɡo ʐiliɕa tajny ʲeɡo korʲespondʲentsi ili na ʲeɡo tɕʲestʲ i rʲepytatsijus.
human_rights_un_rus_sd_64kb_0042	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na zaɕity zakona ot takoɡo vmʲeʂatʲelʲstva ili takix posʲæɡatʲelʲstvs.
