human_rights_un_spa_mr_64kb_0001	deklaɾasion uniβeɾsal de deɾecos wmanos
human_rights_un_spa_mr_64kb_0002	aðoptaða j pɾoklamaða poɾ la asamblea xeneɾal en su resolusion esk a i de a de disiembɾe de
human_rights_un_spa_mr_64kb_0003	pɾeambulo
human_rights_un_spa_mr_64kb_0004	konsiðeɾando ke la liβeɾtað la xustisia j la pas en el mundo tienen poɾ base el rekonosimiento de la digniðað intɾinseka j de los deɾecos iɣuales e inalienaβles de toðos los miembɾos de la familia wmana
human_rights_un_spa_mr_64kb_0005	konsiðeɾando ke el deskonosimiento j el menospɾesio de los deɾecos wmanos an oɾixinaðo aktos de baɾβaɾie ultɾaxantes paɾa la konsiensia de la wmaniðað
human_rights_un_spa_mr_64kb_0006	j ke se a pɾoklamaðo komo la aspiɾasion mas eleβaða del ombɾe el aðβenimiento de un mundo en ke los seɾes wmanos liβeɾaðos del temoɾ j de la miseɾia disfɾuten de la liβeɾtað de palaβɾa j de la liβeɾtað de kɾensias
human_rights_un_spa_mr_64kb_0007	konsiðeɾando esensial ke los deɾecos wmanos sean pɾotexiðos poɾ un reximen de deɾeco a fin de ke el ombɾe no se bea kompeliðo al supɾemo rekuɾso de la reβelion kontɾa la tiɾania j la opɾesion
human_rights_un_spa_mr_64kb_0008	konsiðeɾando tambien esensial pɾomoβeɾ el desaroʎo de relasiones amistosas entɾe las nasiones
human_rights_un_spa_mr_64kb_0009	konsiðeɾando ke los pueβlos de las nasiones uniðas an reafiɾmaðo en la kaɾta su fe en los deɾecos fundamentales del ombɾe en la digniðað j el baloɾ de la peɾsona wmana j en la iɣualdað de deɾecos de ombɾes j muxeɾes
human_rights_un_spa_mr_64kb_0010	j se an deklaɾaðo resueltos a pɾomoβeɾ el pɾogɾeso sosial j a eleβaɾ el niβel de biða dentɾo de un konsepto mas amplio de la liβeɾtað
human_rights_un_spa_mr_64kb_0011	konsiðeɾando ke los estaðos miembɾos se an kompɾometiðo a aseguɾaɾ en kopeɾasion kon la oɾganisasion de las nasiones uniðas el respeto uniβeɾsal j efektiβo a los deɾecos j liβeɾtaðes fundamentales del ombɾe j
human_rights_un_spa_mr_64kb_0012	konsiðeɾando ke una konsepsion komun de estos deɾecos j liβeɾtaðes es de la majoɾ impoɾtansia paɾa el pleno kumplimiento de dico kompɾomiso
human_rights_un_spa_mr_64kb_0013	la asamblea xeneɾal
human_rights_un_spa_mr_64kb_0014	pɾoklama la pɾesente deklaɾasion uniβeɾsal de deɾecos wmanos komo iðeal komun poɾ el ke toðos los pueβlos j nasiones deβen esfoɾsaɾse a fin de ke tanto los indiβiðuos komo las institusiones inspiɾandose konstantemente en eʎa pɾomueβan meðiante la enseɲansa j la eðukasion el respeto a estos deɾecos j liβeɾtaðes j aseguɾen poɾ meðiðas pɾogɾesiβas de kaɾakteɾ nasional e inteɾnasional su rekonosimiento j aplikasion uniβeɾsales j efektiβos tanto entɾe los pueβlos de los estaðos miembɾos komo entɾe los de los teritoɾios kolokaðos baxo su xuɾizðiksion
human_rights_un_spa_mr_64kb_0015	aɾtikulo
human_rights_un_spa_mr_64kb_0016	toðos los seɾes wmanos nasen liβɾes e iɣuales en digniðað j deɾecos j dotaðos komo estan de rason j konsiensia deβen kompoɾtaɾse fɾateɾnalmente los unos kon los otɾos
human_rights_un_spa_mr_64kb_0017	aɾtikulo s
human_rights_un_spa_mr_64kb_0018	toða peɾsona tiene los deɾecos j liβeɾtaðes pɾoklamaðos en esta deklaɾasion sin distinsion alguna de rasa koloɾ sekso iðioma relixion opinion politika o de kualkieɾ otɾa indole oɾixen nasional o sosial posision ekonomika nasimiento o kualkieɾ otɾa kondision
human_rights_un_spa_mr_64kb_0019	aðemas no se aɾa distinsion alguna fundaða en la kondision politika xuɾiðika o inteɾnasional del pais o teritoɾio de kuja xuɾizðiksion dependa una peɾsona tanto si se tɾata de un pais independiente komo de un teritoɾio baxo aðministɾasion fiðusiaɾia no autonomo o sometiðo a kualkieɾ otɾa limitasion de soβeɾania
human_rights_un_spa_mr_64kb_0020	aɾtikulo
human_rights_un_spa_mr_64kb_0021	toðo indiβiðuo tiene deɾeco a la biða a la liβeɾtað j a la seguɾiðað de su peɾsona
human_rights_un_spa_mr_64kb_0022	aɾtikulo
human_rights_un_spa_mr_64kb_0023	naðie estaɾa sometiðo a esklaβituð ni a seɾβiðumbɾe
human_rights_un_spa_mr_64kb_0024	la esklaβituð j la tɾata de esklaβos estan pɾojβiðas en toðas sus foɾmas
human_rights_un_spa_mr_64kb_0025	aɾtikulo
human_rights_un_spa_mr_64kb_0026	naðie seɾa sometiðo a toɾtuɾas ni a penas o tɾatos kɾueles inwmanos o degɾaðantes
human_rights_un_spa_mr_64kb_0027	aɾtikulo
human_rights_un_spa_mr_64kb_0028	toðo seɾ wmano tiene deɾeco en toðas paɾtes al rekonosimiento de su peɾsonaliðað xuɾiðika
human_rights_un_spa_mr_64kb_0029	aɾtikulo sk
human_rights_un_spa_mr_64kb_0030	toðos son iɣuales ante la lej j tienen sin distinsion deɾeco a iɣual pɾoteksion de la lej
human_rights_un_spa_mr_64kb_0031	toðos tienen deɾeco a iɣual pɾoteksion kontɾa toða diskɾiminasion ke infɾinxa esta deklaɾasion j kontɾa toða pɾoβokasion a tal diskɾiminasion
human_rights_un_spa_mr_64kb_0032	aɾtikulo
human_rights_un_spa_mr_64kb_0033	toða peɾsona tiene deɾeco a un rekuɾso efektiβo ante los tɾiβunales nasionales kompetentes ke la ampaɾe kontɾa aktos ke biolen sus deɾecos fundamentales rekonosiðos poɾ la konstitusion o poɾ la lej
human_rights_un_spa_mr_64kb_0034	aɾtikulo
human_rights_un_spa_mr_64kb_0035	naðie poðɾa seɾ aɾβitɾaɾiamente deteniðo pɾeso ni desteraðo
human_rights_un_spa_mr_64kb_0036	aɾtikulo a
human_rights_un_spa_mr_64kb_0037	toða peɾsona tiene deɾeco en kondisiones de plena iɣualdað a seɾ oiða puβlikamente j kon xustisia poɾ un tɾiβunal independiente e impaɾsial paɾa la deteɾminasion de sus deɾecos j oβligasiones o paɾa el eksamen de kualkieɾ akusasion kontɾa eʎa en mateɾia penal
human_rights_un_spa_mr_64kb_0038	aɾtikulo
human_rights_un_spa_mr_64kb_0039	toða peɾsona akusaða de delito tiene deɾeco a ke se pɾesuma su inosensia mientɾas no se pɾueβe su kulpaβiliðað konfoɾme a la lej j en xuisio puβliko en el ke se le ajan aseguɾaðo toðas las gaɾantias nesesaɾias paɾa su defensa
human_rights_un_spa_mr_64kb_0040	naðie seɾa kondenaðo poɾ aktos u omisiones ke en el momento de kometeɾse no fueɾon deliktiβos segun el deɾeco nasional o inteɾnasional
human_rights_un_spa_mr_64kb_0041	tampoko se impondɾa pena mas gɾaβe ke la aplikaβle en el momento de la komision del delito
human_rights_un_spa_mr_64kb_0042	aɾtikulo s
human_rights_un_spa_mr_64kb_0043	naðie seɾa oβxeto de inxeɾensias aɾβitɾaɾias en su biða pɾiβaða su familia su domisilio o su korespondensia ni de atakes a su onra o a su reputasion
human_rights_un_spa_mr_64kb_0044	toða peɾsona tiene deɾeco a la pɾoteksion de la lej kontɾa tales inxeɾensias o atakes
human_rights_un_spa_mr_64kb_0045	aɾtikulo
human_rights_un_spa_mr_64kb_0046	toða peɾsona tiene deɾeco a siɾkulaɾ liβɾemente j a elexiɾ su resiðensia en el teritoɾio de un estaðo
human_rights_un_spa_mr_64kb_0047	toða peɾsona tiene deɾeco a saliɾ de kualkieɾ pas inkluso el pɾopio j a regɾesaɾ a su pais
human_rights_un_spa_mr_64kb_0048	aɾtikulo
human_rights_un_spa_mr_64kb_0049	en kaso de peɾsekusion toða peɾsona tiene deɾeco a buskaɾ asilo j a disfɾutaɾ de l en kualkieɾ pais
human_rights_un_spa_mr_64kb_0050	este deɾeco no poðɾa seɾ inbokaðo kontɾa una aksion xuðisial realmente oɾixinaða poɾ delitos komunes o poɾ aktos opuestos a los pɾopositos j pɾinsipios de las nasiones uniðas
human_rights_un_spa_mr_64kb_0051	aɾtikulo
human_rights_un_spa_mr_64kb_0052	toða peɾsona tiene deɾeco a una nasionaliðað
human_rights_un_spa_mr_64kb_0053	a naðie se pɾiβaɾa aɾβitɾaɾiamente de su nasionaliðað ni del deɾeco a kambiaɾ de nasionaliðað
human_rights_un_spa_mr_64kb_0054	aɾtikulo r
human_rights_un_spa_mr_64kb_0055	los ombɾes j las muxeɾes a paɾtiɾ de la eðað nuβil tienen deɾeco sin restɾiksion alguna poɾ motiβos de rasa nasionaliðað o relixion a kasaɾse j fundaɾ una familia
human_rights_un_spa_mr_64kb_0056	j disfɾutaɾan de iɣuales deɾecos en kuanto al matɾimonio duɾante el matɾimonio j en kaso de disolusion del matɾimonio
human_rights_un_spa_mr_64kb_0057	solo meðiante liβɾe j pleno konsentimiento de los futuɾos esposos poðɾa kontɾaeɾse el matɾimonio
human_rights_un_spa_mr_64kb_0058	la familia es el elemento natuɾal j fundamental de la sosieðað j tiene deɾeco a la pɾoteksion de la sosieðað j del estaðo
human_rights_un_spa_mr_64kb_0059	aɾtikulo sk
