human_rights_un_urd_ahk_64kb_0001	ʔnsɑːɲɛː ɦqoːq kʔ ɑːɑlmiː mnʃoːr
human_rights_un_urd_ahk_64kb_0002	ɑqoːɑːm mt̪ɦd̪∅ kɛː ɟʝɳrl ɑːsmblɛː ɲɛː d̪smbr ∅ kʋ ʔnsɑːɲɛː ɦqoːq kʔ ɑːɑlmiː mnʃoːr mnzoːr kr kɛː ɑs kʔ ʔʕlɑːɳ eːɑːm kɛːʔ ʔɡlɛː sfɦɑt̪ pr ɑs mnʃoːr kʔ mkml mt̪ɲ d̪rɟʝ ɦeː ɑs t̪ɑrɛːxɛː kɑrɳɑmɛː kɛː b∅d̪ ɑːsmblɛː ɲɛː ʔpŋɛː t̪mɑːm mmbr mmɑlk pr zʋr d̪ɛːʔ kɦ oːɦ b̤ɛː ʔpŋɛː ʔpŋɛː ɦ∅n ɑs kʔ ʔʕlɑːɳ eːɑːm kriːn ɑoːr ɑs kɛː nʃr oː ∅ʃɑɑːt̪ mɛːn hsɦ lɛːn mslʔn eːɦ kɦ ɑseː ɲm∅iːɑn mqɑːmʔt̪ pr ɑːɔːɛːzɑn kɛːʔ ɟʝɑːeː ɑoːr x∅s t̪ʋr pr ɑːskʋlɔːn ɑoːr t̪ʕljmeː ɑːd̪ʔroːn mɛːn ɑseː pɽʱ kr snʔiːʔ ɟʝɑːeː ɑoːr ɑs kɛː t̪fsjl∅t̪ oːɑːzh kɛː ɟʝɑːeːn ɑoːr ɑs zmɲ mɛːn ksj mlk eː∅ ∅l∅qɛː kɛː sjɑːseː heːsiːt̪ kɛː lɦɑz sɛː koːiː ∅mt̪ɛːɑːz nɦ brt̪∅ ɟʝɑːeː
human_rights_un_urd_ahk_64kb_0003	t̪mheːd̪
human_rights_un_urd_ahk_64kb_0004	tʃɔːnkh ɦr ʔɲsɑŋ kɛː zʔt̪ɛː ɑːzt̪ ɑoːr ɦrmt̪ ɑoːr ʔnsʔnoːn kɛː msɑːʋiː ɑoːr ŋʔqɑːbl ∅nt̪qɑl ɦqoːq kʋ t̪sleːm krŋɑː d̪ŋiːɑː mɛːn ɑːzɑd̪ɛː ʔɲsɑːf ɑoːr ∅mn kɛː bɳiːʔd̪ ɦeː
human_rights_un_urd_ahk_64kb_0005	tʃɔːnkh ʔnsɑːɲɛː ɦqoːq sɛː lɑːprʋɑiː ɑoːr ɑn kɛː bɛː hrmt̪eː ɑksr ɑiːseː uːɦʃeː∅ŋh ɑfoːɑl kɛː ʃkl mɛːn z∅ɦr hʋɛː ɦeː ɟʝɳ sɛː ʔnsʔneːt̪ kɛː zmiːr kʋ sxt̪ sd̪meː phɳtʃɛː ɦɛːn ɑoːr eːɑːm ʔnsʔnoːn kɛː blŋd̪ t̪rjŋ ɑːrzɔː eːɦ rhj ɦeː kɦ ∅eːsɛː d̪ŋiːɑː oːɟʝɔːd̪ mɛːn ɑːɛː ɟʝs mɛːn t̪mɑːm ʔnsʔnoːn kʋ ʔpɲj b∅t̪ khɲeː ɑoːr ʔpŋɛː ∅qɛːd̪ɛː pr q∅m rhɲeː kɛː ɑːzɑd̪ɛː h∅sl ɦʋ ɑoːr xʋf ɑoːr ɑːht̪ɛː∅ɟʝ sɛː mɦfoːz rheːn
human_rights_un_urd_ahk_64kb_0006	tʃɔːnkh eːɦ bɦt̪ zroːrɛː ɦeː kɦ ʔnsɑːɲɛː ɦqoːq kʋ q∅noːn kɛː oːmld̪∅reː kɛː zriːʔɛː mɦfoːz rkʰɑː ɟʝɑːeː ɑɡr ɦm eːɦ ŋhjn tʃ∅ht̪eː kɦ ʔɲsɑŋ eːɑːɟʝz ɑː kr ɟʝbr ɑoːr ∅st̪bd̪∅d̪ kɛː xlɑːf bɣɑːoːt̪ krneː pr mɟʝboːr ɦʋn
human_rights_un_urd_ahk_64kb_0007	tʃɔːnkh eːɦ zroːrɛː ɦeː kɦ qoːmoːn kɛː d̪rmiːʔɳ d̪oːst̪∅ɲɦ t̪ɑːlqʔt̪ kʋ bɽʱ∅iːʔ ɟʝɑːeː
human_rights_un_urd_ahk_64kb_0008	tʃɔːnkh ɑqoːɑːm mt̪ɦd̪∅ kɛː mmbr qoːmoːn ɲɛː ʔpŋɛː tʃɑrʈr mɛːn bɳiːɑd̪eː ʔnsɑːɲɛː ɦqoːq ʔnsɑːɲɛː ʃxseːt̪ kɛː ɦrmt̪ ɑoːr qd̪r ɑoːr mrd̪oːn ɑoːr ʕuːrt̪ɔːn kɛː msɑːʋiː ɦqoːq kɛː bɑːrɛː mɛːn ʔpŋɛː ∅qɛːd̪ɛː kɛː d̪ɔːbʔrh t̪sd̪eːq kr d̪ɛː ɦeː ɑoːr uːsɛː∅ t̪r ɑːzɑd̪ɛː kɛː fz∅ mɛːn mʕɑʃrt̪iː t̪rqj kʋ t̪quːeːt̪ d̪iːŋɛː ɑoːr mʕiːʔr znd̪ɡiː kʋ blŋd̪ krneː kʔ ɑrɑːd̪ɦ kr lɛːʔ ɦeː
human_rights_un_urd_ahk_64kb_0009	tʃɔːnkh mmbr mlkoːn ɲɛː eːɦ ɑːhd̪ kr lɛːʔ ɦeː kɦ oːɦ ɑqoːɑːm mt̪ɦd̪∅ kɛː ʔʃt̪r∅k ɑːml sɛː sʔrɛː d̪ŋiːɑː mɛːn ɑsʋlɑːn ɑoːr eːmlɑn ʔnsɑːɲɛː ɦqoːq ɑoːr bɳiːɑd̪eː ɑːzɑːd̪ɛːɔːn kʔ zjɑd̪h sɛː zjɑd̪h ɑːɦt̪r∅m kriːn ɡɛː ɑoːr krɑːeːn ɡɛː
human_rights_un_urd_ahk_64kb_0010	tʃɔːnkh ɑs ɑːhd̪ kɛː t̪kmeːl kɛː liːeː bɦt̪ ɦɛː ɑ∅m ɦeː kɦ ɑn ɦqoːq ɑoːr ɑːzɑːd̪ɛːɔːn kɛː ŋʋeːjt̪ kʋ sb smɟ̤ʝ skiːn lhzʔ
human_rights_un_urd_ahk_64kb_0011	ɑqʋɑːm mt̪ɦd̪∅ kɛː ɟʝɳrl ɑːsmblɛː ∅∅l∅ŋ krt̪j ɦeː kɦ
