human_rights_un_wal_ezwa_64kb_0001	deklaʁåsjɔn ynivesɛl dɛs dʁɛt dwˈalˈɔm
human_rights_un_wal_ezwa_64kb_0002	pʁɛambl
human_rights_un_wal_ezwa_64kb_0003	il a sty admɛty wˈan fɛi pɔ tɔt
human_rights_un_wal_ezwa_64kb_0004	ki sfɔndɛmin dɛlwˈalibɛte dɛl dʒystis ɛt dɛlwˈapåi tɔtavå sʁɛ kˈɛs sʁikwˈanɔnɑ̃s dɛlwˈadiɲite kˈɛs spRop di tɔ lɛsɔm ɛt dɛ dʁɛyt egl kˈil ɔn ɛt kˈɔn nˈɛlzi pu mɛskœʁ
human_rights_un_wal_ezwa_64kb_0005	ki sfɛtwˈa dɛ nˈin ʁikwˈanɔ u dɛ fole å pid l dʁɛyt dlˈɔm ɔn kwˈady sakwant a ʁabai ɛt bRutålize lsot dˈin tɛl mɑ̃iʁ ki skɔ̃siins di symanite ɛnˈa sty Revɔltɛi
human_rights_un_wal_ezwa_64kb_0006	ki spy gRɑ̃ ɛspweʁ dɛ dʒʁ kˈɛs lˈavenwˈamin dˈɔn mɔnd wis ki lɛsɔm sɛRɔ̃ lib dɛ dʒåe ɛt dɛ kʁɛuR tɔtzɛstɑ̃ dˈale dɛlsɔɲ ɛt dɛlwˈamizeʁ
human_rights_un_wal_ezwa_64kb_0007	ki lɛ dʁɛyt dlˈɔm divɛtɛs ptɔteʒe dˈɔn ʁɛdʒim di dRu di tel doʁ ki lˈɔm ɛnˈaiv nin a sʁɛvɔl diskɔ̃t lˈaby dɛ pyvweʁ ɛt lˈasɛʁiwˈamɛ̃t fåt dˈavɛyʁ situ akɔnte ɛt apRɛ avɛyʁ tɔ fɛt pɔzksɛs ʁikwˈanu
human_rights_un_wal_ezwa_64kb_0008	kˈi fåt mɛt ɛnavy åddzyʁ di tot lˈamitje ɛ̃t lɛ pøp ɛt l nåsjɔ̃
human_rights_un_wal_ezwa_64kb_0009	ki lɛ pøp dɛ nåsjɔnsynj ɔn vɔlu ʁwˈadiʁ ʃal lɛy fwe divin lɛ dʁɛyt natuRel di lˈɔm divin sdiɲite ɛt svlyʁ dɛ dʒʁ divin lˈegålite dɛ dʁɛyt ɛ̃t lɛsɔm ɛt lɛ fœms ɛt kˈil ɔn di lɛy volwˈate dɛ fe tɔ pɔ mɛt ɛnalɛdʒ li pʁɔgɛ sosjål ɛt pɔ mɛt ɛ plɛs dɛ tɔdi mɛiyzɛ kɔndisjɔn dɛ vike divin wˈan libɛRte tɔdi ply gand
human_rights_un_wal_ezwa_64kb_0010	ki lɛsɛtat mamb sˈɔntstegdʒi a mɛt ɛnuv pɔ dbɔ̃ li ʁɛspɛt dɛ dʁɛyt dlˈɔm ɛt dsɛ vRɛi libɛʁte tɔtavå sʁɛ avu ɔ̃ kop di spal di lˈɔʁgnizåsjɔ̃ dɛ nåsjɔnsynj
human_rights_un_wal_ezwa_64kb_0011	kˈin minm idɛi di kɛ dʁɛyt ɛt dɛ libɛʁtesʃal ɛs dɛlwˈapy ot impɔʁtans pɔ pɔlɛyʁ tini vRɛmin sist ɛgʒwˈantla.
