human_rights_un_yid_ss_64kb_0001	ʔlʔltlʔχʕ dʕklʔrʔtsjʔ fwn mʔntnʁʕχt
human_rights_un_yid_ss_64kb_0002	ɡwtɡʔhsn aon pʁʔaqlʔmjʁt j rʔzʔalwtsiʔ fwn dʕʁ ʔlɡʔmnʕʁ fʔʁzʔmlwŋ fwn dj fʔʁʔniktʕ fʔlkʔʁ dʕtsʕmvʔʁ
human_rights_un_yid_ss_64kb_0003	hkdmh
human_rights_un_yid_ss_64kb_0004	hjvt j dʕʁ sʔmʔr ɡʁvnt fwn frht jwʁ aon lvm ʔf dʕʁ ɡʔoʁʔʁ ʔlt vʔtt fwn ʔanʔʁkʔnʕn dʕm twχjqn kvwd aon dj ɡlχʕ aon nitʔivʔrtʁʔaɡlʕχʔ ʁʔχt fwn ʔlʕ mjtɡlidʕʁ fwn dʕʁ mʕntjʕʁ mpħh
human_rights_un_yid_ss_64kb_0005	hjvt j ʔjɡnʔorjʁn aon vjtvl tsw dj mʔntnʁʕχt hʔobn ɡwrm ɡʕʔn bʔrvʔriʔ ʔktn ʔos hʔobn ʔaŋʔʔoʁfn ʔ ɡʁl ʔf ʔlʕ mʕntn aon hjvt j dj hʕχstʕ hʔafnvŋ fwn dj aomwt hʕvlm ʔjz ʔz dj tst zʔal ʔonqvmʔn ʕn mʕntn zʔaln ɡʕnisn fwn frht ʔj fwn ʁʔdn ʔj fwn ɡlbn aon knʔr zʔal njt ldn fwn qn mwrʔ ʔadʔʁ nt
human_rights_un_yid_ss_64kb_0006	hjvt j ɡʕzʔts aon jwʁ mvzn fʔrtdjqn mʔntnʁʕχt tʔomʕʁ mʕn ʕt zjχ ʔjn nt nʕmʔn ʁʔbʕljrn qʔɡn tjrʔnjʔ aon vʔdʁikvŋ
human_rights_un_yid_ss_64kb_0007	hjvt j dʔrmvtikn dj ʔntjqlvŋ fwn frntlʔχʕ vʔtsivŋʔn tsjn lʔndʔʁ ʔjz ʔn ʕjkʁ
human_rights_un_yid_ss_64kb_0008	hjvt j dj fʔlkʔʁ fwn dj fʔʁʔniktʕ fʔlkʔʁ hʔobn ʔjn zʕʁ tʔʁtʕʁ aontʕʁɡʔtʁiχt zʕʁ ɡlbn ʔjn ɡʁvntlʔχʔ mʔntnʁʕχt ʔjn dʕm kvwd aon ʕʁt fwn jʔdn mʔnt aon ʔjn dj ɡlχʕ ʁʔχt fwn mʔnʔʁ aon fʁʔn aon hjvt j z hʔobn vʔlʔasn dʔrmvtikn ɡʔzʔlʔftlʔχʔ pʁʔaɡrʔs aon vʕsʕrʕ lʕbnstɡʕrs
human_rights_un_yid_ss_64kb_0009	hjvt j dj fʔlkʔʁ mjtɡlidʕʁ hʔobn ɡʕtʔan ʔ ndʁ mjttsvʔrbʔtn mjt dj fʔʁʔniktʕ fʔlkʔʁ aon tʕʁ tsw dʔrmvtikn ʔlʔltlʔχʕ dʁχʔrts aon ʔophitn mʔntnʁʕχt aon ɡʁvntlʔχʔ frht
human_rights_un_yid_ss_64kb_0010	hjvt j ʔlʕ dʔrfn fʔrtn djʔo ʁʔχt aon frhtn kdi dʕʁ ndʁ zʔal mqwim ʕʁn
human_rights_un_yid_ss_64kb_0011	ʔot dʔrfʔʁ
human_rights_un_yid_ss_64kb_0012	pʁʔaqlʔmjʁt dj ʔlɡʕmnʔ fʔʁzʔmlwŋ
human_rights_un_yid_ss_64kb_0013	djʔo ʔlʔltlʔχʕ dʕklʔrʔtsjʔ fwn mʔntnʁʕχt j ʔ mʔas aon ʔ tsjl fʔʁ ʔlʕ aomwt aon ʔlʕ fʔlkʔʁ kdi jʕdʕʁ mʔnt aon jʕdʕʁ ʔjnstʔnts zʔal hʔobn ʔlʕmʔal ʔjn zjnʔn djʔo dʕklʔrʔtsjʔ aon ʕt zjχ mjʔn dwrχ lʕʁnʔn aon dʕʁtsiʕn tsw dʔrmvtikn dʔas ʔanʔʁkʔnʕn fwn dj ʁʔχt aon dj frhtn aon ʔz z zʔaln ʔonnʔmʕn mjtlʔn s nʔtsiʔanʔlʕ s ʔjntʔrnʔtsiʔanʔlʕ tsw fʔrzjχʔrn dʔas ʔlʔltlʔχʕ ʔanʔʁkʔnʕn aon ʔophitn s tsjn dj fʔlkʔʁ fwn mjtɡlidlʕndʔr s tsjn dj mʕntn ʔos aontʕʁ zʕʁ hpʔh
human_rights_un_yid_ss_64kb_0014	ʔrtjql
human_rights_un_yid_ss_64kb_0015	jʕdʕʁ mʔnt ʕʁt ɡʕvrn fʁ aon ɡlχ ʔjn kvwd aon ʁʔχt
human_rights_un_yid_ss_64kb_0016	jʕdʕʁ ʕʁt bʔʔanqn mjt fʔrtʔnd aon ɡʕisn
human_rights_un_yid_ss_64kb_0017	jʕdʕʁ zʔal zjχ fjrn mjt ʔ tstn ʔjn ʔ ɡʕmit fwn brvdʕrʔft
human_rights_un_yid_ss_64kb_0018	ʔrtjql
human_rights_un_yid_ss_64kb_0019	jʕdʕʁ ʔjz bʔʁʔχtiqt ʔf dj ʔlʕ ʁʔχt aon frhtn ʔos tʔn ɡʕrivn ʔjn ʔot dʕʁ dʕklʔrʔtsjʔ njt ɡʕqwqt ʔf ʔosʔʁnitʔjz aontʔʁd zʔal zn fʔolq htfʔrb lwn ʁʔliɡiʕ pʔoljtiʕ ʔadʔʁ ʔndʔrʕ ɡʕdʔnqʔn nʔtsjʔanʔlitʔt qwltwʁ fʔʁmʔaɡ ɡʕvwʁt ʔadʔʁ ʔosʔʁnitʔjz ʔndʕrn stʔtvs
human_rights_un_yid_ss_64kb_0020	nʔaχmʕʁ tʔar njt zn qn aontʔʁd tsvliv dʕʁ pʔolitjʕr ɡʕzʔtsjkʔʁ ʔadʔʁ ʔjntʕrnʔtsiʔonʔlʕr lʔɡʕ fwn dʕm lʔnd u ʕʁ nt zʔal dʔas lʔnd zn aomʔaphʕŋiq ʔaphʔŋiq ʔadʔʁ aontʕʁ ʔosʔʁnitʔjz vʔɡrʔnʕtstʕr suʕʁʔnitʔt
human_rights_un_yid_ss_64kb_0021	ʔrtjql
human_rights_un_yid_ss_64kb_0022	jʕdʕʁ hʔat ʁʔχt ʔf lʕbn frht aon pʕʁzʔnlʔχʕr fʔrzjχʔrwŋ
human_rights_un_yid_ss_64kb_0023	ʔrtjql
human_rights_un_yid_ss_64kb_0024	qnʔm tʔar mʕn njt hʔltn ʔjn qnʕχtʔft tsj qlʔfʕr
