human_rights_03_epo_njb_64kb_0001	Universala Deklaracio de Homaj Rajtoj
human_rights_03_epo_njb_64kb_0002	Adoptita kaj proklamita de Rezolucio 217 A (III) de la Ĝenerala Asembleo, 10ande decembro 1948
human_rights_03_epo_njb_64kb_0003	Antaŭkonsideroj
human_rights_03_epo_njb_64kb_0004	Pro tio, ke agnosko de la esenca digno kaj de la egalaj kaj nefordoneblaj rajtoj deĉiuj membroj de la homara familio estas la fundamento de libero, justo kaj pacoen la mondo,
human_rights_03_epo_njb_64kb_0005	Pro tio, ke malagnosko kaj malestimo de la homaj rajtoj rezultigis barbarajnagojn, kiuj forte ofendis la konsciencon de la homaro, kaj ke la efektiviĝo de tiamondo, en kiu la homoj ĝuos liberecon de parolo kaj de kredo kaj liberiĝon eltimo kaj bezono, estas proklamita kiel la plej alta aspiro de ordinaraj homoj,
human_rights_03_epo_njb_64kb_0006	Pro tio, ke nepre necesas, se la homoj ne estu devigitaj, sen alia elektebla vojo,ribeli kontraŭ tiranismo kaj subpremo, ke la homaj rajtoj estu protektataj de laleĝo,
human_rights_03_epo_njb_64kb_0007	Pro tio, ke nepre necesas evoluigi amikajn rilatojn inter la nacioj,
human_rights_03_epo_njb_64kb_0008	Pro tio, ke la popoloj de Unuiĝintaj Nacioj en la Ĉarto reasertis sian firmankredon je la fundamentaj homaj rajtoj, je la digno kaj valoro de la homapersoneco kaj je la egalaj rajtoj de viroj kaj virinoj, kaj firme decidis antaŭenigisocian progreson kaj pli altnivelan vivon en pli granda libereco,
human_rights_03_epo_njb_64kb_0009	Pro tio, ke la Ŝtatoj-Membroj sin devigis atingi, en kunlaboro kun Unuiĝintaj
human_rights_03_epo_njb_64kb_0010	Nacioj, la antaŭenigon de universala respekto al kaj observado de la homaj rajtojkaj fundamentaj liberecoj,
human_rights_03_epo_njb_64kb_0011	Pro tio, ke komuna kompreno pri tiuj ĉi rajtoj kaj liberecoj estas esence grava porplena realigo de tiu sindevigo,
human_rights_03_epo_njb_64kb_0012	Tial, nun,
human_rights_03_epo_njb_64kb_0013	La Ĝenerala Asembleo,
human_rights_03_epo_njb_64kb_0014	Proklamas tiun ĉi Universalan Deklaracion de Homaj Rajtoj kiel komunan celonde atingo por ĉiuj popoloj kaj ĉiuj nacioj, por tio, ke ĉiu individuo kaj ĉiu organo dela socio, konstante atentante ĉi tiun Deklaracion, per instruado kaj edukadostrebu al respektigo de tiuj ĉi rajtoj kaj liberecoj, kaj per laŭgradaj paŝoj naciaj kajinternaciaj certigu ilian universalan kaj efektivan agnoskon kaj observadon, sametiel inter la popoloj de la Ŝtatoj-Membroj mem, kiel inter la popoloj de teritoriojsub ilia jurisdikcio.
human_rights_03_epo_njb_64kb_0015	Artikolo 1
human_rights_03_epo_njb_64kb_0016	Ĉiuj homoj estas denaske liberaj kaj egalaj laŭ digno kaj rajtoj.
human_rights_03_epo_njb_64kb_0017	Ili posedas racionkaj konsciencon, kaj devus konduti unu al alia en spirito de frateco.
human_rights_03_epo_njb_64kb_0018	Artikolo 2
human_rights_03_epo_njb_64kb_0019	Ĉiuj rajtoj kaj liberecoj difinitaj en tiu ĉi Deklaracio validas same por ĉiuj homoj,sen kia ajn diferencigo, ĉu laŭ raso, haŭtkoloro, sekso, lingvo, religio, politika aŭalia opinio, nacia aŭ socia deveno, posedaĵoj, naskiĝo aŭ alia stato.
human_rights_03_epo_njb_64kb_0020	Plie, neniadiferencigo estu farata surbaze de la politika, jurisdikcia aŭ internacia pozicio dela lando aŭ teritorio, al kiu apartenas la koncerna persono, senkonsidere ĉu ĝiestas sendependa, sub kuratoreco, ne-sinreganta aŭ sub kia ajn alia limigo de lasuvereneco.
human_rights_03_epo_njb_64kb_0021	Artikolo 3
human_rights_03_epo_njb_64kb_0022	Ĉiu havas la rajtojn je vivo, libereco kaj persona sekureco.
human_rights_03_epo_njb_64kb_0023	Artikolo 4
human_rights_03_epo_njb_64kb_0024	Neniu estu tenata en sklaveco aŭ servuteco;
human_rights_03_epo_njb_64kb_0025	sklaveco kaj sklavkomerco estumalpermesitaj en ĉiuj siaj formoj.
human_rights_03_epo_njb_64kb_0026	Artikolo 5
human_rights_03_epo_njb_64kb_0027	Neniu suferu torturon aŭ kruelan, nehoman aŭ sendignigan traktadon aŭ punon.
human_rights_03_epo_njb_64kb_0028	Artikolo 6
human_rights_03_epo_njb_64kb_0029	Ĉiu rajtas esti ĉie agnoskita jure kiel persono.
human_rights_03_epo_njb_64kb_0030	Artikolo 7
human_rights_03_epo_njb_64kb_0031	Ĉiuj homoj estas jure egalaj, kaj rajtas sen diskriminacio al egala jura protekto.
human_rights_03_epo_njb_64kb_0032	Ĉiuj rajtas ricevi egalan protekton kontraŭ kia ajn diskriminacio, kiu kontraŭastiun ĉi Deklaracion, kaj kontraŭ kia ajn instigo al tia diskriminacio.
human_rights_03_epo_njb_64kb_0033	Artikolo 8
human_rights_03_epo_njb_64kb_0034	Ĉiu rajtas ricevi de la kompetentaj naciaj tribunaloj efikan riparon pro agoj, kiujkontraŭas la fundamentajn rajtojn, kiujn li havas laŭ la konstitucio aŭ la leĝoj.
human_rights_03_epo_njb_64kb_0035	Artikolo 9
human_rights_03_epo_njb_64kb_0036	Neniu suferu arbitrajn areston, malliberigon aŭ ekzilon.
human_rights_03_epo_njb_64kb_0037	Artikolo 10
human_rights_03_epo_njb_64kb_0038	Ĉiu en plena egaleco rajtas je justa kaj publika proceso antaŭ sendependa kajsenpartia tribunalo, por prijuĝo de liaj rajtoj kaj devoj kaj de kiu ajn kriminalaakuzo kontraŭ li.
human_rights_03_epo_njb_64kb_0039	Artikolo 11
human_rights_03_epo_njb_64kb_0040	1.
human_rights_03_epo_njb_64kb_0041	Ĉiu akuzita pro punebla faro rajtas, ke oni supozu lin senkulpa, ĝis onipruvos laŭleĝe lian kulpon en publika proceso, en kiu li ricevis ĉiujngarantiojn necesajn por sia defendo.
human_rights_03_epo_njb_64kb_0042	2.
human_rights_03_epo_njb_64kb_0043	Neniu estu konsiderata krimkulpa pro kia ajn ago aŭ neago, kiu nekonsistigis puneblan faron, laŭ nacia aŭ internacia juro, en la tempo, kiamĝi estis farita.
human_rights_03_epo_njb_64kb_0044	Same tiel, ne estu aljuĝita pli severa puno ol tiu, kiu estisaplikebla en la tempo, kiam la punebla faro estis plenumita.
human_rights_03_epo_njb_64kb_0045	Artikolo 12
human_rights_03_epo_njb_64kb_0046	Neniu suferu arbitrajn intervenojn en sian privatecon, familion, hejmon aŭkorespondadon, nek atakojn kontraŭ sia honoro aŭ reputacio.
human_rights_03_epo_njb_64kb_0047	Ĉiu rajtas ricevijuran protekton kontraŭ tiaj intervenoj aŭ atakoj.
human_rights_03_epo_njb_64kb_0048	Artikolo 13
human_rights_03_epo_njb_64kb_0049	1.
human_rights_03_epo_njb_64kb_0050	Ĉiu havas la rajton libere moviĝi kaj loĝi interne de la limoj de kiu ajn ŝtato.
human_rights_03_epo_njb_64kb_0051	2.
human_rights_03_epo_njb_64kb_0052	Ĉiu rajtas eliri el kiu ajn lando, inkluzive la propran, kaj reveni en sianlandon.
human_rights_03_epo_njb_64kb_0053	Artikolo 14
human_rights_03_epo_njb_64kb_0054	1.
human_rights_03_epo_njb_64kb_0055	Ĉiu rajtas peti kaj ricevi en aliaj landoj azilon kontraŭ persekuto.
human_rights_03_epo_njb_64kb_0056	2.
human_rights_03_epo_njb_64kb_0057	Tiu rajto ne estas alvokebla en kazoj de persekutaj akuzoj malfalse levitajpro ne-politikaj krimoj aŭ pro agoj kontraŭaj al la celoj kaj principoj de
human_rights_03_epo_njb_64kb_0058	Unuiĝintaj Nacioj.
human_rights_03_epo_njb_64kb_0059	Artikolo 15
human_rights_03_epo_njb_64kb_0060	1.
human_rights_03_epo_njb_64kb_0061	Ĉiu rajtas havi ŝtatanecon.
human_rights_03_epo_njb_64kb_0062	2.
human_rights_03_epo_njb_64kb_0063	Al neniu estu arbitre forprenita la ŝtataneco, nek rifuzita la rajto ŝanĝi sianŝtatanecon.
human_rights_03_epo_njb_64kb_0064	Artikolo 16
human_rights_03_epo_njb_64kb_0065	1.
human_rights_03_epo_njb_64kb_0066	Plenaĝaj viroj kaj virinoj, sen ia ajn limigo pro raso, nacieco aŭ religio,rajtas edziĝi kaj fondi familion.
human_rights_03_epo_njb_64kb_0067	Iliaj rajtoj estas egalaj koncerne lageedziĝon, dum la geedzeco kaj koncerne eksedziĝon.
human_rights_03_epo_njb_64kb_0068	2.
human_rights_03_epo_njb_64kb_0069	Geedziĝo okazu sole laŭ libera kaj plena konsento de la geedziĝontoj.
human_rights_03_epo_njb_64kb_0070	3.
human_rights_03_epo_njb_64kb_0071	La familio estas la natura kaj fundamenta grupunuo de la socio, kaj ĝirajtas ricevi protekton de la socio kaj de la Ŝtato.
human_rights_03_epo_njb_64kb_0072	Artikolo 17
human_rights_03_epo_njb_64kb_0073	1.
human_rights_03_epo_njb_64kb_0074	Ĉiu rajtas proprieti havaĵon, kaj sola kaj en asociiĝo kun aliaj.
human_rights_03_epo_njb_64kb_0075	2.
human_rights_03_epo_njb_64kb_0076	Al neniu estu arbitre forprenita lia proprieto.
human_rights_03_epo_njb_64kb_0077	Artikolo 18
human_rights_03_epo_njb_64kb_0078	Ĉiu havas la rajton je libereco de penso, konscienco kaj religio;
human_rights_03_epo_njb_64kb_0079	tiu ĉi rajtoinkluzivas la liberecon ŝanĝi sian religion aŭ kredon, kaj liberecon manifesti, ĉusola ĉu kune kun aliaj, ĉu publike ĉu private, sian religion aŭ kredon perinstruado, praktikado, adorado kaj observado.
human_rights_03_epo_njb_64kb_0080	Artikolo 19
human_rights_03_epo_njb_64kb_0081	Ĉiu havas la rajton je libereco de opinio kaj esprimado;
human_rights_03_epo_njb_64kb_0082	ĉi tiu rajto inkluzivas laliberecon havi opiniojn sen intervenoj de aliaj, kaj la rajton peti, ricevi kaj havigiinformojn kaj ideojn per kiu ajn rimedo kaj senkonsidere pri la landlimoj.
human_rights_03_epo_njb_64kb_0083	Artikolo 20
human_rights_03_epo_njb_64kb_0084	1.
human_rights_03_epo_njb_64kb_0085	Ĉiu havas la rajton je libereco de pacema kunvenado kaj asociiĝo.
human_rights_03_epo_njb_64kb_0086	2.
human_rights_03_epo_njb_64kb_0087	Neniu estu devigita aparteni al asocio.
human_rights_03_epo_njb_64kb_0088	Artikolo 21
human_rights_03_epo_njb_64kb_0089	1.
human_rights_03_epo_njb_64kb_0090	Ĉiu homo rajtas partopreni la regadon de sia lando, aŭ rekte aŭ pere delibere elektitaj reprezentantoj.
human_rights_03_epo_njb_64kb_0091	2.
human_rights_03_epo_njb_64kb_0092	Ĉiu rajtas je egala aliro al publika servo en sia lando.
human_rights_03_epo_njb_64kb_0093	3.
human_rights_03_epo_njb_64kb_0094	La volo de la popolo estu la bazo de la aŭtoritato de la registaro;
human_rights_03_epo_njb_64kb_0095	tiu voloestu esprimata per regulaj kaj aŭtentikaj elektoj, kiuj okazu per universalakaj egala balotrajto, kaj per sekreta voĉdono aŭ ekvivalentaj liberajvoĉdonaj proceduroj.
human_rights_03_epo_njb_64kb_0096	Artikolo 22
human_rights_03_epo_njb_64kb_0097	Ĉiu, kiel membro de la socio, havas rajton je socia sekureco kaj povas postuli larealigon, per naciaj klopodoj kaj internacia kunlaboro, kaj konforme al la organizokaj disponeblaj rimedoj de ĉiu Ŝtato, de tiuj ekonomiaj, sociaj kaj kulturaj rajtoj,kiuj estas nepre necesaj por lia digno kaj por la libera disvolviĝo de liapersoneco.
human_rights_03_epo_njb_64kb_0098	Artikolo 23
human_rights_03_epo_njb_64kb_0099	1.
human_rights_03_epo_njb_64kb_0100	Ĉiu havas rajton je laboro, je libera elekto de sia okupo, je justaj kajfavoraj laborkondiĉoj kaj je protekto kontraŭ senlaboreco.
human_rights_03_epo_njb_64kb_0101	2.
human_rights_03_epo_njb_64kb_0102	Ĉiu, sen ia ajn diskriminacio, rajtas ricevi egalan salajron pro egala laboro.
human_rights_03_epo_njb_64kb_0103	3.
human_rights_03_epo_njb_64kb_0104	Ĉiu, kiu laboras, rajtas ricevi justan kaj favoran kompenson, kiu certigu porli mem kaj por lia familio ekziston konforman al homa digno, kaj kiunsuplementu, laŭnecese, aliaj rimedoj de socia protekto.
human_rights_03_epo_njb_64kb_0105	4.
human_rights_03_epo_njb_64kb_0106	Ĉiu rajtas formi kaj aliĝi sindikatojn por protekto de siaj interesoj.
human_rights_03_epo_njb_64kb_0107	Artikolo 24
human_rights_03_epo_njb_64kb_0108	Ĉiu havas rajton je ripozo kaj libertempo, inkluzive racian limigon de la laborhorojkaj periodajn feriojn kun salajro.
human_rights_03_epo_njb_64kb_0109	Artikolo 25
human_rights_03_epo_njb_64kb_0110	1.
human_rights_03_epo_njb_64kb_0111	Ĉiu havas rajton je vivnivelo adekvata por la sano kaj bonfarto de si memkaj de sia familio, inkluzive de nutraĵo, vestaĵoj, loĝejo kaj medicinaprizorgo kaj necesaj sociaj servoj, kaj la rajton je sekureco en okazo desenlaboreco, malsano, malkapablo, vidvineco, maljuneco aŭ alia perdo dela vivrimedoj pro cirkonstancoj ekster sia povo.
human_rights_03_epo_njb_64kb_0112	2.
human_rights_03_epo_njb_64kb_0113	Patrineco kaj infaneco rajtigas al specialaj prizorgoj kaj helpo.
human_rights_03_epo_njb_64kb_0114	Ĉiuj infanoj,egale ĉu ili naskiĝis en aŭ ekster geedzeco, ricevu saman socianprotekton.
human_rights_03_epo_njb_64kb_0115	Artikolo 26
human_rights_03_epo_njb_64kb_0116	1.
human_rights_03_epo_njb_64kb_0117	Ĉiu havas rajton je edukiĝo.
human_rights_03_epo_njb_64kb_0118	La edukado estu senpaga, almenaŭ en laelementa kaj fundamenta stadioj.
human_rights_03_epo_njb_64kb_0119	La elementa edukado estu deviga.
human_rights_03_epo_njb_64kb_0120	Lateknika kaj porprofesia edukado estu ĝenerale akirebla, kaj pli altaedukado estu egale akirebla por ĉiuj laŭ ties meritoj.
human_rights_03_epo_njb_64kb_0121	2.
human_rights_03_epo_njb_64kb_0122	Edukado celu la plenan disvolvon de la homa personeco kaj plifortigon dela respekto al la homaj rajtoj kaj fundamentaj liberecoj.
human_rights_03_epo_njb_64kb_0123	Ĝi kreskigukomprenon, toleron kaj amikecon inter ĉiuj nacioj, rasaj aŭ religiaj grupoj,kaj antaŭenigu la agadon de Unuiĝintaj Nacioj por konservo de paco.
human_rights_03_epo_njb_64kb_0124	3.
human_rights_03_epo_njb_64kb_0125	Gepatroj havas unuavican rajton elekti la specon de la edukado, kiunricevu iliaj infanoj.
human_rights_03_epo_njb_64kb_0126	Artikolo 27
human_rights_03_epo_njb_64kb_0127	1.
human_rights_03_epo_njb_64kb_0128	Ĉiu rajtas libere partopreni la kulturan vivon de la komunumo, ĝui la artojnkaj partopreni sciencan progreson kaj ĝiajn fruktojn.
human_rights_03_epo_njb_64kb_0129	2.
human_rights_03_epo_njb_64kb_0130	Ĉiu havas rajton je protekto de la moralaj kaj materialaj interesojrezultantaj el eventualaj sciencaj, literaturaj aŭ artaj produktaĵoj, kiujn liaŭtoris.
human_rights_03_epo_njb_64kb_0131	Artikolo 28
human_rights_03_epo_njb_64kb_0132	Ĉiu havas rajton je socia kaj internacia organizo, en kiu la rajtoj kaj liberecojdifinitaj en ĉi tiu Deklaracio povas esti plene realigitaj.
human_rights_03_epo_njb_64kb_0133	Artikolo 29
human_rights_03_epo_njb_64kb_0134	1.
human_rights_03_epo_njb_64kb_0135	Ĉiu havas devojn al la komunumo, en kiu, sole, estas ebla la libera kajplena disvolviĝo de lia personeco.
human_rights_03_epo_njb_64kb_0136	2.
human_rights_03_epo_njb_64kb_0137	En la uzado de siaj rajtoj kaj liberecoj, ĉiu estu subigita sole al tiuj limigoj,kiuj estas jure difinitaj ekskluzive kun la celo certigi adekvatan rekonon kajrespekton por la rajtoj kaj liberecoj de aliaj kaj por konformiĝi al justajpostuloj de moralo, publika ordo kaj ĝenerala bonfarto en demokratasocio.
human_rights_03_epo_njb_64kb_0138	3.
human_rights_03_epo_njb_64kb_0139	Tiuj ĉi rajtoj kaj liberecoj estas en neniu okazo efektivigeblaj kontraŭe al laceloj kaj principoj de Unuiĝintaj Nacioj.
human_rights_03_epo_njb_64kb_0140	Artikolo 30
human_rights_03_epo_njb_64kb_0141	Nenio en ĉi tiu Deklaracio estu interpretita kiel implico, ke iu ajn Ŝtato, grupo aŭpersono iel ajn rajtas entrepreni ian ajn agadon aŭ plenumi ian ajn agon, kiucelus detrui kiun ajn el la rajtoj kaj liberecoj ĉi-ene difinitaj.
