human_rights_un_afk_cdb_64kb_0001	Aanhef
human_rights_un_afk_cdb_64kb_0002	AANGESIEN erkenning vir die inherente waardigheid en die gelyke en onvervreembare reg van alle lede van die menslike ras die basis vir vryheid, geregtigheid en vrede in die wereld is;
human_rights_un_afk_cdb_64kb_0003	AANGESIEN minagting vir menseregte barbaarse dade wat die gewete van die mens aangetas het en die aanvang van ’n wereld waarin mense vryheid van spraak, geloof, vrees en behoefte het, gesien word as die hoogste aspirasie van die gemiddelde mens;
human_rights_un_afk_cdb_64kb_0004	AANGESIEN dit noodsaaklik is dat menseregte deur die wet beskerm word ten einde te voorkom dat mense nie gedwing gaan word om in opstand teen tirannie en onderdrukking te kom nie;
human_rights_un_afk_cdb_64kb_0005	AANGESIEN dit noodsaaklik is om die ontwikkeling van vriendelike bande tussen nasies aan te moedig;
human_rights_un_afk_cdb_64kb_0006	AANGESIEN die volke wat lid van die Verenigde Volke Organisasie is, hul geloof in fundamentele menseregte in die Handves beklemtoon, in die waardigheid en waarde van die menslike persoon, in die gelyke regte van mans en vrouens en dit ten doel het om sosiale vooruitgang en ’n beter lewenspeil in groter vryheid te bevorder;
human_rights_un_afk_cdb_64kb_0007	AANGESIEN Lidstate hulle voorgeneem het om in samewerking met die Verenigde Volke universele respek en agting vir menseregte en fundamentele vryheid te verwesenlik;
human_rights_un_afk_cdb_64kb_0008	en
human_rights_un_afk_cdb_64kb_0009	AANGESIEN ’n algemene begrip van hierdie regte en vryhede van groot belang vir die bereiking van hierdie voorneme is,
human_rights_un_afk_cdb_64kb_0010	Verklaar die ALGEMENE VERGADERING
human_rights_un_afk_cdb_64kb_0011	Hierdie Universele Verklaring van Menseregte as ’n algemene standaard vir die verwesenliking deur alle mense en nasies, om te verseker dat elke individu en elkedeel van die gemeenskap hierdie Verklaring in ag sal neem en deur opvoeding, respek vir hierdie regte en vryhede te bevorder, op nasionale en internasionale vlak, daarna sal strewe om die universele en effektiewe erkenning en agting van hierdie regte te verseker, nie net vir die mense van die Lidstate nie, maar ook vir die mense in die gebiede onder hul jurisdiksie.
human_rights_un_afk_cdb_64kb_0012	Artikel 1
human_rights_un_afk_cdb_64kb_0013	Alle menslike wesens word vry, met gelyke waardigheid en regte, gebore.
human_rights_un_afk_cdb_64kb_0014	Hulle het rede en gewete en behoort in die gees van broederskap teenoor mekaar op te tree.
human_rights_un_afk_cdb_64kb_0015	Artikel 2
human_rights_un_afk_cdb_64kb_0016	Elke persoon het die reg tot al die regte en vryhede soos in die Verklaring vervat is, sonder uitsondering van enige aard soos op grond van ras, geslag, kleur, taal, godsdiens, geboorte of enige ander status.
human_rights_un_afk_cdb_64kb_0017	Daarbenewens sal geen onderskeid op grond van politieke, geregtelike of internasionale status van die land of gebied waartoe ’n persoon behoort gemaak word nie, hetsy dit ’n onafhanklike trust, nie‐selfregerend of onder enige ander beperking van soewereiniteit is.
human_rights_un_afk_cdb_64kb_0018	Artikel 3
human_rights_un_afk_cdb_64kb_0019	Elkeen het die reg tot lewe, vryheid en sekuriteit van persoon.
human_rights_un_afk_cdb_64kb_0020	Artikel 4
human_rights_un_afk_cdb_64kb_0021	Niemand sal in slawerny of knegskap gehou word nie;
human_rights_un_afk_cdb_64kb_0022	alle vorms van slawerny en handel in slawe sal verbied word.
human_rights_un_afk_cdb_64kb_0023	Artikel 5
human_rights_un_afk_cdb_64kb_0024	Niemand sal gemartel word of aan wrede, onmenslike of vernederende behandeling of straf blootgestel word nie.
human_rights_un_afk_cdb_64kb_0025	Artikel 6
human_rights_un_afk_cdb_64kb_0026	Elkeen het oral die reg tot erkenning as ’n persoon voor die reg.
human_rights_un_afk_cdb_64kb_0027	Artikel 7
human_rights_un_afk_cdb_64kb_0028	Almal is gelyk voor die reg en het die reg tot gelyke beskerming van die wet.
human_rights_un_afk_cdb_64kb_0029	Almal het die reg tot gelyke beskerming teen enige diskriminasie ter skending van hierdie Verklaring en teen enige aanmoediging tot sulke diskriminasie.
human_rights_un_afk_cdb_64kb_0030	Artikel 8
human_rights_un_afk_cdb_64kb_0031	Elkeen het die reg tot effektiewe kompensasie deur bevoegde nasionale tribunale vir dade wat hul fundamentele reg skaad wat deur die wet of grondwet aan hulle gegee is.
human_rights_un_afk_cdb_64kb_0032	Artikel 9
human_rights_un_afk_cdb_64kb_0033	Niemand sal aan arbitrêre arrestasie, aanhouding of bannelingskap onderworpe wees nie.
human_rights_un_afk_cdb_64kb_0034	Artikel 10
human_rights_un_afk_cdb_64kb_0035	Elkeen het, in volle gelykheid, die reg tot ’n regverdige en openbare verhoor deur ’n onafhanklike en objektiewe tribunaal, in die bepaling van sy regte en verpligtinge en die ondersoek van enige kriminele saak teen hom.
human_rights_un_afk_cdb_64kb_0036	Artikel 11
human_rights_un_afk_cdb_64kb_0037	Elkeen beskuldig van ’n strafbare oortreding het die reg om as onskuldig beskou te word tot skuldig bevind volgens die wet, in ’n openbare saak waarin hy verseker is van die nodige verdediging.
human_rights_un_afk_cdb_64kb_0038	Niemand sal beskuldig word van ’n strafbare oortreding as gevolg van enige daad of nalatigheid wat volgens nasionale of internasionale wet nie ’n misdaad ten tye van die pleeg daarvan was nie.
human_rights_un_afk_cdb_64kb_0039	’n Swaarder straf sal ook nie opgel word as die straf wat toepaslik was ten tye van die oortreding nie.
human_rights_un_afk_cdb_64kb_0040	Artikel 12
human_rights_un_afk_cdb_64kb_0041	Niemand sal onderworpe wees aan arbitrêre inmenging met sy privaatheid, familie, woning of korrespondensie nie, of aan aanvalle op sy eer en reputasie nie.
human_rights_un_afk_cdb_64kb_0042	Elkeen het die reg tot beskerming deur die wet teen sulke inmenging of aanvalle.
human_rights_un_afk_cdb_64kb_0043	Artikel 13
human_rights_un_afk_cdb_64kb_0044	Elkeen het die reg tot vryheid van beweging en verblyf binne die grense van elke staat.
