human_rights_un_arz_ef_64kb_0001	الإعلان العالمي لحقوق الإنسان
human_rights_un_arz_ef_64kb_0002	اعتُمد بموجب قرار الجمعية العامة 217 ألف (د-3) المؤرخ في 10 كانون الأول / ديسمبر 1948.
human_rights_un_arz_ef_64kb_0003	الديباجة
human_rights_un_arz_ef_64kb_0004	لمّا كان الاعتراف بالكرامة المتأصلة في جميع أعضاء الأسرة البشرية وبحقوقهم المتساوية الثابتة هو أساس الحرية والعدل والسلام في العالم.
human_rights_un_arz_ef_64kb_0005	ولما كان تناسي حقوق الإنسان وازدراؤها قد أفضيا إلى أعمال همجية آذت الضمير الإنساني.
human_rights_un_arz_ef_64kb_0006	وكان غاية ما يرنو إليه عامة البشر انبثاق عالم يتمتع فيه الفرد بحرية القول والعقيدة ويتحرر من الفزع والفاقة.
human_rights_un_arz_ef_64kb_0007	ولما كان من الضروري أن يتولى القانون حماية حقوق الإنسان لكيلا يضطر المرء آخر الأمر إلى التمرد على الاستبداد والظلم.
human_rights_un_arz_ef_64kb_0008	ولما كانت شعوب الأمم المتحدة قد أكدت في الميثاق من جديد إيمانها بحقوق الإنسان الأساسية وبكرامة الفرد وقدره وبما للرجال والنساء من حقوق متساوية وحزمت أمرها على أن تدفع بالرقي الاجتماعي قدمًا وأن ترفع مستوى الحياة في جو من الحرية أفسح.
human_rights_un_arz_ef_64kb_0009	ولما كانت الدول الأعضاء قد تعهدت بالتعاون مع الأمم المتحدة على ضمان إطراد مراعاة حقوق الإنسان والحريات الأساسية واحترامها.
human_rights_un_arz_ef_64kb_0010	ولما كان للإدراك العام لهذه الحقوق والحريات الأهمية الكبرى للوفاء التام بهذا التعهد.
human_rights_un_arz_ef_64kb_0011	فإن الجمعية العامة
human_rights_un_arz_ef_64kb_0012	تنادي بهذا الإعلان العالمي لحقوق الإنسان
human_rights_un_arz_ef_64kb_0013	على أنه المستوى المشترك الذي ينبغي أن تستهدفه كافة الشعوب والأمم حتى يسعى كل فرد وهيئة في المجتمع، واضعين على الدوام هذا الإعلان نصب أعينهم، إلى توطيد احترام هذه الحقوق والحريات عن طريق التعليم والتربية واتخاذ إجراءات مطردة، قومية وعالمية، لضمان الإعتراف بها ومراعاتها بصورة عالمية فعالة بين الدول الأعضاء ذاتها وشعوب البقاع الخاضعة لسلطانها.
human_rights_un_arz_ef_64kb_0014	المادة 1
human_rights_un_arz_ef_64kb_0015	يولد جميع الناس أحرارًا متساوين في الكرامة والحقوق.
human_rights_un_arz_ef_64kb_0016	وقد وهبوا عقلاً وضميرًا وعليهم أن يعامل بعضهم بعضًا بروح الإخاء.
human_rights_un_arz_ef_64kb_0017	المادة 2
human_rights_un_arz_ef_64kb_0018	لكل إنسان حق التمتع بكافة الحقوق والحريات الواردة في هذا الإعلان، دون أي تمييز، كالتمييز بسبب العنصر أو اللون أو الجنس أو اللغة أو الدين أو الرأي السياسي أو أي رأي آخر، أو الأصل الوطني أو الإجتماعي أو الثروة أو الميلاد أو أي وضع آخر، دون أية تفرقة بين الرجال والنساء.
human_rights_un_arz_ef_64kb_0019	وفضلاً عما تقدم فلن يكون هناك أي تمييز أساسه الوضع السياسي أو القانوني أو الدولي لبلد أو البقعة التي ينتمي إليها الفرد سواء كان هذا البلد أو تلك البقعة مستقلاً أو تحت الوصاية أو غير متمتع بالحكم الذاتي أو كانت سيادته خاضعة لأي قيد من القيود.
human_rights_un_arz_ef_64kb_0020	المادة 3
human_rights_un_arz_ef_64kb_0021	لكل فرد الحق في الحياة والحرية وسلامة شخصه.
human_rights_un_arz_ef_64kb_0022	المادة 4
human_rights_un_arz_ef_64kb_0023	لا يجوز إسترقاق أو إستعباد أي شخص.
human_rights_un_arz_ef_64kb_0024	ويحظر الإسترقاق وتجارة الرقيق بكافة أوضاعهما.
human_rights_un_arz_ef_64kb_0025	المادة 5
human_rights_un_arz_ef_64kb_0026	لا يعرض أي إنسان للتعذيب ولا للعقوبات أو المعاملات القاسية أو الوحشية أو الحاطة بالكرامة.
human_rights_un_arz_ef_64kb_0027	المادة 6
human_rights_un_arz_ef_64kb_0028	لكل إنسان أينما وجد الحق في أن يعترف بشخصيته القانونية.
human_rights_un_arz_ef_64kb_0029	المادة 7
human_rights_un_arz_ef_64kb_0030	كل الناس سواسية أمام القانون ولهم الحق في التمتع بحماية متكافئة عنه دون أية تفرقة، كما أن لهم جميعاً الحق في حماية متساوية ضد أي تمييز يُخل بهذا الإعلان وضد أي تحريض على تمييز كهذا.
human_rights_un_arz_ef_64kb_0031	المادة 8
human_rights_un_arz_ef_64kb_0032	لكل شخص الحق في أن يلجأ إلى المحاكم الوطنية لإنصافه عن أعمال فيها اعتداء على الحقوق الأساسية التي يمنحها له القانون.
human_rights_un_arz_ef_64kb_0033	المادة 9
human_rights_un_arz_ef_64kb_0034	لا يجوز القبض على أي إنسان أو حجزه أو نفيه تعسفاً.
human_rights_un_arz_ef_64kb_0035	المادة 10
