ban_0001	Pangawedar indik Hak-Hak Azasi Manusia
ban_0002	Sami manusane mijil maduluran hak-hak sane pateh lan pastika tur malarapankebebasan-kebebasan sane mabuat pisan.
ban_0003	Perserikatan Bangsa-Bangsamaduwe tatuwek pacang nginggilang (nyunjung) nabdabang tur ngayomin hakazasi manusia saking swang-swang manusa.
ban_0004	Tatuwek puniki ngawit saking
ban_0005	Piagem Perserikatan Bangsa-Bangsa sane negesin unteng pakayun wangsa-wangsa ring jagatpada ngenenin hak azasi manusia sane mabuat pisan tur ringmartabat lan kamatmian manusa.
ban_0006	Ring sajeroning pangawedar indik hak azasimanusia, Perserikatan Bangsa-Bangsa mapiteges pastika pisan miwah sadaranangenenin hak-hak sane pinaka druwen i manusa sacara adil.
ban_0007	Hak-hak punikawantah druwen ida dane.
ban_0008	Punika wantah hak ida dane.
ban_0009	Hak-hak ida dane punikamangda kauningin.
ban_0010	Patut sareng-sareng nyobiakang tur ngukuhangkawentenanipun gumanti mabuat ring ida dane miwah mantuk ring sasaman janasane seosan.
ban_0011	Pangawedar indik Hak-Hak Azasi Manusia
ban_0012	Saracita
ban_0013	Manimbang riantukan pangangken ring subhakarma lan hak-hak sane pateh turpastika saking paguyuban kulawarga manusa sami inggih punika dasarkemerdekaan, keadilan lan perdamaian ring jagat.
ban_0014	Manimbang riantukan ngelempasang lan ngandapang hak azasi manusia jantenngawinang parilaksana-parilaksana sane kaon sane ngawinang rasa krodasajeroning herdaya (unteng pekayunan) manusapada, tur kamanggehang jagatgenah manusa pacang muponin bebas mawicara lan maagama tur luput sakingrasa ajrih miwah kakirangan, punika sampun kajantenang pinaka tatujon pilihutama saking para jana.
ban_0015	Manimbang riantukan hak-hak manusa patut kaayomin malarapan peraturanhukum mangda para jana nenten kadulumuk milih pamargi andaga utsahapenguntat maka panungkas kaduratmakan miwah penjajahan.
ban_0016	Manimbang riantukan ngupapira paiketan pasawitran ring sajeroning negara-negara patut kautsahayang.
ban_0017	Manimbang riantukan wangsa-wangsa saking Perserikatan Bangsa-Bangsasajeroning Piagem Perserikatan Bangsa-Bangsa sampun mategesang malihkepercayaannyane ngenenin hak-hak dasar manusa, tur hak-hak sane pateh,ring sang lanang miwah istri, miwah sampun mutusang pacang nuwekangkasuketan jagat lan kahuripane sane utama sajeroning kemerdekaan sanengalimbak.
ban_0018	Manimbang riantukan paguyuban negara-negara sampun masemaya pacangnyujur kemajuan sajeroning pangargan miwah pangubaktian marep ring hakazasi manusia lan kebebasan sane ngarojong sareng Perserikatan Bangsa-
ban_0019	Bangsa.
ban_0020	Manimbang riantukan pahaning wirasa sane pateh ngenenin indik hak-hak lankebebasan-kebebasan punika mabuat pisan maka panglaksana sane sumekenpisan saking semaya punika, mawinan,
ban_0021	MAJELIS UMUM
ban_0022	Malarapan punika nyobiahang
ban_0023	Pangawedar Indik Hak-Hak Azasi Manusia
ban_0024	Pinaka anceng sane katah maka sidaning wangsa sami lan panegara sami,maka tatujon mangda saluiring janma lan saluiring paguyuban sajeroningpakraman nityakala eling ring pangawedar puniki, pacang ngutsahayangmajalaran tata cara ngajahin lan ngicenin pendidikan ngapti nincapangpangargan marepe ring hak-hak lan kebebesan-kebebasan punika, tur pamargisane gancang gelitik urati sane manggeh nasional wiadin internasional, nyaminpangangken lan pangabaktianipun sane luih tur sumeken, inggilan olih wangsa-wangsa saking swanegara anggota wiadin olih wangsa-wangsa sakingwawidangan sane wenten ring sajeroning wawengkon hukumipun.
ban_0025	Paos 1
ban_0026	Sami manusane sane nyruwadi wantah merdeka tur maduwe kautamaan lanhak-hak sane pateh.
ban_0027	Sami kalugrain papineh lan idep tur mangdane padamasawitra melarapan semangat pakulawargaan.
ban_0028	Paos 2
ban_0029	Satunggil para janma wenang ring hak-hakipun sami lan kebebasan-kebebasansane mungguh ring jeroning pangawedar puniki, makadi pabinaan ring ras,warnan carma, lanang-wadon, basa, agama, politik utawi pamarnan maseosan,witning kewangsaan utawi pakraman (kemasyarakat), hak, padruwean,palekadan wiadin linggih seosan.
ban_0030	Selantur ipun nenten pacang kawentenang pabinayan sangkaning linggih
ban_0031	(kedudukan) politik, hukum, utawi kedudukan internasional saking negara utawidaerah saking dija ugi kawit nyane manusa, inggian saking negara sanemerdeka sane merupa wewidangan-wewidangan perwalian, jajahan, utawi sanewenten ring sajeroning wates kedaulatan sane seosan.
ban_0032	Paos 3
ban_0033	Saluiring manusa wenang ring hak hidup, kebebasan lan kerahayuan suwang-suwang.
ban_0034	Paos 4
ban_0035	Sapasira ugi nenten kayogya kadadosang budak utawi parekan, perbudakan lanpedagangan budak, yadian marupa napi ja musti kalarang.
ban_0036	Paos 5
ban_0037	Sapasira ugi nenten dados kasiksa utawi kabayang-bayang utawi katiwakindanda sane tan nganutin sulur kamanusan utawi kanistayang.
ban_0038	Paos 6
ban_0039	Saluiring janma kawenang ring pangangken sajeroning hukum pinaka manusaniri ring dija ugi magenah.
ban_0040	Paos 7
ban_0041	Samian manusane pateh ring sajeroning hukum lan pateh maduwe hak ringpangayoman hukum tanpa pabinayan.
