human_rights_un_bug_brc_64kb_0001	ADA ASSIMATURUSENG NASENGNGE HAK-HAK SIMULAJAJINNA PADATTA RUPA TAU
human_rights_un_bug_brc_64kb_0002	Sininnna rupa tau ri jajingengngi ri linoe pada nappunnai memanni hak-hak tetongeng marilalenna riaseng rupa tau Asseddingenna Bangsa-Bangsae pura nappannessai riaseng assimaturuseng molai laleng tongenna hak hak simulangenna seddi seddi rupa tau.
human_rights_un_bug_brc_64kb_0003	Assimaturuseng naolai pura napaddiolo pole piagam Asseddingenna Bangsa Bangsae , ye pamasseengngi attepperenna bangsa bangsae ri hak hak simula jajinna padatta rupa tau ye pommarilalengnge na allebbireng appongenna ri asengnge rupa tau.
human_rights_un_bug_brc_64kb_0004	Ri laleng Ada Assimaturusengnge hak hak simulajajinna padatta rupa tau pura napanessa memangngi Asseddingenna Bangsa Bangsae nasengnge hak hak adele'e pura nappunaie seddi seddi rupa tau.
human_rights_un_bug_brc_64kb_0005	Hak hak pura dipanessaengngi ianaritu mencaji ripunnai.
human_rights_un_bug_brc_64kb_0006	Hak hak simulajajinna padatta rupa tau ianatu hak tongeng mupuwere.
human_rights_un_bug_brc_64kb_0007	Parilalengngi paddisengengmu tettongiwi hak hak mupuwere.
human_rights_un_bug_brc_64kb_0008	Paptettei na pamassei ri lalenna alemu na padammu rupa tau.
human_rights_un_bug_brc_64kb_0009	PADDIOLO
human_rights_un_bug_brc_64kb_0010	Pura ritimbang nasengnge dipattongengngi ri asengnge allebbireng napanjajie puang seuwae na hak-hak pada nappunnai manengnge salasureng padatta rupa tau ianaro simulangenna riasengnge merdeka e.
human_rights_un_bug_brc_64kb_0011	Ade'e na atennangengnge tuo ri linoe.
human_rights_un_bug_brc_64kb_0012	Pura ritimbang nasengnge gau de'e nasipakalebbireng pole padatta rupa tau ianaro mancaji pangkaukang makassara najajianni maggoppo maneng accairengnge na ajapparu'e ri laleng atina rupa tau.
human_rights_un_bug_brc_64kb_0013	na ri purennuangi rijajiangi seddi lino naonroi'e padatta rupa tau ye'paneddingi'e riasengnge ininnawa mappau ada tongeng na ininawa suju'e ri Puang seuwae sibawa ininnawa leppe'e pole riasengnge akkitaureng na teggennekengnge pura mancaji seddi purennuang marilaleng pole taumaegae.
human_rights_un_bug_brc_64kb_0014	Pura ritimbang nasengnge hak-hak padatta rupa tau parellu riatoro ri lalenna sure hukung'e, narekko de wedding seddi seddi tau nateru-terusi molai laleng salae na nasengnge laleng madeceng naola makkuraga pacelliri sifa' salae ye temmappakasitaue.
human_rights_un_bug_brc_64kb_0015	Pura ritimbang nasengnge sipakau ripadatta massalassureng pole seddi negara sibawa negara laingne parellu ri pamasse.
human_rights_un_bug_brc_64kb_0016	Pura ritimbang nasengnge ianaro Bangsa Bangsae pole ri asseddingenna Bangsa Bangsae na ri lalenna piagamna pura ripamasse atteprenna ri hak hak simulangenna rupa tau ri pancajie ri Puang Seuwae, ri appongeng madecenna na allebbirengna seddi seddi rupa tau, na hak hak terripasilaingeng pole makkunrai na urane'e.
human_rights_un_bug_brc_64kb_0017	na pura nappettui molai addecengeng attuwongenna rilalenna kemerdekaan ye lebbi maloangnge.
human_rights_un_bug_brc_64kb_0018	Pura ritimbang nasengnge negara negara anggotae pura majjanci molai addecengeng ri lalenna penghargaanna na penghormatanna ri hak hak simulangenna padatta rupa tau na kebebasang kebebasang tongengnge na massamang najama sibawa Asseddingenna Bangsa Bangsae.
human_rights_un_bug_brc_64kb_0019	Pura ritimbang nasengnge paddisseng padae ri hak hak na kebebasangnge parellu mencaji sanreseng pole janci pura ripau'e, ianatu :
human_rights_un_bug_brc_64kb_0020	Tudang Sipulung
human_rights_un_bug_brc_64kb_0021	Ye Mappanesaengngi
human_rights_un_bug_brc_64kb_0022	Ada Assimaturusenna Hak - Hak Simulajajinna Rupa Tau
human_rights_un_bug_brc_64kb_0023	Riasengnge seddi tettongeng wassele pura naolae sininna Bangsa na Negarae ye situjue napurennuangnge sininna rupa tau ri lalenna masyaraka'e.
human_rights_un_bug_brc_64kb_0024	Ada assima turuseng pura ri panjaci sanreseng , ri ala pakkuraga massappa paddissengeng ye pamasseengngi penghargaangnge ri hak hak kebebasanna rupa tau'e.
human_rights_un_bug_brc_64kb_0025	Passaleng 1
human_rights_un_bug_brc_64kb_0026	Sininna rupa tau ri jajiangngi rilinoe nappunnai manengngi riasengnge alebbireng.
human_rights_un_bug_brc_64kb_0027	Nappunai riasengnge akkaleng, nappunai riasengnge ati marennni na sibole bolena pada sipakatau pada massalasureng.
human_rights_un_bug_brc_64kb_0028	Passaleng 2
human_rights_un_bug_brc_64kb_0029	Sininna rupa tau nappunnai maneng riasengnge hak na kebebasang ye tarukie ri lalenna Ada Assamaturusengnge, na degaga riasengnge mappasilaingeng appongeng, mappasilaingeng warenna uli, mappasilaingeng urane na makkunrai, mappasilaingeng bangsa, bahasa, agama na atteppereng, politik, arega mappasilaingeng assaleng ussulu bangsana , assugirenna, onro jajianna arega pangka'na.
human_rights_un_bug_brc_64kb_0030	Nasengnge degaga ripasilaingeng riasengnge sifa' politi'na, hukungna na pangka'na ri internasionale' pole negara arega kampong naonroie' seddi tau pole.
human_rights_un_bug_brc_64kb_0031	Mo pole negara ye merdekae ye engkae wilaya wilaya wakkelenna,arega naparentae.
human_rights_un_bug_brc_64kb_0032	Passeleng 3
human_rights_un_bug_brc_64kb_0033	Sininna rupa tau nappunnai hak tuo ri linoe, paneddingi riasengnge attennangeng na assalamakeng ri watakkalena seddi sedddi tau.
human_rights_un_bug_brc_64kb_0034	Passaleng 4
human_rights_un_bug_brc_64kb_0035	Degaga riaseng seddi seddi tau wedding ri pancaji ata na didangkangeng topa.
human_rights_un_bug_brc_64kb_0036	Nasaba ye riaseng addangkangeng ata ianatu laleng salah.
human_rights_un_bug_brc_64kb_0037	Passaleng 5
human_rights_un_bug_brc_64kb_0038	Degaga seddi tau wedding ri sessa na digaukang pappada olokoloe'.
human_rights_un_bug_brc_64kb_0039	Passaleng 6
human_rights_un_bug_brc_64kb_0040	Sininna rupa tau nappunai hak ripattongeng ri olona hukungnge nasengnge allebbireng seddi seddi tau , motega tega monro.
human_rights_un_bug_brc_64kb_0041	Passaleng 7
human_rights_un_bug_brc_64kb_0042	Sininna rupa tau nappunai hak riasengnge sanreseng hukung na de' gaga ripasilaingeng.
human_rights_un_bug_brc_64kb_0043	Nappunai maneng hak pada ri sininna pangkaukang makassara na mappassae ye de'e nasituju sibawa Ada assamaturusengnge, na sininna ada salae ye pancajie appassang na akkasarakangnge.
human_rights_un_bug_brc_64kb_0044	Passaleng 8
human_rights_un_bug_brc_64kb_0045	Sininna rupa tau napunnai hak riasengnge makkuraga addecengeng ri pengadilan nasional'e molaie jamang jamang sala ye de e nasituju hak hak marilaleng ye napuwere Undang Undang Dasar na hukungnge.
human_rights_un_bug_brc_64kb_0046	Passaleng 9
human_rights_un_bug_brc_64kb_0047	Degaga seddi rupa tau wedding ri tikkeng, ri tahang na riabbiang pappada olokoloe'
human_rights_un_bug_brc_64kb_0048	Passaleng 10
human_rights_un_bug_brc_64kb_0049	Sininna rupa tau , ri passamai, nappunai hak ri paradilang adele'e na ri peradilang bebasae' na de' namatane ciwali, ri laleng ripattette riasengnge hak na kewajibang kewajibanna na rilaleng sininna tuntutanna pidana ye ripettuangngi.
human_rights_un_bug_brc_64kb_0050	Passaleng 11
human_rights_un_bug_brc_64kb_0051	Sininna rupa tau ye dituntue nasaba riaseng mappigau assalang ri hukungnge depa diaseng salah, lettu ripabuttiangngi assalanna menuru hukungnge rilalenna pengadilang ye pada naisseng maneng tauwe, naengka diarengngi jaminang napperelluangngengngi belai alena.
human_rights_un_bug_brc_64kb_0052	Degaga seddi rupa tau wedding ripassa mappigau assalang hukung nasaba pangkaukang ye dee'panatama mencaji assalang hukung menuru Undang Undang Nasionale arega internasionale, narekko ye pangkaukangnge ri pigau.
human_rights_un_bug_brc_64kb_0053	Deto wedding ripettu hukumanna lebbih matane pole hukung ye sitinajae pappada riwettunna assalangnge ri pigau.
human_rights_un_bug_brc_64kb_0054	Passaleng 12
human_rights_un_bug_brc_64kb_0055	Sininna rupa tau de' wedding riganggu urusang alena, keluargana, ruma ranggana, na de wedding diteru terusi sure surena.
human_rights_un_bug_brc_64kb_0056	Na lebbipi de wedding ri halangi na ri keccaki riaseng siri'na tauwe.
human_rights_un_bug_brc_64kb_0057	Nasaba pura nappunai hak riasengnge sanreseng hukung.
human_rights_un_bug_brc_64kb_0058	Passaleng 13
human_rights_un_bug_brc_64kb_0059	Sininna rupa tau nappunai riasengnge kebebasang monro rilalenna seddi negara.
human_rights_un_bug_brc_64kb_0060	Sininna rupa tau nappunai hak monro ri sininna negarae', makkotoro ko maeloi monro ri negarana arega maelo lisu ri negarana.
human_rights_un_bug_brc_64kb_0061	Passaleng 14
human_rights_un_bug_brc_64kb_0062	Sininna rupa tau nappunai hak massapa na napaneddingi riaseng akkituoreng ri negara laingnge narekko maelo nasalamakkangngi alena pole passappana.
human_rights_un_bug_brc_64kb_0063	Iyana ye hak'e dewedding ri pake riwettu ri peppeng narisappa nasaba tongeng tongeng napigau aggaukeng salae' ye dee' gaga hubunganna sibawa politik, arega napigau pangkaukangnge nasaba denaseddi laleng sibawa tujuang ammulangenna Asseddingenna Bangsa Bangsae'.
human_rights_un_bug_brc_64kb_0064	Passaleng 15
human_rights_un_bug_brc_64kb_0065	Sininna rupa tauwe nappuna hak mancaji riaseng warga negara.
human_rights_un_bug_brc_64kb_0066	Degaga seddi tau wedding riteru terusi palukai kewarga negaraanna arega de diterimai haknya sellei kewarga negaraanna.
human_rights_un_bug_brc_64kb_0067	Passaleng 16
human_rights_un_bug_brc_64kb_0068	Sininna rupa tau urane na makkunraie ye maggangkani ballege umuruna, temmangki ri batasi assaleng bangsana, warga negarana arega agamana nappunai hak riasengnge nikkah na napunnai seddi seddi keluarga.
human_rights_un_bug_brc_64kb_0069	Ianatu pada napunnai hak ye e' teddipasilaingeng ri laleng perkawinanna, na riwettu na lalengi perkawinanna na riwettunna maeloi sitellereng.
human_rights_un_bug_brc_64kb_0070	Degaga riaseng passang rilalenna perkawinangnge, pappilenapi, elonapi na situjuipi makkunraie na urane.
human_rights_un_bug_brc_64kb_0071	Riasengnge keluarga ripasseddi riasengnge appaseddiang marilaleng pole masyaraka'e nanapunnai hak sanreseng pole masyarakae na negarae.
human_rights_un_bug_brc_64kb_0072	Passaleng 17
human_rights_un_bug_brc_64kb_0073	Sininna rupa tauwe nappunai hak riasengnge assugireng na warangparang, mo nappunnangi seddi tau arega nappunnangi sibawa tau laingnge.
human_rights_un_bug_brc_64kb_0074	Degaga seddi rupa tau wedding ripassa malai assugirenna na warangparanna.
human_rights_un_bug_brc_64kb_0075	Passaleng 18
