human_rights_un_bul_eu_64kb_0001	ВСЕОБЩА ДЕКЛАРАЦИЯ ЗА ПРАВАТА НА ЧОВЕКА
human_rights_un_bul_eu_64kb_0002	ПРЕАМБЮЛ
human_rights_un_bul_eu_64kb_0003	Като взе предвид, че признаването на достойнството, присъщо на всички членове на човешкия род, на техните равни и неотменими права представлява основа на свободата, справедливостта и мира в света,
human_rights_un_bul_eu_64kb_0004	Като взе предвид, че пренебрегването и неуважаването на правата на човека доведоха до варварски деяния, които потресоха съвестта на човечеството, и че създаването на един свят, в който хората ще се радват на свобода на словото и убежденията си и ще бъдат свободни от страх и лишения бе провъзгласено за най‐съкровения стремеж на човека,
human_rights_un_bul_eu_64kb_0005	Като взе предвид, че е необходимо правата на човека да бъдат закриляни от закона така, че човек да не бъде принуждаван да прибягва към бунт срещу тиранията и потисничеството, като последен изход,
human_rights_un_bul_eu_64kb_0006	Като взе предвид, че е необходимо да се нацърчава развитието на приятелски отношения между народите,
human_rights_un_bul_eu_64kb_0007	Като взе предвид, че народите на Обединените нации потвърдиха в Устава своята вяра в основните права на човека, в достойнството и стойността на човешката личност, в равноправието на мъжете и жените, и обявиха своята решимост да насърчават обществения напредък и по‐добро жизнено равнище при по‐голяма свобода,
human_rights_un_bul_eu_64kb_0008	Като взе предвид, че държавите‐членки се задължиха да постигнат в сътрудничество с Организацията на Обединените нации, всеобщо уважение и зачитане на правата на човека и неговите основни свободи,
human_rights_un_bul_eu_64kb_0009	Като взе предвид, че общото разбиране на тези права и свободи е от най‐голямо значение за пълното осъществяване на този обет,
human_rights_un_bul_eu_64kb_0010	ОБЩОТО СЪБРАНИЕпровъзгласява тази Всеобща декларация за правата на човека като обща мярка, към постигането на която трябва да се стремят всички народи и държави, така че всеки човек и всеки орган на обществото, имайки постоянно предвид тази Декларация, да се стремят, чрез просвета и образование, да съдействат за зачитане на тези права и свободи и чрез последователни национални и международни мерки да осигурят тяхното всеобщо и ефективно признаване и спазване, както сред народите и държавите‐членки на Организацията, така и сред народите от териториите, намиращи се под тяхна юрисдикция.
human_rights_un_bul_eu_64kb_0011	Член 1
human_rights_un_bul_eu_64kb_0012	Всички хора се раждат свободни и равни по достойнство и права.
human_rights_un_bul_eu_64kb_0013	Те са надарени с разум и съвест и следва да се отнасят помежду си в дух на братство.
human_rights_un_bul_eu_64kb_0014	Член 2
human_rights_un_bul_eu_64kb_0015	Всеки човек има право на всички права и свободи, провъзгласени в тази Декларация, без никакви различия, основани на раса, цвят на кожата, пол, език, религия, политически или други възгледи, национален или социален произход, материално, обществено или друго положение.
human_rights_un_bul_eu_64kb_0016	Освен това, няма да се допускат никакви различия, основани на политическия, прания или международния статут на държавата или територията, към която човек принадлежи, без оглед на това, дали тази страна или територия е независима, под попечителство, несамоуправляваща се или подложена на каквото и да е друго ограничение на суверенитета.
human_rights_un_bul_eu_64kb_0017	Член 3
human_rights_un_bul_eu_64kb_0018	Всеки има право на живот, свобода и лична сигурност.
human_rights_un_bul_eu_64kb_0019	Член 4
human_rights_un_bul_eu_64kb_0020	Никой не трябва да бъде държан в робство или крепостничество: робството и търговията с роби са забранени във всичките им форми.
human_rights_un_bul_eu_64kb_0021	Член 5
human_rights_un_bul_eu_64kb_0022	Никой не трябва да бъде подлаган на изтезания или на жестоко, нечовешко или унизително третиране или наказание.
human_rights_un_bul_eu_64kb_0023	Член 6
human_rights_un_bul_eu_64kb_0024	Всеки човек, където и да се намира, има право на признаване на неговата правосубектност.
human_rights_un_bul_eu_64kb_0025	Член 7
human_rights_un_bul_eu_64kb_0026	Всички хора са равни пред закона и имат право, без каквато и да е дискриминация, на еднаква закрила от закона.
human_rights_un_bul_eu_64kb_0027	Всички хора имат право на еднаква защита срещу каквато и да е дискриминация, нарушаваща тази Декларация, както и срещу всяко подбуждане към дискриминация.
human_rights_un_bul_eu_64kb_0028	Член 8
human_rights_un_bul_eu_64kb_0029	Всеки човек има право на ефективно въстановяване на правата си от компетентните национални юрисдикции за действия, нарушаващи негови основни права, признати му от конституцията или закона.
human_rights_un_bul_eu_64kb_0030	Член 9
human_rights_un_bul_eu_64kb_0031	Никой не трябва да бъде подлаган на произволен арест, задържане или изгнание.
human_rights_un_bul_eu_64kb_0032	Член 10
human_rights_un_bul_eu_64kb_0033	Всеки човек има право, при пълно равенство, на справедливо и публично разглеждане на неговото дело, от независим и безпристрастен съд, за установяване на неговите права и задължения, както и за разглеждане на каквото и да е наказателно обвинение, предявено срещу него.
human_rights_un_bul_eu_64kb_0034	Член 11
human_rights_un_bul_eu_64kb_0035	Всеки човек, който е обвинен в престъпление, има право да бъде считан за невинен до доказване на неговата вина, в съответствие със закона, в публичен процес, по време на който са му били осигурени всички необходими гаранции за неговата защита.
human_rights_un_bul_eu_64kb_0036	Никой не трябва да бъде осъден за действие или бездействие, което в момента на извършването му не е съставлявало престъпление по националното или международното право.
human_rights_un_bul_eu_64kb_0037	Не може, също така, да бъде налагано наказание по‐тежко от онова, което е било предвидено за съответното престъпление по времето, когато това престъпление е било извършено.
human_rights_un_bul_eu_64kb_0038	Член 12
human_rights_un_bul_eu_64kb_0039	Никой не трябва де бъде подлаган на произволна намеса в личния му живот, семейството, жилището и кореспонденцията, нито на посегателства върху неговата чест и добро име.
human_rights_un_bul_eu_64kb_0040	Всеки човек има право на закрила от закона срещу подобна намеса или посегателства.
human_rights_un_bul_eu_64kb_0041	Член 13
human_rights_un_bul_eu_64kb_0042	Всеки човек има право свободно да се придвижва и да избира своето местожителство в пределите на всяка държава.
human_rights_un_bul_eu_64kb_0043	Всеки човек има право да папусне всяка страна, включително и своята, и да се връща в страната си.
human_rights_un_bul_eu_64kb_0044	Член 14
human_rights_un_bul_eu_64kb_0045	Всеки човек има право да търси и да получи убежище в други страни, когато е преследван.
human_rights_un_bul_eu_64kb_0046	Това право не може да бъде ползвано, когато действителното основание за преследване е неполитическо престъпление или деяние, което противоречи на целите и принципите на Организацията на Обединените нации.
human_rights_un_bul_eu_64kb_0047	Член 15
human_rights_un_bul_eu_64kb_0048	Всеки човек има право на гражданство.
human_rights_un_bul_eu_64kb_0049	Никой не може да бъде произволно лишен от своето гражданство, нито да му бъде отказано правото да смени гражданството си.
human_rights_un_bul_eu_64kb_0050	Член 16
human_rights_un_bul_eu_64kb_0051	Мъжете и жените, навършили пълнолетие, без каквито и да са ограничения, основани на раса, националност или религия, имат право да сключат брак и да образуват семейство.
human_rights_un_bul_eu_64kb_0052	Те се ползуват с равни права при сключване на брака, по време на брака и при неговото разтрогване.
human_rights_un_bul_eu_64kb_0053	Бъракът трябва да се сключва само с доброволното и пълно съглацие на бъдещите съпрузи.
human_rights_un_bul_eu_64kb_0054	Семейството е естествена и основна клетка на обществото и има право на закрила от обществото и от държавата.
human_rights_un_bul_eu_64kb_0055	Член 17
human_rights_un_bul_eu_64kb_0056	Всеки човек има право на собственост, индивидуално или съвместно с други лица.
human_rights_un_bul_eu_64kb_0057	Никой не трябва да бъде произволно лишен от своята собственост.
human_rights_un_bul_eu_64kb_0058	Член 18
human_rights_un_bul_eu_64kb_0059	Всеки човек има право на свобода на мисълта, съвестта и религията;
human_rights_un_bul_eu_64kb_0060	това право включва правото да смени религията или убежденията си, както и свободата да изповядва религията или убежденията си, индивидуално или колективно, публично или частно, чрез обучение, обреди, богослужение и ритуали.
human_rights_un_bul_eu_64kb_0061	Член 19
