human_rights_un_cat_nv_64kb_0001	Adoptada i proclamada per l'Assemblea General de les Nacions Unides, resolució 217 A (III), de
human_rights_un_cat_nv_64kb_0002	10 de desembre de 1948
human_rights_un_cat_nv_64kb_0003	Declaració Universal de Drets Humans
human_rights_un_cat_nv_64kb_0004	PREÀMBUL
human_rights_un_cat_nv_64kb_0005	Considerant que el reconeixement de la dignitat inherent i dels drets iguals i inalienables de totsels membres de la família humana és el fonament de la llibertat, la justícia i la pau en el món,
human_rights_un_cat_nv_64kb_0006	Considerant que el desconeixement i el menyspreu dels drets humans han originat actes debarbàrie que han ultratjat la consciència de la humanitat;
human_rights_un_cat_nv_64kb_0007	i que s'ha proclamat com l'aspiració méselevada de tothom l'adveniment d'un món on els éssers humans, deslliurats del temor i la misèria,puguin gaudir de llibertat d'expressió i de creença,
human_rights_un_cat_nv_64kb_0008	Considerant que és essencial que els drets humans siguin protegits per un règim de dret per talque les persones no es vegin forçades, com a últim recurs, a la rebel_lió contra la tirania il'opressió,
human_rights_un_cat_nv_64kb_0009	Considerant també que és essencial de promoure el desenvolupament de relacions amistosesentre les nacions,
human_rights_un_cat_nv_64kb_0010	Considerant que els pobles de les Nacions Unides han ratificat en la Carta llur fe en els dretshumans fonamentals, en la dignitat i el valor de la persona humana i en la igualtat de dretd'homes i dones;
human_rights_un_cat_nv_64kb_0011	i que han decidit de promoure el progrés social i millorar el nivell de vida dinsd'una llibertat més àmplia,
human_rights_un_cat_nv_64kb_0012	Considerant que els Estats membres s'han compromès a assegurar, en cooperació ambl'Organització de les Nacions Unides, el respecte universal i efectiu dels drets humans i lesllibertats fonamentals,
human_rights_un_cat_nv_64kb_0013	Considerant que una concepció comuna d'aquests drets i llibertats és de la més gran importànciaper al ple compliment d'aquest compromís,
human_rights_un_cat_nv_64kb_0014	L'Assemblea General
human_rights_un_cat_nv_64kb_0015	Proclama aquesta Declaració Universal de Drets Humans com l'ideal comú a assolir per a tots elspobles i nacions amb el fi que cada persona i cada institució, inspirant-se constantment enaquesta Declaració, promoguin, mitjançant I'ensenyament i l'educació, el respecte a aquests dretsi llibertats i assegurin, amb mesures progressives nacionals i internacionals, el seu reconeixementi aplicació universals i efectius, tant entre els pobles dels Estats membres com entre els delsterritoris sota llur jurisdicció.
human_rights_un_cat_nv_64kb_0016	Article 1
human_rights_un_cat_nv_64kb_0017	Tots els éssers humans neixen lliures i iguals en dignitat i en drets.
human_rights_un_cat_nv_64kb_0018	Són dotats de raó i deconsciència, i han de comportar-se fraternalment els uns amb els altres.
human_rights_un_cat_nv_64kb_0019	Article 2
human_rights_un_cat_nv_64kb_0020	Tothom té tots els drets i llibertats proclamats en aquesta Declaració, sense cap distinció de raça,color, sexe, llengua, religió, opinió política o de qualsevol altra mena, origen nacional o social,fortuna, naixement o altra condició.
human_rights_un_cat_nv_64kb_0021	A més, no es farà cap distinció basada en l'estatut polític, jurídic o internacional del país o delterritori al qual pertanyi una persona, tant si és independent com si està sota administraciófiduciària, si no és autònom, o està sota qualsevol altra limitació de sobirania.
human_rights_un_cat_nv_64kb_0022	Article 3
human_rights_un_cat_nv_64kb_0023	Tota persona té dret a la vida, a la llibertat i a la seva seguretat.
human_rights_un_cat_nv_64kb_0024	Article 4
human_rights_un_cat_nv_64kb_0025	Ningú no serà sotmès a esclavitud o servitud: I'esclavitud i el tràfic d'esclaus són prohibits entotes llurs formes.
human_rights_un_cat_nv_64kb_0026	Article 5
human_rights_un_cat_nv_64kb_0027	Ningú no serà sotmès a tortures ni a penes o tractes cruels, inhumans o degradants.
human_rights_un_cat_nv_64kb_0028	Article 6
human_rights_un_cat_nv_64kb_0029	Tota persona té el dret arreu al reconeixement de la seva personalitat jurídica.
human_rights_un_cat_nv_64kb_0030	Article 7
