human_rights_un_chi_nf_64kb_0001	世界人权宣言
human_rights_un_chi_nf_64kb_0002	联合国大会一九四八年十二月十日第217A(III)号决议通过并颁布
human_rights_un_chi_nf_64kb_0003	1948 年 12 月 10 日， 联 合 国 大 会 通 过 并 颁 布《 世 界 人 权 宣 言》。
human_rights_un_chi_nf_64kb_0004	这 一
human_rights_un_chi_nf_64kb_0005	具 有 历 史 意 义 的《 宣 言》 颁 布 后， 大 会 要 求 所 有 会 员 国 广 为 宣 传，
human_rights_un_chi_nf_64kb_0006	并 且“ 不 分 国 家 或 领 土 的 政 治 地 位 , 主 要 在 各 级 学 校 和 其 他 教 育 机
human_rights_un_chi_nf_64kb_0007	构 加 以 传 播、 展 示、 阅 读 和 阐 述。
human_rights_un_chi_nf_64kb_0008	” 《 宣 言 》 全 文 如 下：
human_rights_un_chi_nf_64kb_0009	序 言
human_rights_un_chi_nf_64kb_0010	鉴 于 对 人 类 家 庭 所 有 成 员 的 固 有 尊 严 及 其 平 等 的 和 不 移 的 权 利 的
human_rights_un_chi_nf_64kb_0011	承 认, 乃 是 世 界 自 由、 正 义 与 和 平 的 基 础,
human_rights_un_chi_nf_64kb_0012	鉴 于 对 人 权 的 无 视 和 侮 蔑 已 发 展 为 野 蛮 暴 行, 这 些 暴 行 玷 污 了 人 类
human_rights_un_chi_nf_64kb_0013	的 良 心, 而 一 个 人 人 享 有 言 论 和 信 仰 自 由 并 免 予 恐 惧 和 匮 乏 的 世 界
human_rights_un_chi_nf_64kb_0014	的 来 临, 已 被 宣 布 为 普 通 人 民 的 最 高 愿 望,
human_rights_un_chi_nf_64kb_0015	鉴 于 为 使 人 类 不 致 迫 不 得 已 铤 而 走 险 对 暴 政 和 压 迫 进 行 反 叛, 有 必
human_rights_un_chi_nf_64kb_0016	要 使 人 权 受 法 治 的 保 护,
human_rights_un_chi_nf_64kb_0017	鉴 于 有 必 要 促 进 各 国 间 友 好 关 系 的 发 展,
human_rights_un_chi_nf_64kb_0018	鉴 于 各 联 合 国 国 家 的 人 民 已 在 联 合 国 宪 章 中 重 申 他 们 对 基 本 人
human_rights_un_chi_nf_64kb_0019	权、 人 格 尊 严 和 价 值 以 及 男 女 平 等 权 利 的 信 念, 并 决 心 促 成 较 大 自
human_rights_un_chi_nf_64kb_0020	由 中 的 社 会 进 步 和 生 活 水 平 的 改 善,
human_rights_un_chi_nf_64kb_0021	鉴 于 各 会 员 国 业 已 誓 愿 同 联 合 国 合 作 以 促 进 对 人 权 和 基 本 自 由 的
human_rights_un_chi_nf_64kb_0022	普 遍 尊 重 和 遵 行,
human_rights_un_chi_nf_64kb_0023	鉴 于 对 这 些 权 利 和 自 由 的 普 遍 了 解 对 于 这 个 誓 愿 的 充 分 实 现 具 有
human_rights_un_chi_nf_64kb_0024	很 大 的 重 要 性,
human_rights_un_chi_nf_64kb_0025	因 此 现 在, 大 会, 发 布 这 一 世 界 人 权 宣 言 , 作 为 所 有 人 民 和 所 有 国 家
human_rights_un_chi_nf_64kb_0026	努 力 实 现 的 共 同 标 准, 以 期 每 一 个 人 和 社 会 机 构 经 常 铭 念 本 宣 言,
human_rights_un_chi_nf_64kb_0027	努 力 通 过 教 诲 和 教 育 促 进 对 权 利 和 自 由 的 尊 重, 并 通 过 国 家 的 和 国
human_rights_un_chi_nf_64kb_0028	际 的 渐 进 措 施, 使 这 些 权 利 和 自 由 在 各 会 员 国 本 身 人 民 及 在 其 管 辖
human_rights_un_chi_nf_64kb_0029	下 领 土 的 人 民 中 得 到 普 遍 和 有 效 的 承 认 和 遵 行;
human_rights_un_chi_nf_64kb_0030	第 一 条
human_rights_un_chi_nf_64kb_0031	人 人 生 而 自 由, 在 尊 严 和 权 利 上 一 律 平 等。
human_rights_un_chi_nf_64kb_0032	他 们 赋 有 理 性 和 良 心, 并
human_rights_un_chi_nf_64kb_0033	应 以 兄 弟 关 系 的 精 神 相 对 待。
human_rights_un_chi_nf_64kb_0034	第 二 条
human_rights_un_chi_nf_64kb_0035	人 人 有 资 格 享 有 本 宣 言 所 载 的 一 切 权 利 和 自 由, 不 分 种 族、 肤 色、
human_rights_un_chi_nf_64kb_0036	性 别、 语 言、 宗 教、 政 治 或 其 他 见 解、 国 籍 或 社 会 出 身、 财 产、 出
human_rights_un_chi_nf_64kb_0037	生 或 其 他 身 分 等 任 何 区 别。
human_rights_un_chi_nf_64kb_0038	并 且 不 得 因 一 人 所 属 的 国 家 或 领 土 的 政 治 的、 行 政 的 或 者 国 际 的
human_rights_un_chi_nf_64kb_0039	地 位 之 不 同 而 有 所 区 别, 无 论 该 领 土 是 独 立 领 土、 托 管 领 土、 非 自
human_rights_un_chi_nf_64kb_0040	治 领 土 或 者 处 于 其 他 任 何 主 权 受 限 制 的 情 况 之 下。
human_rights_un_chi_nf_64kb_0041	第 三 条
human_rights_un_chi_nf_64kb_0042	人 人 有 权 享 有 生 命、 自 由 和 人 身 安 全。
human_rights_un_chi_nf_64kb_0043	第 四 条
human_rights_un_chi_nf_64kb_0044	任 何 人 不 得 使 为 奴 隶 或 奴 役;
human_rights_un_chi_nf_64kb_0045	一 切 形 式 的 奴 隶 制 度 和 奴 隶 买 卖, 均
human_rights_un_chi_nf_64kb_0046	应 予 以 禁 止。
human_rights_un_chi_nf_64kb_0047	第 五 条
human_rights_un_chi_nf_64kb_0048	任 何 人 不 得 加 以 酷 刑, 或 施 以 残 忍 的、 不 人 道 的 或 侮 辱 性 的 待 遇 或
human_rights_un_chi_nf_64kb_0049	刑 罚。
human_rights_un_chi_nf_64kb_0050	第 六 条
human_rights_un_chi_nf_64kb_0051	人 人 在 任 何 地 方 有 权 被 承 认 在 法 律 前 的 人 格。
human_rights_un_chi_nf_64kb_0052	第 七 条
human_rights_un_chi_nf_64kb_0053	法 律 之 前 人 人 平 等, 并 有 权 享 受 法 律 的 平 等 保 护, 不 受 任 何 歧 视。
human_rights_un_chi_nf_64kb_0054	人
human_rights_un_chi_nf_64kb_0055	人 有 权 享 受 平 等 保 护, 以 免 受 违 反 本 宣 言 的 任 何 歧 视 行 为 以 及 煽 动
human_rights_un_chi_nf_64kb_0056	这 种 歧 视 的 任 何 行 为 之 害。
human_rights_un_chi_nf_64kb_0057	第 八 条
human_rights_un_chi_nf_64kb_0058	任 何 人 当 宪 法 或 法 律 所 赋 予 他 的 基 本 权 利 遭 受 侵 害 时, 有 权 由 合 格
human_rights_un_chi_nf_64kb_0059	的 国 家 法 庭 对 这 种 侵 害 行 为 作 有 效 的 补 救。
human_rights_un_chi_nf_64kb_0060	第 九 条
human_rights_un_chi_nf_64kb_0061	任 何 人 不 得 加 以 任 意 逮 捕、 拘 禁 或 放 逐。
human_rights_un_chi_nf_64kb_0062	第 十 条
human_rights_un_chi_nf_64kb_0063	人 人 完 全 平 等 地 有 权 由 一 个 独 立 而 无 偏 倚 的 法 庭 进 行 公 正 的 和 公
human_rights_un_chi_nf_64kb_0064	开 的 审 讯, 以 确 定 他 的 权 利 和 义 务 并 判 定 对 他 提 出 的 任 何 刑 事 指
human_rights_un_chi_nf_64kb_0065	控。
human_rights_un_chi_nf_64kb_0066	第 十 一 条
human_rights_un_chi_nf_64kb_0067	1.
human_rights_un_chi_nf_64kb_0068	㈠ 凡 受 刑 事 控 告 者, 在 未 经 获 得 辩 护 上 所 需 的 一 切 保 证 的 公
human_rights_un_chi_nf_64kb_0069	开 审 判 而 依 法 证 实 有 罪 以 前, 有 权 被 视 为 无 罪。
