cmn_0001	世界人权宣言
cmn_0002	联合国大会一九四八年十二月十日第217A(III)号决议通过并颁布
cmn_0003	1948 年 12 月 10 日， 联 合 国 大 会 通 过 并 颁 布《 世 界 人 权 宣 言》。
cmn_0004	这 一
cmn_0005	具 有 历 史 意 义 的《 宣 言》 颁 布 后， 大 会 要 求 所 有 会 员 国 广 为 宣 传，
cmn_0006	并 且“ 不 分 国 家 或 领 土 的 政 治 地 位 , 主 要 在 各 级 学 校 和 其 他 教 育 机
cmn_0007	构 加 以 传 播、 展 示、 阅 读 和 阐 述。
cmn_0008	” 《 宣 言 》 全 文 如 下：
cmn_0009	序 言
cmn_0010	鉴 于 对 人 类 家 庭 所 有 成 员 的 固 有 尊 严 及 其 平 等 的 和 不 移 的 权 利 的
cmn_0011	承 认, 乃 是 世 界 自 由、 正 义 与 和 平 的 基 础,
cmn_0012	鉴 于 对 人 权 的 无 视 和 侮 蔑 已 发 展 为 野 蛮 暴 行, 这 些 暴 行 玷 污 了 人 类
cmn_0013	的 良 心, 而 一 个 人 人 享 有 言 论 和 信 仰 自 由 并 免 予 恐 惧 和 匮 乏 的 世 界
cmn_0014	的 来 临, 已 被 宣 布 为 普 通 人 民 的 最 高 愿 望,
cmn_0015	鉴 于 为 使 人 类 不 致 迫 不 得 已 铤 而 走 险 对 暴 政 和 压 迫 进 行 反 叛, 有 必
cmn_0016	要 使 人 权 受 法 治 的 保 护,
cmn_0017	鉴 于 有 必 要 促 进 各 国 间 友 好 关 系 的 发 展,
cmn_0018	鉴 于 各 联 合 国 国 家 的 人 民 已 在 联 合 国 宪 章 中 重 申 他 们 对 基 本 人
cmn_0019	权、 人 格 尊 严 和 价 值 以 及 男 女 平 等 权 利 的 信 念, 并 决 心 促 成 较 大 自
cmn_0020	由 中 的 社 会 进 步 和 生 活 水 平 的 改 善,
cmn_0021	鉴 于 各 会 员 国 业 已 誓 愿 同 联 合 国 合 作 以 促 进 对 人 权 和 基 本 自 由 的
cmn_0022	普 遍 尊 重 和 遵 行,
cmn_0023	鉴 于 对 这 些 权 利 和 自 由 的 普 遍 了 解 对 于 这 个 誓 愿 的 充 分 实 现 具 有
cmn_0024	很 大 的 重 要 性,
cmn_0025	因 此 现 在, 大 会, 发 布 这 一 世 界 人 权 宣 言 , 作 为 所 有 人 民 和 所 有 国 家
cmn_0026	努 力 实 现 的 共 同 标 准, 以 期 每 一 个 人 和 社 会 机 构 经 常 铭 念 本 宣 言,
cmn_0027	努 力 通 过 教 诲 和 教 育 促 进 对 权 利 和 自 由 的 尊 重, 并 通 过 国 家 的 和 国
cmn_0028	际 的 渐 进 措 施, 使 这 些 权 利 和 自 由 在 各 会 员 国 本 身 人 民 及 在 其 管 辖
cmn_0029	下 领 土 的 人 民 中 得 到 普 遍 和 有 效 的 承 认 和 遵 行;
cmn_0030	第 一 条
cmn_0031	人 人 生 而 自 由, 在 尊 严 和 权 利 上 一 律 平 等。
cmn_0032	他 们 赋 有 理 性 和 良 心, 并
cmn_0033	应 以 兄 弟 关 系 的 精 神 相 对 待。
cmn_0034	第 二 条
cmn_0035	人 人 有 资 格 享 有 本 宣 言 所 载 的 一 切 权 利 和 自 由, 不 分 种 族、 肤 色、
cmn_0036	性 别、 语 言、 宗 教、 政 治 或 其 他 见 解、 国 籍 或 社 会 出 身、 财 产、 出
cmn_0037	生 或 其 他 身 分 等 任 何 区 别。
cmn_0038	并 且 不 得 因 一 人 所 属 的 国 家 或 领 土 的 政 治 的、 行 政 的 或 者 国 际 的
cmn_0039	地 位 之 不 同 而 有 所 区 别, 无 论 该 领 土 是 独 立 领 土、 托 管 领 土、 非 自
cmn_0040	治 领 土 或 者 处 于 其 他 任 何 主 权 受 限 制 的 情 况 之 下。
cmn_0041	第 三 条
