human_rights_un_cze_msed_64kb_0001	VŠEOBECNÁ DEKLARACE LIDSKÝCH PRÁV
human_rights_un_cze_msed_64kb_0002	Úvod
human_rights_un_cze_msed_64kb_0003	U vědomí toho,
human_rights_un_cze_msed_64kb_0004	že uznání přirozené důstojnosti a rovných a nezcizitelných práv členů lidské rodiny je základem svobody,
human_rights_un_cze_msed_64kb_0005	spravedlnosti a míru ve světě,
human_rights_un_cze_msed_64kb_0006	že zneuznání lidských práv a pohrdání jimi vedlo k barbarským činům,
human_rights_un_cze_msed_64kb_0007	urážejícím svědomí lidstva,
human_rights_un_cze_msed_64kb_0008	a že vybudování světa,
human_rights_un_cze_msed_64kb_0009	ve kterém lidé,
human_rights_un_cze_msed_64kb_0010	zbavení strachu a nouze,
human_rights_un_cze_msed_64kb_0011	se budou těšiti svobodě projevu a přesvědčení,
human_rights_un_cze_msed_64kb_0012	bylo prohlášeno za nejvyšší cíl lidu,
human_rights_un_cze_msed_64kb_0013	že je nutné,
human_rights_un_cze_msed_64kb_0014	aby lidská práva byla chráněna zákonem,
human_rights_un_cze_msed_64kb_0015	nemá-li být člověk donucen uchylovat se,
human_rights_un_cze_msed_64kb_0016	když vše ostatní selhalo,
human_rights_un_cze_msed_64kb_0017	k odboji proti tyranii a útlaku,
human_rights_un_cze_msed_64kb_0018	že je nutné podporovat rozvoj přátelských vztahu mezi národy,
human_rights_un_cze_msed_64kb_0019	že lid Spojených národů zdůraznil v Chartě znovu svou víru v základní lidská práva,
human_rights_un_cze_msed_64kb_0020	v důstojnost a hodnotu lidské osobnosti,
human_rights_un_cze_msed_64kb_0021	v rovná práva mužů i žen a že se rozhodl podporovat sociální pokrok a vytvořit lepší životní podmínky ve větší svobodě,
human_rights_un_cze_msed_64kb_0022	že členské státy převzaly závazek zajistit ve spolupráci s Organizací spojených národů všeobecné uznávání a zachovávání lidských práv a základních svobod aže stejné chápání těchto práv a svobod má nesmírný význam pro dokonalé splnění tohoto závazku,
