human_rights_un_dns_me_64kb_0001	Den 10.
human_rights_un_dns_me_64kb_0002	december 1948 vedtog og offentliggjorde FNs tredie generalforsamling Verdenserklæringen om Menneskerettighederne.
human_rights_un_dns_me_64kb_0003	Erklæringen blev vedtaget med 48 landes ja-stemmer Ingen lande stemte imod.
human_rights_un_dns_me_64kb_0004	8 lande afstod.
human_rights_un_dns_me_64kb_0005	Umiddelbart efter denne historiske begivenhed henstillede generalforsamlingen til alle medlemslande, at de offentliggjorde erklæringens fulde tekst.
human_rights_un_dns_me_64kb_0006	De skulle desuden "foranstalte, at den bliver omdelt, fremlagt, læst og forklaret i særdeleshed i skoler og andre undervisningsinstitutioner, uden hensyn til de forskellige landes og områders politiske forhold".
human_rights_un_dns_me_64kb_0007	Erklæringens officielle tekst findes på FNs seks officielle sprog: arabisk, engelsk, fransk, kinesisk, russisk og spansk.
human_rights_un_dns_me_64kb_0008	Endvidere har en lang række af FNs medlemslande fulgt generalforsamlingens opfordring og oversat erklæringen til det nationale sprog.
human_rights_un_dns_me_64kb_0009	Den danske oversættelse på de følgende sider er udarbejdet af udenrigsministeriet.
human_rights_un_dns_me_64kb_0010	Ved henvendelse til FNs nordiske informationskontor i København kan man gratis rekvirere eksemplarer af erklæringen på henholdsvis FNs officielle sprog, de øvrige nordiske sprog samt et begrænset antal andre sprog.
human_rights_un_dns_me_64kb_0011	VERDENSERKLÆRINGEN OM MENNESKERETTIGHEDERNE
human_rights_un_dns_me_64kb_0012	INDLEDNING
