human_rights_un_dut_aw_64kb_0001	UNIVERSELE VERKLARING VAN DE RECHTEN VAN DE MENS
human_rights_un_dut_aw_64kb_0002	Preambule
human_rights_un_dut_aw_64kb_0003	Overwegende, dat erkenning van de inherente waardigheid en van de gelijke enonvervreemdbare rechten van alle leden van de mensengemeenschap grondslagis voor de vrijheid, gerechtigheid en vrede in de wereld;
human_rights_un_dut_aw_64kb_0004	Overwegende, dat terzijdestelling van en minachting voor de rechten van demens geleid hebben tot barbaarse handelingen, die het geweten van demensheid geweld hebben aangedaan en dat de komst van een wereld, waarinde mensen vrijheid van meningsuiting en geloof zullen genieten, en vrij zullenzijn van vrees en gebrek, is verkondigd als het hoogste ideaal van iedere mens;
human_rights_un_dut_aw_64kb_0005	Overwegende, dat het van het grootste belang is, dat de rechten van de mensbeschermd worden door de suprematie van het recht, opdat de mens nietgedwongen worde om in laatste instantie zijn toevlucht te nemen tot opstandtegen tyrannie en onderdrukking;
human_rights_un_dut_aw_64kb_0006	Overwegende, dat het van het grootste belang is om de ontwikkeling vanvriendschappelijke betrekkingen tussen de naties te bevorderen;
human_rights_un_dut_aw_64kb_0007	Overwegende, dat de volkeren van de Verenigde Naties in het Handvest hunvertrouwen in de fundamentele rechten van de mens, in de waardigheid en dewaarde van de mens en in de gelijke rechten van mannen en vrouwen opnieuwhebben bevestigd, en besloten hebben om sociale vooruitgang en een hogerelevensstandaard in groter vrijheid te bevorderen;
human_rights_un_dut_aw_64kb_0008	Overwegende, dat de Staten, welke Lid zijn van de Verenigde Naties, zichplechtig verbonden hebben om, in samenwerking met de Organisatie van de
human_rights_un_dut_aw_64kb_0009	Verenigde Naties, overal de eerbied voor en inachtneming van de rechten van demens en de fundamentele vrijheden te bevorderen;
human_rights_un_dut_aw_64kb_0010	Overwegende, dat het van het grootste belang is voor de volledige nakoming vandeze verbintenis, dat een ieder begrip hebbe voor deze rechten en vrijheden;
human_rights_un_dut_aw_64kb_0011	Op grond daarvan proclameert de Algemene Vergadering deze Universele
human_rights_un_dut_aw_64kb_0012	Verklaring van de Rechten van de Mens als het gemeenschappelijk door allevolkeren en alle naties te bereiken ideaal, opdat ieder individu en elk orgaan vande gemeenschap, met deze verklaring voortdurend voor ogen, er naar zal strevendoor onderwijs en opvoeding de eerbied voor deze rechten en vrijheden tebevorderen, en door vooruitstrevende maatregelen, op nationaal eninternationaal terrein, deze rechten algemeen en daadwerkelijk te doen erkennenen toepassen, zowel onder de volkeren van Staten die Lid van de Verenigde
human_rights_un_dut_aw_64kb_0013	Naties zijn, zelf, als onder de volkeren van gebieden, die onder hun jurisdictiestaan:
human_rights_un_dut_aw_64kb_0014	Artikel 1
human_rights_un_dut_aw_64kb_0015	Alle mensen worden vrij en gelijk in waardigheid en rechten geboren.
human_rights_un_dut_aw_64kb_0016	Zij zijnbegiftigd met verstand en geweten, en behoren zich jegens elkander in eengeest van broederschap te gedragen.
human_rights_un_dut_aw_64kb_0017	Artikel 2
human_rights_un_dut_aw_64kb_0018	Een ieder heeft aanspraak op alle rechten en vrijheden, in deze Verklaringopgesomd, zonder enig onderscheid van welke aard ook, zoals ras, kleur,geslacht, taal, godsdienst, politieke of andere overtuiging, nationale ofmaatschappelijke afkomst, eigendom, geboorte of andere status.
human_rights_un_dut_aw_64kb_0019	Verder zal geen onderscheid worden gemaakt naar de politieke, juridische ofinternationale status van het land of gebied, waartoe iemand behoort,onverschillig of het een onafhankelijk, trust-, of niet-zelfbesturend gebied betreft,dan wel of er een andere beperking van de soevereiniteit bestaat.
human_rights_un_dut_aw_64kb_0020	Artikel 3
human_rights_un_dut_aw_64kb_0021	Een ieder heeft het recht op leven, vrijheid en onschendbaarheid van zijnpersoon.
human_rights_un_dut_aw_64kb_0022	Artikel 4
human_rights_un_dut_aw_64kb_0023	Niemand zal in slavernij of horigheid gehouden worden.
human_rights_un_dut_aw_64kb_0024	Slavernij enslavenhandel in iedere vorm zijn verboden.
human_rights_un_dut_aw_64kb_0025	Artikel 5
human_rights_un_dut_aw_64kb_0026	Niemand zal onderworpen worden aan folteringen, noch aan een wrede,onmenselijke of onterende behandeling of bestraffing.
human_rights_un_dut_aw_64kb_0027	Artikel 6
human_rights_un_dut_aw_64kb_0028	Een ieder heeft, waar hij zich ook bevindt, het recht als persoon erkend teworden voor de wet.
human_rights_un_dut_aw_64kb_0029	Artikel 7
human_rights_un_dut_aw_64kb_0030	Allen zijn gelijk voor de wet en hebben zonder onderscheid aanspraak op gelijkebescherming door de wet.
human_rights_un_dut_aw_64kb_0031	Allen hebben aanspraak op gelijke bescherming tegeniedere achterstelling in strijd met deze Verklaring en tegen iedere ophitsing tot eendergelijke achterstelling.
human_rights_un_dut_aw_64kb_0032	Artikel 8
human_rights_un_dut_aw_64kb_0033	Een ieder heeft recht op daadwerkelijke rechtshulp van bevoegde nationalerechterlijke instanties tegen handelingen, welke in strijd zijn met de grondrechtenhem toegekend bij Grondwet of wet.
human_rights_un_dut_aw_64kb_0034	Artikel 9
human_rights_un_dut_aw_64kb_0035	Niemand zal onderworpen worden aan willekeurige arrestatie, detentie ofverbanning.
human_rights_un_dut_aw_64kb_0036	Artikel 10
human_rights_un_dut_aw_64kb_0037	Een ieder heeft, in volle gelijkheid, recht op een eerlijke en openbarebehandeling van zijn zaak door een onafhankelijke en onpartijdige rechterlijkeinstantie bij het vaststellen van zijn rechten en verplichtingen en bij het bepalenvan de gegrondheid van een tegen hem ingestelde strafvervolging.
human_rights_un_dut_aw_64kb_0038	Artikel 11
human_rights_un_dut_aw_64kb_0039	1.
