human_rights_un_eo_ac_64kb_0001	Universala Deklaracio de Homaj Rajtoj
human_rights_un_eo_ac_64kb_0002	Adoptita kaj proklamita de Rezolucio 217 A (III) de la Ĝenerala Asembleo, 10an de decembro 1948
human_rights_un_eo_ac_64kb_0003	Antaŭkonsideroj
human_rights_un_eo_ac_64kb_0004	Pro tio, ke agnosko de la esenca digno kaj de la egalaj kaj nefordoneblaj rajtoj de ĉiuj membroj de la homara familio estas la fundamento de libero, justo kaj paco en la mondo,
human_rights_un_eo_ac_64kb_0005	Pro tio, ke malagnosko kaj malestimo de la homaj rajtoj rezultigis barbarajn agojn, kiuj forte ofendis la konsciencon de la homaro, kaj ke la efektiviĝo de tia mondo, en kiu la homoj ĝuos liberecon de parolo kaj de kredo kaj liberiĝon el timo kaj bezono, estas proklamita kiel la plej alta aspiro de ordinaraj homoj,
human_rights_un_eo_ac_64kb_0006	Pro tio, ke nepre necesas, se la homoj ne estu devigitaj, sen alia elektebla vojo, ribeli kontraŭ tiranismo kaj subpremo, ke la homaj rajtoj estu protektataj de la leĝo,
human_rights_un_eo_ac_64kb_0007	Pro tio, ke nepre necesas evoluigi amikajn rilatojn inter la nacioj,
human_rights_un_eo_ac_64kb_0008	Pro tio, ke la popoloj de Unuiĝintaj Nacioj en la Ĉarto reasertis sian firman kredon je la fundamentaj homaj rajtoj, je la digno kaj valoro de la homa personeco kaj je la egalaj rajtoj de viroj kaj virinoj, kaj firme decidis antaŭenigi socian progreson kaj pli altnivelan vivon en pli granda libereco,
human_rights_un_eo_ac_64kb_0009	Pro tio, ke la Ŝtatoj-Membroj sin devigis atingi, en kunlaboro kun Unuiĝintaj Nacioj, la antaŭenigon de universala respekto al kaj observado de la homaj rajtoj kaj fundamentaj liberecoj,
human_rights_un_eo_ac_64kb_0010	Pro tio, ke komuna kompreno pri tiuj ĉi rajtoj kaj liberecoj estas esence grava por plena realigo de tiu sindevigo,
human_rights_un_eo_ac_64kb_0011	Tial, nun,
