human_rights_un_far_pm_64kb_0001	HEIMSYVIRLÝSING UM MANNARÆTTINDI
human_rights_un_far_pm_64kb_0002	INNGANGUR
human_rights_un_far_pm_64kb_0003	Tað verður at viðurkenna, at menniskjuni er virðing íborin, og at allir limir mannaættarinnar eiga somu ómissiligu rættindi, og hetta er støðið undir frælsi, rættvísi og friði í heiminum.
human_rights_un_far_pm_64kb_0004	Har sum mannarættindini hava verið fyri vanbýti og vanvirðing, hevur tað havt við sær ræðuligar gerðir, sum hava skakað samvitsku mannaættarinnar, og ein heimskipan, har sum fólk nýtur talu- og trúarfrælsi og frælsi frá ótta og neyð, hevur verið boðað sum menniskjunar hægsta mið og mál.
human_rights_un_far_pm_64kb_0005	Tað varðar almikið um, mannarættindi verða vard við lógum, um fólk ikki skal verða noytt til sum evstu ráð at taka til uppreistur móti harðræði og kúgan.
human_rights_un_far_pm_64kb_0006	Tað varðar almikið um at elva og stimbra vinalag tióðanna millum.
human_rights_un_far_pm_64kb_0007	Í sáttmáala sínum hava Sameindu Tjóðirnar av nýggjum váttað trúgv sína á undirstøðulig mannarættindi, á sóma menniskjans og virði, og á javnrættindi fyri kvinnur og menn, og tær hava rátt av at fremja framburð í almannamálum og bøta um lívskor manna í alt meiri frælsi.
human_rights_un_far_pm_64kb_0008	Limaríkini hava skyldubundið seg til, í samvinnu við Sameindu Tjóðirnar, at virka fyri at fáa framt, at mannarættindini og undirstøðilig frælsisrættindi verða alment vird og hildin.
human_rights_un_far_pm_64kb_0009	Tað at allir partar skilja hesi rættindi og frælsi er fremsta treytin fyri, at henda skylda verður framd út í æsur.
human_rights_un_far_pm_64kb_0010	Tess vegna bjóðar
human_rights_un_far_pm_64kb_0011	AÐALFUNDURIN
human_rights_un_far_pm_64kb_0012	Hesa heimsyvirlýsing um mannarættindi sum felags mið fyri øll fólk og allar tjóðir við tí endamáli, at hvør einstakur og hvør samfelagsstovnur alsamt við hesi yvirlýsing í huga skal stremba fyri við frálæru og uppaling at fremja virðing fyri hesum rættindum og frælsismálum og við framsøknum atgerðum innanlands og millumlanda at tryggja, at tey verða viðurkend og hildin allastðni á munagóðan hátt, bæði í fólkinum í limaríkjunum og í fólkinum í teimum londum, sum eru innan løgdømi teirra.
human_rights_un_far_pm_64kb_0013	1.
human_rights_un_far_pm_64kb_0014	grein
human_rights_un_far_pm_64kb_0015	Øll menniskju eru fødd fræls og jøvn til virðingar og mannarættindi.
human_rights_un_far_pm_64kb_0016	Tey hava skil og samvitsku og eiga at fara hvørt um annað í bróðuranda.
human_rights_un_far_pm_64kb_0017	2.
human_rights_un_far_pm_64kb_0018	grein
human_rights_un_far_pm_64kb_0019	Øll hava krav um rættindi og frælsi, sum eru nevdn í hesi yvirlýsing, uttan mun til ættarslag (rasu), húðarlit, kyn, mál, átrúnað, politiska ella aðra sannføring, tjóðskaparligan ella samfelagsligan uppruna, ognarviðurskifti, føðing ella aðra støðu.
human_rights_un_far_pm_64kb_0020	Somuleiðis skal eingin mismunur vera orsakað av politiskari, rættarligari ella millumtjóða støðu hjá tí landi, sum ein persónur hoyrir til, sama um landið er sjálvstøðugt, undir tilsjónarvaldi, ella fullveldi tess á annan hátt er skert.
human_rights_un_far_pm_64kb_0021	3.
human_rights_un_far_pm_64kb_0022	grein
human_rights_un_far_pm_64kb_0023	Ein og hvør hevur rætt til lív, frælsi og persónliga trygd.
human_rights_un_far_pm_64kb_0024	4.
human_rights_un_far_pm_64kb_0025	grein
human_rights_un_far_pm_64kb_0026	Eingin skal liva í trældómi ella trælkan;
human_rights_un_far_pm_64kb_0027	trældómur og trælahandil av øllum slag skulu verða bannað.
human_rights_un_far_pm_64kb_0028	5.
human_rights_un_far_pm_64kb_0029	grein
