human_rights_un_frn_gyz_64kb_0001	Déclaration universelle des droits de l’homme
human_rights_un_frn_gyz_64kb_0002	Préambule
human_rights_un_frn_gyz_64kb_0003	Considérant que la reconnaissance de la dignité inhérente à tous les membres de la famille humaine et de leurs droits égaux et inaliénables constitue le fondement de la liberté, de la justice et de la paix dans le monde,
human_rights_un_frn_gyz_64kb_0004	Considérant que la méconnaissance et le mépris des droits de l’homme ont conduit à des actes de barbarie qui révoltent la conscience de l’humanité et que l’avènement d’un monde où les êtres humains seront libres de parler et de croire, libérés de la terreur et de la misère, a été proclamé comme la plus haute aspiration de l’homme,
human_rights_un_frn_gyz_64kb_0005	Considérant qu’il est essentiel que les droits de l’homme soient protégés par un régime de droit pour que l’homme ne soit pas contraint, en suprême recours, à la révolte contre la tyrannie et l’oppression,
human_rights_un_frn_gyz_64kb_0006	Considérant qu’il est essentiel d’encourager le développement de relations amicales entre nations,
human_rights_un_frn_gyz_64kb_0007	Considérant que dans la Charte les peuples des Nations Unies ont proclamé à nouveau leur foi dans les droits fondamentaux de l’homme, dans la dignité et la valeur de la personne humaine, dans l’égalité des droits des hommes et des femmes, et qu’ils se sont déclarés résolus à favoriser le progrès social et à instaurer de meilleures conditions de vie dans une liberté plus grande,
human_rights_un_frn_gyz_64kb_0008	Considérant que les États Membres se sont engagés à assurer, en coopération avec l’Organisation des Nations Unies, le respect universel et effectif des droits de l’homme et des libertés fondamentales,
human_rights_un_frn_gyz_64kb_0009	Considérant qu’une conception commune de ces droits et libertés est de la plus haute importance pour remplir pleinement cet engagement,
human_rights_un_frn_gyz_64kb_0010	L’Assemblée générale
human_rights_un_frn_gyz_64kb_0011	Proclame la présente Déclaration universelle des droits de l’homme comme l’idéal commun à atteindre par tous les peuples et toutes les nations afin que tous les individus et tous les organes de la société, ayant cette Déclaration constamment à l’esprit, s’efforcent, par l’enseignement et l’éducation, de développer le respect de ces droits et libertés et d’en assurer, par des mesures progressives d’ordre national et international, la reconnaissance et l’application universelles et effectives, tant parmi les populations des États Membres eux‐mêmes que parmi celles des territoires placés sous leur juridiction.
human_rights_un_frn_gyz_64kb_0012	Article premier
human_rights_un_frn_gyz_64kb_0013	Tous les êtres humains naissent libres et égaux en dignité et en droits.
human_rights_un_frn_gyz_64kb_0014	Ils sont doués de raison et de conscience et doivent agir les uns envers les autres dans un esprit de fraternité.
human_rights_un_frn_gyz_64kb_0015	Article 2
human_rights_un_frn_gyz_64kb_0016	Chacun peut se prévaloir de tous les droits et de toutes les libertés proclamés dans la présente Déclaration, sans distinction aucune, notamment de race, de couleur, de sexe, de langue, de religion, d’opinion politique ou de toute autre opinion, d’origine nationale ou sociale, de fortune, de naissance ou de toute autre situation.
human_rights_un_frn_gyz_64kb_0017	De plus, il ne sera fait aucune distinction fondée sur le statut politique, juridique ou international du pays ou du territoire dont une personne est ressortissante, que ce pays ou territoire soit indépendant, sous tutelle, non autonome ou soumis à une limitation quelconque de souveraineté.
human_rights_un_frn_gyz_64kb_0018	Article 3
human_rights_un_frn_gyz_64kb_0019	Tout individu a droit à la vie, à la liberté et à la sûreté de sa personne.
human_rights_un_frn_gyz_64kb_0020	Article 4
human_rights_un_frn_gyz_64kb_0021	Nul ne sera tenu en esclavage ni en servitude;
human_rights_un_frn_gyz_64kb_0022	l’esclavage et la traite des esclaves sont interdits sous toutes leurs formes.
human_rights_un_frn_gyz_64kb_0023	Article 5
human_rights_un_frn_gyz_64kb_0024	Nul ne sera soumis à la torture, ni à des peines ou traitements cruels, inhumains ou dégradants.
human_rights_un_frn_gyz_64kb_0025	Article 6
human_rights_un_frn_gyz_64kb_0026	Chacun a le droit à la reconnaissance en tous lieux de sa personnalité juridique.
human_rights_un_frn_gyz_64kb_0027	Article 7
human_rights_un_frn_gyz_64kb_0028	Tous sont égaux devant la loi et ont droit sans distinction à une égale protection de la loi.
human_rights_un_frn_gyz_64kb_0029	Tous ont droit à une protection égale contre toute discrimination qui violerait la présente Déclaration et contre toute provocation à une telle discrimination.
human_rights_un_frn_gyz_64kb_0030	Article 8
human_rights_un_frn_gyz_64kb_0031	Toute personne a droit à un recours effectif devant les juridictions nationales compétentes contre les actes violant les droits fondamentaux qui lui sont reconnus par la constitution ou par la loi.
human_rights_un_frn_gyz_64kb_0032	Article 9
human_rights_un_frn_gyz_64kb_0033	Nul ne peut être arbitrairement arrêté, détenu ni exilé.
human_rights_un_frn_gyz_64kb_0034	Article 10
human_rights_un_frn_gyz_64kb_0035	Toute personne a droit, en pleine égalité, à ce que sa cause soit entendue équitablement et publiquement par un tribunal indépendant et impartial, qui décidera, soit de ses droits et obligations, soit du bien fondé de toute accusation en matière pénale dirigée contre elle.
human_rights_un_frn_gyz_64kb_0036	Article 11
human_rights_un_frn_gyz_64kb_0037	Toute personne accusée d’un acte délictueux est présumée innocente jusqu’à ce que sa culpabilité ait été légalement établie au cours d’un procès public où toutes les garanties nécessaires à sa défense lui auront été assurées.
human_rights_un_frn_gyz_64kb_0038	Nul ne sera condamné pour des actions ou omissions qui, au moment où elles ont été commises, ne constituaient pas un acte délictueux d’après le droit national ou international.
human_rights_un_frn_gyz_64kb_0039	De même, il ne sera infligé aucune peine plus forte que celle qui était applicable au moment où l’acte délictueux a été commis.
human_rights_un_frn_gyz_64kb_0040	Article 12
human_rights_un_frn_gyz_64kb_0041	Nul ne sera l’objet d’immixtions arbitraires dans sa vie privée, sa famille, son domicile ou sa correspondance, ni d’atteintes à son honneur et à sa réputation.
human_rights_un_frn_gyz_64kb_0042	Toute personne a droit à la protection de la loi contre de telles immixtions ou de telles atteintes.
human_rights_un_frn_gyz_64kb_0043	Article 13
human_rights_un_frn_gyz_64kb_0044	Toute personne a le droit de circuler librement et de choisir sa résidence à l’intérieur d’un État.
human_rights_un_frn_gyz_64kb_0045	Toute personne a le droit de quitter tout pays, y compris le sien, et de revenir dans son pays.
human_rights_un_frn_gyz_64kb_0046	Article 14
human_rights_un_frn_gyz_64kb_0047	Devant la persécution, toute personne a le droit de chercher asile et de bénéficier de l’asile en d’autres pays.
human_rights_un_frn_gyz_64kb_0048	Ce droit ne peut être invoqué dans le cas de poursuites réellement fondées sur un crime de droit commun ou sur des agissements contraires aux buts et aux principes des Nations Unies.
