human_rights_un_ger_robu_64kb_0001	Die Allgemeine Erklärung der Menschenrechte
human_rights_un_ger_robu_64kb_0002	Resolution 217 A (III) vom 10.
human_rights_un_ger_robu_64kb_0003	12.
human_rights_un_ger_robu_64kb_0004	1948
human_rights_un_ger_robu_64kb_0005	Präambel
human_rights_un_ger_robu_64kb_0006	Da die Anerkennung der angeborenen Würde und der gleichen und unveräußerlichen Rechte aller Mitglieder der Gemeinschaft der Menschen die Grundlage von Freiheit, Gerechtigkeit und Frieden in der Welt bildet,da die Nichtanerkennung und Verachtung der Menschenrechte zu Akten der Barbarei geführt haben, die das Gewissen der Menschheit mit Empörung erfüllen, und da verkündet worden ist, dass einer Welt, in der die Menschen Rede‐ und Glaubensfreiheit und Freiheit von Furcht und Not genießen, das höchste Streben des Menschen gilt,da es notwendig ist, die Menschenrechte durch die Herrschaft des Rechtes zu schützen, damit der Mensch nicht gezwungen wird, als letztes Mittel zum Aufstand gegen Tyrannei und Unterdrückung zu greifen,da es notwendig ist, die Entwicklung freundschaftlicher Beziehungen zwischen den Nationen zu fördern,da die Völker der Vereinten Nationen in der Charta ihren Glauben an die grundlegenden Menschenrechte, an die Würde und den Wert der menschlichen Person und an die Gleichberechtigung von Mann und Frau erneut bekräftigt und beschlossen haben, den sozialen Fortschritt und bessere Lebensbedingungen in größerer Freiheit zu fördern,da die Mitgliedstaaten sich verpflichtet haben, in Zusammenarbeit mit den Vereinten Nationen auf die allgemeine Achtung und Einhaltung der Menschenrechte und Grundfreiheiten hinzuwirken,da ein gemeinsames Verständnis dieser Rechte und Freiheiten von größter Wichtigkeit für die volle Erfüllung dieser Verpflichtung ist,verkündet die Generalversammlungdiese Allgemeine Erklärung der Menschenrechte als das von allen Völkern und Nationen zu erreichende gemeinsame Ideal, damit jeder einzelne und alle Organe der Gesellschaft sich diese Erklärung stets gegenwärtig halten und sich bemühen, durch Unterricht und Erziehung die Achtung vor diesen Rechten und Freiheiten zu fördern und durch fortschreitende nationale und internationale Maßnahmen ihre allgemeine und tatsächliche Anerkennung und Einhaltung durch die Bevölkerung der Mitgliedstaaten selbst wie auch durch die Bevölkerung der ihrer Hoheitsgewalt unterstehenden Gebiete zu gewährleisten.
human_rights_un_ger_robu_64kb_0007	Artikel 1
human_rights_un_ger_robu_64kb_0008	Alle Menschen sind frei und gleich an Würde und Rechten geboren.
human_rights_un_ger_robu_64kb_0009	Sie sind mit Vernunft und Gewissen begabt und sollen einander im Geist der Brüderlichkeit begegnen.
human_rights_un_ger_robu_64kb_0010	Artikel 2
human_rights_un_ger_robu_64kb_0011	Jeder hat Anspruch auf die in dieser Erklärung verkündeten Rechte und Freiheiten ohne irgendeinen Unterschied, etwa nach Rasse, Hautfarbe, Geschlecht, Sprache, Religion, politischer oder sonstiger Überzeugung, nationaler oder sozialer Herkunft, Vermögen, Geburt oder sonstigem Stand.
human_rights_un_ger_robu_64kb_0012	Des Weiteren darf kein Unterschied gemacht werden auf Grund der politischen, rechtlichen oder internationalen Stellung des Landes oder Gebiets, dem eine Person angehört, gleichgültig ob dieses unabhängig ist, unter Treuhandschaft steht, keine Selbstregierung besitzt oder sonst in seiner Souveränität eingeschränkt ist.
human_rights_un_ger_robu_64kb_0013	Artikel 3
human_rights_un_ger_robu_64kb_0014	Jeder hat das Recht auf Leben, Freiheit und Sicherheit der Person.
human_rights_un_ger_robu_64kb_0015	Artikel 4
human_rights_un_ger_robu_64kb_0016	Niemand darf in Sklaverei oder Leibeigenschaft gehalten werden;
human_rights_un_ger_robu_64kb_0017	Sklaverei und Sklavenhandel sind in allen ihren Formen verboten.
human_rights_un_ger_robu_64kb_0018	Artikel 5
human_rights_un_ger_robu_64kb_0019	Niemand darf der Folter oder grausamer, unmenschlicher oder erniedrigender Behandlung oder Strafe unterworfen werden.
human_rights_un_ger_robu_64kb_0020	Artikel 6
human_rights_un_ger_robu_64kb_0021	Jeder hat das Recht, überall als rechtsfähig anerkannt zu werden.
human_rights_un_ger_robu_64kb_0022	Artikel 7
human_rights_un_ger_robu_64kb_0023	Alle Menschen sind vor dem Gesetz gleich und haben ohne Unterschied Anspruch auf gleichen Schutz durch das Gesetz.
human_rights_un_ger_robu_64kb_0024	Alle haben Anspruch auf gleichen Schutz gegen jede Diskriminierung, die gegen diese Erklärung verstößt, und gegen jede Aufhetzung zu einer derartigen Diskriminierung.
human_rights_un_ger_robu_64kb_0025	Artikel 8
human_rights_un_ger_robu_64kb_0026	Jeder hat Anspruch auf einen wirksamen Rechtsbehelf bei den zuständigen innerstaatlichen Gerichten gegen Handlungen, durch die seine ihm nach der Verfassung oder nach dem Gesetz zustehenden Grundrechte verletzt werden.
human_rights_un_ger_robu_64kb_0027	Artikel 9
human_rights_un_ger_robu_64kb_0028	Niemand darf willkürlich festgenommen, in Haft gehalten oder des Landes verwiesen werden.
human_rights_un_ger_robu_64kb_0029	Artikel 10
human_rights_un_ger_robu_64kb_0030	Jeder hat bei der Feststellung seiner Rechte und Pflichten sowie bei einer gegen ihn erhobenen strafrechtlichen Beschuldigung in voller Gleichheit Anspruch auf ein gerechtes und öffentliches Verfahren vor einem unabhängigen und unparteiischen Gericht.
human_rights_un_ger_robu_64kb_0031	Artikel 11
human_rights_un_ger_robu_64kb_0032	Jeder, der wegen einer strafbaren Handlung beschuldigt wird, hat das Recht, als unschuldig zu gelten, solange seine Schuld nicht in einem öffentlichen Verfahren, in dem er alle für seine Verteidigung notwendigen Garantien gehabt hat, gemäß dem Gesetz nachgewiesen ist.
human_rights_un_ger_robu_64kb_0033	Niemand darf wegen einer Handlung oder Unterlassung verurteilt werden, die zur Zeit ihrer Begehung nach innerstaatlichem oder internationalem Recht nicht strafbar war.
human_rights_un_ger_robu_64kb_0034	Ebenso darf keine schwerere Strafe als die zum Zeitpunkt der Begehung der strafbaren Handlung angedrohte Strafe verhängt werden.
human_rights_un_ger_robu_64kb_0035	Artikel 12
