human_rights_un_heb_ab_64kb_0001	הכרזה לכל באי עולם בדבר זכויות האדם
human_rights_un_heb_ab_64kb_0002	הואיל והכרה בכבוד הטבעי אשר לכל בני משפהת האדם ובזכויותיהם השוות והבלתי נפקעות הוא יסוד החופש, הצדק והשלום בעולם.
human_rights_un_heb_ab_64kb_0003	הואיל והזלזול בזכויות האדם וביזוין הבשילו מעשים פראיים שפגעו קשה במצפונה של האנושות;
human_rights_un_heb_ab_64kb_0004	ובנין עולם, שבו ייהנו כל יצורי אנוש מחירות הדיבור והאמונה ומן החירות מפחד וממחסור, הוכרז כראש שאיפותיו של כל אדם.
human_rights_un_heb_ab_64kb_0005	הואיל והכרח חיוני הוא שזכויות האדם תהיינה מוגנות בכוח שלטונו של החוק, שלא יהא האדם אנוס, כמפלט אחרון, להשליך את יהבו על מרידה בעריצות ובדיכזי.
human_rights_un_heb_ab_64kb_0006	הואיל והכרח חיוני הוא לקדם את התפתחותם של יחסי ידידות בין האומות.
human_rights_un_heb_ab_64kb_0007	הואיל והעמים המאוגדים בארגון האומות המאוחדות חזרו ואישרו במגילה את אמונתם בזכויות היסוד של האדם, בכבודה ובערכה של אישיותו ובזכות שווה לגבר ולאשה;
human_rights_un_heb_ab_64kb_0008	ומנוי וגמור אתם לסייע לקדמה חברתית ולהעלאת רמת החיים בתוך יתר חירות.
human_rights_un_heb_ab_64kb_0009	הואיל והמדינות החברות התחייבו לפעול, בשיתוף עם ארגון האומות המאוחדות, לטיפול יחס כבוד כללי אל זכויות האדם ואל חירויות היסוד והקפדה על קיומן.
human_rights_un_heb_ab_64kb_0010	הואיל והבנה משותפת במהותן של זכויות וחירויות אלה הוא תנאי חשוב לקיומה השלם של התחייבות זו.
human_rights_un_heb_ab_64kb_0011	לפיכך מכריזש העצרת באזני כל באי העולם את ההכרזש הזאת בדבר זכויות האדם כרמת הישגים כללית לכל העמים והאומות, כדי שכל יחיד וכל גוף חברתי ישווה תמיד לנגד עיניו וישאף לטפח, דרך לימוד וחינוך, יחס של כבוד אל הזכויות ואל החירויות הללו, ולהבטיח באמצעים הדרגתיים, לאומיים ובינלאומיים, שההכרה בעקרונות אלה וההקפדה עליהם תהא כללית ויעילה בקרב אוכלוסי המדינות החברות ובקרב האוכלוסים שבארצות שיפוטם.
human_rights_un_heb_ab_64kb_0012	סעיף א.
human_rights_un_heb_ab_64kb_0013	כל בני אדם נולדו בני חורין ושווים בערכם ובזכויותיהם.
human_rights_un_heb_ab_64kb_0014	כולם חוננו בתבונה ובמצפון, לפיכך חובה עליהם לנהוג איש ברעהו ברוח של אחוה.
human_rights_un_heb_ab_64kb_0015	סעיף ב.
human_rights_un_heb_ab_64kb_0016	כל אדם זכאי לזכויות ולחרויות שנקבעו בהכרזש זו ללא הפליה כלשהיא מטעמי גזע, צבע, מין, לשון, דח, דעה פוליטית או דעה בבעיות אחרות, בגלל מוצא לאומי או חברתי, קנין, לידה או מעמד אחר.
human_rights_un_heb_ab_64kb_0017	גדולה מזו, לא יופלה אדם על פי מעמדה המדיני, על פי סמכותה או על פי מעמדה הבינלאומי של המדינה או הארץ שאליה הוא שייך, דין שהארץ היא עצמאית, ובין שהיא נתונה לנאמנות, בין שהיא נטולת שלטון עצמי ובין שריבונותה מוגבלת כל הגבלה אחרת.
human_rights_un_heb_ab_64kb_0018	סעיף ג.
human_rights_un_heb_ab_64kb_0019	כל אדם יש לו הזכות לחיים, לחרות ולבטחון אישי.
human_rights_un_heb_ab_64kb_0020	סעיף ד.
human_rights_un_heb_ab_64kb_0021	לא יהיה אדם עבד או משועבד;
human_rights_un_heb_ab_64kb_0022	עבדות וסחר עבדים יאסרו לכל צורותיהם.
human_rights_un_heb_ab_64kb_0023	סעיף ה.
human_rights_un_heb_ab_64kb_0024	לא יהיה אדם נתון לעינויים, ולא ליחס או לעונש אכזריים, בלתי אנושיים או משפילים.
human_rights_un_heb_ab_64kb_0025	סעיף ו.
human_rights_un_heb_ab_64kb_0026	כל אדם זכאי להיות מוכר בכל מקום כאשיות בפני החוק.
human_rights_un_heb_ab_64kb_0027	סעיף ז.
human_rights_un_heb_ab_64kb_0028	הכל שווים לפני החוק וזכזאים ללא הפליה להגנה שווה של החוק.
human_rights_un_heb_ab_64kb_0029	הכל זכאים להגנה שווה מפני כל הפליה המפירה את מצוות ההכרזש הזאת ומפני כל הסתה להפליה כזו.
human_rights_un_heb_ab_64kb_0030	סעיף ח.
human_rights_un_heb_ab_64kb_0031	כל אחד זכאי לתקנה יעילה מטעם בחי הדין הלאומיים המוסמכים נגד מעשים המפירים את זכויות היסוד שניתנו לו על פי החוקה והחוקים.
human_rights_un_heb_ab_64kb_0032	סעיף ט.
human_rights_un_heb_ab_64kb_0033	לא ייאסר אדם, לא ייעצר ולא יוגלה באופן שרירותי.
human_rights_un_heb_ab_64kb_0034	סעיף י.
human_rights_un_heb_ab_64kb_0035	כל אדם זכאי, מתוך שויון גמור עם זולתו, למשפט הוגן ופומבי של בית-דין כלתי תלוי וללא משוא פנים בשעה שבאים לקבוע זכויותיו וחובותיו ולברר כל אשמה פלילית שהובאה נגדו.
human_rights_un_heb_ab_64kb_0036	סעיף יא.
human_rights_un_heb_ab_64kb_0037	אדם שנאשם בעבירה פלילית חזקתו שהוא זכאי, עד שלא הוכחה אשמתו כחוק במשפט פומבי שבי ניתנו לו כל הערובות הדרושות להגנתו.
human_rights_un_heb_ab_64kb_0038	לא יורשע אדם בעבירה פלילית על מעשה או על הזנחה שלא נחשבו בשעתם לעבירה פלילית לפי החוק הלאומי או הבינלאומי.
human_rights_un_heb_ab_64kb_0039	לא יוטל עונש חמור מהעונש שהיה נוהג בזמן שעבר את העבירה הפלילית.
human_rights_un_heb_ab_64kb_0040	סעיף יב.
human_rights_un_heb_ab_64kb_0041	לא יהא אדם נתון להתערבות שרירותית בחייו הפרטיים, במשפחתו, במעונו, בחליפת מכתבים שלו ולא לפגיעה בכבודו או בשמו הפוב.
human_rights_un_heb_ab_64kb_0042	כל אדם זכאי להגנת החוק בפני התערבות או פגיעה באלה.
human_rights_un_heb_ab_64kb_0043	סעיף יג.
human_rights_un_heb_ab_64kb_0044	כל אדם זכאי לחופש תנועה ומגורים בתוך כל מדיוה.
human_rights_un_heb_ab_64kb_0045	כל אדם זכאי לעזוב כל ארץ, לרבות ארצו, ולחזור אל ארצו.
human_rights_un_heb_ab_64kb_0046	סעיף יד.
human_rights_un_heb_ab_64kb_0047	כל אדם זכאי לבקש ולמצוא בארצות אחרות מקלט מרדיפות.
