hun_0001	Az Emberi Jogok Egyetemes Nyilatkozata
hun_0002	Bevezető
hun_0003	Tekintettel arra, hogy az emberiség családja minden egyes tagja méltóságának, valamintegyenlő és elidegeníthetetlen jogainak elismerése alkotja a szabadság, az igazság és abéke alapját a világon,
hun_0004	Tekintettel arra, hogy az emberi jogok el nem ismerése és semmibevevése az emberiséglelkiismeretét fellázító barbár cselekményekhez vezetett, és hogy az ember legfőbb vágyaegy olyan világ eljövetele, amelyben az elnyomástól, valamint a nyomortól megszabadultemberi lények szava és meggyőződése szabad lesz,
hun_0005	Tekintettel annak fontosságára, hogy az emberi jogokat a jog uralma védelmezze, nehogyaz ember végső szükségében a zsarnokság és az elnyomás elleni lázadásra kényszerüljön,
hun_0006	Tekintettel arra, hogy igen lényeges a nemzetek közötti baráti kapcsolatok kifejeződésénekelőmozdítása,
hun_0007	Tekintettel arra, hogy az Alapokmányban az Egyesült Nemzetek népei újból hitet tettek azalapvető emberi jogok, az emberi személyiség méltósága és értéke, a férfiak és nőkegyenjogúsága mellett, valamint kinyilvánították azt az elhatározásukat, hogy elősegítik aszociális haladást és nagyobb szabadság mellett jobb életfeltételeket valósítanak meg,
hun_0008	Tekintettel arra, hogy a tagállamok kötelezték magukat arra, hogy az Egyesült Nemzetek
hun_0009	Szervezetével együttműködve biztosítják az emberi jogok és alapvető szabadságokáltalános és tényleges tiszteletbentartását,
hun_0010	Tekintettel arra, hogy a jogok és szabadságok mibenléte tekintetében közös felfogáskialakításának a legnagyobb jelentősége van az említett kötelezettség maradéktalanteljesítésének szempontjábóla közgyűlés kinyilvánítja  az emberi jogok egyetemleges nyilatkozatátmint azt a közös eszményt, amelynek elérésére minden népnek ésminden nemzetnek törekednie kell abból a célból, hogy minden személyés a társadalom minden szerve, állandóan szem előtt tartva a jelen
hun_0011	Nyilatkozatot, oktatás és nevelés útján előmozdítsa e jogok ésszabadságok tiszteletbentartásának kifejlesztését, valamint azoknakfokozatosan megvalósuló hazai és nemzetközi jogszabályok útján történőáltalános és tényleges alkalmazását és elismerését mind a tagállamoknépei között, mind pedig a joghatóságuk alatt álló területek népei között.
hun_0012	1.
hun_0013	cikk
hun_0014	Minden.
hun_0015	emberi lény szabadon születik és egyenlő méltósága és joga van.
hun_0016	Az emberek,ésszel és lelkiismerettel bírván, egymással szemben testvéri szellemben kell hogyviseltessenek.
hun_0017	2.
hun_0018	cikk
hun_0019	Mindenki, bármely megkülönböztetésre, nevezetesen fajra, színre, nemre, nyelvre, vallásra,politikai vagy bármely más véleményre, nemzeti vagy társadalmi eredetre, vagyonra,születésre, vagy bármely más körülményre való tekintet nélkül hivatkozhat a jelen
hun_0020	Nyilatkozatban kinyilvánított összes jogokra és szabadságokra.
hun_0021	Ezenfelül nem lehet semmiféle megkülönböztetést tenni annak az országnak, vagyterületnek politikai, jogi vagy nemzetközi helyzete alapján sem, amelynek a személyállampolgára, aszerint, hogy az illető ország vagy terület független, gyámság alatt áll, nemautonóm vagy szuverenitása bármely vonatkozásban korlátozott.
hun_0022	3.
hun_0023	cikk
