human_rights_un_inz_mb_64kb_0001	Pernyataan Umum tentang Hak-Hak Asasi Manusia
human_rights_un_inz_mb_64kb_0002	Mukadimah
human_rights_un_inz_mb_64kb_0003	Menimbang bahwa pengakuan atas martabat alamiah dan hak-hak yang sama dan mutlak dari semua anggota keluarga manusia adalah dasar kemerdekaan, keadilan dan perdamaian di dunia,
human_rights_un_inz_mb_64kb_0004	Menimbang bahwa mengabaikan dan memandang rendah hak-hak asasi manusia telah mengakibatkan perbuatan-perbuatan bengis yang menimbulkan rasa kemarahan hati nurani umat manusia, dan terbentuknya suatu dunia tempat manusia akan mengecap kenikmatan kebebasan berbicara dan beragama serta kebebasan dari ketakutan dan kekurangan telah dinyatakan sebagai cita-cita tertinggi dari rakyat biasa,
human_rights_un_inz_mb_64kb_0005	Menimbang bahwa hak-hak asasi manusia perlu dilindungi oleh peraturan hukum supaya orang tidak akan terpaksa memilih pemberontakan sebagai usaha terakhir guna menentang kelaliman dan penindasan,
human_rights_un_inz_mb_64kb_0006	Menimbang bahwa pembangunan hubungan persahabatan antara negara-negara perlu digalakkan,
human_rights_un_inz_mb_64kb_0007	Menimbang bahwa bangsa-bangsa dari Perserikatan Bangsa-Bangsa sekali lagi telah menyatakan di dalam Piagam Perserikatan Bangsa-Bangsa kepercayaan mereka akan hak-hak dasar dari manusia, akan martabat dan nilai seseorang manusia dan akan hak-hak yang sama dari pria maupun wanita, dan telah bertekad untuk menggalakkan kemajuan sosial dan taraf hidup yang lebih baik di dalam kemerdekaan yang lebih luas,
human_rights_un_inz_mb_64kb_0008	Menimbang bahwa Negara-Negara Anggota telah berjanji untuk mencapai kemajuan dalam penghargaan dan penghormatan umum terhadap hak-hak asasi manusia dan kebebasan-kebebasan asasi, dengan bekerjasama dengan Perserikatan Bangsa-Bangsa,
human_rights_un_inz_mb_64kb_0009	Menimbang bahwa pengertian umum tentang hak-hak dan kebebasan-kebebasan tersebut sangat penting untuk pelaksanaan yang sungguh-sungguh dari janji ini, maka,
human_rights_un_inz_mb_64kb_0010	Majelis Umum dengan ini memproklamasikan
human_rights_un_inz_mb_64kb_0011	Pernyataan Umum tentang Hak-Hak Asasi Manusiasebagai satu standar umum keberhasilan untuk semua bangsa dan semua negara, dengan tujuan agar setiap orang dan setiap badan dalam masyarakat dengan senantiasa mengingat Pernyataan ini, akan berusaha dengan jalan mengajar dan mendidik untuk menggalakkan penghargaan terhadap hak-hak dan kebebasan-kebebasan tersebut, dan dengan jalan tindakan-tindakan progresif yang bersifat nasional maupun internasional, menjamin pengakuan dan penghormatannya secara universal dan efektif, baik oleh bangsa-bangsa dari Negara-Negara Anggota sendiri maupun oleh bangsa-bangsa dari daerah-daerah yang berada di bawah kekuasaan hukum mereka.
human_rights_un_inz_mb_64kb_0012	Pasal 1
human_rights_un_inz_mb_64kb_0013	Semua orang dilahirkan merdeka dan mempunyai martabat dan hak-hak yang sama.
human_rights_un_inz_mb_64kb_0014	Mereka dikaruniai akal dan hati nurani dan hendaknya bergaul satu sama lain dalam semangat persaudaraan.
human_rights_un_inz_mb_64kb_0015	Pasal 2
human_rights_un_inz_mb_64kb_0016	Setiap orang berhak atas semua hak dan kebebasan-kebebasan yang tercantum di dalam Pernyataan ini tanpa perkecualian apapun, seperti ras, warna kulit, jenis kelamin, bahasa, agama, politik atau pendapat yang berlainan, asal mula kebangsaan atau kemasyarakatan, hak milik, kelahiran ataupun kedudukan lain.
human_rights_un_inz_mb_64kb_0017	Di samping itu, tidak diperbolehkan melakukan perbedaan atas dasar kedudukan politik, hukum atau kedudukan internasional dari negara atau daerah dari mana seseorang berasal, baik dari negara yang merdeka, yang berbentuk wilayah-wilayah perwalian, jajahan atau yang berada di bawah batasan kedaulatan yang lain.
human_rights_un_inz_mb_64kb_0018	Pasal 3
human_rights_un_inz_mb_64kb_0019	Setiap orang berhak atas penghidupan, kebebasan dan keselamatan individu.
human_rights_un_inz_mb_64kb_0020	Pasal 4
human_rights_un_inz_mb_64kb_0021	Tidak seorang pun boleh diperbudak atau diperhambakan, perbudakan dan perdagangan budak dalam bentuk apapun mesti dilarang.
human_rights_un_inz_mb_64kb_0022	Pasal 5
human_rights_un_inz_mb_64kb_0023	Tidak seorang pun boleh disiksa atau diperlakukan secara kejam, memperoleh perlakuan atau dihukum secara tidak manusiawi atau direndahkan martabatnya.
human_rights_un_inz_mb_64kb_0024	Pasal 6
human_rights_un_inz_mb_64kb_0025	Setiap orang berhak atas pengakuan di depan hukum sebagai pribadi di mana saja ia berada.
human_rights_un_inz_mb_64kb_0026	Pasal 7
human_rights_un_inz_mb_64kb_0027	Semua orang sama di depan hukum dan berhak atas perlindungan hukum yang sama tanpa diskriminasi.
human_rights_un_inz_mb_64kb_0028	Semua berhak atas perlindungan yang sama terhadap setiap bentuk diskriminasi yang bertentangan dengan Pernyataan ini dan terhadap segala hasutan yang mengarah pada diskriminasi semacam itu.
human_rights_un_inz_mb_64kb_0029	Pasal 8
