human_rights_un_jav_vu_64kb_0001	PRANYATAN UMUM NGENANI HAK-HAK ASASI (UMAT)
human_rights_un_jav_vu_64kb_0002	MANUNGSA
human_rights_un_jav_vu_64kb_0003	Saben umat manungsa lair kanthi hak-hak kang podho lan pinasthi lan kanthikabebasan-kabebasan ing bakuning angger-angger (wewaton = undang-undang).
human_rights_un_jav_vu_64kb_0004	Perserikatan Bangsa-Bangsa darbe komitmen (tekad nglaksanakakemaujude janji lan kasaguhane) kanggo junjung luhur, nggrengsengake lanngayomi hak-hak asasi umat manungsa marang saben pribadi (individu).
human_rights_un_jav_vu_64kb_0005	Komitmen kasebut ingayatan saka Piagam Perserikatan Bangsa-Bangsa kangnukulake kamantepaning kayakinan para bangsa sa-donya tumrap hak-hak asasiumat manungsa ing bakuning paugeran sarta tumrap martabat lan ajiningkamanungsan.
human_rights_un_jav_vu_64kb_0006	Ing Pranyatan Umum ngenani Hak-Hak (umat) Manungsa,
human_rights_un_jav_vu_64kb_0007	Perserikatan Bangsa-Bangsa nandhesake kanthi terwoco lan prasoja, hak-hakkang dadi darbeke saben uwong kanthi adil.
human_rights_un_jav_vu_64kb_0008	Hak-hak kasebut, nyata dadidarbekmu kabeh.
human_rights_un_jav_vu_64kb_0009	Kabeh mau, iyo hakmu.
human_rights_un_jav_vu_64kb_0010	Kenali lan pahamana hak-hakkasebut.
human_rights_un_jav_vu_64kb_0011	Supaya kasengkuyung mbiwarakake lan nglestarekake kanggopaugeran dhiri pribadhi sarto kanggo sapepadhane umat manungsa liyane.
human_rights_un_jav_vu_64kb_0012	PRANYATAN UMUM NGENANI HAK-HAK ASASI (UMAT) MANUNGSA
human_rights_un_jav_vu_64kb_0013	PAMBUKA / MUKADIMAH
human_rights_un_jav_vu_64kb_0014	MANIMBANG manowo ngakoni marang martabat alamiah sarta hak-hak kangpadha lan pinasthi ing saben warganing kulawarga umat manungsa, mujudakelandhesaning kamardikan, kaadilan sarta bedhamening donya.
human_rights_un_jav_vu_64kb_0015	MANIMBANG menawa nyingkur lan nganggep remeh hak-hak umat manungsabisa njalari tandang tanduk kasar lan wengis kang nuwuhake rasa runtik atineumat manungsa, lan kabangune donya dadi papaning umat manungsa bisangrasakake lan ngalami nikmating bebas medhar panemu lan bebas ngrasukagama sarta kalis saka rasa wedi lan was-sumelang sarta urip kacingkrangan,kapratelakake dadi pranyatan minangka dadi gegayuhan luhur sakabehing umatmanungsa lumrah (kawula alit).
human_rights_un_jav_vu_64kb_0016	MANIMBANG manawa hak-hak umat manungsa perlu antuk pangayoman kanthipranatan lan tatanan angger-angger (undang-undang), amrih saben uwong orakepeksa milih nglawan (mbrontak) minangka kupiyo kang pungkasan anggonengrekodaya kanggo nglawan marang tindak daksiya lan panjajahan.
human_rights_un_jav_vu_64kb_0017	MANIMBANG manawa mekaring pamerdi panggulowenthahing sambungpamitran ing antaraning para bangsa saben negara perlu lan wigatidirembakakake.
human_rights_un_jav_vu_64kb_0018	MANIMBANG manawa para bangsa ing Perserikatan Bangsa-Bangsa, ingsajroning Piagam Perserikatan Bangsa-Bangsa, wus padha mratelakake kanthitandhes anggone ngugemi marang hak-hak kang baku umat manungsa, marangmartabat lan ajining pribadine umat, lan marang hak-hak priya lan wanita kangsadrajat lan padha, sarta wus gawe putusan bakal nyengkuyung majuning sosialsarta ajining urip amrih saya luwih becik, kanthi kamardikan kang omber lanjembar tebane.
human_rights_un_jav_vu_64kb_0019	MANIMBANG menawa Negara-Negara Anggota wus ikrar lan prajanji bakalnggayuh kang saya maju anggone ngajeni lan ngurmati ajining umum maranghak-hak asasi umat manungsa sarta rasa bebas kang asasi (kanthi paugeran)ing ujuding sambung makarya klawan Perserikatan Bangsa-Bangsa.
human_rights_un_jav_vu_64kb_0020	MANIMBANG manawa kanthi manunggaling pangerten ngenani hak-hak lantumindak kanthi bebas kasebut, perlu banget, kanggo ngleksanani janji kanthitemen, mulo,
human_rights_un_jav_vu_64kb_0021	MAJELIS UMUMmbiwarakake
human_rights_un_jav_vu_64kb_0022	PRANYATAN UMUM NGENANI HAK-HAK ASASI (UMAT) MANUNGSAminangka sawijining paugeran umum kanggo kasiling gegayuhan saben bangsalan saben negara, dene kang katuju supaya saben uwong lan saben bebadaning satengahing bebrayan (masyarakat), kanthi tansah eling lan ngugemi
human_rights_un_jav_vu_64kb_0023	Pranyatan iki, tansah mersudi ngadani panggulowentah supaya rasa ngajeni lanngurmati hak-hak sarta urip bebas kasebut saya mekar ngrembaka.
human_rights_un_jav_vu_64kb_0024	Sarta kanthireka daya progresip kang asipat nasional lan internasional, bisa nanggungwujuding kasaguhan ngakoni lan anggone asung pakurmatan kanthi universallan efektif, iya saka bangsa-bangsa ing Nagara-Nagara Anggota, kalebu bangsa-bangsa ing laladan kang kabawah panguwasaning angger-anggere (wewaton =undang-undang).
human_rights_un_jav_vu_64kb_0025	BAB : 1
human_rights_un_jav_vu_64kb_0026	Saben uwong kalairake kanthi mardika lan darbe martabat lan hak-hak kangpadha.
human_rights_un_jav_vu_64kb_0027	Kabeh pinaringan akal lan kalbu sarta kaajab pasrawungan anggonememitran siji lan sijine kanthi jiwo sumadulur.
human_rights_un_jav_vu_64kb_0028	BAB : 2
human_rights_un_jav_vu_64kb_0029	Saben uwong darbe hak tumrap hak lan kebebasan-kebebasan kang tinulis ing
human_rights_un_jav_vu_64kb_0030	Pranyatan Umum iki tanpa pilih kasih, kabeh warata lan adil ing samubarang,kayata: beda bedaning ras, warnaning awak (walulang), beda-bedaning lananglan wadon, basa, agama, politik lan panemu liyane, asal usul suku bangsa lanbebrayan, hak darbe, tatalair lan kalungguhan liyane.
human_rights_un_jav_vu_64kb_0031	Sakbanjure,ora bakal ana prabedane tumrap kalungguhan politik, angger-angger
human_rights_un_jav_vu_64kb_0032	(undang-undang) utowa kalungguhan internasional saka negara utowa laladanasal usuling sawijinging uwong, sanadyan saka negara mardika, laladan-laladaning panguwasaning wali, jajahan utawa kang winengku ing kawasaning liyan.
human_rights_un_jav_vu_64kb_0033	BAB : 3
human_rights_un_jav_vu_64kb_0034	Saben uwong nduweni hak ingatasing uripe, bebasing uripe lan kaslametaneminongko pribadi (individu).
human_rights_un_jav_vu_64kb_0035	BAB : 4
human_rights_un_jav_vu_64kb_0036	Ora keno sawijining uwong didadekake budhak utawa batur, maujuding budhaklan batur tukon kanthi ujud apa wae dadi larangan.
human_rights_un_jav_vu_64kb_0037	BAB : 5
human_rights_un_jav_vu_64kb_0038	Ora kena sawijining uwong disiyo-siyo ing siksa, utawa nandhang tindak kejem,dipatrapi utawa nampa pidono kang ora kaya lumrahing umat manungsa utowosiningkur karemehake.
human_rights_un_jav_vu_64kb_0039	BAB : 6
human_rights_un_jav_vu_64kb_0040	Saben uwong darbe hak tumrap paseksi ing sajroning angger-angger (undang-undang) minongka umat manungsa sacara pribadi ing endi wae papan dununge.
human_rights_un_jav_vu_64kb_0041	BAB : 7
human_rights_un_jav_vu_64kb_0042	Ngadepi hukum, kabeh duwe hak padha lan darbe hak oleh pengayomanangger-angger sing padha, tanpo dibedak-bedakake.
human_rights_un_jav_vu_64kb_0043	Kabeh duwe hakingayoman sing padha marang tumindak mbedak-mbedakake (diskriminasi)kang ora cundhuk (cocok) karo Pranyatan iki, lan marang sawernaning pamilut
