human_rights_un_lav_kb_64kb_0001	VISPĀRĒJĀ CILVĒKA TIESĪBU DEKLARĀCIJA
human_rights_un_lav_kb_64kb_0002	ANO Ģenerālā Asambleja pieņēmusi 1948.
human_rights_un_lav_kb_64kb_0003	gada 10.
human_rights_un_lav_kb_64kb_0004	decembrī
human_rights_un_lav_kb_64kb_0005	PREAMBULA
human_rights_un_lav_kb_64kb_0006	Ievērojot, ka visiem cilvēku sabiedrības locekļiem piemītošās pašcieņas un viņu vienlīdzīgu un neatņemamu tiesību atzīšana ir brīvības, taisnīguma un vispārēja miera pamats, unievērojot, ka cilvēku tiesību necienīšana un nicināšana noved pie barbariskiem aktiem, kas izraisa sašutumu cilvēces apziņā, un ka tādas pasaules radīšana pasludināta kā cilvēku augstākie centieni, kurā cilvēkiem būs vārda un pārliecības brīvība un tie būs brīvi no bailēm un trūkuma, unievērojot, ka nepieciešams, lai cilvēka tiesības aizsargātu likuma spēks un cilvēks nebūtu spiests izmantot kā pēdējo līdzekli sacelšanos pret tirāniju un apspiestību, unievērojot, ka nepieciešams veicināt draudzīgu attiecību attīstību starp tautām, unievērojot, ka Apvienoto Nāciju tautas Statūtos apliecināja savu ticību cilvēka pamattiesībām, cilvēka personības pašcieņai un vērtībai un vīriešu un sieviešu līdztiesībai un apņēmās sekmēt sociālo progresu un labākus dzīves apstākļus vislielākās brīvības apstākļos, unievērojot, ka Dalībvalstis ir apņēmušās panākt, sadarbojoties ar Apvienoto Nāciju Organizāciju, sekmēt cilvēka tiesību un pamatbrīvību vispārēju cienīšanu un ievērošanu, unievērojot, ka šo tiesību un brīvību vispārējai izpratnei ir milzīga nozīme šīs apņemšanās pilnīgai īstenošanai,tāpēc Ģenerālā Asamblejapasludina šo Vispārējo cilvēka tiesību deklarāciju par visu tautu un nāciju sasniegumu kopējo standartu, lai katrs cilvēks un katra sabiedrības institūcija, pastāvīgi paturot prātā šo Deklarāciju, censtos ar apmācību un izglītošanu veicināt šo tiesību un brīvības respektēšanu un, īstenojot progresīvus nacionālos un starptautiskos pasākumus, nodrošinātu to vispārēju un efektīvu atzīšanu un ievērošanu kā pašu Organizācijas dalībvalstu starpā, tā arī to jurisdikcijā esošo teritoriju tautās.
human_rights_un_lav_kb_64kb_0007	1.
human_rights_un_lav_kb_64kb_0008	pants
human_rights_un_lav_kb_64kb_0009	Visi cilvēki piedzimst brīvi un vienlīdzīgi savā pašcieņā un tiesībās.
human_rights_un_lav_kb_64kb_0010	Viņi ir apveltīti ar saprātu un sirdsapziņu, un viņiem jāizturas citam pret citu brālības garā.
human_rights_un_lav_kb_64kb_0011	2.
human_rights_un_lav_kb_64kb_0012	pants
human_rights_un_lav_kb_64kb_0013	Ikvienam ir tiesības uz visām šajā Deklarācijā pasludinātajām tiesībām un brīvībām, bez jebkāda veida atšķirības pēc rases, ādas krāsas, dzimuma, valodas, reliģijas, politiskās vai citas pārliecības, nacionālās vai sociālās izcelsmes, mantiskā stāvokļa, dzimšanas vai cita statusa.
human_rights_un_lav_kb_64kb_0014	Turklāt nedrīkst noteikt nekādu atšķirību pēc tās valsts vai teritorijas, politiskā, tiesiskā vai starptautiskā statusa, pie kuras cilvēks pieder neatkarīgi no tā, vai šī teritorija ir neatkarīga, aizbildnībā esoša, bez pašpārvaldes vai kaut kā citādi ierobežota savā suverenitātē.
human_rights_un_lav_kb_64kb_0015	3.
human_rights_un_lav_kb_64kb_0016	pants
human_rights_un_lav_kb_64kb_0017	Ikvienam ir tiesības uz dzīvību, brīvību un personas neaizskaramību.
human_rights_un_lav_kb_64kb_0018	4.
human_rights_un_lav_kb_64kb_0019	pants
human_rights_un_lav_kb_64kb_0020	Nevienu nedrīkst turēt verdzībā vai dzimtbūtniecībā;
human_rights_un_lav_kb_64kb_0021	visa veida verdzība un vergu tirdzniecība ir jāaizliedz.
human_rights_un_lav_kb_64kb_0022	5.
human_rights_un_lav_kb_64kb_0023	pants
human_rights_un_lav_kb_64kb_0024	Nevienu nedrīkst pakļaut spīdzināšanai vai cietsirdīgi, necilvēcīgi ar viņu apieties vai sodīt, pazemojot viņa cilvēcisko cieņu.
human_rights_un_lav_kb_64kb_0025	6.
human_rights_un_lav_kb_64kb_0026	pants
human_rights_un_lav_kb_64kb_0027	Ikvienam, visur, ir tiesības būt atzītam par personu likuma priekšā.
human_rights_un_lav_kb_64kb_0028	7.
human_rights_un_lav_kb_64kb_0029	pants
human_rights_un_lav_kb_64kb_0030	Visi ir vienlīdzīgi likuma priekšā un viņiem ir tiesības, bez jebkādas diskriminācijas, uz vienādu likuma aizsardzību.
human_rights_un_lav_kb_64kb_0031	Visiem ir tiesības uz vienādu aizsardzību pret jebkādu diskrimināciju, pārkāpjot šo Deklarāciju, un pret jebkuru kūdīšanu uz tādu diskrimināciju.
human_rights_un_lav_kb_64kb_0032	8.
human_rights_un_lav_kb_64kb_0033	pants
human_rights_un_lav_kb_64kb_0034	Ikvienam ir tiesības uz efektīvu viņa tiesību atjaunošanu kompetentās nacionālajās tiesās gadījumos, par nodarījumiem, kas pārkāpj viņa pamattiesības, kas garantētas konstitūcijā vai likumā.
human_rights_un_lav_kb_64kb_0035	9.
human_rights_un_lav_kb_64kb_0036	pants
human_rights_un_lav_kb_64kb_0037	Nevienu nedrīkst patvaļīgi arestēt, aizturēt vai pakļaut izraidīšanai.
human_rights_un_lav_kb_64kb_0038	10.
human_rights_un_lav_kb_64kb_0039	pants
human_rights_un_lav_kb_64kb_0040	Ikvienam viņa tiesību un pienākumu noskaidrošanai, kā arī viņam izvirzītās kriminālās apsūdzības pamatotības noteikšanai, ir tiesības, lai viņu lietu atklāti un, ievērojot visas taisnīguma prasības, uz pilnīgas līdztiesības pamata izskatītu neatkarīga un objektīva tiesa.
human_rights_un_lav_kb_64kb_0041	11.
human_rights_un_lav_kb_64kb_0042	pants
human_rights_un_lav_kb_64kb_0043	Katram, kas ir apsūdzēts kriminālnoziegumā, ir tiesības tikt uzskatītam par nevainīgu, kamēr viņa vaina nav pierādīta saskaņā ar likumu atklātā tiesas procesā, kurā viņam ir bijušas nodrošinātas visas savai aizstāvībai nepieciešamās garantijas.
human_rights_un_lav_kb_64kb_0044	Nevienu nedrīkst notiesāt par sodāmu tiesībpārkāpumu tādas darbības vai bezdarbības dēļ, kas saskaņā ar izdarīšanas brīdī spēkā bijušajiem nacionālajiem likumiem vai starptautiskajām tiesībām nebija sodāms tiesībpārkāpums.
human_rights_un_lav_kb_64kb_0045	Tāpat nedrīkst piespriest smagāku sodu nekā tas, kas bija jāpiemēro laikā, kad tika izdarīts sodāmais tiesībpārkākums.
human_rights_un_lav_kb_64kb_0046	12.
human_rights_un_lav_kb_64kb_0047	pants
human_rights_un_lav_kb_64kb_0048	Nedrīkst patvaļīgi iejaukties neviena personiskajā un ģimenes dzīvē, patvaļīgi pārkāpt viņa dzīvokļa vai korespondences neaizskaramību vai apdraudēt viņa godu un reputāciju.
human_rights_un_lav_kb_64kb_0049	Katram ir tiesības uz likuma aizsardzību pret šādu iejaukšanos vai apdraudējumiem.
human_rights_un_lav_kb_64kb_0050	13.
human_rights_un_lav_kb_64kb_0051	pants
human_rights_un_lav_kb_64kb_0052	Ikvienam ir tiesības brīvi pārvietoties un izvēlēties sev dzīvesvietu ikvienā valstī.
human_rights_un_lav_kb_64kb_0053	Ikvienam ir tiesības atstāt jebkuru, arī savu valsti un atgriezties savā valstī.
human_rights_un_lav_kb_64kb_0054	14.
human_rights_un_lav_kb_64kb_0055	pants
human_rights_un_lav_kb_64kb_0056	Ikvienam ir tiesības meklēt un izmantot patvērumu no vajāšanas citās valstīs.
human_rights_un_lav_kb_64kb_0057	Šīs tiesības nevar tikt izmantotas tādas vajāšanas gadījumā, kas īstenībā nav saistīta ar politiskiem noziegumiem vai ar darbībām, kas ir pretrunā ar Apvienoto
human_rights_un_lav_kb_64kb_0058	Nāciju Organizācijas mērķiem un principiem.
human_rights_un_lav_kb_64kb_0059	15.
human_rights_un_lav_kb_64kb_0060	pants
human_rights_un_lav_kb_64kb_0061	Ikvienam ir tiesības uz pilsonību.
human_rights_un_lav_kb_64kb_0062	Nevienam patvaļīgi nedrīkst atņemt tā pilsonību vai atteikt tiesības mainīt savu pilsonību.
human_rights_un_lav_kb_64kb_0063	16.
human_rights_un_lav_kb_64kb_0064	pants
human_rights_un_lav_kb_64kb_0065	Pilngadīgajiem vīriešiem un sievietēm ir tiesības bez jebkādiem ar rasi, nacionalitāti vai reliģiju saistītiem ierobežojumiem stāties laulībā un nodibināt ģimeni.
human_rights_un_lav_kb_64kb_0066	Viņiem ir vienlīdzīgas tiesības, stāties laulībā, laulības laikā un šķirot laulību.
human_rights_un_lav_kb_64kb_0067	Laulība var tikt slēgta tikai ar abu personu, kas stājas laulībā, brīvu un pilnīgu piekrišanu.
human_rights_un_lav_kb_64kb_0068	Ģimene ir dabiska sabiedrības pamatvienība, un tai ir tiesības uz sabiedrības un valsts aizsardzību.
human_rights_un_lav_kb_64kb_0069	17.
human_rights_un_lav_kb_64kb_0070	pants
human_rights_un_lav_kb_64kb_0071	Ikvienam ir tiesības uz īpašumu kā vienam, tā arī kopīgi ar citiem.
human_rights_un_lav_kb_64kb_0072	Nevienam patvaļīgi nedrīkst atņemt viņa īpašumu.
human_rights_un_lav_kb_64kb_0073	18.
human_rights_un_lav_kb_64kb_0074	pants
human_rights_un_lav_kb_64kb_0075	Ikvienam ir tiesības uz domu, apziņas un reliģijas brīvību;
human_rights_un_lav_kb_64kb_0076	brīvību mainīt reliģiju vai pārliecību, brīvību nodoties savai reliģijai un pārliecībai tiklab vienatnē, kā arī kopā ar citiem publiski vai nošķirti, piekopt reliģiju vai ticību, sludinot mācību, izpildot, pielūdzot un ievērojot to.
human_rights_un_lav_kb_64kb_0077	19.
human_rights_un_lav_kb_64kb_0078	pants
human_rights_un_lav_kb_64kb_0079	Ikvienam ir tiesības uz pārliecības un izteiksmes brīvību;
human_rights_un_lav_kb_64kb_0080	šīs tiesības ietver brīvību bez iejaukšanās palikt pie saviem uzskatiem un meklēt, saņemt un izplatīt informāciju un idejas ar jebkuriem informācijas līdzekļiem neatkarīgi no valstu robežām.
human_rights_un_lav_kb_64kb_0081	20.
human_rights_un_lav_kb_64kb_0082	pants
human_rights_un_lav_kb_64kb_0083	Ikvienam ir tiesības uz miermīlīgu sapulču un asociācijas brīvību.
human_rights_un_lav_kb_64kb_0084	Nevienu nedrīkst piespiest piederēt kādai asociācijai.
human_rights_un_lav_kb_64kb_0085	21.
human_rights_un_lav_kb_64kb_0086	pants
human_rights_un_lav_kb_64kb_0087	Ikvienam ir tiesības piedalīties savas valsts pārvaldē tieši vai ar brīvi izvēlētu pārstāvju starpniecību.
human_rights_un_lav_kb_64kb_0088	Ikvienam ir tiesības uz līdztiesīgu pieejamību valsts dienestam savā zemē.
human_rights_un_lav_kb_64kb_0089	Tautas gribai ir jābūt valdības varas pamatam;
human_rights_un_lav_kb_64kb_0090	šai gribai jāizpaužas periodiskās un nefalsificētās vēlēšanās, kam jānotiek uz vispārēju un vienlīdzīgu vēlēšanu tiesību pamata, aizklāti balsojot vai arī citās līdzvērtīgās brīvās balsošanas procedūrās.
human_rights_un_lav_kb_64kb_0091	22.
human_rights_un_lav_kb_64kb_0092	pants
human_rights_un_lav_kb_64kb_0093	Katram kā sabiedrības loceklim ir tiesības uz sociālo drošību un viņam ir tiesības īstenot ar nacionālo centienu palīdzību un starptautiskās sadarbības ceļā, un atbilstoši katras valsts struktūrai un resursiem, viņa pašcieņai un personības brīvai attīstībai nepieciešamās ekonomiskās, sociālās un kultūras tiesības.
human_rights_un_lav_kb_64kb_0094	23.
human_rights_un_lav_kb_64kb_0095	pants
human_rights_un_lav_kb_64kb_0096	Ikvienam ir tiesības uz darbu, uz brīvu darba izvēli, uz taisnīgiem un labvēlīgiem darba apstākļiem un uz aizsardzību pret bezdarbu.
human_rights_un_lav_kb_64kb_0097	Ikvienam, bez jebkādas diskriminācijas, ir tiesības uz vienādu atlīdzību par līdzvērtīgu darbu.
human_rights_un_lav_kb_64kb_0098	Katram strādājošam ir tiesības uz taisnīgu un pienācīgu darba algu, kas nodrošina cilvēka cienīgu dzīvi viņam un viņa ģimenei.
human_rights_un_lav_kb_64kb_0099	Nepieciešamības gadījumā tā jāpapildina ar citiem sociālās nodrošināšanas līdzekļiem.
human_rights_un_lav_kb_64kb_0100	Katram ir tiesības dibināt arodbiedrības un iestāties tajās savu interešu aizsardzībai.
human_rights_un_lav_kb_64kb_0101	24.
human_rights_un_lav_kb_64kb_0102	pants
human_rights_un_lav_kb_64kb_0103	Ikvienam ir tiesības uz atpūtu un brīvo laiku, ieskaitot saprātīgu darbadienas ierobežojumu un apmaksātu periodisku atvaļinājumu.
human_rights_un_lav_kb_64kb_0104	25.
human_rights_un_lav_kb_64kb_0105	pants
human_rights_un_lav_kb_64kb_0106	Ikvienam ir tiesības uz viņa un viņa ģimenes veselības uzturēšanai un labklājībai atbilstošu dzīves līmeni, ieskaitot uzturu, apģērbu, mājokli, medicīniskos pakalpojumus un nepieciešamo sociālo apkalpošanu, un tiesības uz nodrošinājumu bezdarba, slimības, darba nespējas, atraitnības, vecuma vai citos iztikas līdzekļu zaudējumu gadījumos, kas radušies no viņa neatkarīgu apstākļu dēļ.
human_rights_un_lav_kb_64kb_0107	Mātēm un bērniem ir tiesības uz īpašu aizsardzību un palīdzību.
human_rights_un_lav_kb_64kb_0108	Visiem bērniem, laulībā un ārlaulībā dzimušajiem, ir jābauda vienāda sociālā aizsardzība.
human_rights_un_lav_kb_64kb_0109	26.
human_rights_un_lav_kb_64kb_0110	pants
human_rights_un_lav_kb_64kb_0111	Ikvienam ir tiesības uz izglītību.
human_rights_un_lav_kb_64kb_0112	Izglītībai, vismaz pamata un vispārējai izglītībai, ir jābūt bezmaksas.
human_rights_un_lav_kb_64kb_0113	Pamatizglītībai ir jābūt obligātai.
human_rights_un_lav_kb_64kb_0114	Tehniskajai un profesionālajai izglītībai ir jābūt vispār pieejamai, un augstākajai izglītībai jābūt vienādi pieejamai visiem atbilstoši spējām.
human_rights_un_lav_kb_64kb_0115	Izglītības mērķim jābūt pilnīgai personības attīstībai, kā arī cilvēka tiesību un pamatbrīvību respektēšanas stiprināšanai.
human_rights_un_lav_kb_64kb_0116	Izglītībai ir jāsekmē saprašanās, iecietība un draudzība starp visām tautām, rasu vai reliģiskajām grupām un jāsekmē Apvienoto Nāciju Organizācijas miera uzturēšanas pasākumi.
human_rights_un_lav_kb_64kb_0117	27.
human_rights_un_lav_kb_64kb_0118	pants
human_rights_un_lav_kb_64kb_0119	Ikvienam ir tiesības brīvi piedalīties sabiedrības kultūras dzīvē, baudīt mākslu, piedalīties zinātnes progresā un izmantot tā labumus.
human_rights_un_lav_kb_64kb_0120	Ikvienam ir tiesības uz morālo un materiālo interešu aizsardzību, kas izriet no zinātniskajiem, literārajiem vai mākslas darbiem, kuru autors viņš ir.
human_rights_un_lav_kb_64kb_0121	28.
human_rights_un_lav_kb_64kb_0122	pants
human_rights_un_lav_kb_64kb_0123	Ikvienam ir tiesības uz sociālo un starptautisko kārtību, kurā var tikt pilnībā īstenotas šajā Deklarācijā izklāstītās tiesības un brīvības.
human_rights_un_lav_kb_64kb_0124	29.
human_rights_un_lav_kb_64kb_0125	pants
human_rights_un_lav_kb_64kb_0126	Ikvienam ir pienākumi pret sabiedrību, kurā vienīgi ir iespējama viņa personības brīva un pilnīga attīstība.
human_rights_un_lav_kb_64kb_0127	Izmantojot savas tiesības un brīvības, katram cilvēkam ir jāpakļaujas tikai tādiem ierobežojumiem, kas ir noteikti ar likumu, vienīgi ar mērķi nodrošināt citu cilvēku tiesību un brīvību pienācīgu atzīšanu un cienīšanu un morāles, sabiedriskās kārtības un vispārējas labklājības taisnīgu prasību apmierināšanu demokrātiskā sabiedrībā.
human_rights_un_lav_kb_64kb_0128	Šīs tiesības un brīvības nekādā ziņā nedrīkst izmantot pretrunā ar Apvienoto Nāciju Organizācijas mērķiem un principiem.
human_rights_un_lav_kb_64kb_0129	30.
human_rights_un_lav_kb_64kb_0130	pants
human_rights_un_lav_kb_64kb_0131	Neko šajā Deklarācijā nedrīkst tulkot tādējādi, lai kādai valstij, personu grupai vai atsevišķām personām būtu tiesības iesaistīties jebkādā pasākumā vai veikt jebkuru darbību, kuru mērķis ir iznīcināt šajā Deklarācijā izklāstītās tiesības un brīvības.
