human_rights_un_lb_ll_64kb_0001	UNIVERSAL - DEKLARATIOUN VUN DE MËNSCHERECHTER
human_rights_un_lb_ll_64kb_0002	PRÄAMBEL
human_rights_un_lb_ll_64kb_0003	Well d'Unerkennong vun der Dignitéit, déi all Mêmber vun der Mënschefamill gebuer as, a vu sénge gläichen an onersetzleche Rechter de Fëllement vun der Fräiheet, der Gerechtegkeet an dem Fridden an der Welt as,
human_rights_un_lb_ll_64kb_0004	Well et do, wou d'Mënscherechter nët unerkannt an nët respektéiert gin, zu barbareschen Akte koum, déi d'Gewësse vun der ganzer Mënschheet revoltéieren a well d'Schafe vun enger Welt, an deer d'Mënschen d'Fräiheet vum Wuert a vum Glaf hun, an deer se fräi si vu Fuurcht an Nout, als dem Mënsch säin héchst Striewe proklaméiert gouf,
human_rights_un_lb_ll_64kb_0005	Well et haaptsächlech drëm geet fir duerch e Rechtssystem Hand iwwer d'Mënscherechter ze halen an datt de Mënsch doduerch nët forcéiert gët fir säi leschten Auswee an der Revolt géint d'Tyrannei an d'Ënnerdrécktgin ze sichen,
human_rights_un_lb_ll_64kb_0006	Well et haaptsächlech drëm geet fir d'Entwécklong vun de frëndschaaftleche Relatiounen tëscht den Natiounen z'encouragéieren,
human_rights_un_lb_ll_64kb_0007	Well an der Charta d'Vëlleker vun de Vereenten Natiounen op en Neits hire Glaf an d'Grondrechter vum Mënsch, an d'Dignitéit an an de Wäert vun der mënschlecher Persoun, an d'Gläichheet vun de Rechter vu Mann a Fra proklaméiert a sech dofir entscheed hu fir dem zoziale Fortschrëtt de Virzock ze gin a besser Lieweskonditiounen a méi enger grousser Fräiheet ze schafen,
human_rights_un_lb_ll_64kb_0008	Well d'Mëmberstate sech verflicht hu fir an Zesummenaarbecht mat der Organisatioun vun de Vereenten Natiounen dofir ze suergen, datt d'Mënscherechter an d'Grondfräiheten allgemeng respektéiert a realiséiert gin,
human_rights_un_lb_ll_64kb_0009	Well eng an déi selwecht Opfaassong iwwer dës Rechter a Fräiheten aus der Mooss wichteg as fir dëst Engagement voll a ganz kënnen duerchzeféieren,
human_rights_un_lb_ll_64kb_0010	PROKLAMÉIERT D'GENEROLVERSAMMLONG:
human_rights_un_lb_ll_64kb_0011	Dës UNIVERSAL-DEKLARATIOUN VUN DE MËNSCHERECHTER, déi als en allgemengt Ideal vun all Vollek an all Natioun soll ugestrieft gin aus deem Grond, datt all eenzele Mënsch an all Organ vun der Gesellschaft, ëmmer am Geescht vun dëser Deklaratioun, sech ustrenge fir duerch den Unterrécht an d'Erzéiong de Respekt vun dëse Rechter a Fräiheten z'entwécklen an no an no duerch Mesüren um nationalen an internationale Plang hir Unerkennong ze sécheren, datt d'Populatiounen aus de Mêmberstate selwer an déi aus Gebitter, déi ënner hirer Geriichtsbarkeet stin, en allgemengen a gudde Gebrauch dervu kënnen maachen.
human_rights_un_lb_ll_64kb_0012	Artikel 1
human_rights_un_lb_ll_64kb_0013	All Mënsch kënnt fräi a mat deer selwechter Dignitéit an dene selwechte Rechter op d'Welt.
human_rights_un_lb_ll_64kb_0014	Jiddereen huet säi Verstand a säi Gewësse krut an soll an engem Geescht vu Bridderlechkeet denen anere géintiwwer handelen.
human_rights_un_lb_ll_64kb_0015	Artikel 2
human_rights_un_lb_ll_64kb_0016	Jidderee kann all déi Rechter an all déi Fräiheten, déi an dëser Deklaratioun proklaméiert sin, fir sech verlaangen an dat ouni Ënnerscheed sief et vu Rass, Hautfaarf, Geschlecht, Sprooch, Relioun, politesche odder anerer Iwwerzegong, nationalem odder zozialem Urspronk, Verméigen, Gebuurt odder soss enger Situatioun.
human_rights_un_lb_ll_64kb_0017	Et duerf do dernieft och keen Ennerscheed gemat gin, dee mam politeschen, rechtlechen odder internationale statut vun deem Land odder deem Gebitt begrënnt gët, aus deem eng Persoun hierstaamt, egal ob dëst Land odder dëst Gebitt onofhängeg, ënner engem Mandat, nët autonom odder séng Souveränitéit an irgendenger Form begrenzt as.
human_rights_un_lb_ll_64kb_0018	Artikel 3
human_rights_un_lb_ll_64kb_0019	All Mësch huet Recht op d'Liewen, op d'Fräiheet an op d'Secherheet vu sénger Persoun.
human_rights_un_lb_ll_64kb_0020	Artikel 4
human_rights_un_lb_ll_64kb_0021	Kee Mënsch daarf a Sklaverei odder a Kniechtschaaft gehal gin;
human_rights_un_lb_ll_64kb_0022	d'Sklaverei an de Sklavenhandel sin an all hire Forme verbueden.
human_rights_un_lb_ll_64kb_0023	Artikel 5
human_rights_un_lb_ll_64kb_0024	Keen duerf gefoltert an och kee grausam, onmënschlech, onwiirdeg bestrooft a behandelt gin.
human_rights_un_lb_ll_64kb_0025	Artikel 6
human_rights_un_lb_ll_64kb_0026	Jiddereen huet iwwerall d'Recht op Unerkennong vu sénger juristescher Perséinlechkeet.
human_rights_un_lb_ll_64kb_0027	Artikel 7
human_rights_un_lb_ll_64kb_0028	D'Mënsche sin alleguer gläich virum Gesetz a si hun ouni Ënnerscheed Recht op dee selwechte Schutz vum Gesetz.
human_rights_un_lb_ll_64kb_0029	Alleguer hu se Recht op dee selwechte Schutz géint all Diskriminatioun, déi dës Deklaratioun géing verletzen a géint all Provokatioun zu esou enger Diskriminatioun.
human_rights_un_lb_ll_64kb_0030	Artikel 8
human_rights_un_lb_ll_64kb_0031	All Mënsch huet d'Recht fir bei denen zoustännegen nationale Geriichter en effektive Recours géint déi Akten ze man, déi d'fundamental Rechter, déi him duerch d'Konstitutioun odder duerch d'Gesetz zoustin, verletzen.
human_rights_un_lb_ll_64kb_0032	Artikel 9
