human_rights_un_ltn_ezwa_64kb_0001	DECLARATIONEM HOMINIS IURIUM UNIVERSAM
human_rights_un_ltn_ezwa_64kb_0002	EXORDIUM
human_rights_un_ltn_ezwa_64kb_0003	Omnium humanae gentis partium perspecto et cognito consensum fidemque propriae dignitatis atque iurium, quae omni tempore aequa et paria esse debent nec alienari possunt, totius terrae libertatis iustitiae pacis esse initium;
human_rights_un_ltn_ezwa_64kb_0004	hominis iurium perspecto et cognito contemptum et neglegentiam ea facinora atrocia tulisse ut morum humanorum conscientiam religionemque minuerint, atque etiam aetatis initium, qua omnes homines loquendi libertate et credendi utantur, nihil terroris indigentiaeque timentes, maximum, quod homo expetiverit, renuntiatum;
human_rights_un_ltn_ezwa_64kb_0005	hominis iura perspecto et cognito legum regimine defendi necesse, si cupiunt hominem, ultima ratione, ad nimiae vexationi ac crudeli dominationi reclamitandum non sollicitari;
human_rights_un_ltn_ezwa_64kb_0006	Gentium coniunctionibus perspecto et cognito magis magisque in dies faveri necesse;
human_rights_un_ltn_ezwa_64kb_0007	Gentium Coniunctarum perspecto et cognito nationes in Constitutione propria iuribus hominis praecipuis fidem se habere confirmavisse, ipsius hominis dignitati et virtuti, aequis inter homines, vel virum vel mulierem, iuribus, praeterea non modo progressioni generis humani communi se favere decrevisse, sed etiam rationibus vivendi in latiore facultate prosperioribus;
human_rights_un_ltn_ezwa_64kb_0008	Civitates Socias perspecto et cognito, salva fide, de maxima verecundia et certa observantia hominis iurium et omnium praecipuarum libertatum firmandis, auxilio cum cunctis Gentibus Coniunctis conferendo, esse pollicitas;
human_rights_un_ltn_ezwa_64kb_0009	ad eadem officia persolvenda perspecto et cognito communem formam rationemque, et eorundem iurium et libertatum, maximi esse momenti et ponderis;
human_rights_un_ltn_ezwa_64kb_0010	itaque
human_rights_un_ltn_ezwa_64kb_0011	PUBLICUS NATIONUM COETUS
human_rights_un_ltn_ezwa_64kb_0012	HANC DECLARATIONEM HOMINIS IURIUM UNIVERSAM
human_rights_un_ltn_ezwa_64kb_0013	PROMULGANT
human_rights_un_ltn_ezwa_64kb_0014	Omnibus civibus et gentibus speciem perfectam et communem adipiscendam, ut omnes homines et omnes societatis partes, memoriam Declarationis tenentes, et docendo et instituendo, eorundem iurium et libertatum observantiam reverentiamque augeri conentur, atque, patriis consiliis et externis in dies progredientibus, communem omnium et certam probationem rationemque esse tuta, cum Sociarum Civitatum civium tum civium, quorum fines in iurisdictionis earundem potestate sint et dicione.
human_rights_un_ltn_ezwa_64kb_0015	I
human_rights_un_ltn_ezwa_64kb_0016	Omnes homines dignitate et iure liberi et pares nascuntur, rationis et conscientiae participes sunt, quibus inter se concordiae studio est agendum.
human_rights_un_ltn_ezwa_64kb_0017	II
human_rights_un_ltn_ezwa_64kb_0018	Omnium hominum propria sunt quae iura et libertates in hac DECLARATIONE enuntiantur: generis,vultus, sexus, linguae, religionis, opinionis civilis, nullo discrimine atque sine natione divitiis loco discretis.
human_rights_un_ltn_ezwa_64kb_0019	Praeterea nullum discrimen statuetur civitatis forma et iuris aut gentium, regionis aut territorii cuius quidam est, sive ea regio aut territorium sui iuris est vel in administrationis fiduciariae dicione vel non liberum vel in cuiuslibet imperii modi potestate.
human_rights_un_ltn_ezwa_64kb_0020	III
human_rights_un_ltn_ezwa_64kb_0021	Suae quisque ipsius vitae, libertatis, incolumitatis potestatem habet.
human_rights_un_ltn_ezwa_64kb_0022	IV
human_rights_un_ltn_ezwa_64kb_0023	Homo nemo iugo et servitute oppressus teneri poterit;
human_rights_un_ltn_ezwa_64kb_0024	nullo pacto, servitus et mancipiorum commercium.
human_rights_un_ltn_ezwa_64kb_0025	V
human_rights_un_ltn_ezwa_64kb_0026	Homo nemo in cruciatum poterit dari, suppliciis atrocibus adhibendis.
human_rights_un_ltn_ezwa_64kb_0027	VI
human_rights_un_ltn_ezwa_64kb_0028	Suae quisque ipsius probationis potestatem habet, ubicumque gentium, personae rationalis et civilis.
human_rights_un_ltn_ezwa_64kb_0029	VII
human_rights_un_ltn_ezwa_64kb_0030	Omnes homines ea lege, qua aequo modo defendantur, sunt pares, sine ullo discrimine.
human_rights_un_ltn_ezwa_64kb_0031	Omnes homines lege aequa suae ipsorum defensionis ius habent ab omni discrimine quod eam DECLARATIONEM violet, atque ab omni incitamento ad id discrimen efficiendum.
human_rights_un_ltn_ezwa_64kb_0032	VIII
human_rights_un_ltn_ezwa_64kb_0033	Suae quisque ipsius appellationis ad idonea tribunalia patria de facinoribus quae maxima et iusta iura violent ei relata a rei publicae institutis vel legibus, potestatem habet.
human_rights_un_ltn_ezwa_64kb_0034	IX
human_rights_un_ltn_ezwa_64kb_0035	Homo nemo sine causa prehendi, custodia teneri, vel exilio poterit affici.
human_rights_un_ltn_ezwa_64kb_0036	X
human_rights_un_ltn_ezwa_64kb_0037	Sui quisque, pari iure, iudices aeque ac coram omnibus adeundi potestatem habet, qui non opinioni obnoxii sint sed integri, ut iura officiaque sua constituantur atque criminis contra se iustae causae.
human_rights_un_ltn_ezwa_64kb_0038	XI
