zlm_0001	PERISYTIHARAN HAK ASASI MANUSIA SEJAGAT
zlm_0002	MUKADDUMAH
zlm_0003	Bahawasanya pengiktirafan keutuhan kemuliaan dan hak samarata serta asasiyang tak terpisah bagi seluruh umat manusia adalah asas kebebasan,keadilandan kedamaian dunia.
zlm_0004	Bahawasanya pengabaian serta penghinaan terhadap hak asasi manusia telahpun mengakibatkan tindakan terkutuk yang telah melanggari perasaan hati umatmanusia, dan munculnya sebuah dunia di mana manusia akan menikmatikebebasan berucap dan menganut kepercayaan serta kebebasan dari rasatakutdan citarasa telah pun diisytiharkan sebagai aspirasi toragung seluruh umatmanusia.
zlm_0005	Sekiranya kita tidak mahu mendorong manusia dalam keadaan terdesak,sebagai pilihan terakhir, memberontak mementang kezaliman serta penindasan,maka adalah penting bagi hak asasi manusia dipertahankan oleh kedaulatanundang-undang.
zlm_0006	Bahawasanya adalah penting bagi memajukan perkembangan perhubunganpersahabatan di antara negara-negara.
zlm_0007	Bahawasanya rakyat Bangsa-Bangsa Bersatu, dalam Piagamnya telah sekalilagi menegaskan kepercayaan mereka terhadap hak asasi manusia, terhadapkemuliaan serta nilaidiri manusia dan terhadap hak samarata lelaki danperempuan dan telah menetapkan keazaman untuk memajukan perkembangansosial dan taraf hidup yang lebih sempurna dalam suasana kebebasan yanglebih luas.
zlm_0008	Bahawasanya Negara-Negara Anggota telah berikrar untuk masing-masingmencapai, dengan kerjasama Bangsa-Bangsa Bersatu, pengutaraan kehormatansejagat terhadap, serta pematuhan, hak asasi manusia dan kebebasan asasi.
zlm_0009	Bahawasanya satu fahaman bersama terhadap hak serta kebebasan iniseluruhnya adalah terpenting demi menjadikan ikrar ini kenyataan sepenuhnya.
zlm_0010	MAKA DENGAN INI
zlm_0011	Perhimpunan agung mengisytiharkan
zlm_0012	Perisytiharan sejagat hak asasi manusia ini sebagai suatu ukuran bersamaterhadap pencapaian oleh seluruh umat manusia dan kesemua negara dengantujuan supaya setiap individu dan setiap badan masyarakat, dengan senantiasamengingati Perisytiharan ini, hendaklah berazam melalui pengajaran danpendidikan bagi memajukan sanjungan terhadap seluruh hak-hak dankebebasan ini dan secara langkah-langkah berperingkat-peringkat, di bidangnegara dan antarabangsa, bagi menjaminkan pengkitirafan dan pematuhansejagatnya yang berkesan, kedua-duanya di antara negara-negara anggotamasing-masing dan rakyat wilayah-wilayah di bawah bidangkuasa mereka.
zlm_0013	Perkara 1.
zlm_0014	Semua manusia dilahirkan bebas dan samarata dari segi kemuliaan dan hak-hak.
zlm_0015	Mereka mempunyai pemikiran dan perasaan hati dan hendaklah bertindakdi antara satu sama lain dengan semangat persaudaraan.
zlm_0016	Perkara 2.
zlm_0017	Setiap orang adalah berhak kepada semua hak-hak dan kebebasan yangtermaktub dalam Perisytiharan ini, tanpa sebarang apa jua pembezaan, sepertibangsa, warna kulit, jantina, bahasa, ugama, faham politik atau lain-lainfahaman, asal-usul bangsa keturunan atau sosial harta-benda, kelahiran atauapa-apa taraf lain.
zlm_0018	Seterusnya, tiada sebarang pembezaan boleh dibuat berasaskan pada tarafpolitik atau bidangkuasa ataupun antarabangsa sesebuah negara atau wilayahdatangnya seseorang itu, sama ianya merdeka, beraùanah, tanpa pemerintahansendiri atau berada di bawah apa-apa sekatan kedaulatan lainnya.
zlm_0019	Perkara 3.
zlm_0020	Setiap orang adalah berhak kepada nyawa, kebebasan dan keselamatan diri.
zlm_0021	Perkara 4.
zlm_0022	Tiada sesiapa pun boleh diperhamba atau diperabdikan;
zlm_0023	keabdian dan daganganhamba abdi hendaklah dilarang dalam semua bentuknya.
zlm_0024	Perkara 5.
zlm_0025	Tiada sesiapa pun boleh dikenakan seksaan atau layanan atau hukuman yangzalim, tidak berperikemanusiaan atau menghinakan.
zlm_0026	Perkara 6.
zlm_0027	Setiap orang adalah berhak kepada pengiktirafan di mana jua sebagai seoranginsan di sisi undang-undang.
zlm_0028	Perkara 7.
zlm_0029	Semua orang adalah samarata di sisi undang-undang dan berhak tanpa apa-apapembezaan kepada perlindungan yang samarata di sisi undang-undang.
zlm_0030	Semuaorang adalah berhak kepada perlindungan yang samarata daripada sebarangpembazaan yang melanggar Perisytiharan ini dan daripada sebarang hasutanterhadap pembezaan sedemikian.
zlm_0031	Perkara 8.
zlm_0032	Setiap orang adalah berhak kepada pemulihan yang berkesan oleh tribunal-tribunal kebangsaan yang kompeten terhadap tindakan-tindakan yang melanggarhak-hak asasi yang diberikannya oleh perlembagaan atau oleh undang-undang.
zlm_0033	Perkara 9.
zlm_0034	Tiada sesiapa pun boleh dikenakan tangkapan, tahanan atau pembuangannegeri secara sewenang-wenangnya.
zlm_0035	Perkara 10.
zlm_0036	Setiap orang adalah berhak dengan samarata sepenuhnya kepada pembicaraanadil dan terbuka oleh suatu tribunal bebas dan saksama, dalam penetapan hak-hak dan tanggungannya dan sebarang tuduhan jenayah terhadapnya.
zlm_0037	Perkara 11.
zlm_0038	1.
