human_rights_un_nno_be_64kb_0001	DEN INTERNASJONALE FRÅSEGNA OM MENNESKERETTANE
human_rights_un_nno_be_64kb_0002	INNLEIING
human_rights_un_nno_be_64kb_0003	Då det å godkjenne det naturlege menneskeverdet med like og umissande rettar for alle menneske på jorda er grunnlaget for fridom, rettferd og fred i verda,og då hån og vørdsløyse mot menneskerettane har ført til barbariske handlingar som har skaka samvitet til menneskeretta, er framvoksteren i den verda der menneska skal ha talefridom og trusfridom og vere løyste frå otte og naud, kunngjord som det høgste målet for kvart menneske,og då det er nødvendig at menneskerettane blir verna om av lover slik at menneska ikkje blir tvinga til å finne den siste utvegen i å gjere opprør mot tyranni og trælekår,og då det er nødvendig å arbeide for betre tilhøve mellom nasjonane,og då folka i Dei Sameinte Nasjonane har stadfest trua si i denne pakta, på grunnleggjande menneskerettar, på menneskeverd og på same rett for mann og kvinne, og har vedteke å arbeide for sosiale framsteg og betre levevilkår i større fridom,og då medlemsstatane har bunde seg til å fremje allmenn vørdnad for pakta og halde seg etter menneskerettane og den grunnleggjande fridomen i samarbeid med Dei Sameinte Nasjonane,og då denne retten og fridomen må bli godkjend av alle dersom pakta skal bli røyndom,
human_rights_un_nno_be_64kb_0004	KUNNGJER
human_rights_un_nno_be_64kb_0005	GENERALFORSAMLINGA
human_rights_un_nno_be_64kb_0006	DEN INTERNASJONALE FRÅSEGNA OM MENNESKERETTANE, som skal peike mot eit sams mål for alle folk og nasjonar.
human_rights_un_nno_be_64kb_0007	Fråsegna må alltid vere i tankane til den einskilde og dei styrande og få dei til å styrkje vørdnaden for rett og fridom gjennom undervisning og oppseding.
human_rights_un_nno_be_64kb_0008	Dei skal syte for at fråsegna blir allment kjend og etterlevd både i medlemslanda og i tilsynsområda, og arbeide trufast med dette både på nasjonalt og internasjonalt grunnlag.
human_rights_un_nno_be_64kb_0009	Artikkel 1.
human_rights_un_nno_be_64kb_0010	Alle menneske er fødde til fridom og med same menneskeverd og menneskerettar.
human_rights_un_nno_be_64kb_0011	Dei har fått fornuft og samvit og skal leve med kvarandre som brør.
human_rights_un_nno_be_64kb_0012	Artikkel 2.
human_rights_un_nno_be_64kb_0013	Kvar einskild har krav på all den rett og fridom som fråsegna nemner, utan skilnad av noko slag på grunn av rase, farge, kjønn, språk, religion, politisk syn eller anna meining, nasjonalt eller sosialt opphav, eigedom, fødsel eller andre tilhøve.
human_rights_un_nno_be_64kb_0014	Den politiske stoda, lovverket eller dei internasjonale påboda eit land lever under, kan ikkje vere påskott til at det blir gjort skilnad på nokon i det landet eller området han høyrer til, anten landet har sjølvstende, står under tilsyn, er ikkje-sjølvstyrt eller sjølvstyret er avgrensa på nokon annan måte.
human_rights_un_nno_be_64kb_0015	Artikkel 3.
human_rights_un_nno_be_64kb_0016	Alle har rett til liv, fridom og personleg tryggleik.
human_rights_un_nno_be_64kb_0017	Artikkel 4.
human_rights_un_nno_be_64kb_0018	Ingen skal haldast i slaveri eller trældom.
human_rights_un_nno_be_64kb_0019	Slaveri og slavehandel av alle slag er forbode.
human_rights_un_nno_be_64kb_0020	Artikkel 5.
human_rights_un_nno_be_64kb_0021	Ingen må torturerast, pinast eller straffast på umenneskeleg eller nedsetjande vis.
human_rights_un_nno_be_64kb_0022	Artikkel 6.
human_rights_un_nno_be_64kb_0023	Alle menneske har krav på at domstolane alle stader godtek dei som rettssubjekt.
human_rights_un_nno_be_64kb_0024	Artikkel 7.
human_rights_un_nno_be_64kb_0025	Alle er like for lova og har krav på same rettsvern, utan skilnad av noko slag.
human_rights_un_nno_be_64kb_0026	Alle har krav på same vern mot at det blir gjort skilnad på folk i strid med denne fråsegna, og vern mot tiltak som ber i seg ein slik fare.
human_rights_un_nno_be_64kb_0027	Artikkel 8.
human_rights_un_nno_be_64kb_0028	Alle har rett til å få fullgod hjelp frå dei lovlege nasjonale domstolane når det gjeld handlingar som krenkjer den retten den einskilde har fått i grunnlova eller lovverket elles.
human_rights_un_nno_be_64kb_0029	Artikkel 9.
human_rights_un_nno_be_64kb_0030	Ingan må utan lov og rett arresterast, setjast i fengsel eller visast ut or landet.
human_rights_un_nno_be_64kb_0031	Artikkel 10.
human_rights_un_nno_be_64kb_0032	Alle har same rett til å få saka si rettferdig og offentleg granska av ein sjølvstendig og upartisk domstol, både når det er pliktene og retten til den einskilde som skal fastsetjast, og når det er reist klagemål mot han.
human_rights_un_nno_be_64kb_0033	Artikkel 11.
human_rights_un_nno_be_64kb_0034	Den som er klaga for ei straffbar handling, har rett til å bli rekna som skuldlaus til ein offentleg domstol, der han har fått full trygd for retten til å forsvare seg, har prova at han er skuldig etter lova.
human_rights_un_nno_be_64kb_0035	Ingen skal kjennast skuldig i ei straffbar handling når det han har gjort eller forsømt ikkje streid mot nasjonal lov eller folkeretten på den tida det hende.
human_rights_un_nno_be_64kb_0036	Han må heller ikkje dømast hardare enn det lova gav høve til då den straffbare handlinga vart utførd.
human_rights_un_nno_be_64kb_0037	Artikkel 12.
human_rights_un_nno_be_64kb_0038	Ingen skal lide under vilkårleg innblanding frå andre, anten det gjeld hans eigen person, familie, heim, brevskifte, eller åtak på ære og omdøme.
human_rights_un_nno_be_64kb_0039	Alle har krav på at lova vernar dei mot slik innblanding eller slike åtak.
human_rights_un_nno_be_64kb_0040	Artikkel 13.
human_rights_un_nno_be_64kb_0041	Alle menneske har rett til å ferdast fritt og til å velje bustad innafor grensene i sitt eige land.
human_rights_un_nno_be_64kb_0042	Det skal også vere full rett til å reise ut or det landet ein bur i, same kva land det er, og til å vende attende til sitt eige land.
human_rights_un_nno_be_64kb_0043	Artikkel 14.
human_rights_un_nno_be_64kb_0044	Alle som blir forfølgde har rett til å søkje og ta imot asyl i eit anna land.
human_rights_un_nno_be_64kb_0045	Denne retten gjeld ikkje i rettssakar som har røynleg grunnlag i upolitiske brotsverk eller handlingar som strir mot formålet og prinsippet til Dei Sameinte Nasjonane.
human_rights_un_nno_be_64kb_0046	Artikkel 15.
human_rights_un_nno_be_64kb_0047	Alle har rett til eit statsborgarskap.
human_rights_un_nno_be_64kb_0048	Ingen skal misse statsborgarskapet sitt vilkårleg, eller bli nekta retten til å endre det.
human_rights_un_nno_be_64kb_0049	Artikkel 16.
human_rights_un_nno_be_64kb_0050	Vaksne menn og kvinner har rett til å gifte seg og skipe familie utan avgrensing av noko slag på grunn av rase, nasjonalitet eller religion.
human_rights_un_nno_be_64kb_0051	Dei har krav på dei same rettane når det gjeld ekteskapet, både så lenge ekteskapet varer og medan det blir løyst opp.
human_rights_un_nno_be_64kb_0052	Ekteskapet må berre kome i stand etter fritt og fullt samtykke frå begge partar.
human_rights_un_nno_be_64kb_0053	Familien er den naturlege og grunnleggjande eininga i samfunnet og har krav på at staten og samfunnet vernar om det.
human_rights_un_nno_be_64kb_0054	Artikkel 17.
human_rights_un_nno_be_64kb_0055	Alle har rett til å ha eigedom åleine og saman med andre.
human_rights_un_nno_be_64kb_0056	Ingen skal vilkårleg bli fråteken eigedomen sin.
human_rights_un_nno_be_64kb_0057	Artikkel 18.
human_rights_un_nno_be_64kb_0058	Alle har rett til tankefridom, samvitsfridom og religionfridom.
human_rights_un_nno_be_64kb_0059	Denne retten gjeld fridom til å endre religion eller tru, og fridom til å målbere sin eigen religion eller si eiga truslære i gjerning og framferd, anten åleine eller saman med andre, offentleg eller privat.
human_rights_un_nno_be_64kb_0060	Artikkel 19.
human_rights_un_nno_be_64kb_0061	Alle skal ha meinings- og ytringsfridom.
human_rights_un_nno_be_64kb_0062	Denne retten gjeld fridom til å ha meiningar utan innblanding, til å søkje, ta imot og gjere kjent opplysningar og idear gjennom alle dei informasjonskanalar som finst, og på tvers av alle grenser.
human_rights_un_nno_be_64kb_0063	Artikkel 20.
human_rights_un_nno_be_64kb_0064	Alle har rett til fritt å vere med på møte og i organisasjonar med fredelege formål.
human_rights_un_nno_be_64kb_0065	Ingen kan tvingast inn i ein organisasjon.
human_rights_un_nno_be_64kb_0066	Artikkel 21.
human_rights_un_nno_be_64kb_0067	Alle skal ha rett til å vere med på å styre landet sitt, beinveges eller gjennom talsmenn som er peika ut i frie val.
human_rights_un_nno_be_64kb_0068	Alle skal ha same retten til å gjere teneste i offentlege ombod i landet sitt.
human_rights_un_nno_be_64kb_0069	Folkeviljen skal vere grunnlaget for den makta som er lagd til styremaktene.
human_rights_un_nno_be_64kb_0070	Folkeviljen skal kome til syne gjennom regelfaste og røynlege val, som er grunna på allmenn og lik røysterett i løynlege val eller på annan jamgod røystemåte.
human_rights_un_nno_be_64kb_0071	Artikkel 22.
human_rights_un_nno_be_64kb_0072	Kvar einskild medlem i samfunnet har rett til sosial tryggleik, og har krav på at dei økonomiske, sosiale og kulturelle godane, som han ikkje kan vere utan om han skal ha vørdnad for seg sjølv og styrke den personlege karakteren sin, blir løyste gjennom nasjonale tiltak og internasjonalt samarbeid i samsvar med det kvar stat maktar.
