human_rights_un_pl_km_64kb_0001	POWSZECHNA DEKLARACJA PRAW CZŁOWIEKA
human_rights_un_pl_km_64kb_0002	Trzecia Sesja Ogólnego Zgromadzenia ONZ, obradująca w Paryżu, uchwaliła 10 grudnia 1948 roku jednomyślnie Powszechną Deklarację Praw Człowieka.
human_rights_un_pl_km_64kb_0003	Dokument ten stanowi niewątpliwie jedno z największych i najtrwalszych osiągnięć ONZ.
human_rights_un_pl_km_64kb_0004	Przetłumaczona na większość języków świata Powszechna Deklaracja Praw Człowieka zbiera oraz porządkuje osiągnięcia i postulaty człowieka, który od wielu setek lat toczy nie skończoną jeszcze walkę o swoją wolność i swoją godność.
human_rights_un_pl_km_64kb_0005	Preambuła
human_rights_un_pl_km_64kb_0006	ZWAŻYWSZY, że uznanie przyrodzonej godności oraz równych i niezbywalnych praw wszystkich członków wspólnoty ludzkiej jest podstawą wolności, sprawiedliwości i pokoju świata,
human_rights_un_pl_km_64kb_0007	ZWAŻYWSZY, że nieposzanowanie i nieprzestrzeganie praw człowieka doprowadziło do aktów barbarzyństwa, które wstrząsnęły sumieniem ludzkości, i że ogłoszono uroczyście jako najwznioślejszy cel ludzkości dążenie do zbudowania takiego świata, w którym ludzie korzystać będą z wolności słowa i przekonań oraz z wolności od strachu i nędzy,
human_rights_un_pl_km_64kb_0008	ZWAŻYWSZY, że konieczne jest zawarowanie praw człowieka przepisami prawa, aby nie musiał - doprowadzony do ostateczności - uciekać się do buntu przeciw tyranii i uciskowi,
human_rights_un_pl_km_64kb_0009	ZWAŻYWSZY, że konieczne jest popieranie rozwoju przyjaznych stosunków między narodami,
human_rights_un_pl_km_64kb_0010	ZWAŻYWSZY, że Narody Zjednoczone przywróciły swą wiarę w podstawowe prawa człowieka, godność i wartość jednostki oraz w równouprawnienie mężczyzn i kobiet, oraz wyraziły swe zdecydowanie popierania postępu społecznego i poprawy warunków życia w większej wolności,
human_rights_un_pl_km_64kb_0011	ZWAŻYWSZY, że Państwa Członkowskie podjęły się we współpracy z Organizacją Narodów Zjednoczonych zapewnić powszechne poszanowanie i przestrzeganie praw człowieka i podstawowych wolności,
human_rights_un_pl_km_64kb_0012	ZWAŻYWSZY, że jednakowe rozumienie tych praw i wolności ma olbrzymie znaczenie dla ich pełnej realizacji,
human_rights_un_pl_km_64kb_0013	PRZETO ZGROMADZENIE OGÓLNE
human_rights_un_pl_km_64kb_0014	Ogłasza Uroczyście niniejszą Powszechną Deklarację Praw Człowieka jako wspólny najwyższy cel wszystkich ludów i wszystkich narodów, aby wszyscy ludzie i wszystkie organy społeczeństwa - mając stale w pamięci niniejszą Deklarację - dążyły w drodze nauczania i wychowywania do rozwijania poszanowania tych praw i wolności i aby zapewniły za pomocą postępowych środków o zasięgu krajowym i międzynarodowym powszechne i skuteczne uznanie i stosowanie tej Deklaracji zarówno wśród narodów Państw Członkowskich, jak i wśród narodów zamieszkujących obszary podległe ich władzy.
human_rights_un_pl_km_64kb_0015	Artykuł 1
human_rights_un_pl_km_64kb_0016	Wszyscy ludzie rodzą się wolni i równi pod względem swej godności i swych praw.
human_rights_un_pl_km_64kb_0017	Są oni obdarzeni rozumem i sumieniem i powinni postępować wobec innych w duchu braterstwa.
human_rights_un_pl_km_64kb_0018	Artykuł 2
human_rights_un_pl_km_64kb_0019	Każdy człowiek posiada wszystkie prawa i wolności zawarte w niniejszej Deklaracji bez względu na jakiekolwiek różnice rasy, koloru, płci, języka, wyznania, poglądów politycznych i innych, narodowości, pochodzenia społecznego, majątku, urodzenia lub jakiegokolwiek innego stanu.
human_rights_un_pl_km_64kb_0020	Nie wolno ponadto czynić żadnej różnicy w zależności od sytuacji politycznej, prawnej lub międzynarodowej kraju lub obszaru, do którego dana osoba przynależy, bez względu na to, czy dany kraj lub obszar jest niepodległy, czy też podlega systemowi powiernictwa, nie rządzi się samodzielnie lub jest w jakikolwiek sposób ograniczony w swej niepodległości.
human_rights_un_pl_km_64kb_0021	Artykuł 3
human_rights_un_pl_km_64kb_0022	Każdy człowiek ma prawo do życia, wolności i bezpieczeństwa swej osoby.
human_rights_un_pl_km_64kb_0023	Artykuł 4
human_rights_un_pl_km_64kb_0024	Nie wolno nikogo czynić niewolnikiem ani nakładać na nikogo służebności;
human_rights_un_pl_km_64kb_0025	niewolnictwo i handel niewolnikami są zakazane we wszystkich swych postaciach.
human_rights_un_pl_km_64kb_0026	Artykuł 5
human_rights_un_pl_km_64kb_0027	Nie wolno nikogo torturować ani karać lub traktować w sposób okrutny, nieludzki lub poniżający.
human_rights_un_pl_km_64kb_0028	Artykuł 6
human_rights_un_pl_km_64kb_0029	Każdy człowiek ma prawo do uznawania wszędzie jego osobowości prawnej.
human_rights_un_pl_km_64kb_0030	Artykuł 7
human_rights_un_pl_km_64kb_0031	Wszyscy są równi wobec prawa i mają prawo, bez jakiejkolwiek różnicy, do jednakowej ochrony prawnej.
human_rights_un_pl_km_64kb_0032	Wszyscy mają prawo do jednakowej ochrony przed jakąkolwiek dyskryminacją, będącą pogwałceniem niniejszej Deklaracji, i przed jakimkolwiek narażeniem na taką dyskryminację.
human_rights_un_pl_km_64kb_0033	Artykuł 8
human_rights_un_pl_km_64kb_0034	Każdy człowiek ma prawo do skutecznego odwoływania się do kompetentnych sądów krajowych przeciw czynom stanowiącym pogwałcenie podstawowych praw przyznanych mu przez konstytucję lub przez prawo.
human_rights_un_pl_km_64kb_0035	Artykuł 9
human_rights_un_pl_km_64kb_0036	Nikogo nie wolno samowolnie aresztować, zatrzymać lub wygnać z kraju.
human_rights_un_pl_km_64kb_0037	Artykuł 10
human_rights_un_pl_km_64kb_0038	Każdy człowiek ma na warunkach całkowitej równości prawo, aby przy rozstrzyganiu o jego prawach i zobowiązaniach lub o zasadności wysuwanego przeciw niemu oskarżenia o popełnienie przestępstwa być słuchanym sprawiedliwie i publicznie przez niezależny i bezstronny sąd.
human_rights_un_pl_km_64kb_0039	Artykuł 11
human_rights_un_pl_km_64kb_0040	Każdy człowiek oskarżony o popełnienie przestępstwa ma prawo, aby uznawano go za niewinnego dopóty, dopóki nie udowodni mu się winy zgodnie z prawem podczas publicznego procesu, w którym zapewniono mu wszystkie konieczne środki obrony.
human_rights_un_pl_km_64kb_0041	Nikt nie może być skazany za przestępstwo z powodu działania lub zaniechania nie stanowiącego w chwili jego dokonania przestępstwa według prawa krajowego lub międzynarodowego.
human_rights_un_pl_km_64kb_0042	Nie wolno także wymierzać kary wyższej niż ta, która była przewidziana w chwili popełnienia przestępstwa.
human_rights_un_pl_km_64kb_0043	Artykuł 12
human_rights_un_pl_km_64kb_0044	Nie wolno ingerować samowolnie w czyjekolwiek życie prywatne, rodzinne, domowe, ani w jego korespondencję, ani też uwłaczać jego honorowi lub dobremu imieniu.
human_rights_un_pl_km_64kb_0045	Każdy człowiek ma prawo do ochrony prawnej przeciwko takiej ingerencji lub uwłaczaniu.
human_rights_un_pl_km_64kb_0046	Artykuł 13
human_rights_un_pl_km_64kb_0047	Każdy człowiek ma prawo swobodnego poruszania się i wyboru miejsca zamieszkania w granicach każdego Państwa.
human_rights_un_pl_km_64kb_0048	Każdy człowiek ma prawo opuścić jakikolwiek kraj, włączając w to swój własny, i powrócić do swego kraju.
human_rights_un_pl_km_64kb_0049	Artykuł 14
human_rights_un_pl_km_64kb_0050	Każdy człowiek ma prawo ubiegać się o azyl i korzystać z niego w innym kraju w razie prześladowania.
human_rights_un_pl_km_64kb_0051	Nie można powoływać się na to prawo w przypadku ścigania wszczętego rzeczywiście z powodu popełnienia przestępstwa pospolitego lub czynu sprzecznego z celami i zasadami Organizacji Narodów Zjednoczonych.
human_rights_un_pl_km_64kb_0052	Artykuł 15
human_rights_un_pl_km_64kb_0053	Każdy człowiek ma prawo do posiadania obywatelstwa.
human_rights_un_pl_km_64kb_0054	Nie wolno nikogo pozbawiać samowolnie obywatelstwa ani nikomu odmawiać prawa do zmiany obywatelstwa.
human_rights_un_pl_km_64kb_0055	Artykuł 16
human_rights_un_pl_km_64kb_0056	Mężczyźni i kobiety bez względu na jakiekolwiek różnice rasy, narodowości lub wyznania mają prawo po osiągnięciu pełnoletności do zawarcia małżeństwa i założenia rodziny.
human_rights_un_pl_km_64kb_0057	Mają oni równe prawa w odniesieniu do zawierania małżeństwa, podczas jego trwania i po jego ustaniu.
human_rights_un_pl_km_64kb_0058	Małżeństwo może być zawarte jedynie za swobodnie wyrażoną pełną zgodą przyszłych małżonków.
human_rights_un_pl_km_64kb_0059	Rodzina jest naturalną i podstawową komórką społeczeństwa i ma prawo do ochrony ze strony społeczeństwa i Państwa.
human_rights_un_pl_km_64kb_0060	Artykuł 17
human_rights_un_pl_km_64kb_0061	Każdy człowiek, zarówno sam jak i wespół z innymi, ma prawo do posiadania własności.
human_rights_un_pl_km_64kb_0062	Nie wolno nikogo samowolnie pozbawiać jego własności.
human_rights_un_pl_km_64kb_0063	Artykuł 18
human_rights_un_pl_km_64kb_0064	Każdy człowiek ma prawo wolności myśli, sumienia i wyznania;
human_rights_un_pl_km_64kb_0065	prawo to obejmuje swobodę zmiany wyznania lub wiary oraz swobodę głoszenia swego wyznania lub wiary bądź indywidualnie, bądź wespół z innymi ludźmi, publicznie i prywatnie, poprzez nauczanie, praktykowanie, uprawianie kultu i przestrzeganie obyczajów.
human_rights_un_pl_km_64kb_0066	Artykuł 19
human_rights_un_pl_km_64kb_0067	Każdy człowiek ma prawo wolności opinii i wyrażania jej;
human_rights_un_pl_km_64kb_0068	prawo to obejmuje swobodę posiadania niezależnej opinii, poszukiwania, otrzymywania i rozpowszechniania informacji i poglądów wszelkimi środkami, bez względu na granice.
human_rights_un_pl_km_64kb_0069	Artykuł 20
human_rights_un_pl_km_64kb_0070	Każdy człowiek ma prawo spokojnego zgromadzania i stowarzyszania się.
human_rights_un_pl_km_64kb_0071	Nikogo nie można zmuszać do należenia do jakiegoś stowarzyszenia.
human_rights_un_pl_km_64kb_0072	Artykuł 21
human_rights_un_pl_km_64kb_0073	Każdy człowiek ma prawo do uczestniczenia w rządzeniu swym krajem bezpośrednio lub poprzez swobodnie wybranych przedstawicieli.
human_rights_un_pl_km_64kb_0074	Każdy człowiek ma prawo równego dostępu do służby publicznej w swym kraju.
human_rights_un_pl_km_64kb_0075	Wola ludu jest podstawą władzy rządu;
human_rights_un_pl_km_64kb_0076	wola ta wyraża się w przeprowadzanych okresowo rzetelnych wyborach, opartych na zasadzie powszechności, równości i tajności, lub na innej równorzędnej procedurze, zapewniającej wolność wyborów.
human_rights_un_pl_km_64kb_0077	Artykuł 22
human_rights_un_pl_km_64kb_0078	Każdy człowiek ma jako członek społeczeństwa prawo do ubezpieczeń społecznych;
human_rights_un_pl_km_64kb_0079	ma również prawo do urzeczywistniania - poprzez wysiłek narodowy i współpracę międzynarodową oraz zgodnie z organizacją i zasobami każdego Państwa - swych praw gospodarczych, społecznych i kulturalnych, niezbędnych dla jego godności i swobodnego rozwoju jego osobowości.
human_rights_un_pl_km_64kb_0080	Artykuł 23
human_rights_un_pl_km_64kb_0081	Każdy człowiek ma prawo do pracy, do swobodnego wyboru pracy, do odpowiednich i zadowalających warunków pracy oraz do ochrony przed bezrobociem.
human_rights_un_pl_km_64kb_0082	Każdy człowiek, bez względu na jakiekolwiek różnice, ma prawo do równej płacy za równą pracę.
human_rights_un_pl_km_64kb_0083	Każdy pracujący ma prawo do odpowiedniego i zadowalającego wynagrodzenia, zapewniającego jemu i jego rodzinie egzystencję odpowiadającą godności ludzkiej i uzupełnianego w razie potrzeby innymi środkami pomocy społecznej.
human_rights_un_pl_km_64kb_0084	Każdy człowiek ma prawo do tworzenia związków zawodowych i do przystępowania do związków zawodowych dla ochrony swych interesów.
human_rights_un_pl_km_64kb_0085	Artykuł 24
human_rights_un_pl_km_64kb_0086	Każdy człowiek ma prawo do urlopu i wypoczynku, włączając w to rozsądne ograniczenie godzin pracy i okresowe płatne urlopy.
human_rights_un_pl_km_64kb_0087	Artykuł 25
human_rights_un_pl_km_64kb_0088	Każdy człowiek ma prawo do stopy życiowej zapewniającej zdrowie i dobrobyt jego i jego rodziny, włączając w to wyżywienie, odzież, mieszkanie, opiekę lekarską i konieczne świadczenia socjalne, oraz prawo do ubezpieczenia na wypadek bezrobocia, choroby, niezdolności do pracy, wdowieństwa, starości lub utraty środków do życia w inny sposób od niego niezależny.
human_rights_un_pl_km_64kb_0089	Matka i dziecko mają prawo do specjalnej opieki i pomocy.
human_rights_un_pl_km_64kb_0090	Wszystkie dzieci, zarówno małżeńskie jak i pozamałżeńskie, korzystają z jednakowej ochrony społecznej.
human_rights_un_pl_km_64kb_0091	Artykuł 26
human_rights_un_pl_km_64kb_0092	Każdy człowiek ma prawo do nauki.
human_rights_un_pl_km_64kb_0093	Nauka jest bezpłatna, przynajmniej na stopniu podstawowym.
human_rights_un_pl_km_64kb_0094	Nauka podstawowa jest obowiązkowa.
human_rights_un_pl_km_64kb_0095	Oświata techniczna i zawodowa jest powszechnie dostępna, a studia wyższe są dostępne dla wszystkich na zasadzie równości w zależności od zalet osobistych.
human_rights_un_pl_km_64kb_0096	Celem nauczania jest pełny rozwój osobowości ludzkiej i ugruntowanie poszanowania praw człowieka i podstawowych wolności.
human_rights_un_pl_km_64kb_0097	Krzewi ono zrozumienie, tolerancję i przyjaźń między wszystkimi narodami, grupami rasowymi lub religijnymi;
human_rights_un_pl_km_64kb_0098	popiera działalność Organizacji Narodów Zjednoczonych zmierzającą do utrzymania pokoju.
human_rights_un_pl_km_64kb_0099	Rodzice mają prawo pierwszeństwa w wyborze nauczania, które ma być dane ich dzieciom.
human_rights_un_pl_km_64kb_0100	Artykuł 27
