human_rights_un_pmp_dm_64kb_0001	Ding Pang Universung Karapatang Pantau A Miproklama Para Ipakilala
human_rights_un_pmp_dm_64kb_0002	Yang Lalung Simple
human_rights_un_pmp_dm_64kb_0003	Uling ing pamangilala king likas a karangalan at king pante at ding e alingad a karapatan ding sablang lahi ding tau iyang pundasyun na ning kalayaan, hustisiya at kapayapan king yatu.
human_rights_un_pmp_dm_64kb_0004	Dapat aintingdian ding sablang bibilug karing sablang pamilya king atin la naman karapatan kalupa ra ding aliwang tau.
human_rights_un_pmp_dm_64kb_0005	Anggang iti e tamu aintindian, e miral ing kalayan, hustisiya at kapayapan.
human_rights_un_pmp_dm_64kb_0006	Uling e tamu pa maie ulaga at pamanamak karing karapatang pantau mamungang pamaglapastangan labag king konsensiya da ring sablang tau, at dasan mu rin king yatu king atamasa ring tau ing kalayan king pamagsalita at pamaniwala at kalayan king pamagnasa, pamikakunu at kasakitan a iyang papakilala nang pekamatas a kapagnasan ning karaniwang tau.
human_rights_un_pmp_dm_64kb_0007	Lebagan do ring karapatang pantau ding dakal a tau.
human_rights_un_pmp_dm_64kb_0008	Ding gera at aliwa pang kararaptanan ilang bibie pasakit karing tau agpang king istorya at king mabilug a yatu.
human_rights_un_pmp_dm_64kb_0009	Ing yatu a nung nokaring ding tau atamasa ra ing karapatang magsalita nanu man ing a isip da, mamili king sarili rang kapaniwalan, at mangabiyayang alang takut at alang pamikakunu king nanu mang kaburian yang dapat mag-ing peka maulaga king keka tamung kapagnasan.
human_rights_un_pmp_dm_64kb_0010	Uling tune maulaga, bang ing tau e mapilitang gumerang lumaban king kalupitan at pamanapi, a ding karapatang pantau dapat proteksyunan la kapamilatan ning batas.
human_rights_un_pmp_dm_64kb_0011	Ding karapatang pantau dapat proteksyunan no ning batas.
human_rights_un_pmp_dm_64kb_0012	Uling tune maulagang paunlakan ing pami ugnaugnayan da ring bansa.
human_rights_un_pmp_dm_64kb_0013	Ding sablang bansa kailangan lang dinang ayudang mikakalapit la.
human_rights_un_pmp_dm_64kb_0014	Uling ding maemalen da ring Mesasanmetung a Bansa menalakaran la king karelang sariling karta king karelang kapanaligan karing karapatang pantau, king dangal a kaulagan na ning pangatau at king pante rang karapatan ning lalaki't babi at pinilmi neng teguyud ing pamanasensung pang lipunan at ing mayap a kabilyan a bie a ating malawak a karapatan.
human_rights_un_pmp_dm_64kb_0015	Kapamilatan na ning kartang iti, ding makaanib karing Mesasanmetung a Bansa pasiwala da ing karelang kapaniwalan karing karapatang pantau, king kaulagan, at ulaga ning balang tau at king pante karapatan ning lalaki't babai.
human_rights_un_pmp_dm_64kb_0016	Mikasundu la rin pasikapan dang atamasa ing kaunlarang pang lipunan at ing mayap a pami bie-bie.
human_rights_un_pmp_dm_64kb_0017	Uling ding kaanib a bansa mengaku la kinng makisaupan la karing Misasanmetung a Bansa, a sikapan dang kamtan ing pamitaguyud king pamangalang at pamanupad ding sabla karing karapatang pantau at karing maulagang kalayan.
human_rights_un_pmp_dm_64kb_0018	Ding bansang kabilang karing Bansang Misasanmetung megaku lang misaup-saupan la king nanu mang paralan bang in karapatan at kalayan ding sablang tau keting yatu proteksyunan da at igalang.
human_rights_un_pmp_dm_64kb_0019	Uling maulagang abalu ra ding sabla ding karapatan at kalayang iti bang pilming matupad ing pangakung iti.
human_rights_un_pmp_dm_64kb_0020	At muna kaulagang aintindian da ring sablang bansa nung nanu la ring karapatan at kalayan a reti bang atuparan la ding pangaku.
human_rights_un_pmp_dm_64kb_0021	Pauli na niti, papasiwala na ning pangalaganap a kapulungan ing pamisiwala mabilug a yatu ding karapatang pantau anting metung a pangalaganap a dalerayan ning tagumpe para karing sablang tau at ding sabla nang parting pang lipunan ding memalen, a palagi rang isipan ing pamipasiwalang iti, masikap la king kapamilatan na ning pamanuru at pamagaral at aguyud da ing pamanggalang karing karapatan at kalayan a iti at kapamilatan da ring masasanting a dalerayan, pambansa at pangyatu man, tiyakan ing panglaganap at mabisang pamipaalaga at pamanupad kareti, karing memalen ding musmung kaanib a Estado at karing memalen ding teritoryung sasakupan da.
human_rights_un_pmp_dm_64kb_0022	Pepasiwala na ning Panglaganap a Kapulungan ding Mesasanmetung a Bansa iting pangyatung pangalaganap a dalerayan ning tagumpe para karing sablang tau at karing sablang bansa.
human_rights_un_pmp_dm_64kb_0023	Aduan da karing sablang tau at karing anggang grupu ding lipunan a isundung pagsikapang akamtan ding kapakayan a reti kapamilatan ning pamanuru king pamangglalang karing karapatang pantau at kalayan at king kapamilatan ning pamipatibe ding batas a bibie migit a masanting a proteksyun karing karapatang kalayang iti.
human_rights_un_pmp_dm_64kb_0024	Artikulo 1
human_rights_un_pmp_dm_64kb_0025	Ding sablang tau mibait lang malaya at pante-pante king karangalan at karapatan.
human_rights_un_pmp_dm_64kb_0026	Ila mipagkaluban lang katuliran at konsensiya ay dapat misaupan king diwang pamikapatiran.
human_rights_un_pmp_dm_64kb_0027	Artikulo 2
human_rights_un_pmp_dm_64kb_0028	Ing balang metung atin iyang karapatan karing anggang karapatan at kalayang tikda na ning Proklamasyun a iti, king alang lalon ninu mang lahi, kule, pangatau, salita, reliyun, kapaniwalan king pulitika o aliwa pang pamaniwala penibatang bansa o lipunan, pibandian, kepaitan o aliwa pang kabilyan.
human_rights_un_pmp_dm_64kb_0029	Maliban pa kareta, ing pamialiwang paglalawe tungkul king pulitika e dapat magawa agpang king kabilyang pulitikal, sakup o pangyatu ning bansa o teritoryu a nung nokarin iya ing tau magsasarili iya man iti, mamasa, e magsarili o king lalam ning aliwang mitakdang pamaggobierno.
human_rights_un_pmp_dm_64kb_0030	Artikulo 3
human_rights_un_pmp_dm_64kb_0031	Ding balang metung atin lang karapatang mie kalayan at kaligtasan antimong tau.
human_rights_un_pmp_dm_64kb_0032	Artikulo 4
human_rights_un_pmp_dm_64kb_0033	Alang ninu man ing dapat gawan alipan o busabus;
human_rights_un_pmp_dm_64kb_0034	makabawal la ding sablang bage pamanalipa at pamangalakal alipan.
human_rights_un_pmp_dm_64kb_0035	Artikulo 5
human_rights_un_pmp_dm_64kb_0036	Alang ninu man ing mipailalam ya king labis a pamipasakit o pamagmalupit, a e makatau mababang pamanuring o pamamarusa.
human_rights_un_pmp_dm_64kb_0037	Artikulo 6
human_rights_un_pmp_dm_64kb_0038	Ing balang metung atin iyang karapatang kilalanan, nokarin man, anting metung a tau king arap ning batas.
human_rights_un_pmp_dm_64kb_0039	Artikulo 7
human_rights_un_pmp_dm_64kb_0040	Ding sabla pante-pante la king arap ning atas at atin lang karapatan king pante-pante proteksyun ning batas a alang pipilinan.
human_rights_un_pmp_dm_64kb_0041	Ding sabla atin lang karapatan king pante-pante laban king nanu mang pamimili a labag king Proklamasyun a iti at laban king nanu mang pamanulsul king mesabing pamamili.
human_rights_un_pmp_dm_64kb_0042	Artikulo 8
human_rights_un_pmp_dm_64kb_0043	Ing balang metung atin iyang karapatan king mabisang atul ning karapat-dapat a pambansang huwes agpang karing lalabag karing panimulang karapatan a ipagkalub na kaya ning konstitusyun o ning batas.
human_rights_un_pmp_dm_64kb_0044	Artikulo 9
human_rights_un_pmp_dm_64kb_0045	Alang ninu man ing mipailalam ya king e makaturlirang pangarakap, pamipakulung o pamipaugse.
human_rights_un_pmp_dm_64kb_0046	Artikulo 10
human_rights_un_pmp_dm_64kb_0047	Balang metung atin lang lubus a pante-panteng karapatan king makatuliran at lantad a pamaglitis ning metung a malaya at alang kikilingang usgadu king pamaniguru na karing kayang karapatan at pakibatan at nanu mang dimandang kriminal laban kaya.
human_rights_un_pmp_dm_64kb_0048	Artikulo 11
human_rights_un_pmp_dm_64kb_0049	Ing balang metung a akusadu king kasalanan a miparusan at ing karapatan ning ninu mang taung mi akusang linabag karing batas atin iyang karapatang ituring inosenti o alang sala anggang e mipatunayang mikasala agpang king batas king makalantad a pamaglitis atilu kaya ding sablang grantiyang kailangan king kayang dispensa.
human_rights_un_pmp_dm_64kb_0050	Alang ninu mang miyatulang mikasala a nanu man pamikasala mipaparusan pauli na ning nanu mang gewa o pamangulung a e tuturing pamikasalang mipaparusan, agpang king batas a pambansa o pangyatu, inyanga awan da ita.
human_rights_un_pmp_dm_64kb_0051	At e dapat miparatangang mas mabayat a parusa kesa kanitang bibie na ning batas iniyang megawa ing pamikasalang mipaparusan.
human_rights_un_pmp_dm_64kb_0052	Artikulo 12
human_rights_un_pmp_dm_64kb_0053	Alang ninu man ing mipailalam ya keng e makatulirang pamakialam da king kayang sarili, pamilya, bale o karing sulat o pamanamak king kayang dangal at lagyu.
human_rights_un_pmp_dm_64kb_0054	Ing balang metung ating iyang karapatan king proteksyun ning batas laban king makanyan a pamakialam o pamanamak.
human_rights_un_pmp_dm_64kb_0055	Artikulo 13
human_rights_un_pmp_dm_64kb_0056	Atin iyang karapatang lumipat ing balang metung at manuknangan kilub ning sasakupan naning balang Estado.
human_rights_un_pmp_dm_64kb_0057	Atin iyang karapatang mako ing balang metung karing sanu mang bansa, maging king sariling bansa, at mibalik king kayang bansa.
human_rights_un_pmp_dm_64kb_0058	Artikulo 14
human_rights_un_pmp_dm_64kb_0059	Ing balang metung atin iyang karapatan a maniawad at tanggap asaylum king aliwang bansa nung iti pasakitan de.
human_rights_un_pmp_dm_64kb_0060	Ing karapatan a iti eya magamit nung ing pamipasakit sadya lang bunga ding pamikasalang e pulitikal o pemangawang salungat karing kapakayan at tuntunan da ding Misasanmetung a Bansa.
human_rights_un_pmp_dm_64kb_0061	Artikulo 15
human_rights_un_pmp_dm_64kb_0062	Ing balang metung atin iyang karapatan anting memalen.
human_rights_un_pmp_dm_64kb_0063	Alang ninu mang e makatulirang lako ra ing kayang papangamemalen o pagkaitang karapatang mamalit king kayang pangamemalen.
human_rights_un_pmp_dm_64kb_0064	Artikulo 16
human_rights_un_pmp_dm_64kb_0065	Ding lalaki't babai a atiyu na king ustung idad, a alang mitakdang lahi pangamemalen o reliyun, ating iyang karapatang maki-asawa at mika-atin iyang pamilya.
human_rights_un_pmp_dm_64kb_0066	Iia ating lang pante karapatan king kasal kabang miasawa la at king pamipalako nang bisa niti.
human_rights_un_pmp_dm_64kb_0067	Ing kasal magawa mu king malaya at lubus dang kaburian ding ikakasal.
human_rights_un_pmp_dm_64kb_0068	Ing Pamilya likas iyang batayan parti ning lipunan at ating karapatan king proteksyun ning lipinan at estado.
human_rights_un_pmp_dm_64kb_0069	Artikulo 17
human_rights_un_pmp_dm_64kb_0070	Ing balang metung atin iyang karapatang mika-bandi pibandian a magsa-sarili at kayabe ding aliwa.
human_rights_un_pmp_dm_64kb_0071	Alang ninu mang makatuliran para ilako ra ing kayang pibandian.
human_rights_un_pmp_dm_64kb_0072	Artikulo 18
human_rights_un_pmp_dm_64kb_0073	Ing balang metung ating iyang karapatan king pami-isip, konsensiya at reliyun;
human_rights_un_pmp_dm_64kb_0074	kayabe king karapatang iti ing kalayan a mamalit king kayang reliyun o kapaniwalan, ing kalayan a mag dili-dili man o kayabe ding aliwa at king publiku o pribabdo, a pamalinawan king aral, gawa pamanyamba at pamagdiwang.
human_rights_un_pmp_dm_64kb_0075	Artikulo 19
human_rights_un_pmp_dm_64kb_0076	Ing balang metung atin yang karapatan at kalayan at mamye at magsiwalat a opinyun, kayabe ding karapatang deni atin tamung kalayan a alang maialam o pamintuan man, tanggap at mamie impormasyun o kaisipan keng nanumang klasing paralan a e makatarungan kareng limitasyun da reng kalayan a reti.
human_rights_un_pmp_dm_64kb_0077	Artikulo 20
human_rights_un_pmp_dm_64kb_0078	Ding balang tau atin lang karapatan at kalayan at makiaguman at maki-alu-bilu.
human_rights_un_pmp_dm_64kb_0079	Ita mu era kata apilit makiabe king nanu pa mang grupo o pami-abe-abe a labag king kekang kaburian.
human_rights_un_pmp_dm_64kb_0080	Artikulo 21
human_rights_un_pmp_dm_64kb_0081	Ing balang metung atin iyang karapatang ganap parti king gobiernu na ning kayang bansa, diretsuan o king kapamilatan ning kalayang pamili karing maging peka katawan.
human_rights_un_pmp_dm_64kb_0082	Ing balang metung atin iyang karapatan king pareung pamagserbisyung pambalen king kayang bansa.
human_rights_un_pmp_dm_64kb_0083	Ing kaburian ding memalen iya dapat maging batayan ning upaya ning gobiernu;
