human_rights_un_por_sl_64kb_0001	Declaração Universal dos Direitos Humanos
human_rights_un_por_sl_64kb_0002	Preâmbulo
human_rights_un_por_sl_64kb_0003	Considerando que o reconhecimento da dignidade inerente a todos os membros da família humana e dos seus direitos iguais e inalienáveis constitui o fundamento da liberdade, da justiça e da paz no mundo;
human_rights_un_por_sl_64kb_0004	Considerando que o desconhecimento e o desprezo dos direitos humanos conduziram a actos de barbárie que revoltam a consciência da Humanidade e que o advento de um mundo em que os seres humanos sejam livres de falar e de crer, libertos do terror e da miséria, foi proclamado como a mais alta inspiração do ser humano;
human_rights_un_por_sl_64kb_0005	Considerando que é essencial a protecção dos direitos humanos através de um regime de direito, para que os seres humanos não sejam compelidos, em supremo recurso, à revolta contra a tirania e a opressão;
human_rights_un_por_sl_64kb_0006	Considerando que é essencial encorajar o desenvolvimento de relações amistosas entre as nações;
human_rights_un_por_sl_64kb_0007	Considerando que, na Carta, os povos das Nações Unidas proclamam, de novo, a sua fé nos direitos fundamentais dos seres humanos, na dignidade e no valor da pessoa humana, na igualdade de direitos dos homens e das mulheres e se declararam resolvidos a favorecer o progresso social e a instaurar melhores condições de vida dentro de uma liberdade mais ampla;
human_rights_un_por_sl_64kb_0008	Considerando que os Estados membros se comprometeram a promover, em cooperação com a Organização das Nações Unidas, o respeito universal e efectivo dos direitos humanos e das liberdades fundamentais;
human_rights_un_por_sl_64kb_0009	Considerando que uma concepção comum destes direitos e liberdades é da mais alta importância para dar plena satisfação a tal compromisso:
human_rights_un_por_sl_64kb_0010	A Assembleia Geral proclama a presente Declaração Universal dos Direitos Humanos como ideal comum a atingir por todos os povos e todas as nações, a fim de que todos os indivíduos e todos os órgãos da sociedade, tendo‐a constantemente no espírito, se esforcem, pelo ensino e pela educação, por desenvolver o respeito desses direitos e liberdades e por promover, por medidas progressivas de ordem nacional e internacional, o seu reconhecimento e a sua aplicação universais e efectivos tanto entre as populações dos próprios Estados membros como entre as dos territórios colocados sob a sua jurisdição.
human_rights_un_por_sl_64kb_0011	Artigo 1.
human_rights_un_por_sl_64kb_0012	º
human_rights_un_por_sl_64kb_0013	Todos os seres humanos nascem livres e iguais em dignidade e em direitos.
human_rights_un_por_sl_64kb_0014	Dotados de razão e de consciência, devem agir uns para com os outros em espírito de fraternidade.
human_rights_un_por_sl_64kb_0015	Artigo 2.
human_rights_un_por_sl_64kb_0016	º
human_rights_un_por_sl_64kb_0017	Todos os seres humanos podem invocar os direitos e as liberdades proclamados na presente Declaração, sem distinção alguma, nomeadamente de raça, de cor, de sexo, de língua, de religião, de opinião política ou outra, de origem nacional ou social, de fortuna, de nascimento ou de qualquer outra situação.
