human_rights_un_pql_jawo_64kb_0001	VŠEOBECNÁ DEKLARACE LIDSKÝCH PRÁV
human_rights_un_pql_jawo_64kb_0002	Úvod
human_rights_un_pql_jawo_64kb_0003	U vědomí toho,že uznání přirozené důstojnosti a rovných a nezcizitelných práv členů lidské rodiny je základem svobody, spravedlnosti a míru ve světě,že zneuznání lidských práv a pohrdání jimi vedlo k barbarským činům, urážejícím svědomí lidstva, a že vybudování světa, ve kterém lidé, zbavení strachu a nouze, se budou těšiti svobodě projevu a přesvědčení, bylo prohlášeno za nejvyšší cíl lidu,že je nutné, aby lidská práva byla chráněna zákonem, nemá-li být člověk donucen uchylovat se, když vše ostatní selhalo, k odboji proti tyranii a útlaku,že je nutné podporovat rozvoj přátelských vztahu mezi národy,že lid Spojených národů zdůraznil v Chartě znovu svou víru v základní lidská práva, v důstojnost a hodnotu lidské osobnosti, v rovná práva mužů i žen a že se rozhodl podporovat sociální pokrok a vytvořit lepší životní podmínky ve větší svobodě,že členské státy převzaly závazek zajistit ve spolupráci s Organizací spojených národů všeobecné uznávání a zachovávání lidských práv a základních svobod aže stejné chápání těchto práv a svobod má nesmírný význam pro dokonalé splnění tohoto závazku,
human_rights_un_pql_jawo_64kb_0004	Valné shromážděnívyhlašuje tuto
human_rights_un_pql_jawo_64kb_0005	Všeobecnou deklaraci lidských právjakožto společný cíl pro všechny národy a všechny státy za tím účelem, aby se každý jednotlivec a každý orgán společnosti, maje tuto deklaraci stále na mysli, snažil vyučováním a výchovou rozšířit úctu k těmto právům a svobodám a zajistil postupnými opatřeními vnitrostátními i mezinárodními jejich všeobecné a účinné uznávání a zachovávání jak mezi lidem členských států samých, tak i mezi lidem území, jež jsou pod jejich pravomocí.
human_rights_un_pql_jawo_64kb_0006	Článek 1
human_rights_un_pql_jawo_64kb_0007	Všichni lidé rodí se svobodní a sobě rovní co do důstojnosti a práv.
human_rights_un_pql_jawo_64kb_0008	Jsou nadáni rozumem a svědomím a mají spolu jednat v duchu bratrství.
human_rights_un_pql_jawo_64kb_0009	Článek 2
human_rights_un_pql_jawo_64kb_0010	Každý má všechna práva a všechny svobody, stanovené touto deklarací, bez jakéhokoli rozlišování, zejména podle rasy, barvy, pohlaví, jazyka, náboženství, politického nebo jiného smýšlení, národnostního nebo sociálního původu, majetku, rodu nebo jiného postavení.
human_rights_un_pql_jawo_64kb_0011	Žádný rozdíl nebude dále činěn z důvodu politického, právního nebo mezinárodního postavení země nebo území, k nimž určitá osoba přísluší, ať jde o zemi nebo území nezávislé nebo pod poručenstvím, nesamosprávné nebo podrobené jakémukoli jinému omezení suverenity.
human_rights_un_pql_jawo_64kb_0012	Článek 3
human_rights_un_pql_jawo_64kb_0013	Každý má právo na život, svobodu a osobní bezpečnost.
human_rights_un_pql_jawo_64kb_0014	Článek 4
human_rights_un_pql_jawo_64kb_0015	Nikdo nesmí být držen v otroctví nebo nevolnictví;
human_rights_un_pql_jawo_64kb_0016	všechny formy otroctví a obchodu s otroky jsou zakázány.
human_rights_un_pql_jawo_64kb_0017	Článek 5
human_rights_un_pql_jawo_64kb_0018	Nikdo nesmí být mučen nebo podrobován krutému, nelidskému nebo ponižujícímu zacházení nebo trestu.
human_rights_un_pql_jawo_64kb_0019	Článek 6
human_rights_un_pql_jawo_64kb_0020	Každý má právo na to, aby byla všude uznávána jeho právní osobnost.
human_rights_un_pql_jawo_64kb_0021	Článek 7
human_rights_un_pql_jawo_64kb_0022	Všichni jsou si před zákonem rovni a mají právo na stejnou ochranu zákona bez jakéhokoli rozlišování.
human_rights_un_pql_jawo_64kb_0023	Všichni mají právo na stejnou ochranu proti jakékoli diskriminaci, která porušuje tuto deklaraci, a proti každému podněcování k takové diskriminaci.
human_rights_un_pql_jawo_64kb_0024	Článek 8
human_rights_un_pql_jawo_64kb_0025	Každý má právo, aby mu příslušné vnitrostátní soudy poskytly účinnou ochranu proti činům porušujícím základní práva, která jsou mu přiznána ústavou nebo zákonem.
human_rights_un_pql_jawo_64kb_0026	Článek 9
human_rights_un_pql_jawo_64kb_0027	Nikdo nesmí být svévolně zatčen, držen ve vazbě nebo vyhoštěn do vyhnanství.
human_rights_un_pql_jawo_64kb_0028	Článek 10
human_rights_un_pql_jawo_64kb_0029	Každý má úplně stejné právo, aby byl spravedlivě a veřejně vyslechnut nezávislým a nestranným soudem, který rozhoduje buď o jeho právech a povinnostech, nebo o jakémkoli trestním obvinění vzneseném proti němu.
human_rights_un_pql_jawo_64kb_0030	Článek 11
human_rights_un_pql_jawo_64kb_0031	Každý, kdo je obviněn z trestného činu, považuje se za nevinného, dokud není zákonným postupem prokázána jeho vina ve veřejném řízení, v němž mu byly zajištěny veškeré možnosti obhajoby.
human_rights_un_pql_jawo_64kb_0032	Nikdo nesmí být odsouzen pro čin nebo opomenutí, které v době, kdy byly spáchány, nebyly trestné podle státního nebo mezinárodního práva.
human_rights_un_pql_jawo_64kb_0033	Rovněž nesmí být uložen trest těžší, než jakého bylo lze použít v době, kdy byl trestný čin spáchán.
human_rights_un_pql_jawo_64kb_0034	Článek 12
human_rights_un_pql_jawo_64kb_0035	Nikdo nesmí být vystaven svévolnému zasahování do soukromého života, do rodiny, domova nebo korespondence, ani útokům na svou čest a pověst.
human_rights_un_pql_jawo_64kb_0036	Každý má právo na zákonnou ochranu proti takovým zásahům nebo útokům.
human_rights_un_pql_jawo_64kb_0037	Článek 13
human_rights_un_pql_jawo_64kb_0038	Každý má právo volně se pohybovat a svobodně si volit bydliště uvnitř určitého státu.
human_rights_un_pql_jawo_64kb_0039	Každý má právo opustit kteroukoli zemi, i svou vlastní, a vrátit se do své země.
human_rights_un_pql_jawo_64kb_0040	Článek 14
human_rights_un_pql_jawo_64kb_0041	Každý má právo vyhledat si před pronásledováním útočiště v jiných zemích a požívat tam azylu.
human_rights_un_pql_jawo_64kb_0042	Toto právo nelze uplatnit v případě stíhání skutečně odůvodněného nepolitickými zločiny nebo činy, které jsou v rozporu s cíli a zásadami Spojených národů.
human_rights_un_pql_jawo_64kb_0043	Článek 15
human_rights_un_pql_jawo_64kb_0044	Každý má právo na státní příslušnost.
human_rights_un_pql_jawo_64kb_0045	Nikdo nesmí být svévolně zbaven své státní příslušnosti ani práva svou státní příslušnost změnit.
human_rights_un_pql_jawo_64kb_0046	Článek 16
human_rights_un_pql_jawo_64kb_0047	Muži a ženy, jakmile dosáhnou plnoletosti, mají právo, bez jakéhokoli omezení z důvodů příslušnosti rasové, národnostní nebo náboženské, uzavřít sňatek a založit rodinu.
human_rights_un_pql_jawo_64kb_0048	Pokud jde o manželství, mají za jeho trvání i při jeho rozvázání stejná práva.
human_rights_un_pql_jawo_64kb_0049	Sňatky mohou být uzavřeny jen se svobodným a plným souhlasem nastávajících manželů.
human_rights_un_pql_jawo_64kb_0050	Rodina je přirozenou a základní jednotkou společnosti a má nárok na ochranu ze strany společnosti a státu.
human_rights_un_pql_jawo_64kb_0051	Článek 17
human_rights_un_pql_jawo_64kb_0052	Každý má právo vlastnit majetek jak sám, tak spolu s jinými.
human_rights_un_pql_jawo_64kb_0053	Nikdo nesmí být svévolně zbaven svého majetku.
human_rights_un_pql_jawo_64kb_0054	Článek 18
human_rights_un_pql_jawo_64kb_0055	Každý má právo na svobodu myšlení, svědomí a náboženství;
human_rights_un_pql_jawo_64kb_0056	toto právo zahrnuje v sobě i volnost změnit své náboženství nebo víru, jakož i svobodu projevovat své náboženství nebo víru, sám nebo společně s jinými, ať veřejně nebo soukromě, vyučováním, prováděním náboženských úkonů, bohoslužbou a zachováváním obřadů.
human_rights_un_pql_jawo_64kb_0057	Článek 19
human_rights_un_pql_jawo_64kb_0058	Každý má právo na svobodu přesvědčení a projevu;
human_rights_un_pql_jawo_64kb_0059	toto právo nepřipouští, aby někdo trpěl újmu pro své přesvědčení, a zahrnuje právo vyhledávat, přijímat a rozšiřovat informace a myšlenky jakýmikoli prostředky a bez ohledu na hranice.
human_rights_un_pql_jawo_64kb_0060	Článek 20
human_rights_un_pql_jawo_64kb_0061	Každému je zaručena svoboda pokojného shromažďování a sdružování.
human_rights_un_pql_jawo_64kb_0062	Nikdo nesmí být nucen, aby byl členem nějakého sdružení.
human_rights_un_pql_jawo_64kb_0063	Článek 21
human_rights_un_pql_jawo_64kb_0064	Každý má právo, aby se účastnil vlády své země přímo nebo prostřednictvím svobodně volených zástupců.
human_rights_un_pql_jawo_64kb_0065	Každý má právo vstoupit za rovných podmínek do veřejných služeb své země.
human_rights_un_pql_jawo_64kb_0066	Základem vládní moci budiž vůle lidu;
human_rights_un_pql_jawo_64kb_0067	ta musí být vyjádřena správně prováděnými volbami, které se mají konat v pravidelných obdobích na základě všeobecného a rovného hlasovacího práva tajným hlasováním nebo jiným rovnocenným postupem, zabezpečujícím svobodu hlasování.
human_rights_un_pql_jawo_64kb_0068	Článek 22
human_rights_un_pql_jawo_64kb_0069	Každý člověk má jako člen společnosti právo na sociální zabezpečení a nárok na to, aby mu byla národním úsilím i mezinárodní součinností a v souladu s organizací a s prostředky příslušného státu zajištěna hospodářská, sociální a kulturní práva, nezbytná k jeho důstojnosti a k svobodnému rozvoji jeho osobnosti.
human_rights_un_pql_jawo_64kb_0070	Článek 23
human_rights_un_pql_jawo_64kb_0071	Každý má právo na práci, na svobodnou volbu zaměstnání, na spravedlivé a uspokojivé pracovní podmínky a na ochranu proti nezaměstnanosti.
human_rights_un_pql_jawo_64kb_0072	Každý, bez jakéhokoli rozlišování, má nárok na stejný plat za stejnou práci.
human_rights_un_pql_jawo_64kb_0073	Každý pracující má právo na spravedlivou a uspokojivou odměnu, která by zajišťovala jemu samému a jeho rodině živobytí odpovídající lidské důstojnosti a která by byla doplněna, kdyby toho bylo třeba, jinými prostředky sociální ochrany.
human_rights_un_pql_jawo_64kb_0074	Na ochranu svých zájmů má každý právo zakládat s jinými odborové organizace a přistupovat k nim.
human_rights_un_pql_jawo_64kb_0075	Článek 24
human_rights_un_pql_jawo_64kb_0076	Každý má právo na odpočinek a na zotavení, zejména také na rozumné vymezení pracovních hodin a na pravidelnou placenou dovolenou.
human_rights_un_pql_jawo_64kb_0077	Článek 25
human_rights_un_pql_jawo_64kb_0078	Každý má právo na takovou životní úroveň, která by byla s to zajistit jeho zdraví a blahobyt i zdraví a blahobyt jeho rodiny, počítajíc v to zejména výživu, šatstvo, byt a lékařskou péči, jakož i nezbytná sociální opatření;
