human_rights_un_rum_xip_64kb_0001	DECLARAȚIA UNIVERSALĂ A DREPTURILOR OMULUI
human_rights_un_rum_xip_64kb_0002	Preambul
human_rights_un_rum_xip_64kb_0003	Considerând că recunoașterea demnității inerente tuturor membrilor familiei umane și a drepturilor lor egale și inalienabile constituie fundamentul libertății, dreptății și păcii în lume,
human_rights_un_rum_xip_64kb_0004	Considerând că ignorarea și disprețuirea drepturilor omului au dus la acte de barbarie care revoltă conștiința omenirii și că făurirea unei lumi în care ființele umane se vor bucura de libertatea cuvântului și a convingerilor și vor fi eliberate de teamă și mizerie a fost proclamată drept cea mai înaltă aspirație a oamenilor,
human_rights_un_rum_xip_64kb_0005	Considerând că este esențial ca drepturile omului să fie ocrotite de autoritatea legii pentru ca omul să nu fie silit să recurgă, ca soluție extremă, la revoltă împotriva tiraniei și asupririi,
human_rights_un_rum_xip_64kb_0006	Considerând că este esențial a se încuraja dezvoltarea relațiilor prietenești între națiuni,
human_rights_un_rum_xip_64kb_0007	Considerând că în Cartă popoarele Organizației Națiunilor Unite au proclamat din nou credința lor în drepturile fundamentale ale omului, în demnitatea și în valoarea persoanei umane, drepturi egale pentru bărbați și femei și că au hotărât să favorizeze progresul social și îmbunătățirea condițiilor de viață în cadrul unei libertăți mai mari,
human_rights_un_rum_xip_64kb_0008	Considerând că statele membre s‐au angajat să promoveze în colaborare cu Organizația Națiunilor Unite respectul universal și efectiv față de drepturile omului și libertățile fundamentale, precum și respectarea lor universală și efectivă,
human_rights_un_rum_xip_64kb_0009	Considerând că o concepție comună despre aceste drepturi și libertăți este de cea mai mare importanță pentru realizarea deplină a acestui angajament,
human_rights_un_rum_xip_64kb_0010	ADUNAREA GENERALĂ proclamăprezenta DECLARAȚIE UNIVERSALĂ A DREPTURILOR OMULUI, ca ideal comun spre care trebuie să tindă toate popoarele și toate națiunile, pentru ca toate persoanele și toate organele societății să se străduiască, având această Declarație permanent în minte, ca prin învățătură și educație să dezvolte respectul pentru aceste drepturi și libertăți și să asigure prin măsuri progresive, de ordin național și internațional, recunoașterea și aplicarea lor universală și efectivă, atât în sânul popoarelor statelor membre, cât și al celor din teritoriile aflate sub jurisdicția lor.
human_rights_un_rum_xip_64kb_0011	Articolul 1
human_rights_un_rum_xip_64kb_0012	Toate ființele umane se nasc libere și egale în demnitate și în drepturi.
human_rights_un_rum_xip_64kb_0013	Ele sunt înzestrate cu rațiune și conștiință și trebuie să se comporte unele față de altele în spiritul fraternității.
human_rights_un_rum_xip_64kb_0014	Articolul 2
human_rights_un_rum_xip_64kb_0015	Fiecare om se poate prevala de toate drepturile și libertățile proclamate în prezenta Declarație fără niciun fel de deosebire ca, de pildă, deosebirea de rasă, culoare, sex, limbă, religie, opinie politică sau orice altă opinie, de origine națională sau socială, avere, naștere sau orice alte împrejurări.
human_rights_un_rum_xip_64kb_0016	În afară de aceasta, nu se va face nicio deosebire după statutul politic, juridic sau internațional al țării sau al teritoriului de care ține o persoană, fie că această țară sau teritoriu sunt independente, sub tutelă, neautonome sau supuse vreunei alte limitări a suveranității.
human_rights_un_rum_xip_64kb_0017	Articolul 3
human_rights_un_rum_xip_64kb_0018	Orice ființă umană are dreptul la viață, la libertate și la securitatea persoanei sale.
human_rights_un_rum_xip_64kb_0019	Articolul 4
human_rights_un_rum_xip_64kb_0020	Nimeni nu va fi ținut în sclavie, nici în servitute;
human_rights_un_rum_xip_64kb_0021	sclavajul și comerțul cu sclavi sunt interzise sub toate formele lor.
human_rights_un_rum_xip_64kb_0022	Articolul 5
human_rights_un_rum_xip_64kb_0023	Nimeni nu va fi supus la torturi, nici la pedepse sau tratamente crude, inumane sau degradante.
human_rights_un_rum_xip_64kb_0024	Articolul 6
human_rights_un_rum_xip_64kb_0025	Fiecare om are dreptul să i se recunoască pretutindeni personalitatea juridică.
human_rights_un_rum_xip_64kb_0026	Articolul 7
human_rights_un_rum_xip_64kb_0027	Toți oamenii sunt egali în fața legii și au, fără nicio deosebire, dreptul la o egală protecție a legii.
human_rights_un_rum_xip_64kb_0028	Toți oamenii au dreptul la o protecție egală împotriva oricărei discriminări care ar viola prezenta Declarație și împotriva oricărei provocări la o asemenea discriminare.
human_rights_un_rum_xip_64kb_0029	Articolul 8
human_rights_un_rum_xip_64kb_0030	Orice persoană are dreptul la satisfacția efectivă din partea instanțelor juridice naționale competente împotriva actelor care violează drepturile fundamentale ce‐i sunt recunoscute prin constituție sau lege.
human_rights_un_rum_xip_64kb_0031	Articolul 9
human_rights_un_rum_xip_64kb_0032	Nimeni nu trebuie să fie arestat, deținut sau exilat în mod arbitrar.
human_rights_un_rum_xip_64kb_0033	Articolul 10
human_rights_un_rum_xip_64kb_0034	Orice persoană are dreptul în deplină egalitate de a fi audiată în mod echitabil și public de către un tribunal independent și imparțial care va hotărî fie asupra drepturilor și obligațiilor sale, fie asupra temeiniciei oricărei acuzări în materie penală îndreptată împotriva sa.
human_rights_un_rum_xip_64kb_0035	Articolul 11
human_rights_un_rum_xip_64kb_0036	Orice persoană acuzată de comiterea unui act cu caracter penal are dreptul să fie presupusă nevinovată până când vinovăția sa va fi stabilită în mod legal în cursul unui proces public în care i‐au fost asigurate toate garanțiile necesare apărării sale.
human_rights_un_rum_xip_64kb_0037	Nimeni nu va fi condamnat pentru acțiuni sau omisiuni care nu constituiau, în momentul când au fost comise, un act cu caracter penal conform dreptului internațional sau național.
human_rights_un_rum_xip_64kb_0038	De asemenea, nu se va aplica nicio pedeapsă mai grea decât aceea care era aplicabilă în momentul când a fost săvârșit actul cu caracter penal.
human_rights_un_rum_xip_64kb_0039	Articolul 12
human_rights_un_rum_xip_64kb_0040	Nimeni nu va fi supus la imixtiuni arbitrare în viața sa personală, în familia sa, în domiciliul lui sau în corespondența sa, nici la atingeri aduse onoarei și reputației sale.
human_rights_un_rum_xip_64kb_0041	Orice persoană are dreptul la protecția legii împotriva unor asemenea imixtiuni sau atingeri.
human_rights_un_rum_xip_64kb_0042	Articolul 13
human_rights_un_rum_xip_64kb_0043	Orice persoană are dreptul de a circula în mod liber și de a‐și alege reședința în interiorul granițelor unui stat.
human_rights_un_rum_xip_64kb_0044	Orice persoană are dreptul de a părăsi orice țară, inclusiv a sa, și de reveni în țara sa.
human_rights_un_rum_xip_64kb_0045	Articolul 14
human_rights_un_rum_xip_64kb_0046	În caz de persecuție, orice persoană are dreptul de a căuta azil și de a beneficia de azil în alte țări.
human_rights_un_rum_xip_64kb_0047	Acest drept nu poate fi invocat în caz de urmărire ce rezultă în mod real dintr‐o crimă de drept comun sau din acțiuni contrare scopurilor și principiilor Organizației Națiunilor Unite.
human_rights_un_rum_xip_64kb_0048	Articolul 15
human_rights_un_rum_xip_64kb_0049	Orice persoană are dreptul la o cetățenie.
human_rights_un_rum_xip_64kb_0050	Nimeni nu poate fi lipsit în mod arbitrar de cetățenia sa sau de dreptul de a‐și schimba cetățenia.
human_rights_un_rum_xip_64kb_0051	Articolul 16
human_rights_un_rum_xip_64kb_0052	Cu începere de la împlinirea vârstei legale, bărbătul și femeia, fără nicio restricție în ce privește rasa, naționalitatea sau religia, au dreptul de a se căsători și de a întemeia o familie.
human_rights_un_rum_xip_64kb_0053	Ei au drepturi egale la contractarea căsătoriei, în decursul căsătoriei și la desfacerea ei.
